21.2.1.12. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;II.;4 018 426;849 885;136 922;5 005 980;746 447;5 745 135;1 628 095;x;x;1 692 876;7 473 182;4 174 918;1 057 687;5 230 194;4 022 676;872 801;4 896 010;x;x;x;7 797 240
;III.;4 045 788;776 820;132 934;4 952 908;737 644;5 683 195;1 740 441;x;x;2 106 582;7 763 807;4 372 519;1 144 821;5 513 944;4 272 167;971 189;5 242 862;x;x;x;8 016 583
;IV.;4 050 193;862 300;134 321;5 048 316;836 515;5 890 842;2 340 581;x;x;2 378 533;8 215 029;4 757 995;1 075 071;5 833 381;4 619 043;1 092 977;5 710 459;x;x;x;8 302 324
2010.;I.;3 859 473;766 110;137 020;4 761 217;751 611;5 511 596;1 114 907;x;x;1 256 149;6 838 660;4 472 770;1 035 952;5 508 305;4 357 413;858 050;5 216 397;x;x;x;7 120 573
;II.;3 877 125;834 947;137 473;4 848 897;766 857;5 614 672;1 492 170;x;x;1 829 915;7 454 103;4 804 612;1 125 658;5 929 548;4 628 001;891 572;5 520 771;x;x;x;7 857 930
;III.;4 093 330;804 105;131 690;5 029 285;755 754;5 779 050;1 632 774;x;x;2 087 815;7 853 369;4 947 408;1 183 221;6 129 372;4 874 672;943 796;5 819 682;x;x;x;8 148 772
;IV.;4 016 810;837 183;129 584;4 984 221;802 907;5 787 813;2 028 963;x;x;2 470 019;8 201 109;5 292 195;1 111 737;6 405 874;5 164 598;963 594;6 129 855;x;x;x;8 458 924
2011.;I.;3 826 948;817 207;135 906;4 778 885;751 903;5 529 172;1 138 048;x;x;1 328 874;6 922 969;5 186 744;1 029 808;6 218 568;4 923 013;893 697;5 818 730;x;x;x;7 322 848
;II.;3 966 716;821 438;134 363;4 922 167;768 654;5 688 610;1 448 352;x;x;1 777 307;7 484 723;5 099 134;1 193 664;6 292 274;4 899 644;903 404;5 804 866;x;x;x;7 973 271
;III.;4 140 077;802 019;135 603;5 077 991;749 571;5 821 190;1 590 978;x;x;1 893 637;7 725 305;5 120 298;1 291 545;6 410 032;4 905 090;980 448;5 886 313;x;x;x;8 251 034
;IV.;4 047 880;829 124;135 450;5 012 319;804 754;5 816 899;2 009 862;x;x;2 367 817;8 139 536;5 371 166;1 217 188;6 588 358;5 111 424;983 847;6 096 599;x;x;x;8 628 710
2012.;I.;3 799 140;779 379;139 310;4 716 351;741 830;5 456 363;1 094 206;x;x;1 336 287;6 843 971;5 104 109;1 071 881;6 176 592;4 854 599;847 302;5 704 808;x;x;x;7 315 958
;II.;3 869 038;794 336;137 207;4 799 524;776 796;5 576 046;1 420 919;x;x;1 586 043;7 193 869;5 133 101;1 180 724;6 313 660;4 777 462;865 955;5 645 639;x;x;x;7 880 200
;III.;3 916 503;766 828;136 107;4 820 049;753 296;5 571 137;1 585 368;x;x;1 906 680;7 479 379;5 062 616;1 267 225;6 328 909;4 724 960;943 156;5 668 591;x;x;x;8 157 714
;IV.;4 022 540;851 798;135 184;5 008 203;790 291;5 796 746;1 901 764;x;x;2 240 059;8 014 415;5 072 394;1 183 343;6 255 450;4 889 389;955 778;5 846 058;x;x;x;8 419 719
2013.;I.;3 761 979;786 950;136 741;4 683 155;805 173;5 488 067;1 038 465;x;x;1 157 114;6 719 618;5 001 299;1 125 478;6 126 590;4 710 735;882 984;5 595 337;x;x;x;7 252 816
;II.;3 882 262;811 482;141 610;4 832 761;829 161;5 661 620;1 550 071;x;x;1 756 562;7 437 023;5 211 979;1 269 036;6 480 803;4 960 047;977 006;5 937 538;x;x;x;7 983 664
;III.;3 882 201;770 613;138 496;4 792 062;789 666;5 580 815;1 789 666;x;x;2 019 198;7 588 964;5 316 895;1 375 964;6 692 627;4 927 962;991 352;5 919 264;x;x;x;8 387 922
;IV.;4 047 106;839 482;143 116;5 027 891;808 915;5 835 478;2 212 221;x;x;2 492 719;8 277 378;5 493 794;1 309 824;6 803 400;5 219 275;1 137 097;6 354 069;x;x;x;8 721 915
2014.;I.;3 805 384;803 744;136 800;4 742 640;853 715;5 596 518;1 248 160;x;x;1 353 745;6 989 934;5 536 313;1 264 971;6 800 828;5 221 081;995 475;6 217 574;x;x;x;7 572 547
;II.;4 007 634;816 227;138 459;4 961 885;887 734;5 849 714;1 848 168;x;x;2 079 662;7 927 405;5 645 384;1 455 702;7 101 150;5 584 179;1 076 161;6 661 204;x;x;x;8 359 214
;III.;3 949 946;793 790;136 010;4 880 307;838 639;5 718 556;2 033 492;x;x;2 369 683;8 064 313;5 694 853;1 585 148;7 280 439;5 513 663;1 116 610;6 630 067;x;x;x;8 720 315
;IV.;4 203 133;825 203;144 006;5 174 735;941 190;6 116 239;2 263 152;x;x;2 550 767;8 640 353;5 848 894;1 473 091;7 321 939;5 718 747;1 174 280;6 892 497;x;x;x;9 063 206
2015.;I.;3 953 354;821 642;143 464;4 917 335;854 717;5 772 048;1 213 962;x;x;1 348 335;7 140 913;5 911 772;1 384 868;7 296 640;5 468 589;1 051 967;6 521 036;x;x;x;7 919 384
;II.;4 143 004;829 378;146 955;5 119 487;852 067;5 971 463;1 997 828;x;x;2 046 392;8 017 713;6 033 768;1 552 199;7 585 968;5 825 440;1 129 316;6 955 212;x;x;x;8 647 055
