21.1.2.2. Egy fõre jutó bruttó hazai termék megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Borsod-Abaúj-Zemplén;megye;18;18;18;18;16;15;15;15;17;17;17;17;17;17;14;14;13;10;12;14;14
Heves;megye;14;12;13;12;14;13;13;11;12;14;12;13;14;13;13;12;12;13;11;10;11
Nógrád ;megye;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
Észak-Magyarország;régió;VIII;VIII;VIII;VIII;VIII;VIII;VIII;VII;VIII;VIII;VIII;VIII;VIII;VIII;VIII;VI;VII;VI;VII;VII;VII
Hajdú-Bihar;megye;11;10;11;8;8;8;9;10;11;10;8;8;10;12;12;13;14;14;14;13;12
Jász-Nagykun-Szolnok;megye;17;16;16;16;17;17;16;16;15;15;16;14;15;16;16;15;15;16;17;16;16
Szabolcs-Szatmár-Bereg;megye;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;18;19
Észak-Alföld;régió;VII;VII;VII;VII;VII;VII;VII;VIII;VII;VII;VII;VII;VII;VII;VII;VIII;VIII;VIII;VIII;VIII;VIII
Bács-Kiskun ;megye;13;14;14;14;12;12;12;14;13;13;14;12;11;9;10;8;7;8;6;6;6
Békés;megye;16;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;18
Csongrád-Csanád;megye;9;9;8;10;10;9;8;9;8;9;10;10;9;10;8;10;11;9;13;12;8
Dél-Alföld;régió;VI;VI;VI;VI;V;V;V;VI;V;VI;VI;V;V;V;V;V;V;V;V;V;V
