22.1.1.23. Magyarországon tartózkodó külföldi állampolgárok, az állampolgárság országa és nem szerint, január 1.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Földrész, ország;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Európa ;59 907;59 445;58 264;60 268;62 530;63 491;49 546;51 782;51 826;58 769;64 982;66 738;71 043;72 365;75 603;78 641;82 191;48 930;46 132;44 541;44 079;46 060;42 594;42 953;47 008;52 324;51 317;55 575
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Románia;31 071;30 030;28 104;28 754;28 523;28 643;21 475;23 104;24 279;28 605;34 846;33 381;33 550;32 611;32 615;33 711;35 148;16 979;13 615;11 820;10 631;10 724;8 333;7 522;6 921;7 233;6 115;5 814
  Szerbia;6 426;6 836;6 536;6 079;6 582;6 779;5 674;5 459;5 364;5 727;6 340;5 487;5 734;7 911;7 765;8 047;7 647;3 919;2 142;1 171;883;809;678;895;1 339;1 396;1 031;977
  Ukrajna;1 891;2 328;3 004;3 904;5 411;6 065;5 028;5 427;5 372;7 063;7 317;8 042;8 293;8 695;8 800;8 690;8 727;6 091;5 812;4 702;3 997;3 841;3 106;4 341;8 773;10 639;9 749;11 542
  Németország;4 932;5 079;5 282;5 620;5 742;5 830;4 685;4 693;4 320;4 540;4 528;5 848;7 933;7 402;8 366;8 856;9 681;6 753;7 432;8 082;8 287;8 550;8 305;7 771;7 272;8 111;8 212;9 447
  Lengyelország;1 899;1 876;1 844;1 833;1 823;1 781;1 444;1 403;1 211;1 394;1 417;1 486;1 656;1 614;1 672;1 516;1 679;813;987;1 120;1 192;1 312;1 290;1 192;1 205;1 311;1 253;1 264
  Oroszország;154;639;939;1 383;1 531;1 628;1 098;1 195;1 065;1 336;1 623;1 673;1 671;1 686;1 752;2 087;2 222;1 859;2 153;2 290;2 640;2 974;2 977;2 841;3 081;3 203;3 061;3 026
  Szlovákia;137;269;350;578;920;1 001;983;1 495;964;1 768;824;2 076;2 515;2 888;3 453;3 787;4 375;4 099;4 592;4 975;5 225;5 544;5 492;5 484;5 413;6 005;8 050;8 761
  Horvátország;105;181;236;329;413;443;388;404;366;408;361;339;350;351;380;359;378;252;242;240;297;358;366;425;510;518;466;468
  Ausztria;177;197;245;304;329;356;233;268;246;272;207;515;812;921;1 041;1 350;1 444;1 216;1 314;1 397;1 433;1 445;1 479;1 357;1 128;1 194;1 554;1 825
Ázsia;3 037;3 982;5 333;5 959;6 967;7 563;5 358;6 202;5 827;6 508;6 666;8 301;8 834;9 985;10 404;11 377;11 905;11 266;12 433;13 345;15 716;18 437;18 807;20 891;22 469;24 320;24 467;24 581
Ebbõl: Kína;1 075;1 385;2 256;2 721;3 174;3 454;2 550;2 988;2 851;3 077;3 075;3 847;4 042;4 612;4 835;5 072;5 335;4 568;5 285;5 967;7 911;9 687;9 416;9 897;9 361;9 746;9 128;8 647
Amerika;1 337;1 416;1 635;1 822;1 953;2 035;1 111;1 123;1 086;1 132;1 232;1 356;1 390;1 608;1 635;2 174;2 257;2 121;2 132;2 199;2 579;2 391;2 437;2 753;3 207;3 579;3 211;3 543
Ebbõl: Egyesült Államok;727;857;1 035;1 198;1 319;1 375;704;720;699;724;733;848;847;1 046;1 060;1 404;1 439;1 385;1 360;1 328;1 381;1 483;1 435;1 583;1 547;1 625;1 330;1 411
Afrika;322;387;498;556;575;576;202;232;279;346;359;414;413;475;486;657;769;891;1 110;1 434;1 583;1 763;1 902;2 112;2 214;2 419;2 636;3 009
Ausztrália és Óceánia;288;363;368;363;386;359;233;233;220;237;262;260;277;326;406;251;300;238;265;245;248;261;261;262;265;266;258;241
Összesen;64 891;65 593;66 098;68 968;72 411;74 024;56 450;59 572;59 238;66 992;73 501;77 069;81 957;84 759;88 534;93 100;97 422;63 446;62 072;61 764;64 205;68 912;66 001;68 971;75 163;82 908;81 889;86 949
Összesen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Európa ;122 917;122 411;120 558;123 923;124 084;125 784;93 197;97 640;98 230;110 915;122 261;130 535;140 827;146 145;154 352;164 744;171 916;110 122;104 963;101 538;100 501;105 825;99 194;104 254;117 552;131 291;124 422;131 431
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Románia;68 439;65 705;61 579;62 130;57 357;57 343;41 561;44 977;47 281;55 676;67 529;66 183;66 951;65 836;66 368;72 720;76 878;41 596;34 795;30 924;28 641;29 665;24 040;22 747;21 017;22 162;18 220;16 601
  Szerbia;15 297;16 173;15 449;14 250;15 223;15 571;12 664;11 975;11 693;12 367;13 643;12 111;12 706;17 186;17 015;17 197;16 301;8 281;4 894;3 051;2 430;2 426;2 312;3 356;5 342;4 989;3 471;3 518
  Ukrajna;3 501;4 432;5 625;7 184;9 898;11 016;8 947;9 835;9 853;13 096;13 933;15 337;15 866;17 289;17 610;17 241;16 537;11 894;10 849;8 317;6 906;6 749;5 774;10 503;24 197;30 316;27 380;30 707
  Németország;7 427;7 802;8 277;8 985;9 396;9 631;7 493;7 676;7 100;7 393;6 908;10 504;15 037;14 436;16 744;18 691;20 232;15 834;17 418;18 669;18 773;19 403;18 627;17 879;16 537;18 344;17 490;19 747
  Lengyelország;4 628;4 521;4 297;4 471;4 386;4 144;2 279;2 227;1 945;2 196;2 178;2 364;2 681;2 645;2 776;2 515;2 734;1 385;1 631;1 863;1 964;2 129;2 061;1 928;1 960;2 145;2 017;2 038
  Oroszország;277;1 124;1 708;2 502;2 809;3 002;1 893;2 048;1 794;2 244;2 642;2 759;2 760;2 787;2 923;3 275;3 483;2 864;3 390;3 657;4 341;4 935;4 903;4 790;5 093;5 264;5 035;4 980
  Szlovákia;231;461;600;968;1 571;1 717;1 576;2 213;1 536;2 472;1 225;3 597;4 276;4 944;6 106;6 424;7 297;6 705;7 573;8 275;8 744;9 393;9 519;9 652;9 564;10 582;14 677;16 040
  Horvátország;305;532;688;929;1 069;1 162;917;931;800;902;837;778;813;852;914;916;953;676;674;650;831;1 012;1 064;1 221;1 403;1 404;1 238;1 228
  Ausztria;616;694;872;1 031;990;1 053;694;785;750;780;544;1 494;2 225;2 571;2 956;3 705;3 926;3 331;3 702;3 917;3 990;4 007;4 021;3 743;3 142;3 318;4 132;4 637
Ázsia;9 635;11 419;15 004;16 721;18 243;19 326;12 603;14 401;13 480;14 715;15 121;18 543;19 733;22 356;23 521;25 127;26 295;24 733;27 037;28 832;33 868;39 238;39 937;44 692;49 056;53 099;54 730;55 000
Ebbõl: Kína;3 469;4 276;6 639;7 809;8 306;8 861;5 819;6 840;6 420;6 790;6 856;8 584;8 979;10 218;10 709;11 173;11 829;10 114;11 504;12 716;16 467;19 811;19 111;19 905;18 851;19 655;18 558;17 685
Amerika;2 895;3 197;3 722;4 210;4 512;4 677;2 488;2 557;2 434;2 535;2 667;2 989;3 075;3 557;3 617;4 787;5 083;4 713;4 899;5 102;6 008;5 408;5 397;5 891;6 850;7 631;6 933;7 454
Ebbõl: Egyesült Államok;1 700;2 008;2 420;2 835;3 132;3 261;1 636;1 688;1 614;1 703;1 679;1 929;1 931;2 343;2 379;3 088;3 266;3 060;3 102;3 021;3 090;3 299;3 198;3 373;3 387;3 501;2 977;3 051
Afrika;2 081;2 210;2 488;2 659;2 594;2 559;1 233;1 318;1 281;1 455;1 556;1 800;1 783;1 913;1 998;2 513;2 779;3 284;3 850;4 492;4 985;5 513;5 985;6 334;6 660;7 278;7 748;8 028
Ausztrália és Óceánia;573;717;734;750;812;779;507;513;463;489;548;563;612;726;870;648;836;509;608;572;606;622;619;638;655;658;658;612
Összesen;138 101;139 954;142 506;148 263;150 245;153 125;110 028;116 429;115 888;130 109;142 153;154 430;166 030;174 697;184 358;197 819;206 909;143 361;141 357;140 536;145 968;156 606;151 132;161 809;180 773;199 957;194 491;202 525
