22.1.2.3. A 15 éves és annál idõsebb népesség nem, családi állapot, megye és régió szerint, január 1.;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001, Nõtlen, hajadon;2001, Házas;2001, Özvegy;2001, Elvált;2001, Összesen;2012, Nõtlen, hajadon;2012, Házas;2012, Özvegy;2012, Elvált;2012, Összesen;2022, Nõtlen, hajadon;2022, Házas;2022, Özvegy;2022, Elvált;2022, Összesen
Közép-Dunántúl;régió;104 950;248 669;85 340;45 946;484 905;130 173;206 461;87 073;60 632;484 339;131 019;197 879;77 373;65 012;471 283
Gyõr-Moson-Sopron;megye;42 311;100 894;32 193;14 227;189 625;52 065;92 214;33 557;21 184;199 020;60 039;93 513;31 091;25 936;210 579
Vas;megye;26 103;62 701;21 724;7 726;118 254;30 379;52 629;21 793;11 657;116 458;32 397;49 081;19 400;14 038;114 916
Zala;megye;29 217;68 357;26 653;10 137;134 364;33 132;56 882;26 159;14 389;130 562;32 003;50 961;22 405;16 183;121 552
Nyugat-Dunántúl;régió;97 631;231 952;80 570;32 090;442 243;115 576;201 725;81 509;47 230;446 040;124 439;193 555;72 896;56 157;447 047
Baranya;megye;40 001;89 628;33 252;18 821;181 702;46 681;72 184;32 580;23 470;174 915;46 409;64 519;28 006;24 009;162 943
Somogy;megye;30 747;74 243;30 370;13 563;148 923;38 351;59 650;29 746;17 823;145 570;38 131;54 387;25 195;19 076;136 789
Tolna ;megye;21 451;57 389;21 717;9 900;110 457;26 124;44 939;21 046;12 958;105 067;24 179;40 400;17 778;13 067;95 424
Dél-Dunántúl;régió;92 199;221 260;85 339;42 284;441 082;111 156;176 773;83 372;54 251;425 552;108 719;159 306;70 979;56 152;395 156
Dunántúl;nagyrégió;294 780;701 881;251 249;120 320;1 368 230;356 905;584 959;251 954;162 113;1 355 931;364 177;550 740;221 248;177 321;1 313 486
Borsod-Abaúj-Zemplén;megye;64 904;166 110;65 030;28 324;324 368;80 667;126 242;62 998;37 034;306 941;77 326;110 929;51 715;36 748;276 718
Heves;megye;27 171;76 029;31 532;12 232;146 964;33 985;60 439;30 521;16 629;141 574;34 198;54 227;25 414;17 787;131 626
Nógrád ;megye;16 968;51 482;20 886;8 355;97 691;21 298;39 416;19 746;11 125;91 585;21 076;34 317;16 529;11 581;83 503
Észak-Magyarország;régió;109 043;293 621;117 448;48 911;569 023;135 950;226 097;113 265;64 788;540 100;132 600;199 473;93 658;66 116;491 847
Hajdú-Bihar;megye;51 646;122 840;40 780;21 955;237 221;66 405;104 008;41 987;29 883;242 283;66 102;98 641;37 032;30 565;232 340
