20.2.1.3. A 15–64 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;szeptember;4 468,5;217,5;4 685,9;1 784,4;6 470,4;386,8;72,4;4,6;69,1
;október;4 509,2;219,6;4 728,9;1 737,3;6 466,2;362,9;73,1;4,6;69,7
;november;4 495,3;183,5;4 678,8;1 782,9;6 461,6;361,2;72,4;3,9;69,6
;december;4 473,3;209,8;4 683,1;1 774,1;6 457,3;380,0;72,5;4,5;69,3
2017.;január;4 483,6;197,1;4 680,7;1 771,6;6 452,3;364,7;72,5;4,2;69,5
;február;4 418,8;199,2;4 618,0;1 821,1;6 439,1;398,2;71,7;4,3;68,6
;március;4 455,5;222,2;4 677,8;1 758,2;6 435,9;406,5;72,7;4,8;69,2
;április;4 505,4;204,5;4 709,9;1 719,1;6 429,0;348,4;73,3;4,3;70,1
;május;4 451,3;181,4;4 632,7;1 788,2;6 420,8;354,7;72,2;3,9;69,3
;június;4 520,2;202,6;4 722,8;1 693,3;6 416,1;377,1;73,6;4,3;70,5
;július;4 536,9;195,3;4 732,2;1 678,6;6 410,8;357,8;73,8;4,1;70,8
;augusztus;4 494,9;187,6;4 682,5;1 723,2;6 405,8;334,1;73,1;4,0;70,2
;szeptember;4 548,9;180,9;4 729,8;1 670,7;6 400,6;331,4;73,9;3,8;71,1
;október;4 538,5;180,4;4 718,9;1 676,7;6 395,6;322,8;73,8;3,8;71,0
;november;4 513,7;170,1;4 683,8;1 707,1;6 390,9;304,7;73,3;3,6;70,6
;december;4 536,8;175,1;4 711,9;1 673,5;6 385,3;318,5;73,8;3,7;71,1
2018.;január;4 505,2;175,9;4 681,1;1 698,8;6 379,8;344,4;73,4;3,8;70,6
;február;4 528,6;181,6;4 710,2;1 677,6;6 387,8;316,0;73,7;3,9;70,9
;március;4 519,5;175,0;4 694,5;1 688,1;6 382,5;292,4;73,6;3,7;70,8
;április;4 533,9;172,5;4 706,5;1 670,1;6 376,6;329,4;73,8;3,7;71,1
;május;4 567,6;163,0;4 730,6;1 649,3;6 379,9;294,7;74,1;3,4;71,6
;június;4 550,3;158,9;4 709,2;1 667,3;6 376,5;292,1;73,9;3,4;71,4
;július;4 571,0;176,0;4 747,0;1 623,5;6 370,4;305,1;74,5;3,7;71,8
;augusztus;4 560,9;182,7;4 743,6;1 621,9;6 365,5;305,1;74,5;3,9;71,6
;szeptember;4 566,9;174,3;4 741,2;1 619,6;6 360,8;312,4;74,5;3,7;71,8
;október;4 610,8;157,8;4 768,6;1 587,5;6 356,1;286,4;75,0;3,3;72,5
;november;4 530,8;170,1;4 700,9;1 650,2;6 351,1;307,3;74,0;3,6;71,3
;december;4 525,4;169,7;4 695,1;1 651,3;6 346,4;317,1;74,0;3,6;71,3
2019.;január;4 600,5;165,2;4 765,7;1 575,5;6 341,2;293,7;75,2;3,5;72,5
;február;4 566,7;164,5;4 731,1;1 611,6;6 342,8;297,7;74,6;3,5;72,0
;március;4 524,8;162,8;4 687,6;1 649,8;6 337,4;298,5;74,0;3,5;71,4
;április;4 566,3;156,9;4 723,2;1 608,9;6 332,1;284,0;74,6;3,3;72,1
;május;4 588,7;158,4;4 747,1;1 590,2;6 337,2;291,4;74,9;3,3;72,4
;június;4 543,3;148,1;4 691,5;1 641,3;6 332,8;296,6;74,1;3,2;71,7
;július;4 580,5;162,4;4 742,8;1 585,4;6 328,3;307,6;74,9;3,4;72,4
;augusztus;4 608,2;156,8;4 765,0;1 558,7;6 323,7;289,3;75,4;3,3;72,9
;szeptember;4 538,8;162,3;4 701,2;1 618,0;6 319,2;289,4;74,4;3,5;71,8
;október;4 592,0;163,2;4 755,2;1 559,5;6 314,7;275,1;75,3;3,4;72,7
;november;4 574,6;156,4;4 731,0;1 579,1;6 310,1;300,7;75,0;3,3;72,5
;december;4 537,2;137,2;4 674,4;1 631,5;6 305,9;281,5;74,1;2,9;72,0
2020.;január;4 521,2;183,4;4 704,6;1 596,5;6 301,1;327,7;74,7;3,9;71,8
;február;4 570,1;164,8;4 734,9;1 562,4;6 297,4;300,6;75,2;3,5;72,6
;március;4 490,8;164,9;4 655,8;1 638,1;6 293,9;363,8;74,0;3,5;71,4
;április;4 440,6;187,0;4 627,6;1 662,5;6 290,0;419,7;73,6;4,0;70,6
;május;4 458,3;214,3;4 672,6;1 613,5;6 286,1;409,3;74,3;4,6;70,9
;június;4 493,8;240,2;4 734,0;1 548,1;6 282,1;457,3;75,4;5,1;71,5
;július;4 517,8;215,6;4 733,4;1 544,9;6 278,3;396,8;75,4;4,6;72,0
;augusztus;4 574,7;184,3;4 759,0;1 515,6;6 274,6;324,3;75,8;3,9;72,9
;szeptember;4 541,7;218,1;4 759,8;1 511,0;6 270,8;384,3;75,9;4,6;72,4
;október;4 514,5;194,1;4 708,5;1 558,6;6 267,1;359,7;75,1;4,1;72,0
;november;4 557,6;187,4;4 745,0;1 518,1;6 263,0;331,3;75,8;3,9;72,8
;december;4 541,7;199,2;4 740,9;1 517,8;6 258,7;382,5;75,7;4,2;72,6
2021.;január;4 444,3;233,4;4 677,7;1 576,2;6 253,9;455,4;74,8;5,0;71,1
;február;4 471,8;207,2;4 679,0;1 549,0;6 228,0;420,1;75,1;4,4;71,8
;március;4 512,9;190,6;4 703,5;1 520,3;6 223,7;387,9;75,6;4,1;72,5
;április;4 469,3;207,5;4 676,7;1 541,0;6 217,8;390,5;75,2;4,4;71,9
;május;4 507,8;186,9;4 694,7;1 517,3;6 211,9;350,8;75,6;4,0;72,6
;június;4 596,0;191,1;4 787,0;1 418,8;6 205,8;329,4;77,1;4,0;74,1
;július;4 603,1;184,9;4 788,0;1 413,4;6 201,4;..;77,2;3,9;74,2
;augusztus;4 582,4;192,1;4 774,5;1 422,3;6 196,9;..;77,0;4,0;73,9
;szeptember;4 577,5;194,0;4 771,4;1 421,0;6 192,4;..;77,1;4,1;73,9
;október;4 588,8;186,1;4 775,0;1 413,1;6 188,1;..;77,2;3,9;74,2
;november;4 572,0;174,7;4 746,8;1 436,5;6 183,2;..;76,8;3,7;73,9
;december;4 588,6;177,7;4 766,3;1 411,4;6 177,7;..;77,2;3,7;74,3
2022.;január;4 544,5;199,6;4 744,1;1 427,5;6 171,6;..;76,9;4,2;73,6
;február;4 569,4;183,8;4 753,2;1 427,4;6 180,6;..;76,9;3,9;73,9
;március;4 592,0;172,7;4 764,7;1 413,3;6 178,1;..;77,1;3,6;74,3
;április;4 580,1;172,9;4 753,0;1 422,4;6 175,4;..;77,0;3,6;74,2
;május;4 571,0;165,5;4 736,5;1 436,3;6 172,8;..;76,7;3,5;74,1
;június;4 624,1;157,7;4 781,8;1 388,4;6 170,2;..;77,5;3,3;74,9
;július;4 599,8;169,2;4 769,1;1 398,8;6 167,8;..;77,3;3,5;74,6
;augusztus;4 598,1;174,8;4 772,9;1 392,4;6 165,3;..;77,4;3,7;74,6
;szeptember;4 595,2;183,1;4 778,3;1 384,5;6 162,8;..;77,5;3,8;74,6
;október;4 589,7;174,7;4 764,4;1 396,1;6 160,5;..;77,3;3,7;74,5
;november;;;;;;;;;
;december;;;;;;;;;
Férfi;;;;;;;;;;
2009.;január;1 994,4;205,5;2 200,0;1 106,7;3 306,7;324,9;66,5;9,3;60,3
;február;2 005,1;222,5;2 227,6;1 078,6;3 306,3;355,0;67,4;10,0;60,6
;március;1 994,3;248,0;2 242,4;1 063,4;3 305,8;378,8;67,8;11,1;60,3
;április;2 010,1;216,9;2 226,9;1 078,4;3 305,4;321,6;67,4;9,7;60,8
;május;2 030,9;222,0;2 252,9;1 052,0;3 304,9;342,8;68,2;9,9;61,4
;június;2 025,4;232,7;2 258,2;1 046,3;3 304,5;351,6;68,3;10,3;61,3
;július;2 006,7;223,6;2 230,3;1 073,7;3 304,0;343,7;67,5;10,0;60,7
;augusztus;2 016,5;234,1;2 250,6;1 053,0;3 303,6;353,9;68,1;10,4;61,0
;szeptember;2 004,8;258,7;2 263,5;1 039,6;3 303,1;393,8;68,5;11,4;60,7
;október;2 016,2;225,9;2 242,1;1 060,6;3 302,7;346,2;67,9;10,1;61,0
;november;2 006,4;242,7;2 249,1;1 053,1;3 302,2;375,1;68,1;10,8;60,8
;december;1 978,2;248,7;2 227,0;1 074,8;3 301,8;393,6;67,4;11,2;59,9
2010.;január;1 935,1;255,9;2 191,0;1 110,3;3 301,3;393,0;66,4;11,7;58,6
;február;1 937,9;296,6;2 234,5;1 066,4;3 300,9;436,3;67,7;13,3;58,7
;március;1 935,0;296,2;2 231,2;1 069,4;3 300,5;431,5;67,6;13,3;58,6
;április;1 978,4;254,9;2 233,3;1 066,8;3 300,0;378,0;67,7;11,4;60,0
;május;1 979,9;264,3;2 244,2;1 055,4;3 299,6;392,2;68,0;11,8;60,0
;június;1 961,8;281,4;2 243,2;1 055,9;3 299,2;410,3;68,0;12,5;59,5
;július;2 007,7;231,8;2 239,5;1 059,2;3 298,7;344,0;67,9;10,3;60,9
;augusztus;2 018,9;252,0;2 270,8;1 027,4;3 298,2;376,0;68,8;11,1;61,2
;szeptember;1 982,7;262,4;2 245,1;1 052,8;3 297,8;398,9;68,1;11,7;60,1
;október;2 009,9;239,9;2 249,7;1 047,6;3 297,4;357,8;68,2;10,7;61,0
;november;2 018,0;237,5;2 255,5;1 041,4;3 296,9;361,3;68,4;10,5;61,2
;december;1 951,5;266,1;2 217,6;1 078,9;3 296,5;415,2;67,3;12,0;59,2
2011.;január;1 945,6;278,8;2 224,3;1 071,7;3 296,1;423,3;67,5;12,5;59,0
;február;1 962,5;274,8;2 237,3;1 058,3;3 295,6;423,0;67,9;12,3;59,5
;március;1 945,6;270,9;2 216,5;1 078,6;3 295,2;429,2;67,3;12,2;59,0
;április;1 995,4;253,2;2 248,6;1 046,1;3 294,7;400,1;68,3;11,3;60,6
;május;2 006,8;243,6;2 250,4;1 043,9;3 294,3;377,2;68,3;10,8;60,9
;június;2 012,0;238,6;2 250,5;1 043,3;3 293,8;390,6;68,3;10,6;61,1
;július;2 036,2;255,3;2 291,5;1 001,8;3 293,4;404,6;69,6;11,1;61,8
;augusztus;2 013,5;237,6;2 251,1;1 041,9;3 292,9;380,3;68,4;10,6;61,1
;szeptember;2 046,5;236,7;2 283,2;1 009,3;3 292,5;379,5;69,3;10,4;62,2
;október;2 029,5;259,6;2 289,2;1 002,9;3 292,1;399,9;69,5;11,3;61,6
;november;2 018,9;230,3;2 249,2;1 045,4;3 294,6;376,3;68,3;10,2;61,3
;december;2 017,1;237,5;2 254,7;1 042,7;3 297,4;391,9;68,4;10,5;61,2
2012.;január;1 966,2;298,7;2 265,0;1 035,1;3 300,0;457,5;68,6;13,2;59,6
;február;1 954,1;286,6;2 240,7;1 057,7;3 298,4;435,4;67,9;12,8;59,2
;március;2 016,2;254,8;2 271,1;1 026,0;3 297,0;392,1;68,9;11,2;61,2
;április;2 010,6;269,1;2 279,7;1 015,8;3 295,5;419,7;69,2;11,8;61,0
;május;2 002,1;283,3;2 285,4;1 008,6;3 294,0;416,4;69,4;12,4;60,8
;június;2 052,9;245,1;2 298,0;994,6;3 292,7;395,8;69,8;10,7;62,3
;július;2 040,9;255,9;2 296,8;994,5;3 291,3;404,8;69,8;11,1;62,0
;augusztus;2 052,6;251,3;2 304,0;986,0;3 290,0;405,4;70,0;10,9;62,4
;szeptember;2 083,1;243,7;2 326,8;961,9;3 288,7;378,8;70,8;10,5;63,3
;október;2 062,4;252,8;2 315,2;972,4;3 287,6;385,3;70,4;10,9;62,7
;november;2 057,2;255,4;2 312,6;973,6;3 286,2;403,5;70,4;11,0;62,6
;december;2 053,2;244,8;2 298,0;987,0;3 285,0;420,7;70,0;10,7;62,5
2013.;január;1 971,1;294,4;2 265,5;1 018,0;3 283,5;475,3;69,0;13,0;60,0
;február;1 968,2;294,4;2 262,6;1 018,7;3 281,3;490,7;69,0;13,0;60,0
;március;2 049,5;257,4;2 306,9;972,4;3 279,3;429,2;70,3;11,2;62,5
;április;2 080,2;219,2;2 299,5;977,6;3 277,1;380,1;70,2;9,5;63,5
;május;2 062,8;261,0;2 323,9;951,1;3 275,0;409,7;71,0;11,2;63,0
;június;2 120,6;226,5;2 347,1;925,9;3 273,0;376,0;71,7;9,6;64,8
;július;2 134,9;227,2;2 362,0;909,0;3 271,0;364,9;72,2;9,6;65,3
;augusztus;2 101,2;238,8;2 340,0;929,0;3 269,0;386,2;71,6;10,2;64,3
;szeptember;2 139,9;219,1;2 359,0;908,1;3 267,0;353,1;72,2;9,3;65,5
;október;2 125,5;228,2;2 353,6;911,5;3 265,2;358,3;72,1;9,7;65,1
;november;2 135,8;197,8;2 333,6;929,5;3 263,1;335,4;71,5;8,5;65,5
;december;2 134,6;204,3;2 339,0;922,2;3 261,1;341,3;71,7;8,7;65,5
2014.;január;2 146,9;203,8;2 350,8;908,3;3 259,1;363,4;72,1;8,7;65,9
;február;2 176,1;178,3;2 354,4;902,1;3 256,5;341,7;72,3;7,6;66,8
;március;2 178,8;193,8;2 372,5;881,9;3 254,4;346,2;72,9;8,2;66,9
;április;2 200,4;190,6;2 390,9;861,1;3 252,1;318,8;73,5;8,0;67,7
;május;2 171,7;180,3;2 352,0;897,7;3 249,7;323,9;72,4;7,7;66,8
;június;2 195,8;201,7;2 397,5;850,1;3 247,5;333,6;73,8;8,4;67,6
;július;2 216,8;185,7;2 402,5;843,0;3 245,6;301,5;74,0;7,7;68,3
;augusztus;2 240,6;148,1;2 388,7;854,7;3 243,4;279,7;73,6;6,2;69,1
;szeptember;2 247,0;182,5;2 429,5;811,8;3 241,2;305,8;75,0;7,5;69,3
;október;2 230,8;159,0;2 389,9;849,2;3 239,1;261,5;73,8;6,7;68,9
;november;2 220,5;162,6;2 383,2;853,6;3 236,8;276,6;73,6;6,8;68,6
;december;2 212,1;189,9;2 402,0;832,5;3 234,5;322,5;74,3;7,9;68,4
2015.;január;2 193,1;177,1;2 370,2;861,9;3 232,1;303,5;73,3;7,5;67,9
;február;2 216,0;194,8;2 410,8;818,9;3 229,7;304,8;74,6;8,1;68,6
;március;2 205,2;185,6;2 390,8;836,8;3 227,6;308,2;74,1;7,8;68,3
;április;2 235,4;170,5;2 405,9;819,7;3 225,6;283,4;74,6;7,1;69,3
;május;2 262,3;160,8;2 423,1;799,8;3 222,9;268,4;75,2;6,6;70,2
;június;2 285,5;156,7;2 442,3;783,1;3 225,4;264,2;75,7;6,4;70,9
;július;2 285,5;155,1;2 440,6;782,9;3 223,6;264,8;75,7;6,4;70,9
;augusztus;2 303,7;151,1;2 454,8;766,8;3 221,5;249,6;76,2;6,2;71,5
;szeptember;2 305,2;146,7;2 451,9;767,6;3 219,6;246,3;76,2;6,0;71,6
;október;2 286,5;156,3;2 442,8;774,8;3 217,6;258,0;75,9;6,4;71,1
;november;2 307,6;150,0;2 457,6;758,0;3 215,6;236,9;76,4;6,1;71,8
;december;2 292,6;130,6;2 423,1;790,5;3 213,7;244,8;75,4;5,4;71,3
2016.;január;2 262,0;162,6;2 424,6;786,9;3 211,4;270,7;75,5;6,7;70,4
;február;2 304,8;149,8;2 454,6;753,3;3 207,9;255,4;76,5;6,1;71,8
;március;2 311,2;127,8;2 439,0;767,0;3 206,0;227,4;76,1;5,2;72,1
;április;2 332,9;139,6;2 472,4;731,4;3 203,8;215,3;77,2;5,6;72,8
;május;2 327,1;133,7;2 460,8;741,0;3 201,8;222,3;76,9;5,4;72,7
;június;2 348,3;119,9;2 468,2;737,5;3 205,7;202,2;77,0;4,9;73,3
;július;2 361,3;123,9;2 485,2;718,9;3 204,1;205,7;77,6;5,0;73,7
;augusztus;2 354,2;122,1;2 476,3;726,2;3 202,5;206,1;77,3;4,9;73,5
;szeptember;2 353,6;118,9;2 472,5;728,4;3 200,9;197,3;77,2;4,8;73,5
;október;2 386,0;102,3;2 488,3;711,1;3 199,4;175,3;77,8;4,1;74,6
;november;2 360,6;108,3;2 468,9;728,7;3 197,6;182,4;77,2;4,4;73,8
;december;2 348,2;119,0;2 467,2;728,7;3 195,9;193,7;77,2;4,8;73,5
2017.;január;2 368,3;104,6;2 472,9;721,0;3 193,8;187,9;77,4;4,2;74,2
;február;2 338,1;109,5;2 447,6;739,5;3 187,1;193,2;76,8;4,5;73,4
;március;2 352,3;112,0;2 464,3;721,7;3 186,1;200,2;77,3;4,5;73,8
;április;2 382,8;98,2;2 481,0;701,7;3 182,8;167,2;78,0;4,0;74,9
;május;2 365,4;101,2;2 466,6;712,5;3 179,0;177,5;77,6;4,1;74,4
;június;2 419,8;100,8;2 520,6;656,5;3 177,1;182,7;79,3;4,0;76,2
;július;2 420,7;93,8;2 514,5;660,3;3 174,8;166,7;79,2;3,7;76,2
;augusztus;2 373,1;87,6;2 460,7;712,1;3 172,8;155,0;77,6;3,6;74,8
;szeptember;2 432,1;91,1;2 523,2;647,3;3 170,6;161,7;79,6;3,6;76,7
;október;2 410,7;82,4;2 493,1;675,4;3 168,5;145,5;78,7;3,3;76,1
;november;2 394,2;86,4;2 480,6;685,8;3 166,4;145,5;78,3;3,5;75,6
;december;2 420,6;80,2;2 500,8;663,4;3 164,2;150,6;79,0;3,2;76,5
2018.;január;2 391,4;84,5;2 475,9;686,0;3 161,9;165,0;78,3;3,4;75,6
;február;2 392,1;96,1;2 488,2;679,3;3 167,5;157,8;78,6;3,9;75,5
;március;2 413,0;84,3;2 497,3;668,0;3 165,3;135,9;78,9;3,4;76,2
;április;2 413,6;80,4;2 493,9;668,9;3 162,8;149,3;78,9;3,2;76,3
;május;2 392,2;97,2;2 489,4;676,4;3 165,8;157,1;78,6;3,9;75,6
;június;2 423,4;86,8;2 510,3;654,4;3 164,7;133,1;79,3;3,5;76,6
;július;2 426,2;75,7;2 501,9;660,3;3 162,3;138,7;79,1;3,0;76,7
