20.2.1.21. Alkalmazottak száma munkaszerzõdésük idõtartama szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Határozatlan idõre szóló munkaszerzõdés, férfi;Határozatlan idõre szóló munkaszerzõdés, nõ;Határozatlan idõre szóló munkaszerzõdés, együtt;Meghatározott idõre szóló munkaszerzõdés, férfi;Meghatározott idõre szóló munkaszerzõdés, nõ;Meghatározott idõre szóló munkaszerzõdés, együtt;Összesen;Nem besorolt, nem válaszolt;Alkalmazottak összesen
;II.;2 023,5;1 733,5;3 757,0;134,0;139,6;273,6;4 030,5;120,9;4 151,5
;III.;2 019,9;1 727,5;3 747,4;149,6;137,5;287,1;4 034,5;122,6;4 157,1
;IV.;2 026,7;1 730,8;3 757,5;124,4;124,7;249,1;4 006,6;120,0;4 126,6
2020.;I.;2 000,7;1 696,1;3 696,8;118,2;129,3;247,5;3 944,3;131,9;4 076,3
;II.;1 978,1;1 681,9;3 659,9;107,2;107,3;214,6;3 874,5;138,2;4 012,7
;III.;2 008,8;1 696,5;3 705,2;118,1;125,6;243,7;3 948,9;132,0;4 080,9
;IV.;2 013,1;1 691,9;3 705,0;108,8;111,4;220,2;3 925,2;131,5;4 056,6
2021.;I.;1 987,4;1 790,3;3 777,7;112,5;117,8;230,3;4 008,0;0,0;4 008,0
;II.;1 989,5;1 811,8;3 801,3;118,0;127,9;245,9;4 047,1;0,0;4 047,1
;III.;1 975,4;1 840,7;3 816,2;129,1;131,4;260,5;4 076,6;0,0;4 076,6
;IV.;2 001,6;1 871,8;3 873,4;116,8;109,0;225,8;4 099,2;0,0;4 099,2
2022.;I.;2 002,9;1 863,8;3 866,7;112,5;111,3;223,8;4 090,5;0,0;4 090,5
;II.;2 017,9;1 870,3;3 888,2;108,2;112,1;220,3;4 108,5;0,0;4 108,5
;III.;2 011,2;1 869,9;3 881,1;117,4;119,6;237,0;4 118,1;0,0;4 118,1
;IV.;;;;;;;;;
