20.2.1.49. Fõbb kereseti adatok – a legalább öt fõs vállalkozások, költségvetési intézmények és a foglalkoztatás szempontjából jelentõs nonprofit szervezetek, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
;május;431 559;108,2;347 410;110,0;286 986;108,2;2 821,7;112,2;442 473;108,0;353 000;109,5;294 244;108,0;2 735,5;112,5
;június;436 343;103,5;350 000;107,0;290 168;103,5;2 840,2;113,0;447 298;103,1;356 354;106,4;297 453;103,1;2 754,5;113,5
;július;433 696;107,9;350 000;107,5;288 408;107,9;2 849,4;110,3;444 258;107,5;356 053;106,9;295 432;107,5;2 765,7;110,9
;augusztus;426 507;108,9;348 084;108,8;283 627;108,9;2 846,6;106,7;436 691;108,5;352 941;107,8;290 400;108,5;2 764,3;107,3
;szeptember;428 054;109,1;349 279;108,8;284 656;109,1;2 857,4;104,0;438 153;108,7;354 211;107,7;291 372;108,7;2 776,0;104,5
;október;431 312;108,5;350 097;107,6;286 823;108,5;2 862,9;103,2;441 528;108,2;358 000;107,8;293 616;108,2;2 781,2;103,6
;november;482 385;110,1;375 550;108,9;320 786;110,1;2 870,4;102,9;494 110;109,7;382 065;108,4;328 583;109,7;2 788,5;103,4
;december;492 831;109,7;379 637;107,7;327 732;109,7;2 864,0;103,1;504 692;109,3;387 584;107,2;335 620;109,3;2 783,2;103,5
2022.;január;467 288;113,7;375 840;113,1;310 746;113,7;2 857,0;102,9;477 742;113,3;381 038;112,1;317 698;113,3;2 778,2;103,3
;február;545 965;131,7;378 072;114,6;363 067;131,7;2 871,6;102,7;558 640;131,4;384 902;114,2;371 496;131,4;2 792,6;103,1
;március;511 366;117,5;394 498;115,0;340 058;117,5;2 879,0;103,0;522 284;117,2;400 000;114,3;347 319;117,2;2 804,6;103,3
;április;507 488;115,2;396 825;114,3;337 479;115,2;2 892,0;103,0;518 530;114,8;401 315;113,8;344 822;114,8;2 815,5;103,4
;május;495 863;114,9;397 880;114,5;329 749;114,9;2 893,1;102,5;506 561;114,5;402 189;113,9;336 863;114,5;2 817,0;103,0
;június;503 521;115,4;403 000;115,1;334 841;115,4;2 894,0;101,9;514 262;115,0;410 000;115,1;341 984;115,0;2 818,9;102,3
;július;499 952;115,3;400 879;114,5;332 468;115,3;2 893,8;101,6;510 194;114,8;408 020;114,6;339 279;114,8;2 821,5;102,0
;augusztus;497 152;116,6;402 217;115,6;330 606;116,6;2 889,9;101,5;507 044;116,1;409 024;115,9;337 185;116,1;2 819,7;102,0
;szeptember;504 053;117,8;409 248;117,2;335 195;117,8;2 891,3;101,2;513 179;117,1;415 345;117,3;341 264;117,1;2 827,5;101,9
;október;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;
Havi kumulált adatok;;;;;;;;;;;;;;;;;
2022.;január–január;467 288;113,7;375 840;113,1;310 746;113,7;2 857,0;102,9;477 742;113,3;381 038;112,1;317 698;113,3;2 778,2;103,3
;január–február;506 727;122,8;376 316;113,7;336 973;122,8;2 864,3;102,8;518 295;122,4;383 040;113,0;344 666;122,4;2 785,4;103,2
;január–március;508 279;121,0;381 968;114,0;338 005;121,0;2 869,2;102,9;519 631;120,6;389 604;113,8;345 554;120,6;2 791,8;103,3
;január–április;508 080;119,4;385 700;114,0;337 873;119,4;2 874,9;102,9;519 354;119,1;392 759;113,6;345 370;119,1;2 797,7;103,3
;január–május;505 624;118,5;388 435;114,2;336 240;118,5;2 878,5;102,8;516 781;118,1;395 186;113,7;343 659;118,1;2 801,6;103,2
;január–június;505 272;118,0;390 978;114,4;336 006;118,0;2 881,1;102,7;516 359;117,6;398 286;114,0;343 379;117,6;2 804,5;103,1
;január–július;504 509;117,6;392 710;114,5;335 499;117,6;2 882,9;102,5;515 474;117,2;400 000;114,3;342 790;117,2;2 806,9;102,9
;január–augusztus;503 588;117,5;394 500;114,7;334 886;117,5;2 883,8;102,4;514 416;117,1;400 000;114,3;342 087;117,1;2 808,5;102,8
;január–szeptember;503 639;117,5;396 175;115,0;334 920;117,5;2 884,6;102,2;514 278;117,1;400 400;114,4;341 995;117,1;2 810,6;102,7
;január–október;;;;;;;;;;;;;;;;
;január–november;;;;;;;;;;;;;;;;
;január–december;;;;;;;;;;;;;;;;
Negyedéves kumulált adatok;;;;;;;;;;;;;;;;;
2018.;I.;316 268;112,4;..;..;210 318;112,4;2 793,9;101,5;328 693;111,4;..;..;218 581;111,4;2 653,1;103,0
;I–II.;324 414;111,9;..;..;215 735;111,9;2 797,5;101,4;336 937;110,9;..;..;224 063;110,9;2 660,0;102,8
;I–III.;324 126;111,7;..;..;215 544;111,7;2 794,6;101,1;335 891;110,6;..;..;223 367;110,6;2 665,1;102,7
;I–IV.;329 943;111,3;..;..;219 412;111,3;2 794,6;101,1;341 608;110,2;..;..;227 169;110,2;2 669,1;102,7
2019.;I.;352 151;111,0;279 001;112,5;234 181;111,0;2 852,0;101,1;362 643;109,9;285 584;111,5;241 157;109,9;2 745,4;102,5
;I–II.;359 464;110,6;284 250;112,8;239 043;110,6;2 854,2;100,8;369 930;109,5;291 726;111,6;246 004;109,5;2 750,4;102,2
;I–III.;359 885;110,8;286 926;112,7;239 323;110,8;2 852,4;100,6;369 909;109,9;294 350;111,8;245 989;109,9;2 750,5;101,8
;I–IV.;367 833;111,4;292 320;113,2;244 609;111,4;2 852,7;100,4;378 106;110,6;300 000;112,4;251 440;110,6;2 751,9;101,5
2020.;I.;384 219;109,1;305 000;109,3;255 506;109,1;2 810,1;98,5;393 929;108,6;311 091;108,9;261 963;108,6;2 722,7;99,2
;I–II.;394 960;109,9;311 664;109,6;262 648;109,9;2 677,3;93,8;405 375;109,6;318 928;109,3;269 574;109,6;2 591,0;94,2
;I–III.;395 030;109,8;315 284;109,9;262 695;109,8;2 673,5;93,7;405 627;109,7;321 838;109,3;269 742;109,7;2 586,0;94,0
;I–IV.;403 616;109,7;320 582;109,7;268 405;109,7;2 700,4;94,7;414 494;109,6;328 586;109,5;275 639;109,6;2 612,1;94,9
2021.;I.;420 222;109,4;335 000;109,8;279 448;109,4;2 789,0;99,2;430 842;109,4;342 389;110,1;286 510;109,4;2 703,9;99,3
;I–II.;428 247;108,4;341 649;109,6;284 784;108,4;2 806,3;104,8;439 069;108,3;349 468;109,6;291 981;108,3;2 720,8;105,0
;I–III.;428 642;108,5;344 500;109,3;285 047;108,5;2 821,2;105,5;439 281;108,3;350 000;108,8;292 122;108,3;2 736,7;105,8
;I–IV.;438 814;108,7;350 000;109,2;291 812;108,7;2 832,4;104,9;449 626;108,5;356 000;108,3;299 001;108,5;2 748,6;105,2
2022.;I.;508 279;121,0;381 968;114,0;338 005;121,0;2 869,2;102,9;519 631;120,6;389 604;113,8;345 554;120,6;2 791,8;103,3
;I–II.;505 272;118,0;390 978;114,4;336 006;118,0;2 881,1;102,7;516 359;117,6;398 286;114,0;343 379;117,6;2 804,5;103,1
;I–III.;503 639;117,5;396 175;115,0;334 920;117,5;2 884,6;102,2;514 278;117,1;400 400;114,4;341 995;117,1;2 810,6;102,7
;I–IV.;;;;;;;;;;;;;;;;
