21.2.1.4. A bruttó hazai termék (GDP) termelése elõzõ évi átlagáron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;II.;358 676;2 145 297;1 899 936;247 161;4 793 415;876 844;754 478;122 366;471 613;357 962;273 290;632 401;725 499;1 257 696;600 387;333 532;323 777;198 109;1 372 927;8 917 476
;III.;529 906;1 958 846;1 709 845;308 866;4 949 166;944 912;809 953;134 959;515 314;387 004;270 420;630 052;718 574;1 258 667;600 857;335 348;322 462;224 223;1 464 433;9 211 217
;IV.;375 642;2 171 394;1 888 315;351 345;5 242 511;1 073 578;947 558;126 020;580 450;427 083;240 869;635 851;757 048;1 280 640;602 320;352 250;326 070;246 991;1 454 390;9 595 281
2017.;I.;202 775;1 951 691;1 696 188;175 650;4 829 128;771 882;655 138;116 744;441 157;357 443;284 770;687 254;732 023;1 355 122;631 089;360 079;363 954;199 477;1 337 089;8 496 334
;II.;309 093;2 179 476;1 946 563;305 909;5 162 065;942 737;803 006;139 732;478 936;396 683;290 069;688 328;812 029;1 333 447;629 005;357 703;346 739;219 836;1 408 425;9 364 967
;III.;477 347;1 994 786;1 762 267;384 206;5 367 696;1 019 391;861 234;158 157;537 822;435 113;284 771;689 420;830 813;1 319 480;633 784;358 990;326 706;250 884;1 502 005;9 726 039
;IV.;324 813;2 194 037;1 924 717;459 348;5 685 467;1 167 384;1 024 313;143 071;612 046;473 996;252 913;701 681;872 608;1 333 556;628 862;370 576;334 118;271 282;1 502 399;10 166 065
2018.;I.;237 328;2 016 998;1 772 032;208 696;5 373 304;885 403;745 868;139 535;480 522;410 888;321 859;773 002;807 024;1 467 083;686 905;378 237;401 942;227 523;1 445 516;9 281 841
;II.;361 752;2 273 184;2 052 318;372 107;5 733 106;1 081 808;923 317;158 491;515 192;427 065;328 977;772 876;905 162;1 451 545;690 587;380 636;380 322;250 482;1 525 548;10 265 697
;III.;556 918;2 080 119;1 841 289;492 208;5 924 757;1 152 432;970 845;181 587;566 015;452 270;323 039;786 509;924 728;1 445 579;685 046;397 987;362 545;274 185;1 623 049;10 677 050
