22.1.3.6. Természetes szaporodás/fogyás (–) [ezer lakosra];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Írország;6,1;7,1;7,8;8,1;8,2;8,0;8,6;9,8;10,4;10,4;10,4;10,0;9,2;8,5;8,2;7,5;7,0;6,6;6,1;5,7;4,7;5,0
Lengyelország;0,3;0,1;-0,1;-0,4;-0,2;-0,1;0,1;0,3;0,9;0,9;0,9;0,3;0,0;-0,5;0,0;-0,7;-0,2;0,0;-0,7;-0,9;-3,2;-5,0
Lettország;-5,0;-5,7;-5,4;-4,9;-5,1;-4,9;-4,6;-4,1;-3,0;-3,7;-4,9;-4,7;-4,5;-4,0;-3,4;-3,3;-3,4;-4,1;-4,9;-4,7;-5,9;-9,1
Litvánia;-1,4;-2,7;-3,3;-3,2;-3,4;-4,3;-4,7;-4,8;-3,8;-3,1;-3,7;-3,6;-3,5;-3,9;-3,4;-3,5;-3,7;-4,0;-4,1;-3,9;-6,6;-8,7
Luxemburg;4,5;3,9;3,6;2,8;4,1;3,8;3,7;3,4;4,1;4,0;4,2;3,5;4,0;4,2;4,0;3,7;3,6;3,2;3,2;3,1;2,9;3,4
Magyarország;-3,7;-3,4;-3,5;-4,1;-3,7;-3,8;-3,2;-3,5;-3,1;-3,4;-4,0;-4,1;-3,9;-3,8;-3,3;-4,0;-3,2;-3,8;-3,9;-3,8;-4,9;-6,4
Málta;3,7;2,7;2,3;2,3;2,2;1,8;1,4;1,6;1,9;2,0;2,1;2,2;1,7;1,9;2,1;2,0;2,5;1,6;1,6;1,3;0,6;0,4
Németország;-0,9;-1,1;-1,5;-1,8;-1,4;-1,8;-1,8;-1,7;-2,0;-2,3;-2,2;-2,4;-2,4;-2,6;-1,9;-2,3;-1,4;-1,8;-2,0;-1,9;-2,6;-2,7
Olaszország;-0,2;-0,2;-0,3;-0,7;0,3;-0,2;0,0;-0,1;-0,1;-0,4;-0,4;-0,8;-1,3;-1,4;-1,6;-2,7;-2,3;-3,2;-3,2;-3,6;-5,6;-5,2
Portugália;1,4;0,7;0,8;0,4;0,7;0,2;0,3;-0,1;0,0;-0,5;-0,4;-0,6;-1,7;-2,3;-2,2;-2,2;-2,3;-2,3;-2,5;-2,5;-3,8;-4,4
Románia;-0,9;-1,8;-2,7;-2,5;-2,0;-1,9;-1,8;-1,8;-1,5;-1,7;-2,3;-2,7;-2,7;-2,9;-2,8;-3,1;-2,7;-2,6;-2,8;-3,1;-5,2;-8,2
Spanyolország;0,9;1,2;1,2;1,4;1,9;1,8;2,5;2,4;2,9;2,4;2,3;1,8;1,1;0,8;0,7;0,0;0,0;-0,7;-1,2;-1,2;-3,2;-2,4
Svédország;-0,3;-0,3;0,1;0,7;1,2;1,1;1,6;1,7;1,9;2,3;2,7;2,3;2,2;2,4;2,7;2,4;2,7;2,3;2,3;2,5;1,4;2,1
Szlovákia;0,5;-0,2;-0,1;-0,1;0,4;0,2;0,1;0,1;0,8;1,5;1,3;1,7;0,6;0,5;0,7;0,3;1,0;0,7;0,6;0,7;-0,4;-3,1
Szlovénia;-0,2;-0,5;-0,6;-1,1;-0,3;-0,3;0,4;0,6;1,7;1,5;1,8;1,6;1,3;0,9;1,1;0,4;0,3;-0,1;-0,4;-0,6;-2,5;-2,0
EU27_2020;0,5;0,4;0,2;0,0;0,6;0,4;0,7;0,6;0,8;0,6;0,6;0,3;-0,1;-0,3;0,0;-0,7;-0,3;-0,7;-1,0;-1,1;-2,5;-2,8
Egyesült Királyság;1,2;1,1;1,1;1,4;2,2;2,3;2,9;3,2;3,5;3,7;3,9;4,0;3,8;3,2;3,2;2,7;2,7;2,3;1,8;1,6;..;..
Izland;8,8;8,3;7,7;8,0;8,3;8,2;8,3;8,4;9,0;9,5;9,1;7,9;8,0;6,7;7,1;5,9;5,1;5,3;5,6;6,0;6,0;6,8
Észak-Macedónia;5,9;5,0;4,8;4,4;2,7;2,0;1,9;1,5;1,9;2,3;2,5;1,6;1,7;1,9;1,9;1,3;1,2;0,7;0,8;-0,3;-3,2;-5,1
Montenegró;6,2;5,6;4,9;4,3;3,5;2,5;2,5;3,0;4,1;4,5;2,9;2,2;2,5;2,5;2,4;1,7;1,8;1,5;1,2;1,0;-0,3;-3,4
Norvégia;3,4;2,8;2,4;3,1;3,4;3,4;3,7;3,5;3,9;4,2;4,1;3,8;3,6;3,5;3,6;3,5;3,5;3,0;2,7;2,6;2,3;2,6
Oroszország;-6,6;-6,6;-6,5;-6,2;-5,5;-5,9;-4,8;-3,3;-2,5;-1,8;-1,7;-0,9;0,0;0,2;0,2;0,3;0,0;-0,9;-1,6;-2,2;-4,8;..
Svájc;2,2;1,5;1,5;1,2;1,7;1,6;1,7;1,8;2,0;2,0;2,3;2,4;2,2;2,2;2,6;2,3;2,7;2,4;2,4;2,1;1,1;2,1
Szerbia;-4,0;-2,7;-3,3;-3,3;-3,5;-4,6;-4,3;-4,7;-4,6;-4,6;-4,8;-5,2;-4,9;-4,8;-4,9;-5,4;-5,1;-5,5;-5,4;-5,3;-8,0;-10,9
Törökország;14,0;13,4;12,1;11,7;12,0;12,3;12,4;12,8;12,7;12,1;11,8;11,4;11,7;12,0;12,3;11,8;11,2;10,8;10,1;9,1;..;..
India;17,7;17,4;17,1;16,7;16,4;16,0;15,6;15,2;14,7;14,2;13,6;13,1;12,6;12,2;11,8;11,4;11,1;10,9;10,6;10,4;10,1;..
Izrael;15,7;15,4;15,4;15,9;15,7;15,2;15,5;15,5;16,1;16,3;16,6;16,1;16,3;16,1;16,3;16,0;16,0;15,9;15,8;15,0;13,9;..
Japán;1,7;1,6;1,2;0,8;0,6;-0,1;0,1;-0,1;-0,4;-0,6;-1,0;-1,6;-1,8;-1,9;-2,1;-2,3;-2,7;-3,2;-3,6;-4,0;-4,3;..
Kína;7,6;7,0;6,5;6,0;5,9;5,9;5,3;5,2;5,1;4,9;4,8;6,1;7,4;5,9;6,7;4,9;6,5;5,6;3,8;3,3;1,5;..
Koreai Köztársaság;8,3;6,6;5,2;5,1;4,7;3,9;4,2;5,1;4,4;4,0;4,3;4,3;4,3;3,3;3,3;3,2;2,4;1,4;0,6;0,2;-0,6;..
Egyiptom;19,4;19,1;18,8;18,6;18,5;18,5;18,7;19,1;19,6;20,3;21,0;21,7;22,2;22,4;22,4;22,2;21,8;21,2;20,6;19,9;19,3;..
Brazília;13,9;13,4;12,8;12,3;11,7;11,2;10,7;10,3;9,9;9,6;9,3;9,0;8,8;8,6;8,4;8,2;8,0;7,7;7,5;7,2;6,8;..
Egyesült Államok;5,9;5,6;5,5;5,7;5,8;5,7;6,2;6,3;5,9;5,6;5,0;4,6;4,5;4,2;4,3;4,0;3,7;3,2;2,9;2,7;0,6;..
Kanada;3,6;3,7;3,4;3,5;3,5;3,5;3,9;4,1;4,2;4,2;4,1;3,9;3,9;3,6;3,5;3,3;3,2;2,8;2,4;2,3;1,3;..
Mexikó;19,1;18,7;18,3;17,9;17,4;16,9;16,5;16,0;15,6;15,2;14,8;14,4;14,0;13,6;13,2;12,8;12,4;12,0;11,6;11,2;10,9;..
Ausztrália;6,3;6,1;6,0;6,0;5,8;6,4;6,5;7,4;7,3;7,4;7,2;7,0;7,1;6,9;6,6;6,3;6,3;6,1;6,3;5,4;5,2;..
Új-Zéland;7,8;7,2;6,6;7,0;7,3;7,4;7,4;8,4;8,3;7,8;8,2;7,1;7,1;6,6;5,8;6,4;6,0;5,5;5,1;5,1;4,9;..
