21.1.3.6. A bruttó állóeszköz-felhalmozás – ESA2010;;;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000 volumenváltozás (az elözõ évhez képest, százalék);2001 volumenváltozás (az elözõ évhez képest, százalék);2002 volumenváltozás (az elözõ évhez képest, százalék);2003 volumenváltozás (az elözõ évhez képest, százalék);2004 volumenváltozás (az elözõ évhez képest, százalék);2005 volumenváltozás (az elözõ évhez képest, százalék);2006 volumenváltozás (az elözõ évhez képest, százalék);2007 volumenváltozás (az elözõ évhez képest, százalék);2008 volumenváltozás (az elözõ évhez képest, százalék);2009 volumenváltozás (az elözõ évhez képest, százalék);2010 volumenváltozás (az elözõ évhez képest, százalék);2011 volumenváltozás (az elözõ évhez képest, százalék);2012 volumenváltozás (az elözõ évhez képest, százalék);2013 volumenváltozás (az elözõ évhez képest, százalék);2014 volumenváltozás (az elözõ évhez képest, százalék);2015 volumenváltozás (az elözõ évhez képest, százalék);2016 volumenváltozás (az elözõ évhez képest, százalék);2017 volumenváltozás (az elözõ évhez képest, százalék);2018 volumenváltozás (az elözõ évhez képest, százalék);2019 volumenváltozás (az elözõ évhez képest, százalék);2020 volumenváltozás (az elözõ évhez képest, százalék);2021 volumenváltozás (az elözõ évhez képest, százalék);2021 a GDP %-ában
Hollandia;2,3;1,3;-4,1;-1,7;0,2;3,3;7,0;14,8;-3,0;-8,6;-6,8;4,9;-6,3;-1,6;-2,4;29,0;-7,3;4,2;3,6;6,2;-2,6;3,2;21,6
Horvátország;-1,7;4,2;10,5;21,0;2,8;3,4;8,4;4,3;9,9;-14,7;-14,0;-3,7;-4,6;1,0;-2,3;8,4;5,0;1,5;3,8;9,8;-6,1;7,6;21,6
Írország;5,1;5,8;5,6;8,0;9,8;16,8;7,2;0,0;-11,6;-16,9;-15,0;-0,1;16,1;-4,1;18,5;50,6;50,2;-0,6;-8,9;99,5;-22,9;-37,6;23,5
Lengyelország;2,2;-10,6;-6,1;1,2;6,7;8,3;15,4;19,0;8,8;-2,7;0,0;8,8;-1,8;-1,1;10,0;6,1;-8,2;4,0;9,4;6,1;-4,9;3,8;16,6
Lettország;22,1;19,3;-3,9;10,8;28,4;20,9;14,3;22,4;-10,2;-34,6;-19,7;25,9;17,7;-4,4;-3,9;-2,0;-8,2;11,4;11,8;6,9;0,2;2,9;23,6
Litvánia;-6,9;12,7;11,1;14,1;15,8;11,5;19,6;22,3;-4,0;-38,9;1,5;20,1;-1,8;8,3;5,7;4,9;3,4;8,9;10,0;6,6;-1,8;7,0;21,1
Luxemburg;-3,2;6,7;0,4;2,1;6,4;-4,7;4,2;12,2;11,0;-13,8;0,6;17,5;1,7;0,7;8,5;-8,2;2,8;5,3;-6,2;9,8;-4,6;12,3;17,3
Magyarország;6,0;2,7;7,7;1,2;7,9;3,6;0,7;4,6;1,2;-9,1;-9,5;-1,3;-3,0;9,8;12,2;4,9;-10,6;19,7;16,3;12,8;-7,0;5,9;27,1
Málta;..;-10,2;-16,0;32,1;1,6;14,3;2,5;6,9;-7,2;-8,7;25,3;-12,8;0,9;-0,1;9,0;62,3;-2,5;2,0;5,5;8,4;-7,6;17,0;22,0
Németország;2,1;-2,6;-6,1;-1,6;-0,4;0,9;7,5;3,6;1,6;-9,5;5,3;7,4;-0,2;-1,3;3,2;1,7;3,8;2,6;3,4;1,8;-2,2;1,1;21,9
Olaszország;6,8;2,7;3,9;-0,6;1,6;1,6;2,5;1,5;-3,2;-9,7;-0,2;-1,4;-9,7;-6,4;-2,2;1,8;4,0;3,2;3,1;1,2;-9,1;17,0;19,9
Portugália;4,1;1,0;-3,4;-7,3;0,2;0,1;-0,8;3,1;0,4;-7,5;-1,1;-12,6;-16,7;-4,8;2,3;5,9;2,5;11,5;6,2;5,4;-2,7;6,6;19,8
Románia;5,9;10,5;7,3;10,3;9,6;11,5;26,5;51,0;17,8;-33,9;-2,8;6,1;3,1;-5,9;3,8;7,0;-0,1;3,5;-1,1;12,9;4,1;2,3;24,1
Spanyolország;7,5;4,2;4,1;6,5;4,6;7,0;7,2;3,9;-4,3;-17,3;-5,4;-7,6;-7,4;-3,8;4,1;4,9;2,4;6,8;6,3;4,5;-9,5;4,3;20,1
Svédország;6,5;2,4;-1,4;2,4;5,5;4,9;9,0;8,3;0,4;-12,7;6,2;6,0;-1,1;0,5;6,0;6,9;4,0;5,5;1,4;-0,3;1,7;6,2;25,6
Szlovákia;-12,2;13,0;-0,3;-4,4;5,9;16,9;6,8;10,1;3,7;-19,7;8,6;14,1;-10,0;1,2;3,0;21,4;-9,2;2,9;2,8;6,7;-11,6;0,6;19,1
Szlovénia;2,4;2,0;-0,4;5,8;5,5;3,6;10,2;11,9;7,0;-22,1;-13,4;-4,9;-8,5;3,4;-0,1;-1,2;-3,6;10,2;9,7;5,5;-8,2;12,3;20,2
EU27_2020;4,8;0,9;-1,3;1,3;2,7;3,2;6,1;6,1;-0,3;-11,3;-0,4;2,0;-2,8;-2,0;2,1;5,0;3,3;4,1;3,4;6,5;-6,1;4,1;22,0
Egyesült Királyság;4,5;1,1;2,8;2,7;2,4;4,3;2,7;4,6;-3,5;-12,7;3,7;0,6;1,5;3,3;6,8;6,3;4,7;3,3;-0,1;0,5;-9,1;..;..
Norvégia;-3,3;-0,6;-0,4;0,5;10,1;11,9;9,1;12,3;1,1;-7,0;-6,4;7,5;7,5;6,3;-0,3;-4,0;3,9;2,6;2,2;9,5;-5,6;-0,9;23,2
Oroszország;16,6;10,9;3,1;13,9;12,0;10,2;17,9;21,1;9,7;-14,7;6,4;9,2;7,0;1,9;-3,0;-10,0;0,9;4,4;0,4;1,6;..;..;20,6
Svájc;4,5;-1,8;0,7;-0,9;5,2;3,6;4,8;5,2;0,6;-7,0;3,4;2,4;4,3;0,9;2,6;2,1;2,9;3,6;1,3;0,6;-1,8;3,0;25,6
Szerbia;4,9;4,5;29,7;21,4;19,0;5,6;15,6;25,5;8,1;-22,5;-6,5;4,7;13,9;-12,0;-3,4;6,2;5,1;6,6;17,5;17,2;-1,9;12,5;22,5
Törökország;21,9;-27,0;17,8;19,4;31,9;19,6;15,4;5,5;-2,7;-20,6;22,0;23,7;2,9;14,2;4,9;9,3;2,2;8,3;-0,2;-12,4;7,2;6,4;28,0
Izrael;3,1;-3,0;-5,7;-5,4;1,4;2,3;8,0;9,9;5,4;-2,8;8,7;13,1;5,0;3,8;0,8;-1,5;12,5;3,8;7,2;3,1;-4,0;10,9;21,1
Japán;0,6;-1,3;-4,8;-0,6;0,3;3,0;0,4;-2,2;-3,8;-10,0;-1,3;2,2;2,8;4,1;2,2;2,3;1,2;1,6;0,4;1,0;-4,6;..;25,4
Kína;7,1;12,1;13,2;18,5;13,1;12,7;12,5;11,2;10,9;24,3;12,6;8,8;9,0;9,3;6,8;6,7;7,4;6,2;7,3;5,3;4,6;..;42,4
Koreai Köztársaság;14,0;2,2;7,4;5,3;2,8;1,5;4,0;5,1;-0,6;0,4;5,8;1,3;-0,1;2,8;3,1;5,4;6,6;9,8;-2,2;-2,1;2,6;..;31,1
Dél-afrikai Köztársaság;3,9;2,8;3,5;10,2;12,9;11,0;12,1;13,8;12,8;-6,7;-3,9;5,5;2,6;7,2;0,7;2,5;-3,5;1,0;-1,4;-0,9;-17,5;..;15,8
Egyesült Államok;6,4;-0,4;-1,7;4,2;6,0;6,1;2,7;-0,6;-4,2;-12,5;2,2;4,6;6,9;3,6;5,1;3,7;2,1;3,8;4,4;3,1;-1,5;..;21,4
Kanada;5,1;4,8;1,0;5,2;8,4;9,1;6,3;3,2;1,6;-11,3;11,5;4,6;4,9;1,4;2,3;-5,2;-4,7;3,3;1,8;0,3;-2,4;7,1;23,9
Mexikó;5,2;-7,3;-2,3;1,1;7,1;6,2;9,3;5,8;6,6;-11,7;4,7;7,8;4,9;-3,4;2,9;4,8;0,8;-1,2;0,8;-4,7;-17,8;..;18,9
Ausztrália;-7,9;9,1;12,6;8,7;6,1;8,3;4,5;8,8;1,5;1,7;3,6;11,6;2,9;-1,9;-3,7;-3,6;0,0;4,8;-1,3;-2,5;2,8;..;22,4
Új-Zéland;-2,8;8,6;8,0;14,5;8,1;5,7;-1,7;7,8;-7,1;-10,0;3,8;6,0;5,5;9,5;8,1;3,6;2,2;6,9;5,2;2,6;-4,8;..;22,5
