21.2.1.8. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;II.;263 681;2 073 640;1 794 075;334 471;4 309 268;913 488;471 796;283 532;307 592;525 785;545 398;1 102 736;198 748;1 362 273;8 259 397
;III.;243 685;2 129 617;1 850 473;325 558;4 340 696;916 561;479 410;284 675;308 020;526 180;545 139;1 102 748;202 714;1 373 638;8 302 005
;IV.;235 289;2 092 841;1 819 462;311 149;4 400 185;919 305;487 431;287 667;308 131;531 500;543 076;1 104 047;202 422;1 383 960;8 327 325
2008.;I.;377 841;2 089 604;1 836 047;297 525;4 374 158;919 183;468 752;286 275;306 964;532 970;581 161;1 109 888;208 187;1 389 755;8 404 960
;II.;415 780;2 071 897;1 792 537;307 454;4 356 399;915 310;466 545;288 354;306 525;528 733;567 251;1 102 231;206 164;1 400 538;8 455 458
;III.;417 918;1 983 100;1 745 148;295 145;4 351 515;911 102;449 090;290 207;305 692;529 739;556 631;1 113 365;204 284;1 395 126;8 439 044
;IV.;402 071;1 785 920;1 571 519;305 183;4 330 890;899 470;444 801;293 734;307 287;532 699;545 816;1 104 371;206 960;1 389 520;8 143 746
2009.;I.;358 375;1 722 446;1 416 548;292 877;4 178 308;766 329;431 465;304 352;310 200;534 790;550 251;1 093 317;196 194;1 319 527;7 808 329
;II.;352 320;1 676 689;1 391 975;304 171;4 203 862;773 691;420 653;306 874;307 817;539 135;542 012;1 106 810;196 819;1 312 234;7 810 306
;III.;367 119;1 701 811;1 448 448;281 258;4 179 412;751 869;420 928;309 971;308 038;549 890;541 886;1 102 298;196 400;1 306 340;7 810 002
;IV.;357 991;1 706 237;1 446 407;280 430;4 193 263;757 546;425 973;309 016;308 611;553 633;548 165;1 103 823;192 522;1 305 989;7 808 352
2010.;I.;278 747;1 765 817;1 509 503;262 919;4 207 958;743 723;440 337;306 559;292 376;579 662;543 501;1 110 438;198 258;1 301 855;7 809 659
;II.;270 739;1 814 640;1 541 752;257 627;4 240 645;736 160;444 694;307 070;291 984;593 831;554 818;1 112 323;198 338;1 304 691;7 873 524
;III.;280 436;1 846 217;1 591 509;264 304;4 266 768;751 098;442 895;309 983;290 252;597 318;565 335;1 112 746;195 605;1 312 072;7 936 481
;IV.;278 615;1 817 946;1 566 165;252 745;4 278 948;745 603;442 542;313 838;284 711;619 613;563 059;1 118 420;196 467;1 317 672;7 935 757
2011.;I.;320 379;1 819 071;1 571 667;267 211;4 317 359;750 422;453 086;317 429;283 414;617 117;572 934;1 126 370;198 369;1 327 233;8 006 272
;II.;315 222;1 802 223;1 554 195;267 077;4 324 587;754 791;449 481;321 184;282 011;621 260;574 195;1 129 069;198 341;1 329 937;8 002 617
;III.;326 158;1 778 855;1 548 190;254 552;4 338 809;757 944;438 745;323 502;279 702;631 416;569 025;1 136 569;199 289;1 328 419;8 019 833
;IV.;326 271;1 823 768;1 578 301;271 166;4 363 711;765 826;447 228;325 967;279 120;619 475;577 780;1 150 877;198 246;1 323 057;8 119 052
2012.;I.;287 798;1 813 718;1 572 442;248 965;4 350 585;775 925;434 356;326 487;275 855;617 754;576 088;1 151 220;194 018;1 312 123;7 976 214
;II.;244 424;1 797 809;1 569 367;251 409;4 360 232;777 017;447 442;326 518;272 597;617 545;573 516;1 154 839;193 833;1 304 932;7 926 011
;III.;234 563;1 789 739;1 556 416;250 889;4 388 953;775 306;458 483;327 126;270 426;621 306;574 946;1 162 287;192 709;1 302 482;7 950 585
;IV.;243 263;1 757 496;1 537 920;257 334;4 361 381;777 470;455 186;328 475;267 950;615 050;579 443;1 155 313;193 066;1 296 443;7 940 442
2013.;I.;280 271;1 723 495;1 499 771;249 143;4 451 940;789 582;459 237;331 920;263 992;626 685;583 503;1 211 747;195 225;1 284 407;7 956 212
;II.;288 433;1 731 070;1 510 915;264 467;4 485 338;807 218;453 427;335 388;263 036;625 431;594 474;1 214 469;194 834;1 288 898;8 035 467
;III.;293 903;1 756 184;1 532 479;272 936;4 527 759;823 915;460 859;339 879;260 295;620 346;608 479;1 215 151;199 074;1 286 466;8 158 254
;IV.;292 460;1 790 329;1 562 261;285 065;4 557 332;836 082;455 687;344 213;258 455;630 148;611 276;1 224 710;198 354;1 295 439;8 230 190
2014.;I.;311 346;1 804 304;1 584 949;286 331;4 573 290;854 480;466 240;348 639;259 345;627 084;617 444;1 219 294;199 995;1 313 247;8 295 679
;II.;342 027;1 846 328;1 611 693;289 153;4 616 877;861 377;468 869;352 414;257 720;624 886;626 100;1 226 794;204 377;1 318 330;8 405 514
;III.;342 121;1 874 140;1 654 102;294 233;4 635 146;872 145;472 896;355 087;257 175;625 338;633 367;1 219 277;201 444;1 332 746;8 484 353
