20.2.1.48. Fõbb kereseti adatok – munkáltatók teljes körénél, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
;augusztus;482 722;116,5;389 160;116,6;321 010;116,5;3 177,1;101,8;491 671;116,1;395 000;116,1;326 961;116,1;3 104,4;102,3
;szeptember;488 798;117,5;394 330;117,9;325 051;117,5;3 186,9;101,7;497 009;116,9;400 000;117,3;330 511;116,9;3 121,0;102,4
;október;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;
Havi kumulált adatok;;;;;;;;;;;;;;;;;
2022.;január–január;454 795;114,2;360 772;113,1;302 438;114,2;3 135,2;103,1;464 281;113,8;367 660;113,0;308 747;113,8;3 053,8;103,5
;január–február;490 902;122,7;362 047;113,9;326 450;122,7;3 142,4;103,0;501 345;122,4;369 500;114,0;333 395;122,4;3 060,9;103,4
;január–március;492 493;120,7;368 457;114,8;327 508;120,7;3 148,2;103,1;502 741;120,4;375 000;114,1;334 323;120,4;3 068,3;103,5
;január–április;492 380;119,2;371 712;114,7;327 432;119,2;3 155,0;103,2;502 557;118,9;377 419;114,1;334 201;118,9;3 075,3;103,5
;január–május;490 211;118,4;374 305;114,8;325 990;118,4;3 159,6;103,1;500 287;118,0;380 000;114,4;332 691;118,0;3 080,2;103,5
;január–június;489 949;117,8;376 000;114,6;325 816;117,8;3 163,2;103,0;499 963;117,5;381 743;114,2;332 475;117,5;3 084,0;103,3
;január–július;489 270;117,5;377 243;114,5;325 364;117,5;3 165,7;102,8;499 174;117,1;383 652;114,4;331 951;117,1;3 087,2;103,2
;január–augusztus;488 449;117,3;378 977;114,8;324 818;117,3;3 167,1;102,7;498 231;117,0;385 000;114,6;331 324;117,0;3 089,3;103,1
;január–szeptember;488 488;117,4;380 000;115,2;324 844;117,4;3 169,3;102,6;498 094;117,0;386 734;114,9;331 233;117,0;3 092,9;103,0
;január–október;;;;;;;;;;;;;;;;
;január–november;;;;;;;;;;;;;;;;
;január–december;;;;;;;;;;;;;;;;
Negyedéves kumulált adatok;;;;;;;;;;;;;;;;;
2019.;I.;341 496;110,9;267 897;112,8;227 095;110,9;3 125,1;101,2;350 936;109,9;274 188;111,4;233 372;109,9;3 015,4;102,5
;I–II.;348 303;110,6;272 848;112,8;231 621;110,6;3 129,0;100,9;357 695;109,6;279 850;111,9;237 867;109,6;3 022,3;102,2
;I–III.;348 726;110,8;275 000;112,6;231 903;110,8;3 128,2;100,8;357 709;109,9;281 420;112,1;237 877;109,9;3 023,5;101,9
;I–IV.;356 286;111,3;280 000;112,9;236 931;111,3;3 129,0;100,6;365 491;110,6;286 200;112,2;243 052;110,6;3 025,4;101,6
2020.;I.;372 957;109,2;295 887;110,4;248 016;109,2;3 077,1;98,5;381 703;108,8;300 000;109,4;253 832;108,8;2 987,3;99,1
;I–II.;382 981;110,0;300 000;110,0;254 682;110,0;2 933,8;93,8;392 333;109,7;305 000;109,0;260 901;109,7;2 845,3;94,1
;I–III.;383 064;109,8;301 455;109,6;254 738;109,8;2 931,0;93,7;392 575;109,7;308 806;109,7;261 062;109,7;2 841,2;94,0
;I–IV.;391 194;109,8;307 016;109,6;260 144;109,8;2 959,7;94,6;400 957;109,7;314 029;109,7;266 637;109,7;2 869,1;94,8
2021.;I.;407 981;109,4;321 039;108,5;271 307;109,4;3 053,2;99,2;417 561;109,4;328 585;109,5;277 678;109,4;2 965,8;99,3
;I–II.;415 757;108,6;328 118;109,4;276 479;108,6;3 072,2;104,7;425 531;108,5;334 230;109,6;282 978;108,5;2 984,3;104,9
;I–III.;416 207;108,7;330 000;109,5;276 777;108,7;3 089,8;105,4;425 823;108,5;336 654;109,0;283 172;108,5;3 002,8;105,7
;I–IV.;425 915;108,9;335 000;109,1;283 234;108,9;3 103,2;104,8;435 686;108,7;342 055;108,9;289 731;108,7;3 017,0;105,2
2022.;I.;492 493;120,7;368 457;114,8;327 508;120,7;3 148,2;103,1;502 741;120,4;375 000;114,1;334 323;120,4;3 068,3;103,5
;I–II.;489 949;117,8;376 000;114,6;325 816;117,8;3 163,2;103,0;499 963;117,5;381 743;114,2;332 475;117,5;3 084,0;103,3
;I–III.;488 488;117,4;380 000;115,2;324 844;117,4;3 169,3;102,6;498 094;117,0;386 734;114,9;331 233;117,0;3 092,9;103,0
;I–IV.;;;;;;;;;;;;;;;;
