21.2.1.14. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan kiigazítva, negyedévente [millió Ft];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;III.;4 187 129;878 250;142 316;5 235 541;680 975;5 893 009;1 746 306;x;x;2 429 453;8 293 598;3 024 872;637 072;3 646 334;3 497 470;614 149;4 125 089;x;x;x;7 659 011
;IV.;4 164 200;880 978;141 963;5 174 583;677 837;5 801 189;1 724 512;x;x;2 483 313;8 193 597;3 151 061;599 946;3 772 004;3 522 666;555 078;4 089 734;x;x;x;7 691 007
2005.;I.;4 176 217;885 667;146 269;5 188 909;676 299;5 860 054;1 715 344;x;x;2 382 482;8 155 788;3 173 113;637 441;3 817 564;3 455 590;613 932;4 051 198;x;x;x;7 766 022
;II.;4 230 310;904 452;147 999;5 303 359;687 403;5 971 522;1 798 651;x;x;2 376 269;8 308 475;3 413 024;656 099;4 068 337;3 686 145;638 275;4 334 735;x;x;x;7 912 771
;III.;4 246 584;914 465;150 773;5 311 175;692 406;5 982 040;1 819 236;x;x;2 445 079;8 390 326;3 499 213;655 853;4 146 699;3 808 754;633 558;4 459 446;x;x;x;7 971 888
;IV.;4 300 602;911 522;150 378;5 354 278;684 242;5 986 168;1 809 438;x;x;2 458 066;8 367 425;3 578 867;676 738;4 277 349;3 831 147;613 529;4 456 151;x;x;x;8 061 700
2006.;I.;4 308 656;932 400;138 930;5 418 161;697 065;6 122 646;1 862 750;x;x;2 395 849;8 497 979;3 767 863;831 394;4 588 616;4 097 355;724 312;4 799 039;x;x;x;8 131 071
;II.;4 317 547;915 337;138 693;5 380 257;681 758;6 034 717;1 807 862;x;x;2 411 981;8 386 572;3 897 502;858 708;4 747 088;4 104 351;712 190;4 827 381;x;x;x;8 240 740
;III.;4 334 137;900 185;137 762;5 355 853;672 457;5 986 213;1 821 013;x;x;2 517 875;8 444 766;4 036 842;867 553;4 902 612;4 271 672;733 313;5 028 770;x;x;x;8 287 924
;IV.;4 330 677;904 919;140 810;5 360 168;678 657;6 014 613;1 783 220;x;x;2 478 119;8 437 500;4 339 674;895 753;5 251 778;4 492 568;758 655;5 260 656;x;x;x;8 366 713
2007.;I.;4 353 370;810 300;140 088;5 328 000;674 940;5 974 041;1 915 550;x;x;2 543 270;8 411 580;4 539 065;919 783;5 455 903;4 711 276;812 252;5 497 034;x;x;x;8 270 387
;II.;4 350 495;818 364;141 909;5 302 763;693 133;5 971 875;1 875 963;x;x;2 395 574;8 312 770;4 618 270;941 278;5 557 790;4 704 258;851 702;5 567 472;x;x;x;8 259 443
;III.;4 364 398;827 415;141 373;5 322 861;708 472;6 004 895;1 860 105;x;x;2 345 877;8 309 452;4 776 410;974 455;5 746 118;4 843 119;917 795;5 795 668;x;x;x;8 303 965
;IV.;4 388 010;841 861;143 633;5 369 129;728 441;6 082 833;1 893 912;x;x;2 364 981;8 408 782;4 863 802;993 322;5 872 966;4 965 495;908 385;5 877 851;x;x;x;8 330 825
2008.;I.;4 383 273;833 237;129 110;5 346 597;743 270;6 076 382;1 917 138;x;x;2 519 578;8 492 862;5 325 819;988 660;6 323 684;5 421 904;888 155;6 275 536;x;x;x;8 409 653
;II.;4 357 330;832 699;138 425;5 332 178;745 880;6 064 877;1 892 891;x;x;2 632 567;8 625 081;5 168 427;995 009;6 165 365;5 356 942;874 594;6 251 889;x;x;x;8 460 588
;III.;4 298 535;838 464;138 290;5 286 013;752 060;6 038 431;1 900 905;x;x;2 392 704;8 428 754;4 973 767;1 035 823;6 002 013;5 061 103;954 805;6 063 858;x;x;x;8 443 811
;IV.;4 188 537;819 117;135 939;5 126 113;739 235;5 839 793;1 895 894;x;x;2 203 000;8 024 317;4 612 636;1 049 032;5 663 106;4 575 921;945 240;5 523 528;x;x;x;8 147 273
2009.;I.;4 092 161;829 433;135 692;5 051 973;742 825;5 775 186;1 765 109;x;x;1 905 952;7 717 370;4 151 264;1 051 738;5 191 382;4 067 713;942 030;4 961 242;x;x;x;7 810 005
;II.;4 042 121;824 324;135 856;5 017 150;752 197;5 764 785;1 766 988;x;x;1 753 551;7 552 847;4 186 050;1 056 403;5 239 967;4 028 174;897 022;4 923 801;x;x;x;7 810 517
;III.;3 966 496;811 242;135 378;4 893 597;758 385;5 642 773;1 708 217;x;x;1 891 787;7 549 156;4 401 586;1 054 739;5 453 486;4 290 873;937 452;5 269 423;x;x;x;7 808 989
;IV.;3 971 830;820 815;135 445;4 939 341;777 606;5 732 125;1 717 793;x;x;1 866 666;7 617 862;4 595 894;1 078 806;5 669 648;4 458 912;1 032 659;5 495 727;x;x;x;7 806 356
2010.;I.;3 973 893;803 683;135 258;4 914 493;776 147;5 688 883;1 610 425;x;x;1 817 942;7 545 964;4 575 452;1 139 495;5 707 232;4 482 639;920 045;5 364 040;x;x;x;7 806 920
;II.;3 937 972;815 080;135 245;4 880 517;774 927;5 648 650;1 608 891;x;x;1 913 933;7 550 980;4 821 236;1 118 928;5 942 798;4 636 775;916 311;5 553 795;x;x;x;7 870 325
;III.;3 967 325;820 470;133 377;4 937 232;774 723;5 716 025;1 591 172;x;x;1 902 373;7 653 024;4 985 380;1 095 364;6 071 928;4 900 332;911 066;5 846 055;x;x;x;7 933 130
;IV.;3 963 151;817 240;132 349;4 894 741;767 904;5 652 760;1 539 581;x;x;1 915 806;7 589 722;5 128 406;1 117 373;6 244 686;4 995 977;910 352;5 908 258;x;x;x;7 932 598
2011.;I.;3 972 962;828 411;133 774;4 934 967;771 197;5 702 845;1 611 380;x;x;1 896 191;7 624 220;5 279 506;1 133 019;6 415 584;5 048 074;958 328;5 977 472;x;x;x;8 003 600
;II.;4 008 209;817 805;133 930;4 956 504;769 045;5 718 681;1 551 888;x;x;1 871 027;7 586 995;5 111 556;1 184 259;6 299 114;4 904 244;928 419;5 833 791;x;x;x;8 000 558
;III.;4 013 642;814 855;136 066;4 990 882;768 319;5 767 766;1 539 476;x;x;1 749 609;7 552 586;5 165 922;1 196 181;6 355 464;4 938 854;946 477;5 913 939;x;x;x;8 018 482
;IV.;3 967 928;802 568;137 072;4 898 223;770 552;5 669 087;1 555 137;x;x;1 829 102;7 518 438;5 233 379;1 222 788;6 454 434;4 960 098;929 422;5 889 798;x;x;x;8 118 504
2012.;I.;3 940 454;796 270;137 579;4 869 334;762 821;5 621 705;1 557 268;x;x;1 899 794;7 529 697;5 177 131;1 178 169;6 353 413;4 964 664;908 676;5 855 246;x;x;x;7 976 581
;II.;3 904 239;794 355;136 640;4 825 098;769 061;5 589 833;1 499 803;x;x;1 666 934;7 282 527;5 129 892;1 171 319;6 302 363;4 770 570;889 861;5 662 425;x;x;x;7 926 430
;III.;3 880 548;795 342;136 850;4 805 182;776 288;5 580 134;1 508 706;x;x;1 748 816;7 338 299;5 108 630;1 175 065;6 273 166;4 763 590;910 526;5 697 199;x;x;x;7 950 221
;IV.;3 893 507;804 752;136 203;4 848 839;784 931;5 626 322;1 499 520;x;x;1 740 705;7 395 136;4 970 777;1 192 714;6 164 093;4 761 810;902 842;5 662 178;x;x;x;7 938 453
2013.;I.;3 887 899;802 144;137 614;4 827 305;799 730;5 636 455;1 512 584;x;x;1 678 290;7 404 463;5 062 494;1 233 781;6 291 531;4 810 010;947 051;5 740 761;x;x;x;7 951 749
;II.;3 885 985;805 657;139 909;4 830 826;807 824;5 646 992;1 598 653;x;x;1 819 135;7 498 002;5 192 783;1 256 942;6 449 786;4 938 212;1 003 875;5 940 771;x;x;x;8 029 336
;III.;3 897 272;803 740;139 787;4 830 050;817 204;5 641 058;1 681 250;x;x;1 822 454;7 457 409;5 371 539;1 274 345;6 634 238;4 972 120;957 107;5 950 341;x;x;x;8 151 273
;IV.;3 909 760;807 749;140 577;4 857 732;820 579;5 653 792;1 775 080;x;x;1 965 887;7 639 942;5 402 216;1 325 790;6 729 882;5 099 988;1 074 026;6 168 655;x;x;x;8 223 299
2014.;I.;3 936 660;809 497;138 443;4 881 842;850 389;5 742 595;1 840 221;x;x;1 990 029;7 725 492;5 587 814;1 385 728;6 969 567;5 324 710;1 067 838;6 377 407;x;x;x;8 289 813
;II.;3 978 905;810 896;138 205;4 935 676;868 984;5 817 528;1 857 338;x;x;2 123 402;7 969 168;5 607 284;1 441 413;7 048 366;5 545 939;1 105 710;6 652 060;x;x;x;8 400 455
;III.;4 003 679;814 176;138 839;4 951 231;872 091;5 815 946;1 894 118;x;x;2 098 062;7 913 885;5 773 247;1 462 427;7 229 586;5 564 929;1 077 984;6 663 801;x;x;x;8 479 925
;IV.;4 043 809;812 791;140 856;4 994 508;886 668;5 891 163;1 858 103;x;x;2 054 492;7 976 691;5 763 437;1 495 008;7 258 658;5 602 836;1 109 108;6 704 689;x;x;x;8 528 998
2015.;I.;4 077 946;823 098;144 643;5 050 384;879 810;5 927 453;1 807 182;x;x;1 976 023;7 903 647;5 955 135;1 517 953;7 470 867;5 569 601;1 128 580;6 685 247;x;x;x;8 670 944
