20.1.1.9. A foglalkoztatottak száma nemzetgazdasági ágak, ágazatok szerint, nemenként – TEÁOR'08 [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Mezõgazdaság, erdõ- gazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fém- alapanyag és fém- feldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármû- gyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Villamos- energia-, gáz-, gõzellátás, légkondicionálás D;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladék-gazdálkodás, szennyezõdés-mentesítés E";Építõipar F;Kereskedelem, gépjármû-javítás G;Ebbõl: kiskeres- kedelem 471–479;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészség- ügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S–U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
Nõ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;46,7;0,8;327,9;54,5;59,6;21,5;2,2;7,3;11,0;26,8;16,7;40,2;29,6;9,6;28,6;20,4;10,3;10,4;22,9;315,5;250,5;70,4;89,6;30,8;72,9;11,4;80,0;52,6;168,7;258,1;200,5;29,8;62,3;372,3;1 442,6;1 861,7;6,8;1 868,5
2010;43,1;1,1;332,3;55,5;55,2;21,2;2,2;8,5;12,1;25,3;15,6;47,4;29,3;8,3;31,0;20,5;11,4;9,6;23,9;315,8;257,2;68,6;89,2;35,4;67,1;11,2;77,2;51,6;173,4;258,0;209,8;32,3;63,0;378,2;1 452,6;1 874,0;5,9;1 879,9
2011;48,6;1,6;333,5;53,7;52,4;17,2;2,2;6,6;12,7;27,0;15,6;53,0;28,4;9,2;35,7;19,6;10,6;13,1;20,9;313,4;252,2;72,4;101,4;30,5;64,1;11,3;78,5;53,5;163,2;256,9;206,5;32,1;63,0;379,6;1 446,8;1 875,0;5,3;1 880,3
2012;51,3;1,2;318,4;53,9;50,0;15,5;1,8;6,2;14,6;28,0;13,4;42,1;24,1;9,7;37,9;21,3;9,4;16,3;23,2;323,5;259,7;69,0;100,3;32,0;65,3;10,9;83,2;57,4;170,7;254,4;219,5;35,0;63,7;368,4;1 485,0;1 904,8;4,5;1 909,3
2013;48,7;1,1;324,9;59,8;50,4;18,3;0,7;7,1;15,3;22,9;16,5;37,1;24,6;11,4;40,3;20,6;9,4;13,0;20,5;314,3;253,1;68,6;98,6;38,7;64,3;9,9;91,8;53,9;193,4;253,2;220,6;31,6;63,6;369,0;1 502,6;1 920,3;4,4;1 924,7
2014;50,6;2,2;338,8;64,6;47,3;22,1;0,8;10,3;11,6;23,8;19,2;37,7;24,1;11,8;44,4;21,3;10,1;12,9;19,8;320,0;259,3;72,1;102,7;37,6;63,8;11,2;90,7;62,2;212,5;259,4;225,3;31,5;68,1;383,9;1 556,9;1 991,3;10,4;2 001,7
2015;51,5;1,4;346,3;62,4;53,2;18,7;0,5;9,0;15,1;25,3;17,0;35,4;24,5;14,0;46,4;24,8;8,0;14,0;19,3;320,3;269,7;72,4;107,3;35,9;64,2;9,4;94,3;62,8;239,0;257,4;226,2;41,6;73,6;388,9;1 604,2;2 044,7;6,4;2 051,0
2016;58,1;1,9;359,2;61,3;48,3;16,7;1,5;10,6;15,4;27,4;14,4;39,7;30,0;18,1;51,1;24,8;9,4;12,0;20,6;324,8;271,9;69,3;109,5;41,7;65,7;11,4;87,6;69,2;258,3;266,5;235,8;43,5;69,7;403,2;1 652,9;2 114,1;5,4;2 119,5
2017;57,9;1,1;377,6;64,1;43,5;16,9;2,9;11,0;17,4;31,2;19,2;38,5;33,7;16,2;56,1;26,7;10,5;10,8;27,6;316,8;263,4;72,1;112,2;32,0;55,7;14,8;97,9;67,7;255,2;261,1;247,8;37,6;72,3;427,5;1 643,2;2 128,6;2,3;2 130,9
2018;56,5;1,7;386,3;60,0;44,2;24,3;1,2;10,2;16,8;28,3;20,6;41,4;30,4;15,4;65,2;28,4;10,9;12,0;27,3;326,1;264,3;72,6;104,1;29,9;60,0;15,3;96,6;68,0;238,1;275,4;253,7;45,5;77,0;438,1;1 662,2;2 156,8;3,3;2 160,2
2019;58,6;2,3;379,7;67,6;41,7;23,1;1,3;9,1;11,8;33,1;22,5;42,2;29,8;13,7;60,9;23,0;9,8;11,6;26,9;326,4;257,9;72,7;111,4;37,8;48,8;12,4;101,3;70,6;234,5;275,6;264,5;39,8;74,7;430,4;1 670,3;2 159,3;5,2;2 164,5
2020;58,6;1,8;368,7;66,9;35,4;21,3;1,2;8,3;13,4;30,2;21,7;43,7;26,8;15,9;61,5;22,5;8,1;11,3;29,1;320,7;250,0;68,5;100,5;41,2;54,2;13,1;101,8;67,6;233,2;268,0;273,6;40,3;76,8;419,1;1 659,5;2 137,2;4,0;2 141,2
2021;56,1;0,6;375,6;65,1;36,2;25,3;1,1;9,4;16,6;31,5;22,2;40,4;29,2;16,5;57,8;24,4;9,6;12,9;29,8;309,2;243,9;70,5;94,1;48,4;57,2;15,0;113,9;63,6;246,4;283,7;251,8;42,7;81,6;428,5;1 678,2;2 162,8;0,0;2 162,8
