22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Borsod-Abaúj-Zemplén;megye;9 790;9 907;10 243;10 267;10 367;9 939;10 049;9 699;9 682;9 877;9 518;9 625;9 632;9 608;9 612;9 331;9 627;9 487;9 437;10 306;11 216
Heves;megye;4 619;4 651;4 680;4 458;4 802;4 498;4 504;4 529;4 600;4 578;4 450;4 444;4 117;4 161;4 458;4 322;4 421;4 526;4 412;4 816;5 359
Nógrád ;megye;3 224;3 148;3 159;3 280;3 230;3 107;3 122;3 004;3 090;3 016;3 104;2 905;2 853;3 001;2 929;2 916;3 042;3 056;3 078;3 232;3 847
Észak-Magyarország;régió;17 633;17 706;18 082;18 005;18 399;17 544;17 675;17 232;17 372;17 471;17 072;16 974;16 602;16 770;16 999;16 569;17 090;17 069;16 927;18 354;20 422
Hajdú-Bihar;megye;6 641;6 676;6 788;6 605;6 857;6 606;6 721;6 652;6 387;6 383;6 252;6 270;6 183;6 307;6 506;6 173;6 450;6 773;6 716;7 021;8 107
Jász-Nagykun-Szolnok;megye;5 762;5 789;5 965;5 661;5 864;5 628;5 739;5 676;5 615;5 515;5 432;5 483;5 378;5 468;5 656;5 531;5 527;5 494;5 709;6 073;6 515
Szabolcs-Szatmár-Bereg;megye;7 064;7 078;7 272;6 973;7 348;7 013;7 028;6 986;6 818;6 813;6 505;6 671;6 509;6 589;6 951;6 838;6 788;6 977;6 670;7 720;8 388
Észak-Alföld;régió;19 467;19 543;20 025;19 239;20 069;19 247;19 488;19 314;18 820;18 711;18 189;18 424;18 070;18 364;19 113;18 542;18 765;19 244;19 095;20 814;23 010
Bács-Kiskun ;megye;7 265;7 297;7 709;7 121;7 459;7 150;7 202;7 124;7 025;7 211;7 061;7 102;6 988;7 093;7 169;6 929;7 206;6 972;6 973;7 595;8 650
Békés;megye;5 656;5 618;5 797;5 681;5 806;5 639;5 783;5 705;5 559;5 536;5 515;5 593;5 311;5 439;5 563;5 401;5 637;5 318;5 428;6 011;6 376
Csongrád-Csanád;megye;5 716;5 860;5 794;5 778;5 843;5 504;5 782;5 427;5 526;5 377;5 584;5 527;5 287;5 281;5 667;5 199;5 556;5 456;5 430;5 716;6 552
Dél-Alföld;régió;18 637;18 775;19 300;18 580;19 108;18 293;18 767;18 256;18 110;18 124;18 160;18 222;17 586;17 813;18 399;17 529;18 399;17 746;17 831;19 322;21 578
Alföld és Észak;nagyrégió;55 737;56 024;57 407;55 824;57 576;55 084;55 930;54 802;54 302;54 306;53 421;53 620;52 258;52 947;54 511;52 640;54 254;54 059;53 853;58 490;65 010
Ország összesen;ország;132 183;132 833;135 823;132 492;135 732;131 603;132 938;130 027;130 414;130 456;128 795;129 440;126 778;126 308;131 697;127 053;131 674;131 045;129 603;141 002;155 621
Természetes szaporodás, illetve fogyás (–);;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-10 020;-8 913;-9 267;-8 070;-7 531;-5 993;-5 838;-4 614;-4 895;-5 503;-5 905;-5 234;-5 303;-4 719;-5 742;-5 035;-6 251;-6 467;-6 269;-8 121;-9 262
Pest ;megye, régió;-1 176;-1 677;-1 603;-1 357;-1 448;-606;-1 133;-204;-644;-1 219;-1 820;-2 163;-2 249;-1 805;-2 699;-1 882;-2 709;-2 568;-2 150;-2 736;-4 504
