7.2.2.1. Az építõipari termelés értéke és volumenindexe a kivitelezõ székhelye, megye és régió szerint, havonta;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. január;2021. február;2021. március;2021. április;2021. május;2021. június;2021. július;2021. augusztus;2021. szeptember;2021. október;2021. november;2021. december;2022. január;2022. február;2022. március;2022. április;2022. május;2022. június;2022. július;2022. augusztus;2022. szeptember;2022. október;2022. november;2022. december
Zala;megye;127,1;135,4;114,5;90,3;184,9;106,6;98,8;130,4;115,7;148,7;91,3;92,9;132,3;96,6;108,1;115,9;99,9;78,6;103,6;96,5;103,2;91,5;;
Nyugat-Dunántúl;régió;91,7;90,4;103,7;87,0;131,3;125,4;102,0;121,1;104,0;126,5;97,1;112,5;134,1;111,9;116,5;103,1;101,0;85,6;109,1;96,2;97,7;97,2;;
Baranya;megye;106,8;69,3;101,9;119,1;126,4;129,7;108,3;147,9;127,4;185,2;109,0;141,1;107,6;137,7;150,6;103,5;134,5;116,9;110,4;101,2;99,6;66,2;;
Somogy;megye;142,3;75,0;131,3;152,2;109,0;180,4;110,7;132,6;125,4;115,4;124,5;116,2;125,2;115,8;91,3;90,2;115,6;63,5;102,3;122,2;90,2;102,9;;
Tolna ;megye;96,3;88,2;84,9;106,8;161,9;130,4;80,8;125,6;95,3;103,4;259,2;60,9;111,8;115,3;123,1;116,5;86,4;85,3;116,6;88,4;132,7;122,6;;
Dél-Dunántúl;régió;110,0;76,7;104,9;124,8;130,9;145,7;99,4;135,3;116,6;136,7;160,6;107,2;113,9;122,8;119,7;102,4;111,3;87,6;109,2;104,4;104,8;89,9;;
Dunántúl;nagyrégió;84,6;79,5;100,0;100,2;116,1;117,2;109,2;98,0;114,5;110,3;116,3;106,2;132,5;133,1;112,5;98,9;110,7;97,9;118,1;111,6;109,0;110,0;;
Borsod-Abaúj-Zemplén;megye;98,9;107,3;101,0;134,2;132,1;121,0;139,2;134,4;135,5;102,8;181,8;141,0;104,1;131,9;108,8;101,5;130,3;89,6;72,2;107,2;115,3;124,0;;
Heves;megye;124,5;84,0;110,1;86,9;170,1;117,3;109,4;125,0;119,5;163,4;115,7;137,7;114,8;135,4;116,6;129,0;87,2;99,0;100,8;102,2;101,1;79,0;;
Nógrád ;megye;99,8;85,1;92,2;100,2;129,5;135,8;118,3;116,7;106,3;100,4;91,5;133,7;125,0;154,6;130,8;123,5;107,0;89,9;101,3;111,7;104,9;96,8;;
Észak-Magyarország;régió;105,1;99,2;102,1;117,1;141,6;121,5;129,8;130,4;128,5;116,4;152,9;139,5;108,9;134,5;112,9;109,2;114,9;91,7;80,6;106,3;111,1;107,0;;
Hajdú-Bihar;megye;81,9;73,7;91,5;116,5;145,4;149,8;130,6;124,2;109,8;127,2;132,7;120,3;138,6;122,9;125,1;101,0;98,7;96,0;92,0;91,7;113,0;83,7;;
Jász-Nagykun-Szolnok;megye;95,7;116,3;122,0;122,6;136,9;125,6;97,1;86,8;106,6;93,0;87,6;99,7;113,5;122,5;117,3;106,7;99,0;87,6;103,6;71,0;88,8;82,4;;
Szabolcs-Szatmár-Bereg;megye;77,0;77,4;109,9;100,0;130,5;113,1;108,0;118,1;114,6;124,6;113,5;108,8;137,2;134,3;125,3;105,0;112,1;103,6;112,1;110,2;94,9;96,5;;
Észak-Alföld;régió;82,6;82,1;103,0;111,1;138,4;128,9;114,3;111,3;110,8;117,3;114,7;111,9;132,6;126,8;123,6;103,7;103,3;96,8;101,1;93,4;100,9;87,7;;
Bács-Kiskun ;megye;160,2;102,8;69,1;88,9;93,9;91,7;198,7;97,0;142,2;151,7;138,6;151,3;70,6;106,5;169,5;136,0;94,2;78,2;58,5;87,7;55,7;61,2;;
Békés;megye;102,8;95,9;105,1;101,4;125,9;110,1;119,4;139,3;116,0;133,3;84,3;100,1;127,7;120,4;144,5;98,0;112,0;91,5;87,4;88,5;95,1;101,3;;
Csongrád-Csanád;megye;343,4;68,7;69,6;84,9;142,9;128,2;81,5;111,9;122,7;100,1;92,5;159,8;73,1;107,2;152,0;113,0;79,5;105,9;141,7;113,0;95,9;111,3;;
Dél-Alföld;régió;205,7;91,8;73,1;89,5;104,5;99,7;156,3;103,5;134,5;137,1;120,0;144,4;75,4;109,1;159,9;124,6;92,5;85,7;73,3;93,1;68,4;74,3;;
Alföld és Észak;nagyrégió;139,8;89,5;88,1;102,3;119,3;111,8;136,3;110,4;125,3;126,4;124,3;130,7;93,0;121,9;136,0;113,4;100,0;90,4;82,9;95,8;86,1;84,3;;
Ország összesen;ország;111,9;86,0;103,8;94,1;114,2;121,4;118,8;111,3;117,5;113,6;116,7;128,2;105,2;134,7;112,1;98,8;107,4;94,4;103,3;97,5;95,4;99,6;;
