20.2.1.24. Foglalkoztatási ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
 15–24 éves";"Ebbõl:
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;;
;II.;1,2;31,9;70,9;75,0;76,5;76,6;73,7;68,2;40,5;9,4;3,6;0,9;46,7;17,1;58,6
;III.;1,6;33,3;70,8;74,7;77,4;76,0;73,4;68,6;40,7;9,0;3,0;0,9;46,8;18,0;58,7
;IV.;1,6;32,9;69,5;73,8;76,4;76,3;74,0;68,6;42,9;10,2;3,0;1,1;46,8;17,7;58,7
2010.;I.;1,5;32,7;68,5;73,5;75,8;76,9;74,6;68,9;43,9;9,4;3,3;1,2;46,8;17,6;58,6
;II.;1,9;31,6;68,6;74,7;76,1;77,1;76,0;68,7;45,6;9,3;3,6;1,1;47,1;17,2;59,0
;III.;2,1;31,9;68,6;74,0;75,1;77,6;74,8;70,7;47,9;9,4;3,9;1,0;47,3;17,5;59,2
;IV.;2,2;33,0;69,4;75,2;74,3;75,9;74,0;69,1;49,1;10,1;3,6;1,0;47,3;18,1;59,2
2011.;I.;1,8;31,4;68,7;74,9;72,8;75,5;72,8;68,2;50,1;10,1;3,5;1,1;46,8;17,1;58,6
;II.;1,4;31,4;68,7;75,6;73,6;76,7;75,2;67,7;49,7;11,1;3,8;1,2;47,2;16,9;59,1
;III.;1,5;33,3;67,2;75,8;74,3;77,1;74,6;69,3;50,1;11,7;4,0;1,5;47,5;17,9;59,5
;IV.;1,2;32,0;69,2;75,4;75,5;77,5;75,9;69,8;49,8;11,1;3,5;1,8;47,7;17,1;59,7
2012.;I.;1,1;31,4;68,7;74,0;74,6;78,3;75,3;69,7;48,6;11,1;3,8;1,1;47,2;16,9;59,1
;II.;1,5;31,8;68,8;75,5;75,4;79,7;77,0;72,6;50,2;11,6;3,7;1,3;48,2;17,3;60,3
;III.;1,7;34,0;71,3;77,6;76,6;79,2;77,8;74,9;50,5;11,6;3,9;1,1;49,1;18,6;61,5
;IV.;1,6;33,5;70,2;77,1;76,4;78,7;77,4;73,9;49,6;10,7;3,9;1,1;48,5;18,4;60,8
2013.;I.;1,3;31,0;70,4;76,4;76,3;78,0;77,0;72,4;48,9;11,1;3,4;1,0;47,9;17,0;60,1
;II.;2,0;31,5;71,4;77,4;77,9;78,0;78,5;73,7;51,0;10,6;3,9;0,8;48,7;17,7;61,1
;III.;2,4;32,7;70,4;77,9;79,2;79,8;77,8;74,4;52,1;10,9;4,2;0,3;49,2;18,6;61,7
;IV.;1,7;33,4;68,9;79,2;80,1;78,5;78,4;75,9;53,7;11,7;3,8;0,8;49,5;18,7;62,2
2014.;I.;2,7;34,6;70,8;80,3;81,1;80,4;79,9;76,6;55,1;11,7;3,3;0,8;50,4;19,9;63,3
;II.;2,8;36,3;71,6;78,3;80,5;80,1;81,1;77,2;56,6;12,9;3,2;0,9;50,7;20,9;63,7
;III.;3,4;37,0;72,9;78,2;80,2;81,5;83,8;79,4;57,7;13,7;3,3;1,2;51,5;21,6;64,6
;IV.;3,5;39,6;73,3;78,9;78,9;81,9;82,8;78,6;57,9;15,0;3,4;1,5;51,7;23,2;64,8
2015.;I.;2,4;39,2;72,9;80,1;79,3;82,1;82,1;78,2;58,2;15,3;3,5;1,4;51,6;22,5;64,9
;II.;2,4;41,0;73,4;79,6;80,1;83,3;83,0;80,1;60,6;16,3;4,0;1,4;52,5;23,5;66,0
;III.;2,8;43,1;73,5;80,3;81,5;83,4;83,5;81,3;60,5;18,6;3,8;1,2;53,2;24,8;66,9
;IV.;4,0;42,6;73,3;80,8;82,0;83,1;83,2;81,8;60,7;19,1;3,9;1,1;53,3;25,1;67,0
2016.;I.;3,0;43,5;75,2;81,2;81,5;83,9;81,7;80,9;62,2;19,9;4,0;1,1;53,5;25,2;67,4
;II.;3,7;41,2;75,8;82,6;83,8;85,6;84,5;82,0;64,4;22,4;3,7;1,1;54,6;24,2;68,9
;III.;4,9;44,6;75,9;82,3;84,0;85,2;85,1;82,4;65,8;22,5;3,8;1,7;55,2;26,5;69,5
;IV.;4,3;46,3;78,1;82,9;83,4;85,2;86,2;81,2;66,4;22,9;4,8;1,5;55,5;27,1;69,9
2017.;I.;4,1;45,9;76,6;82,7;82,0;84,2;87,2;80,9;65,0;21,8;4,2;2,2;54,9;26,8;69,3
;II.;4,3;45,0;76,8;82,0;82,1;85,8;86,5;81,4;66,5;22,3;4,5;2,0;55,1;26,3;69,6
;III.;4,7;43,3;77,3;83,6;84,1;86,6;87,5;80,6;67,1;23,4;4,0;2,3;55,6;25,5;70,3
;IV.;4,6;44,7;77,5;83,0;84,0;86,6;86,6;81,6;65,8;25,8;4,2;2,5;55,8;26,1;70,6
2018.;I.;4,7;41,7;77,3;82,6;84,2;86,0;86,2;82,8;69,2;25,5;4,8;2,9;55,9;24,6;70,6
;II.;3,7;44,9;77,5;82,8;84,2;87,7;87,3;84,7;67,9;26,2;3,9;3,5;56,5;25,8;71,5
;III.;5,8;46,2;76,7;82,8;84,8;86,8;87,2;84,3;68,3;26,8;5,2;2,7;56,7;27,3;71,7
;IV.;5,1;47,2;76,9;83,6;84,6;86,0;87,6;84,1;67,3;27,3;4,4;3,0;56,6;27,5;71,8
2019.;I.;4,6;43,7;78,3;83,6;84,9;86,6;87,2;83,2;67,1;27,3;5,9;2,8;56,5;25,3;71,7
;II.;4,0;42,7;79,5;84,2;85,2;86,5;87,3;83,4;68,9;27,3;7,1;3,1;56,9;24,4;72,1
;III.;4,1;44,6;80,0;83,4;84,8;86,3;88,7;80,6;69,3;27,8;6,2;3,2;56,8;25,4;72,3
;IV.;4,6;44,1;79,5;82,4;82,9;85,1;89,0;82,6;69,4;28,7;7,3;2,9;56,8;25,3;72,2
2020.;I.;4,2;46,1;78,4;79,0;83,2;84,5;86,0;83,2;71,4;28,9;8,1;2,6;56,5;26,1;71,9
;II.;3,0;42,3;76,3;78,2;83,5;82,9;85,4;83,2;68,6;31,0;9,1;3,8;55,9;23,4;71,1
;III.;5,0;44,8;77,9;79,1;82,2;84,9;85,9;84,6;71,0;31,0;7,2;3,3;56,6;25,7;72,3
;IV.;3,1;42,3;77,9;79,1;82,4;83,7;86,1;85,5;70,7;33,2;7,9;2,7;56,4;23,4;72,3
2021.;I.;2,8;41,2;76,0;76,4;81,1;83,9;84,3;84,9;71,8;32,5;9,0;2,9;55,8;22,6;71,5
;II.;2,9;42,2;77,3;79,6;82,4;86,0;87,1;85,5;74,7;33,2;8,5;3,1;57,1;23,0;73,3
;III.;4,4;44,2;77,4;81,6;83,3;86,6;87,4;85,4;76,6;33,6;9,7;3,3;57,9;24,7;74,2
;IV.;4,3;45,6;78,6;82,0;84,5;87,6;88,2;85,1;74,9;34,7;10,6;3,2;58,4;25,3;74,9
2022.;I.;3,8;44,9;78,5;83,1;83,2;86,4;88,6;85,1;76,1;34,6;9,6;4,0;58,2;24,7;74,8
;II.;3,4;43,6;78,8;83,5;84,1;86,7;88,7;86,9;77,0;34,4;9,5;4,2;58,5;23,8;75,3
;III.;5,0;46,1;77,1;83,2;85,1;87,6;88,2;86,5;77,3;35,1;9,5;3,9;58,8;25,9;75,5
;IV.;;;;;;;;;;;;;;;
