21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;II.;381 738;2 097 444;1 844 572;305 538;4 378 059;941 245;823 164;120 028;469 044;287 017;318 133;513 196;564 133;1 099 435;477 785;342 218;291 344;211 099;1 395 828;8 470 243
;III.;575 669;1 986 796;1 727 861;334 405;4 373 296;930 595;801 612;128 835;452 957;286 374;310 192;532 832;560 099;1 113 312;487 985;350 525;286 016;207 546;1 452 668;8 660 501
;IV.;411 808;1 914 933;1 657 050;386 861;4 558 234;1 024 672;908 815;120 202;490 213;315 842;276 549;565 377;566 290;1 129 430;484 444;358 710;300 479;217 236;1 434 801;8 649 360
2009.;I.;226 293;1 616 029;1 328 886;173 122;3 916 824;616 965;522 408;93 334;385 827;289 121;324 442;528 785;529 619;1 055 575;463 496;324 279;277 713;178 059;1 224 289;7 133 724
;II.;318 803;1 673 945;1 416 564;302 738;4 221 322;795 426;681 781;113 272;420 986;296 340;319 605;530 232;539 101;1 119 062;490 572;344 440;295 069;206 003;1 301 739;7 797 240
;III.;515 871;1 701 279;1 445 096;320 872;4 205 764;763 345;633 519;126 432;423 914;309 134;313 541;550 594;544 970;1 102 439;489 737;338 374;283 452;199 335;1 357 948;8 016 583
;IV.;374 838;1 834 457;1 528 837;362 004;4 410 934;873 699;763 568;111 945;468 292;335 617;277 079;567 836;568 624;1 129 173;490 252;351 056;300 708;198 537;1 354 606;8 302 324
2010.;I.;178 781;1 636 169;1 368 944;154 005;3 940 087;599 971;514 475;85 173;393 857;283 896;300 772;575 857;516 607;1 082 119;489 441;329 099;269 624;180 681;1 206 296;7 120 573
;II.;244 588;1 829 980;1 587 505;253 455;4 250 910;740 011;639 159;101 008;442 875;291 728;304 509;587 231;555 058;1 123 968;506 071;343 093;282 038;210 589;1 284 957;7 857 930
;III.;394 925;1 841 123;1 600 039;299 847;4 300 527;775 902;657 642;116 909;447 542;311 729;298 110;601 621;568 580;1 102 750;500 535;337 034;271 179;197 684;1 368 371;8 148 772
;IV.;290 243;1 978 560;1 689 652;330 288;4 502 795;860 701;759 170;103 685;486 194;350 096;255 931;625 715;586 468;1 145 089;508 013;351 470;295 561;199 714;1 370 525;8 458 924
2011.;I.;207 515;1 700 360;1 449 139;157 441;4 039 948;613 730;526 164;87 231;402 648;292 832;288 941;608 706;546 512;1 103 923;498 174;332 792;279 394;176 869;1 227 647;7 322 848
;II.;283 872;1 816 961;1 591 553;256 327;4 327 398;755 957;651 604;104 356;444 606;304 424;294 811;612 968;577 798;1 132 147;506 922;345 757;287 408;206 838;1 303 429;7 973 271
;III.;456 992;1 778 785;1 557 701;284 147;4 381 616;778 460;657 578;119 292;448 193;324 544;287 444;647 273;565 727;1 127 306;507 411;343 409;283 812;203 491;1 386 485;8 251 034
;IV.;339 651;1 964 046;1 687 031;362 091;4 595 505;880 836;778 367;104 808;493 092;366 281;253 051;620 320;603 898;1 179 508;516 701;359 788;314 231;207 047;1 384 921;8 628 710
2012.;I.;193 478;1 698 120;1 457 757;143 620;4 069 245;640 087;551 791;88 345;381 626;300 008;281 883;613 583;548 730;1 128 518;506 627;340 120;288 918;170 985;1 230 658;7 315 958
;II.;228 921;1 801 327;1 592 251;233 902;4 356 458;777 187;671 248;106 046;436 443;309 119;285 466;611 353;578 759;1 160 547;514 148;360 969;295 157;198 597;1 275 168;7 880 200
;III.;335 407;1 751 805;1 536 399;286 132;4 439 528;795 193;675 561;119 380;473 691;330 380;276 417;633 407;574 723;1 161 502;518 797;358 964;292 524;198 219;1 360 090;8 157 714
;IV.;252 240;1 875 089;1 619 865;344 943;4 595 920;893 252;787 990;105 981;503 707;369 100;243 063;613 311;601 781;1 173 092;505 851;364 627;315 622;205 825;1 365 760;8 419 719
2013.;I.;186 924;1 587 928;1 353 744;140 155;4 158 469;643 767;561 472;82 240;402 843;301 527;271 269;631 781;548 105;1 188 076;549 176;343 557;299 807;171 676;1 201 592;7 252 816
;II.;268 472;1 745 807;1 538 969;244 685;4 471 520;793 377;692 440;100 867;438 768;316 321;276 769;621 113;601 928;1 227 984;559 894;370 983;305 000;197 701;1 263 259;7 983 664
;III.;409 039;1 733 765;1 529 221;307 944;4 583 195;845 231;729 011;116 415;481 149;345 343;264 720;618 525;615 868;1 212 702;555 833;361 384;302 348;203 636;1 331 671;8 387 922
