21.1.3.1. A GDP nagysága (folyó áron) – ESA2010 [milliárd euró];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Magyarország;51,2;60,0;71,8;75,4;83,9;91,1;92,2;102,4;108,4;94,6;99,8;102,2;100,3;102,3;106,3;112,8;116,3;127,0;136,1;146,1;137,4;154,1
Málta;4,4;4,6;4,7;4,8;4,9;5,2;5,4;5,8;6,2;6,3;6,8;6,9;7,4;7,9;8,8;10,0;10,5;11,9;13,0;14,0;13,1;14,7
Németország;2 109,1;2 172,5;2 198,1;2 211,6;2 262,5;2 288,3;2 385,1;2 499,6;2 546,5;2 445,7;2 564,4;2 693,6;2 745,3;2 811,4;2 927,4;3 026,2;3 134,7;3 267,2;3 367,9;3 473,4;3 367,6;3 570,6
Olaszország;1 241,5;1 304,1;1 350,3;1 394,7;1 452,3;1 493,6;1 552,7;1 614,8;1 637,7;1 577,3;1 611,3;1 648,8;1 624,4;1 612,8;1 627,4;1 655,4;1 695,8;1 736,6;1 771,4;1 796,6;1 657,0;1 775,4
Portugália;128,4;135,8;142,6;146,1;152,2;158,6;166,3;175,5;179,1;175,4;179,6;176,1;168,3;170,5;173,1;179,7;186,5;195,9;205,2;214,4;200,1;211,3
Románia;40,6;45,1;48,7;51,1;60,4;79,2;97,2;127,6;146,6;125,2;125,5;131,8;132,7;143,7;150,7;160,1;170,1;187,8;204,5;223,2;218,9;240,2
Spanyolország;647,9;701,0;749,6;802,3;859,4;927,4;1 003,8;1 075,5;1 109,5;1 069,3;1 072,7;1 063,8;1 031,1;1 020,3;1 032,2;1 077,6;1 113,8;1 161,9;1 203,3;1 244,4;1 121,9;1 205,1
Svédország;285,2;270,5;283,6;296,3;310,2;315,8;337,3;358,9;354,9;314,6;374,7;412,8;430,0;441,9;438,8;455,5;466,3;480,0;470,7;476,9;480,6;537,8
Szlovákia;22,4;23,9;26,3;30,1;34,8;39,4;45,6;56,3;66,1;64,1;68,5;71,5;73,4;74,2;76,1;79,9;81,0;84,4;89,4;94,0;92,1;97,1
Szlovénia;21,9;23,2;25,0;26,2;27,7;29,1;31,5;35,1;37,9;36,3;36,4;37,1;36,3;36,5;37,6;38,9;40,4;43,0;45,9;48,4;46,9;52,0
EU27_2020;7 869,4;8 241,9;8 538,8;8 767,5;9 167,9;9 560,8;10 112,4;10 738,8;11 085,3;10 587,6;10 980,3;11 323,9;11 391,8;11 520,2;11 783,9;12 214,6;12 552,5;13 076,0;13 531,5;14 017,2;13 415,7;14 475,7
Egyesült Királyság;1 803,0;1 836,0;1 889,7;1 820,2;1 947,8;2 047,8;2 167,0;2 267,3;2 019,3;1 745,4;1 880,9;1 922,3;2 116,8;2 112,1;2 325,0;2 665,4;2 469,0;2 391,1;2 459,4;2 572,9;2 415,4;2 695,2
Észak-Macedónia;4,1;4,1;4,2;4,4;4,6;5,0;5,5;6,1;6,8;6,8;7,1;7,5;7,6;8,1;8,6;9,1;9,7;10,0;10,7;11,3;10,6;11,7
Norvégia;185,8;194,4;207,9;202,5;213,0;248,5;275,4;293,2;317,0;278,2;323,8;358,3;396,5;393,4;375,9;347,6;333,5;353,3;370,3;361,7;318,1;407,5
Oroszország;301,3;367,0;391,2;409,2;510,6;659,6;847,6;1 019,8;1 217,3;944,4;1 235,4;1 470,3;1 705,7;1 723,9;1 551,1;1 220,6;1 154,7;1 392,9;1 402,7;1 507,7;1 293,1;..
Svájc;303,4;320,9;329,5;321,4;326,6;338,2;353,8;360,7;389,1;402,2;455,9;520,2;538,4;536,6;553,9;632,8;628,7;624,0;622,7;653,7;659,7;687,1
Szerbia;28,5;14,6;18,2;19,9;21,0;22,3;25,9;31,6;35,7;32,5;31,5;35,4;33,7;36,4;35,5;35,7;36,8;39,2;42,9;46,0;46,8;53,3
Törökország;298,4;224,3;251,5;278,6;328,0;405,6;439,9;496,9;526,0;465,2;584,9;601,0;683,6;719,7;707,0;777,0;785,6;760,5;658,5;679,1;626,6;685,8
India;510,5;540,7;535,5;523,7;558,4;653,4;732,6;857,1;858,2;932,5;1 245,8;1 346,4;1 449,6;1 441,5;1 538,5;1 934,4;2 069,6;2 324,2;2 339,4;2 581,4;..;..
Izrael;144,0;146,0;128,1;112,7;109,1;114,7;122,8;130,8;147,9;149,6;177,4;188,6;201,2;221,5;234,5;270,5;288,4;314,8;316,2;355,5;357,0;407,1
Japán;5 382,7;4 891,9;4 442,5;4 000,7;3 937,8;3 891,2;3 665,0;3 344,4;3 462,3;3 797,3;4 349,0;4 483,1;4 883,2;3 923,3;3 697,6;4 005,9;4 528,8;4 364,9;4 266,1;4 577,4;4 416,5;4 172,3
Kína;1 316,6;1 495,5;1 555,2;1 467,8;1 571,8;1 837,3;2 192,3;2 592,6;3 122,6;3 657,9;4 593,8;5 424,0;6 644,9;7 262,6;7 862,0;9 878,5;10 152,0;10 906,2;11 773,4;12 809,3;12 901,9;..
Koreai Köztársaság;624,5;612,2;667,6;621,7;638,6;751,8;839,0;856,0;718,7;679,9;863,4;901,2;994,8;1 032,3;1 117,9;1 319,5;1 355,6;1 437,8;1 461,2;1 474,3;1 436,7;1 519,5
Dél-afrikai Köztársaság;148,1;136,1;122,9;155,4;184,4;207,0;215,6;218,4;196,5;214,8;283,3;299,5;308,4;275,8;264,2;285,8;268,0;309,2;312,1;313,9;265,1;..
Egyiptom;108,3;103,8;91,3;65,2;66,0;78,5;90,1;101,3;117,8;141,5;169,8;174,2;214,7;203,7;226,4;285,6;244,4;172,1;210,9;282,6;323,4;..
Brazília;712,9;624,5;533,7;495,1;538,4;714,9;881,5;1 021,4;1 163,1;1 204,4;1 666,7;1 881,1;1 919,5;1 858,5;1 851,6;1 620,3;1 625,8;1 826,6;1 625,7;1 674,2;..;..
Egyesült Államok;11 098,9;11 815,5;11 557,9;10 127,7;9 821,7;10 480,8;11 003,2;10 561,3;10 042,1;10 380,0;11 351,7;11 206,7;12 651,0;12 682,2;13 210,9;16 409,2;16 889,6;17 243,2;17 381,2;19 091,2;18 292,5;19 443,7
Kanada;807,0;825,6;804,5;793,3;826,2;942,3;1 051,2;1 074,8;1 062,6;991,4;1 220,5;1 289,2;1 422,8;1 390,1;1 360,7;1 403,1;1 381,8;1 461,5;1 458,9;1 555,5;1 442,3;1 681,6
Mexikó;766,2;844,5;813,7;644,2;628,9;705,0;776,3;768,3;758,3;647,0;798,6;848,3;935,8;959,5;990,3;1 054,3;974,0;1 028,4;1 036,1;1 134,4;952,6;1 092,9
Ausztrália;444,6;436,3;461,8;496,8;546,9;611,8;652,6;720,9;723,7;735,0;983,1;1 112,3;1 238,4;1 160,3;1 102,8;1 121,8;1 182,1;1 251,0;1 232,0;1 229,7;1 249,0;1 449,4
Új-Zéland;59,1;60,4;66,4;74,3;82,5;92,3;88,8;100,2;91,2;87,8;110,7;121,0;137,1;143,6;151,7;160,3;170,8;182,9;179,5;190,6;186,3;211,3
