22.1.2.13. Állandó belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Bács-Kiskun ;megye;10 680;11 517;11 682;10 293;11 119;12 611;12 221;11 715;10 257;9 667;9 863;9 405;9 688;10 476;10 293;11 789;12 549;13 298;12 927;12 286;14 504
Békés;megye;7 357;8 369;8 306;7 411;7 949;8 988;8 788;8 475;7 275;6 814;6 634;6 156;6 342;6 977;6 680;7 910;8 128;8 625;8 617;8 179;9 232
Csongrád-Csanád;megye;7 927;8 636;9 436;7 808;7 820;8 797;8 931;8 462;7 330;6 920;6 959;6 931;7 242;7 502;7 803;9 336;9 421;10 138;9 991;9 295;10 649
Dél-Alföld;régió;25 964;28 522;29 424;25 512;26 888;30 396;29 940;28 652;24 862;23 401;23 456;22 492;23 272;24 955;24 776;29 035;30 098;32 061;31 535;29 760;34 385
Alföld és Észak;nagyrégió;88 601;96 011;99 855;89 045;93 693;105 431;104 234;99 222;87 590;82 652;82 123;78 023;78 800;87 705;86 183;100 336;104 152;109 957;112 156;104 060;119 038
Ország összesen;ország;216 853;232 717;242 537;218 567;222 275;253 562;255 221;242 191;213 159;202 158;200 640;192 488;192 038;214 707;218 298;255 126;265 383;279 499;283 096;264 891;307 028
Állandó belföldi vándorlási különbözet;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-13 987;-11 068;-11 738;-10 685;-6 264;-4 805;-1 616;-2 782;40;2 225;2 046;2 154;3 933;5 448;1 569;-3 230;-3 315;-5 920;-7 719;-8 635;-10 035
Pest ;megye, régió;14 725;15 370;17 598;15 673;13 536;15 285;15 859;14 692;11 250;7 320;6 765;5 261;4 646;5 581;8 351;12 232;13 450;14 939;14 037;12 960;16 231
Közép-Magyarország;nagyrégió;738;4 302;5 860;4 988;7 272;10 480;14 243;11 910;11 290;9 545;8 811;7 415;8 579;11 029;9 920;9 002;10 135;9 019;6 318;4 325;6 196
Fejér;megye;959;717;904;922;712;507;490;665;82;95;274;196;-121;-285;423;728;1 154;1 481;1 754;1 511;1 642
Komárom-Esztergom;megye;526;281;99;292;124;256;130;308;-167;-43;32;-114;-138;-132;105;655;210;450;496;313;218
Veszprém;megye;-40;23;-285;-422;-242;-276;-426;-329;-232;-277;-79;-73;-185;-178;-100;149;107;37;210;656;481
Közép-Dunántúl;régió;1 445;1 021;718;792;594;487;194;644;-317;-225;227;9;-444;-595;428;1 532;1 471;1 968;2 460;2 480;2 341
Gyõr-Moson-Sopron;megye;939;906;1 031;1 218;995;1 045;1 288;1 457;921;776;1 106;1 366;1 245;1 310;1 493;1 588;1 658;2 405;2 193;2 064;2 152
Vas;megye;284;-10;177;92;25;-25;-118;193;-28;36;122;130;97;311;149;361;456;530;545;466;596
Zala;megye;138;-11;132;95;-172;-165;-157;-68;-477;-102;-246;-47;-222;-153;-63;-152;17;30;100;68;330
Nyugat-Dunántúl;régió;1 361;885;1 340;1 405;848;855;1 013;1 582;416;710;982;1 449;1 120;1 468;1 579;1 797;2 131;2 965;2 838;2 598;3 078
Baranya;megye;-91;-136;-389;-233;-268;-188;-249;-482;-321;-451;-420;-522;-360;-334;-592;-576;-389;-567;-467;-343;-412
Somogy;megye;195;228;230;20;-350;-440;-811;-415;-245;-89;-228;-233;-285;-524;-560;-270;-297;-185;-132;421;341
Tolna ;megye;-115;-358;-380;-533;-625;-941;-917;-775;-660;-588;-577;-556;-512;-661;-579;-730;-950;-751;-663;-733;-650
Dél-Dunántúl;régió;-11;-266;-539;-746;-1 243;-1 569;-1 977;-1 672;-1 226;-1 128;-1 225;-1 311;-1 157;-1 519;-1 731;-1 576;-1 636;-1 503;-1 262;-655;-721
Dunántúl;nagyrégió;2 795;1 640;1 519;1 451;199;-227;-770;554;-1 127;-643;-16;147;-481;-646;276;1 753;1 966;3 430;4 036;4 423;4 698
Borsod-Abaúj-Zemplén;megye;-1 683;-2 380;-3 015;-2 668;-3 133;-3 471;-4 079;-3 611;-2 972;-2 416;-2 580;-2 271;-2 282;-2 646;-2 768;-2 780;-3 253;-3 484;-3 219;-2 979;-3 673
Heves;megye;367;45;26;-21;-70;-206;-641;-741;-607;-628;-513;-634;-523;-524;-350;-282;-152;-40;190;405;298
Nógrád ;megye;52;-71;-152;-224;-255;-472;-945;-799;-661;-629;-576;-325;-531;-636;-679;-357;-539;-597;-204;-1;-118
Észak-Magyarország;régió;-1 264;-2 406;-3 141;-2 913;-3 458;-4 149;-5 665;-5 151;-4 240;-3 673;-3 669;-3 230;-3 336;-3 806;-3 797;-3 419;-3 944;-4 121;-3 233;-2 575;-3 493
Hajdú-Bihar;megye;-572;-403;-764;-505;-838;-1 187;-1 063;-1 023;-940;-800;-868;-872;-755;-1 360;-1 233;-1 440;-1 499;-1 364;-1 340;-1 163;-1 508
Jász-Nagykun-Szolnok;megye;-442;-625;-771;-713;-940;-1 626;-1 732;-1 316;-1 146;-1 004;-945;-860;-821;-1 072;-1133;-842;-1 209;-892;-845;-675;-785
Szabolcs-Szatmár-Bereg;megye;-1 155;-1 787;-2 034;-1 419;-1 383;-2 118;-2 773;-2 891;-1 977;-1 700;-1 790;-1 664;-1 801;-2 162;-2375;-2 851;-3 372;-3 686;-3 210;-3 062;-3 556
Észak-Alföld;régió;-2 169;-2 815;-3 569;-2 637;-3 161;-4 931;-5 568;-5 230;-4 063;-3 504;-3 603;-3 396;-3 377;-4 594;-4 741;-5 133;-6 080;-5 942;-5 395;-4 900;-5 849
Bács-Kiskun ;megye;530;2;221;225;29;-365;-545;-715;-671;-759;-655;-366;-411;-836;-476;-512;-770;-690;-406;2;3
Békés;megye;-459;-925;-879;-843;-745;-1 167;-1 593;-1 447;-954;-876;-836;-547;-625;-991;-710;-1 245;-1 230;-1 206;-1 156;-1 067;-944
Csongrád-Csanád;megye;-171;202;-11;-271;-136;359;-102;79;-235;-90;-32;-23;-349;-156;-472;-446;-77;-490;-164;-208;-611
Dél-Alföld;régió;-100;-721;-669;-889;-852;-1 173;-2 240;-2 083;-1 860;-1 725;-1 523;-936;-1 385;-1 983;-1 658;-2 203;-2 077;-2 386;-1 726;-1 273;-1 552
Alföld és Észak;nagyrégió;-3 533;-5 942;-7 379;-6 439;-7 471;-10 253;-13 473;-12 464;-10 163;-8 902;-8 795;-7 562;-8 098;-10 383;-10 196;-10 755;-12 101;-12 449;-10 354;-8 748;-10 894
Ország összesen;ország;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Megyén belüli állandó belföldi vándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Pest ;megye, régió;11 744;12 425;13 386;12 342;11 876;14 461;15 418;14 567;12 866;12 031;11 903;11 719;11 018;12 753;13 254;17 144;18 186;19 505;19 038;17 648;21 181
Közép-Magyarország;nagyrégió;11 744;12 425;13 386;12 342;11 876;14 461;15 418;14 567;12 866;12 031;11 903;11 719;11 018;12 753;13 254;17 144;18 186;19 505;19 038;17 648;21 181
Fejér;megye;6 187;6 686;7 004;6 205;6 092;7 636;7 426;6 895;5 625;5 418;5 354;4 877;5 101;5 624;5 913;7 341;7 590;7 644;7 896;7 419;8 235
Komárom-Esztergom;megye;3 978;4 522;4 808;4 565;4 439;5 208;5 320;5 120;3 859;3 618;3 809;3 661;3 374;3 918;4 106;5 046;5 461;5 506;5 711;5 122;6 068
Veszprém;megye;6 000;6 694;6 905;5 701;5 766;6 501;6 501;5 954;5 111;4 653;4 891;4 482;4 578;5 069;5 491;6 365;6 576;6 803;6 921;6 486;7 631
Közép-Dunántúl;régió;16 165;17 902;18 717;16 471;16 297;19 345;19 247;17 969;14 595;13 689;14 054;13 020;13 053;14 611;15 510;18 752;19 627;19 953;20 528;19 027;21 934
Gyõr-Moson-Sopron;megye;5 813;6 626;6 917;6 220;6 287;7 696;7 554;7 292;6 083;5 879;5 893;5 629;5 965;6 808;7 245;8 132;8 356;8 854;8 830;9 382;10 156
Vas;megye;3 478;3 890;4 196;3 739;4 009;4 254;4 034;3 878;3 354;3 151;3 268;3 255;3 322;3 735;3 685;4 532;4 257;4 676;4 628;4 567;5 030
