kiskereskedelem 471–479";Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlan-ügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S-U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;II.;57,3;2,4;363,5;64,7;35,6;20,3;0,9;8,7;11,6;27,9;21,8;46,4;29,0;14,6;61,3;20,7;9,9;12,1;30,9;315,4;247,7;74,8;91,6;44,1;52,4;14,2;99,7;62,2;239,7;268,7;273,0;40,4;66,1;418,9;1 642,3;2 118,5;5,0;2 123,4
;III.;58,2;1,8;375,5;72,0;33,9;21,4;1,7;6,8;14,5;30,3;20,0;43,3;27,4;18,4;62,3;23,4;5,3;10,8;30,3;327,6;249,3;66,6;104,2;42,6;54,1;13,6;100,5;66,3;229,1;272,3;269,4;40,5;77,4;423,7;1 664,4;2 146,3;3,3;2 149,6
;IV.;60,1;0,8;361,7;65,3;34,6;21,8;1,1;7,5;16,3;29,4;21,0;41,7;22,6;15,9;61,2;23,3;7,1;11,7;26,8;318,3;247,2;61,4;96,8;40,9;59,6;14,3;106,9;68,1;237,9;269,3;276,1;40,3;81,3;408,2;1 671,1;2 139,3;3,2;2 142,5
2021.;I.;55,3;0,7;356,4;63,9;33,1;22,4;0,7;8,8;15,6;29,1;19,1;37,9;27,8;14,9;61,2;22,0;8,9;14,7;29,7;304,1;242,0;69,0;78,7;44,7;55,1;12,4;110,6;62,8;248,5;283,1;256,0;41,9;79,0;410,4;1 645,7;2 111,5;0,0;2 111,5
;II.;54,4;0,9;368,7;63,9;33,7;25,1;0,7;10,3;17,4;29,8;20,9;42,3;28,0;15,7;54,8;25,9;8,5;13,5;30,5;310,2;247,7;68,2;98,7;45,0;58,8;14,9;120,8;62,3;244,8;285,6;247,7;41,1;80,9;422,1;1 678,9;2 155,5;0,0;2 155,5
;III.;58,0;0,3;384,3;64,3;36,9;26,4;1,9;9,1;17,0;33,6;24,0;41,6;29,4;17,9;58,4;23,9;10,6;12,4;30,1;312,6;244,0;70,9;102,0;49,7;56,3;16,5;110,7;64,3;246,3;281,0;252,5;43,4;82,6;437,7;1 688,6;2 184,3;0,0;2 184,3
;IV.;56,6;0,3;392,8;68,1;41,4;27,1;1,2;9,4;16,5;33,5;24,7;39,7;31,4;17,4;56,8;25,7;10,5;11,1;29,0;309,9;241,8;73,8;97,2;54,4;58,8;16,4;113,7;65,2;245,8;285,2;251,0;44,2;84,0;443,7;1 699,5;2 199,7;0,0;2 199,7
2022.;I.;49,8;0,4;382,0;66,6;39,3;24,1;1,3;9,8;17,6;33,8;21,9;37,5;28,1;19,6;59,4;23,1;10,9;12,1;30,5;315,0;241,3;73,5;98,5;49,2;60,1;16,0;119,2;63,8;253,2;281,2;249,8;44,1;83,3;435,9;1 706,7;2 192,4;0,0;2 192,4
;II.;52,1;1,4;387,4;66,1;41,7;26,1;0,9;9,5;16,0;34,1;21,0;40,9;30,9;20,8;57,5;22,1;10,1;11,5;26,4;307,9;239,7;75,2;101,8;44,9;64,6;18,5;126,6;67,0;252,4;286,1;244,3;42,0;81,5;436,8;1 712,7;2 201,6;0,0;2 201,6
;III.;55,1;1,1;381,4;64,8;38,4;22,4;0,5;11,0;14,7;35,8;25,5;45,1;26,6;20,5;54,9;21,1;12,1;12,6;27,3;319,6;252,7;72,5;104,5;43,1;68,2;19,2;119,5;62,6;239,6;280,9;251,3;41,8;96,6;434,6;1 719,3;2 209,0;0,0;2 209,0
;IV.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
