kiskereskedelem 471–479";Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlan-ügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S-U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;II.;198,9;5,6;980,9;143,2;41,8;70,0;4,1;28,7;36,2;88,0;122,0;86,8;58,9;64,5;154,1;82,4;40,0;51,0;376,4;572,7;361,7;279,9;173,3;161,3;96,8;32,5;219,7;139,5;418,4;372,8;312,2;77,4;110,1;1 453,9;2 966,5;4 619,2;0,0;4 619,2
;III.;205,2;4,4;984,9;144,5;43,4;69,1;5,6;25,2;34,8;96,5;119,1;83,9;60,0;65,3;158,5;79,0;39,6;52,1;377,7;573,7;351,9;287,7;185,3;170,2;96,8;34,1;215,8;144,4;425,6;364,0;313,0;80,3;108,5;1 458,7;2 999,5;4 663,4;0,0;4 663,4
;IV.;198,6;4,3;992,3;140,2;47,9;69,3;6,7;25,5;34,6;98,6;119,6;84,8;64,4;64,4;153,4;82,9;37,6;56,8;365,9;585,2;355,9;291,6;177,2;180,2;99,0;36,8;221,3;141,5;428,8;366,3;307,1;86,6;110,9;1 456,9;3 032,4;4 687,9;0,0;4 687,9
2022.;I.;191,9;3,9;976,6;137,2;45,3;66,9;6,0;28,0;36,2;97,8;121,7;81,2;61,0;65,2;154,0;76,2;39,7;56,9;375,4;594,4;358,3;289,5;175,0;170,9;99,1;34,5;230,2;133,2;432,9;358,4;311,4;87,0;113,5;1 452,5;3 029,9;4 674,3;0,0;4 674,3
;II.;200,4;6,3;983,3;133,9;50,0;70,1;6,1;26,5;35,1;95,3;121,8;84,5;64,8;67,1;152,5;75,6;39,9;58,1;377,6;582,9;354,2;294,1;182,7;165,8;102,1;35,3;235,3;140,1;432,6;360,5;305,8;80,5;109,9;1 465,2;3 027,6;4 693,2;0,0;4 693,2
;III.;204,1;6,2;981,9;134,8;47,0;63,7;4,6;29,6;28,9;103,0;123,0;86,6;62,2;69,4;150,1;78,8;42,0;55,0;385,1;603,7;371,4;294,4;182,2;169,4;102,8;37,0;225,3;133,8;418,0;359,1;307,8;77,4;127,0;1 470,3;3 037,8;4 712,2;0,0;4 712,2
;IV.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009.;I.;127,7;8,5;495,7;79,9;11,9;35,2;2,6;17,2;9,6;47,5;82,1;39,2;29,7;35,8;55,1;50,0;29,0;34,4;262,7;258,0;123,3;183,0;65,5;64,3;32,3;11,1;67,3;65,4;135,0;65,6;52,7;28,3;28,0;830,3;1 056,4;2 014,5;0,0;2 014,5
;II.;129,7;8,1;494,8;80,9;11,2;39,0;3,8;18,0;9,5;44,9;80,4;38,0;29,0;36,5;51,7;52,0;28,9;37,6;271,6;255,2;122,3;187,0;67,7;62,7;31,1;9,6;62,6;65,9;146,8;72,6;50,4;29,4;28,8;841,0;1 069,6;2 040,3;0,1;2 040,4
;III.;132,4;7,3;485,9;78,8;12,0;36,2;4,9;14,2;8,6;45,3;79,1;37,3;28,4;37,6;51,0;52,6;29,9;36,6;270,0;250,0;120,6;185,4;69,2;61,0;29,4;8,2;61,9;64,0;154,0;73,6;50,3;30,2;29,5;829,7;1 066,8;2 028,9;0,1;2 029,0
;IV.;128,5;7,7;482,1;79,1;12,2;37,0;5,7;16,0;9,0;43,6;76,4;37,3;27,9;37,7;49,9;50,3;29,4;38,1;267,5;249,7;123,8;192,2;68,3;58,5;28,2;9,5;61,5;69,2;144,5;76,0;53,4;27,9;28,0;824,8;1 066,9;2 020,2;0,1;2 020,2
2010.;I.;122,5;9,2;468,2;71,0;14,4;34,3;5,7;14,4;9,4;43,6;74,1;37,6;28,6;34,3;52,5;48,2;27,1;36,6;243,5;241,1;117,3;198,4;65,9;63,7;28,3;10,0;62,4;63,0;137,1;74,8;50,2;26,2;25,4;784,6;1 046,5;1 953,6;0,2;1 953,8
;II.;133,1;9,3;475,0;72,9;15,9;34,3;5,8;13,5;10,6;45,6;74,9;40,5;27,1;35,4;55,0;43,4;24,8;39,9;252,3;239,6;117,1;191,6;67,6;65,0;25,7;10,7;65,4;59,0;152,8;74,1;51,7;26,6;26,6;801,3;1 056,3;1 990,6;0,0;1 990,6
;III.;136,4;11,2;475,5;70,1;15,2;36,0;5,3;12,8;10,7;44,9;73,6;42,9;26,3;35,7;56,6;45,4;26,4;39,1;255,7;241,3;117,6;190,0;65,1;64,7;29,7;10,5;66,4;58,2;164,3;75,7;50,9;29,8;29,7;807,9;1 076,4;2 020,6;0,0;2 020,6
;IV.;134,4;11,3;477,7;69,8;17,7;35,5;4,9;11,7;12,5;45,2;72,7;41,5;26,0;37,5;56,4;46,5;27,3;37,5;254,3;244,2;118,8;185,4;61,6;62,5;29,4;10,1;69,5;60,5;161,1;75,0;53,1;29,6;26,1;808,1;1 068,2;2 010,7;0,0;2 010,7
2011.;I.;132,2;10,3;483,9;70,6;15,1;36,1;5,1;11,2;12,4;47,7;73,5;44,4;25,3;35,8;58,6;48,2;26,1;36,8;239,9;242,4;116,2;182,9;61,6;63,2;33,4;10,7;63,6;60,0;137,9;77,1;55,7;29,3;23,2;797,0;1 041,0;1 970,1;0,0;1 970,1
;II.;136,7;9,7;494,5;70,3;14,7;34,9;4,5;11,7;12,2;48,5;78,9;44,8;24,5;34,6;62,7;52,3;27,0;37,3;246,1;247,3;121,2;182,6;65,6;65,7;31,8;10,3;65,4;58,5;160,2;76,3;54,5;30,0;24,4;814,6;1 072,5;2 023,8;0,0;2 023,8
;III.;143,0;9,3;503,6;72,5;15,5;36,7;4,0;12,6;12,6;50,0;77,4;46,4;25,5;35,4;64,4;50,6;29,3;39,2;247,2;253,2;125,3;187,2;63,4;61,4;29,2;11,9;68,3;60,0;162,8;73,1;57,7;29,1;24,4;828,6;1 081,7;2 053,3;0,0;2 053,3
;IV.;139,6;8,6;498,8;71,1;12,1;34,7;4,4;13,2;11,2;45,4;78,5;46,7;26,3;35,9;66,3;52,9;30,6;41,5;237,4;251,5;125,3;195,3;64,7;66,7;33,1;10,3;63,0;62,6;155,2;75,8;53,4;28,5;26,7;816,8;1 087,0;2 043,4;0,0;2 043,4
2012.;I.;136,0;6,7;489,9;70,6;10,6;35,2;5,8;9,9;10,5;45,2;79,4;42,3;26,7;35,9;67,7;50,0;28,5;42,2;215,3;246,2;121,1;192,2;67,3;69,5;27,9;12,3;59,6;66,7;156,4;75,4;53,3;27,9;26,4;782,4;1 081,2;1 999,6;0,0;1 999,6
;II.;144,4;9,7;488,2;68,7;10,4;34,3;5,5;11,6;9,4;45,4;80,3;38,2;25,5;37,5;73,3;48,1;28,0;49,0;222,7;242,8;115,4;197,2;67,1;73,4;30,7;12,9;51,9;77,7;163,3;75,8;50,8;29,7;27,7;797,6;1 101,0;2 043,0;0,0;2 043,0
;III.;147,0;7,2;495,5;68,9;11,6;35,1;4,9;11,5;12,6;47,1;82,9;37,4;26,9;36,7;74,2;45,7;28,2;49,4;227,8;241,2;113,7;192,8;70,1;76,1;32,1;13,7;56,8;84,3;167,8;72,9;53,5;30,8;31,1;808,0;1 123,2;2 078,2;0,0;2 078,2
;IV.;146,2;8,2;497,5;73,4;10,6;34,0;6,7;12,2;12,4;46,0;85,6;37,3;26,8;37,6;73,0;42,1;25,0;52,0;228,1;242,7;110,2;195,2;66,2;76,8;33,2;14,3;57,3;81,2;161,9;73,2;56,0;29,9;31,9;810,8;1 119,7;2 076,8;0,1;2 076,9
2013.;I.;137,2;5,3;492,9;71,4;10,8;35,5;5,8;11,5;12,2;44,1;85,5;40,4;27,5;34,7;71,7;41,8;23,7;43,1;209,5;234,4;106,1;196,9;62,7;77,4;35,9;14,2;63,7;81,6;150,6;75,7;50,8;25,7;32,2;774,4;1 101,9;2 013,6;0,2;2 013,8
;II.;141,6;6,9;507,6;72,5;10,6;39,9;4,0;11,7;11,1;46,9;87,3;41,2;26,9;39,4;73,8;42,2;20,7;53,5;225,6;238,6;111,6;195,3;69,8;74,3;37,3;11,6;66,2;86,4;186,0;73,8;54,2;26,1;31,6;814,3;1 151,1;2 107,0;0,0;2 107,0
