23.1.2.12. Felsõfokú alap- és mesterképzésben részt vevõ hallgatók képzési hely szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Hajdú-Bihar ;megye;14 218;14 630;15 529;16 513;17 228;18 615;19 555;21 244;21 853;22 135;22 808;22 541;21 821;21 002;20 018;19 304;19 178;19 305;19 865;20 162;20 799
Jász-Nagykun-Szolnok;megye;3 188;3 335;3 292;3 459;3 402;3 380;3 042;2 619;2 230;1 693;1 372;1 043;821;628;450;370;287;256;270;241;254
Szabolcs-Szatmár-Bereg;megye;5 070;5 634;6 214;6 741;7 148;7 360;7 197;6 239;4 870;3 926;3 771;3 551;3 197;2 903;2 477;2 234;2 170;2 148;2 165;1 964;1 903
Észak-Alföld;régió;22 476;23 599;25 035;26 713;27 778;29 355;29 794;30 102;28 953;27 754;27 951;27 135;25 839;24 533;22 945;21 908;21 635;21 709;22 300;22 367;22 956
Bács-Kiskun ;megye;4 079;4 590;4 525;4 676;4 440;4 254;3 944;3 557;3 341;3 004;2 954;2 833;2 520;2 385;2 195;2 049;1 948;1 947;2 134;2 051;1 989
Békés ;megye;2 113;2 196;2 257;2 344;2 273;2 261;1 914;1 548;1 372;1 116;1 100;941;819;647;474;392;306;279;314;300;254
Csongrád-Csanád-Csanád ;megye;15 224;16 021;16 855;17 103;17 640;18 434;19 136;19 077;18 837;18 726;18 991;18 425;17 851;17 387;16 901;16 382;15 954;15 817;15 882;16 560;16 530
Dél-Alföld;régió;21 416;22 807;23 637;24 123;24 353;24 949;24 994;24 182;23 550;22 846;23 045;22 199;21 190;20 419;19 570;18 823;18 208;18 043;18 330;18 911;18 773
Alföld és Észak;nagyrégió;56 617;59 683;62 522;65 114;66 893;69 804;69 936;68 963;66 772;63 683;63 735;61 528;57 815;55 049;51 836;49 559;48 383;47 965;48 920;49 269;49 359
Országhatáron kívül;országhatáron kívül;226;742;750;686;688;633;476;328;242;174;207;182;545;557;517;596;580;522;447;492;650
Összesen;ország;184 071;193 155;204 910;212 292;217 245;224 616;227 118;224 894;222 564;218 057;218 304;214 320;209 208;203 576;195 419;190 098;187 084;185 278;186 797;187 237;190 094
