21.1.1.42. A háztartásokat segítõ nonprofit intézmények szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek ;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
B.8n;Megtakarítás, nettó ;-17 696;-19 569;-31 828;-32 815;-40 956;-61 102;-54 742;-65 358;-57 061;-35 267;-29 909;-19 811;-13 071;-32 590;-31 637;-73 492;-33 237;-54 480;-58 281;-8 442;-10 273;42 082;25 198;28 543;30 591;220 152;-27 001
Megtakaritás és tõketranszferek miatti nettóvagyon-változás;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.9;Tõketranszferek egyenlege ;3 038;3 390;4 506;4 774;10 915;12 225;40 814;26 427;16 026;25 752;32 227;49 948;30 416;35 544;34 088;41 099;55 814;54 463;66 606;75 738;117 145;237 931;276 290;203 984;136 188;461 356;212 059
;Tõketranszferek, kapott;6 337;13 504;12 371;14 268;16 925;22 075;54 697;45 068;30 241;48 736;54 984;73 293;52 765;49 760;43 091;49 103;67 744;70 118;82 274;88 258;142 108;292 838;318 274;237 593;178 579;504 929;257 682
D.91;Tõkeadók;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
D.92;Beruházási támogatások;1 587;3 896;3 327;3 501;6 029;8 579;40 434;30 134;19 070;30 200;28 869;34 820;28 092;27 982;19 199;34 141;42 537;50 106;67 953;72 067;128 900;274 337;299 251;207 187;138 272;454 178;214 079
D 99;Egyéb tõketranszferek;4 750;9 608;9 044;10 767;10 896;13 496;14 263;14 934;11 171;18 536;26 115;38 473;24 673;21 778;23 892;14 962;25 207;20 012;14 321;16 191;13 208;18 501;19 023;30 406;40 307;50 751;43 603
;Tõketranszferek, fizetett;3 299;10 114;7 865;9 494;6 010;9 850;13 883;18 641;14 215;22 984;22 757;23 345;22 349;14 216;9 003;8 004;11 930;15 655;15 668;12 520;24 963;54 907;41 984;33 609;42 391;43 573;45 623
D.91;Tõkeadók;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.92;Beruházási támogatások;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
D.99;Egyéb tõketranszferek;3 299;10 114;7 865;9 494;6 010;9 850;13 883;18 641;14 215;22 984;22 757;23 345;22 349;14 216;9 003;8 004;11 930;15 655;15 668;12 520;24 963;54 907;41 984;33 609;42 391;43 573;45 623
B.10.1;A nettó vagyon változása megtakarítás és tõketranszferek miatt ;-14 658;-16 179;-27 322;-28 041;-30 041;-48 877;-13 928;-38 931;-41 035;-9 515;2 318;30 137;17 343;2 954;2 451;-32 393;22 577;-17;8 325;67 296;106 874;280 013;301 488;232 527;166 779;681 508;185 058
Nem pénzügyi eszközök beszerzése;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.51g;Bruttó állóeszköz-felhalmozás ;6 238;8 157;10 281;12 545;17 377;19 953;19 984;22 580;28 168;36 237;37 976;37 480;41 343;51 256;60 000;36 999;52 630;55 072;64 115;90 062;111 300;94 211;117 862;187 066;205 845;188 429;191 414
P.52;Készletváltozás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P.53;Értéktárgyak beszerzésének és eladásának egyenlege;7;-4;3;3;-2;1;34;-37;1;0;-6;74;0;1;4;362;-4;5;-5;3;7;37;-52;57;-139;-2 367;1 180
P.51c;Állóeszköz-felhasználás;16 077;20 416;24 897;28 196;32 692;36 354;39 806;42 200;44 917;47 149;49 907;54 223;58 987;64 109;67 324;70 240;72 039;74 628;75 583;77 037;78 790;82 394;87 464;95 661;106 022;116 175;133 154
NP;Nem termelt eszközök beszerzésének és eladásának egyenlege;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
B.9;Nettó hitelnyújtás (+) / Nettó hitelfelvétel (–);-4 826;-3 916;-12 709;-12 393;-14 724;-32 477;5 860;-19 274;-24 287;1 397;14 255;46 806;34 987;15 806;9 771;486;41 990;19 534;19 798;54 268;74 357;268 159;271 142;141 065;67 095;611 621;125 618
