20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
;szeptember;3 924,6;467,6;4 392,3;3 267,6;7 659,9;740,2;57,3;10,6;51,2
;október;3 920,5;436,1;4 356,6;3 302,1;7 658,7;687,2;56,9;10,0;51,2
;november;3 903,1;456,7;4 359,8;3 297,8;7 657,6;720,4;56,9;10,5;51,0
;december;3 860,6;469,4;4 330,1;3 326,4;7 656,5;773,7;56,6;10,8;50,4
2011.;január;3 834,9;479,5;4 314,3;3 341,0;7 655,3;762,0;56,4;11,1;50,1
;február;3 820,1;508,9;4 329,0;3 325,2;7 654,1;811,5;56,6;11,8;49,9
;március;3 840,9;488,2;4 329,1;3 324,0;7 653,1;802,4;56,6;11,3;50,2
;április;3 896,5;450,2;4 346,7;3 305,2;7 651,9;730,2;56,8;10,4;50,9
;május;3 896,5;460,5;4 356,9;3 293,9;7 650,8;738,2;56,9;10,6;50,9
;június;3 909,6;464,3;4 373,9;3 275,7;7 649,7;777,6;57,2;10,6;51,1
;július;3 961,5;454,4;4 415,9;3 232,6;7 648,5;748,0;57,7;10,3;51,8
;augusztus;3 919,1;450,9;4 370,1;3 277,3;7 647,4;750,1;57,1;10,3;51,2
;szeptember;3 946,2;463,5;4 409,7;3 236,5;7 646,2;769,6;57,7;10,5;51,6
;október;3 978,9;475,5;4 454,4;3 190,6;7 645,1;751,5;58,3;10,7;52,0
;november;3 938,3;429,7;4 368,0;3 276,7;7 644,7;739,8;57,1;9,8;51,5
;december;3 893,5;459,7;4 353,1;3 291,9;7 645,0;780,0;56,9;10,6;50,9
2012.;január;3 864,4;530,2;4 394,6;3 250,8;7 645,4;842,5;57,5;12,1;50,5
;február;3 855,6;498,3;4 353,9;3 289,5;7 643,4;797,6;57,0;11,4;50,4
;március;3 891,0;489,6;4 380,5;3 260,9;7 641,4;793,3;57,3;11,2;50,9
;április;3 925,2;500,0;4 425,2;3 213,9;7 639,1;823,5;57,9;11,3;51,4
;május;3 961,7;470,1;4 431,7;3 205,7;7 637,4;757,9;58,0;10,6;51,9
;június;3 964,1;445,7;4 409,7;3 226,2;7 635,9;767,9;57,7;10,1;51,9
;július;4 002,6;471,5;4 474,1;3 160,4;7 634,5;806,1;58,6;10,5;52,4
;augusztus;4 010,2;447,2;4 457,3;3 175,7;7 633,0;777,9;58,4;10,0;52,5
;szeptember;4 046,1;442,4;4 488,4;3 143,2;7 631,7;735,6;58,8;9,9;53,0
;október;4 008,8;475,7;4 484,4;3 146,1;7 630,5;786,0;58,8;10,6;52,5
;november;3 987,5;461,3;4 448,9;3 180,4;7 629,2;794,9;58,3;10,4;52,3
;december;3 987,7;441,4;4 429,1;3 198,8;7 627,9;799,9;58,1;10,0;52,3
2013.;január;3 871,0;519,7;4 390,7;3 235,3;7 626,0;894,5;57,6;11,8;50,8
;február;3 857,9;504,2;4 362,1;3 260,7;7 622,8;879,1;57,2;11,6;50,6
;március;3 990,8;460,2;4 451,0;3 168,7;7 619,7;804,5;58,4;10,3;52,4
;április;4 029,3;432,2;4 461,4;3 154,9;7 616,3;784,8;58,6;9,7;52,9
;május;3 973,0;463,1;4 436,1;3 177,2;7 613,3;791,0;58,3;10,4;52,2
;június;4 082,8;424,1;4 506,8;3 103,9;7 610,7;741,7;59,2;9,4;53,6
;július;4 109,5;431,5;4 541,0;3 067,0;7 607,9;745,8;59,7;9,5;54,0
;augusztus;4 020,1;448,0;4 468,2;3 137,1;7 605,3;758,2;58,8;10,0;52,9
;szeptember;4 115,5;407,1;4 522,6;3 080,2;7 602,7;699,9;59,5;9,0;54,1
;október;4 118,0;417,2;4 535,1;3 065,0;7 600,1;718,7;59,7;9,2;54,2
;november;4 065,8;382,9;4 448,6;3 148,6;7 597,2;677,1;58,6;8,6;53,5
;december;4 117,8;392,3;4 510,1;3 084,5;7 594,6;687,3;59,4;8,7;54,2
2014.;január;4 175,9;374,6;4 550,5;3 041,1;7 591,5;695,8;59,9;8,2;55,0
;február;4 139,1;339,0;4 478,1;3 109,5;7 587,6;666,8;59,0;7,6;54,6
;március;4 180,4;375,5;4 555,9;3 028,4;7 584,3;683,2;60,1;8,2;55,1
;április;4 251,8;354,2;4 606,0;2 974,8;7 580,8;612,3;60,8;7,7;56,1
;május;4 125,9;340,1;4 466,0;3 111,4;7 577,4;646,6;58,9;7,6;54,4
;június;4 211,3;382,1;4 593,4;2 980,8;7 574,2;652,5;60,6;8,3;55,6
;július;4 290,5;345,5;4 636,0;2 935,5;7 571,6;580,1;61,2;7,5;56,7
;augusztus;4 223,2;300,1;4 523,3;3 045,3;7 568,7;584,7;59,8;6,6;55,8
;szeptember;4 296,7;348,6;4 645,2;2 920,3;7 565,6;611,4;61,4;7,5;56,8
;október;4 286,3;302,2;4 588,5;2 974,0;7 562,4;530,9;60,7;6,6;56,7
;november;4 240,5;310,8;4 551,3;3 007,7;7 559,1;559,7;60,2;6,8;56,1
;december;4 249,6;341,8;4 591,4;2 964,4;7 555,8;630,4;60,8;7,4;56,2
2015.;január;4 243,6;337,8;4 581,4;2 970,7;7 552,1;600,3;60,7;7,4;56,2
;február;4 229,6;356,6;4 586,3;2 961,3;7 547,6;609,8;60,8;7,8;56,0
;március;4 234,2;347,5;4 581,7;2 962,1;7 543,8;612,2;60,7;7,6;56,1
;április;4 322,7;309,5;4 632,2;2 908,0;7 540,2;538,4;61,4;6,7;57,3
;május;4 317,6;301,7;4 619,4;2 917,0;7 536,4;529,6;61,3;6,5;57,3
;június;4 331,7;319,7;4 651,4;2 890,5;7 541,9;539,7;61,7;6,9;57,4
;július;4 389,8;295,7;4 685,5;2 853,8;7 539,3;521,0;62,1;6,3;58,2
;augusztus;4 393,0;295,9;4 688,9;2 847,6;7 536,5;507,0;62,2;6,3;58,3
;szeptember;4 388,4;285,8;4 674,1;2 859,5;7 533,6;476,9;62,0;6,1;58,3
;október;4 396,5;287,9;4 684,4;2 846,4;7 530,8;488,7;62,2;6,1;58,4
;november;4 414,9;277,4;4 692,3;2 835,6;7 527,9;486,6;62,3;5,9;58,6
;december;4 359,2;276,4;4 635,6;2 889,5;7 525,1;494,7;61,6;6,0;57,9
2016.;január;4 344,1;283,1;4 627,2;2 894,5;7 521,7;509,5;61,5;6,1;57,8
;február;4 414,0;264,8;4 678,8;2 835,4;7 514,1;487,6;62,3;5,7;58,7
;március;4 413,3;269,8;4 683,1;2 827,7;7 510,8;469,8;62,4;5,8;58,8
;április;4 445,0;259,6;4 704,6;2 802,7;7 507,2;428,3;62,7;5,5;59,2
;május;4 476,7;222,7;4 699,4;2 804,6;7 504,0;409,9;62,6;4,7;59,7
;június;4 507,5;219,9;4 727,4;2 784,5;7 512,0;410,4;62,9;4,7;60,0
;július;4 523,8;241,4;4 765,2;2 744,3;7 509,5;400,5;63,5;5,1;60,2
;augusztus;4 520,7;219,2;4 739,8;2 767,4;7 507,2;402,2;63,1;4,6;60,2
;szeptember;4 518,8;218,1;4 736,9;2 767,8;7 504,7;390,3;63,1;4,6;60,2
;október;4 558,8;219,8;4 778,6;2 723,8;7 502,4;366,1;63,7;4,6;60,8
;november;4 546,2;184,7;4 730,9;2 768,8;7 499,6;367,0;63,1;3,9;60,6
;december;4 517,8;210,4;4 728,1;2 768,7;7 496,9;385,8;63,1;4,4;60,3
2017.;január;4 528,7;197,6;4 726,3;2 766,9;7 493,2;370,9;63,1;4,2;60,4
;február;4 465,9;199,2;4 665,1;2 814,9;7 479,9;402,4;62,4;4,3;59,7
;március;4 499,4;223,1;4 722,4;2 756,6;7 479,0;410,8;63,1;4,7;60,2
;április;4 552,6;204,5;4 757,1;2 714,0;7 471,1;359,1;63,7;4,3;60,9
;május;4 498,1;181,4;4 679,5;2 784,2;7 463,7;363,8;62,7;3,9;60,3
;június;4 572,3;202,8;4 775,1;2 685,2;7 460,3;382,1;64,0;4,2;61,3
;július;4 584,1;195,6;4 779,7;2 676,3;7 456,0;363,4;64,1;4,1;61,5
;augusztus;4 536,2;187,9;4 724,1;2 728,1;7 452,2;340,3;63,4;4,0;60,9
;szeptember;4 605,3;181,2;4 786,4;2 661,6;7 448,0;334,7;64,3;3,8;61,8
;október;4 579,9;180,4;4 760,4;2 683,8;7 444,2;327,1;63,9;3,8;61,5
;november;4 560,0;170,1;4 730,1;2 710,5;7 440,6;310,3;63,6;3,6;61,3
;december;4 598,1;175,1;4 773,2;2 662,9;7 436,0;323,7;64,2;3,7;61,8
2018.;január;4 551,8;175,9;4 727,7;2 703,6;7 431,3;350,5;63,6;3,7;61,3
;február;4 579,5;181,8;4 761,3;2 679,5;7 440,8;323,8;64,0;3,8;61,5
;március;4 580,4;175,6;4 756,0;2 681,1;7 437,1;300,0;63,9;3,7;61,6
;április;4 577,5;173,1;4 750,6;2 682,4;7 433,0;336,9;63,9;3,6;61,6
;május;4 618,5;163,1;4 781,6;2 657,2;7 438,8;305,2;64,3;3,4;62,1
;június;4 624,8;158,9;4 783,6;2 653,1;7 436,7;299,3;64,3;3,3;62,2
;július;4 618,7;176,4;4 795,1;2 639,1;7 434,2;310,7;64,5;3,7;62,1
;augusztus;4 627,3;183,6;4 810,9;2 620,8;7 431,7;317,5;64,7;3,8;62,3
;szeptember;4 636,3;174,5;4 810,9;2 618,5;7 429,3;316,6;64,8;3,6;62,4
;október;4 664,6;158,6;4 823,2;2 603,8;7 426,9;291,2;64,9;3,3;62,8
;november;4 601,8;170,3;4 772,1;2 652,2;7 424,3;312,5;64,3;3,6;62,0
;december;4 595,4;170,1;4 765,5;2 656,4;7 421,9;321,0;64,2;3,6;61,9
2019.;január;4 662,2;167,3;4 829,5;2 589,0;7 418,4;302,0;65,1;3,5;62,8
;február;4 641,6;164,8;4 806,4;2 616,2;7 422,6;303,2;64,8;3,4;62,5
;március;4 589,2;162,8;4 752,0;2 667,1;7 419,1;301,7;64,1;3,4;61,9
;április;4 637,5;158,1;4 795,6;2 620,8;7 416,5;288,6;64,7;3,3;62,5
;május;4 675,3;159,2;4 834,6;2 589,9;7 424,5;298,3;65,1;3,3;63,0
;június;4 616,6;148,1;4 764,7;2 658,3;7 423,0;305,3;64,2;3,1;62,2
;július;4 653,9;165,3;4 819,2;2 602,1;7 421,3;317,4;64,9;3,4;62,7
;augusztus;4 683,4;157,4;4 840,7;2 579,0;7 419,7;294,9;65,2;3,3;63,1
;szeptember;4 625,3;164,5;4 789,7;2 628,5;7 418,2;299,5;64,6;3,4;62,4
;október;4 661,7;163,5;4 825,3;2 591,4;7 416,7;280,0;65,1;3,4;62,9
;november;4 662,3;156,4;4 818,7;2 596,2;7 414,8;304,3;65,0;3,2;62,9
;december;4 625,8;139,5;4 765,3;2 648,2;7 413,5;291,0;64,3;2,9;62,4
2020.;január;4 591,3;183,9;4 775,2;2 635,9;7 411,1;334,2;64,4;3,9;62,0
;február;4 653,9;166,7;4 820,6;2 591,3;7 411,9;305,8;65,0;3,5;62,8
;március;4 575,1;168,5;4 743,6;2 667,7;7 411,3;370,0;64,0;3,6;61,7
;április;4 523,1;187,1;4 710,2;2 700,2;7 410,4;426,5;63,6;4,0;61,0
;május;4 551,8;215,0;4 766,9;2 642,8;7 409,7;415,2;64,3;4,5;61,4
;június;4 594,2;240,4;4 834,5;2 574,6;7 409,1;465,4;65,3;5,0;62,0
;július;4 610,2;217,5;4 827,7;2 580,8;7 408,5;406,2;65,2;4,5;62,2
;augusztus;4 654,6;185,4;4 840,0;2 568,3;7 408,3;336,4;65,3;3,8;62,8
;szeptember;4 616,9;220,6;4 837,4;2 570,4;7 407,9;398,2;65,3;4,6;62,3
;október;4 601,5;197,1;4 798,6;2 608,7;7 407,3;367,4;64,8;4,1;62,1
;november;4 632,3;189,3;4 821,7;2 584,3;7 406,0;343,5;65,1;3,9;62,5
;december;4 633,9;199,6;4 833,5;2 569,8;7 403,4;388,5;65,3;4,1;62,6
2021.;január;4 536,7;237,6;4 774,3;2 626,0;7 400,2;467,5;64,5;5,0;61,3
;február;4 550,2;213,0;4 763,2;2 611,2;7 374,4;436,8;64,6;4,5;61,7
;március;4 616,0;193,6;4 809,6;2 561,8;7 371,4;402,0;65,2;4,0;62,6
;április;4 559,3;211,1;4 770,4;2 595,1;7 365,5;397,4;64,8;4,4;61,9
;május;4 606,5;189,4;4 795,9;2 563,9;7 359,8;359,6;65,2;3,9;62,6
;június;4 691,9;193,5;4 885,4;2 470,8;7 356,2;340,3;66,4;4,0;63,8
;július;4 704,3;189,3;4 893,6;2 460,0;7 353,7;..;66,5;3,9;64,0
;augusztus;4 678,4;194,1;4 872,6;2 478,5;7 351,0;..;66,3;4,0;63,6
;szeptember;4 686,6;194,7;4 881,2;2 467,6;7 348,8;..;66,4;4,0;63,8
;október;4 687,8;188,5;4 876,3;2 470,1;7 346,4;..;66,4;3,9;63,8
;november;4 677,5;179,2;4 856,6;2 486,7;7 343,3;..;66,1;3,7;63,7
;december;4 686,9;179,0;4 865,8;2 472,6;7 338,4;..;66,3;3,7;63,9
2022.;január;4 644,0;201,3;4 845,3;2 487,3;7 332,6;..;66,1;4,2;63,3
;február;4 667,8;185,2;4 853,0;2 488,3;7 341,3;..;66,1;3,8;63,6
;március;4 697,0;176,0;4 873,0;2 465,0;7 338,0;..;66,4;3,6;64,0
;április;4 687,7;176,3;4 864,0;2 470,5;7 334,5;..;66,3;3,6;63,9
;május;4 686,1;168,5;4 854,6;2 476,8;7 331,4;..;66,2;3,5;63,9
;június;4 739,5;160,2;4 899,7;2 428,9;7 328,6;..;66,9;3,3;64,7
;július;4 713,7;172,9;4 886,6;2 439,5;7 326,1;..;66,7;3,5;64,3
;augusztus;4 712,7;176,7;4 889,4;2 434,0;7 323,4;..;66,8;3,6;64,4
;szeptember;4 707,8;184,9;4 892,6;2 428,1;7 320,7;..;66,8;3,8;64,3
;október;4 705,2;176,4;4 881,6;2 436,6;7 318,2;..;66,7;3,6;64,3
;november;;;;;;;;;
;december;;;;;;;;;
Férfi;;;;;;;;;;
2009.;január;2 010,9;205,5;2 216,4;1 461,5;3 678,0;327,4;60,3;9,3;54,7
;február;2 020,8;222,5;2 243,3;1 434,5;3 677,8;357,1;61,0;9,9;54,9
;március;2 011,6;248,0;2 259,7;1 417,8;3 677,5;379,8;61,4;11,0;54,7
;április;2 027,9;216,9;2 244,7;1 432,6;3 677,3;324,6;61,0;9,7;55,1
;május;2 051,0;222,3;2 273,3;1 403,8;3 677,1;344,4;61,8;9,8;55,8
;június;2 042,2;232,7;2 274,9;1 401,9;3 676,8;353,5;61,9;10,2;55,5
;július;2 026,5;223,6;2 250,1;1 426,5;3 676,6;347,5;61,2;9,9;55,1
;augusztus;2 037,9;234,3;2 272,2;1 404,2;3 676,3;356,0;61,8;10,3;55,4
;szeptember;2 022,5;258,7;2 281,2;1 394,9;3 676,1;395,2;62,1;11,3;55,0
;október;2 037,6;225,9;2 263,5;1 412,4;3 675,9;349,8;61,6;10,0;55,4
;november;2 026,9;242,7;2 269,6;1 406,1;3 675,6;376,9;61,7;10,7;55,1
;december;1 996,3;248,7;2 245,0;1 430,4;3 675,4;395,9;61,1;11,1;54,3
2010.;január;1 954,6;255,9;2 210,4;1 464,7;3 675,1;396,1;60,1;11,6;53,2
;február;1 952,9;296,6;2 249,5;1 425,4;3 674,9;437,8;61,2;13,2;53,1
;március;1 953,9;296,2;2 250,1;1 424,7;3 674,8;433,0;61,2;13,2;53,2
;április;1 993,7;255,2;2 248,9;1 425,6;3 674,5;380,8;61,2;11,3;54,3
;május;1 997,6;264,3;2 261,9;1 412,3;3 674,2;393,9;61,6;11,7;54,4
;június;1 980,5;281,4;2 261,9;1 412,1;3 674,0;411,4;61,6;12,4;53,9
;július;2 024,7;232,2;2 256,9;1 416,9;3 673,8;346,4;61,4;10,3;55,1
;augusztus;2 037,6;252,1;2 289,7;1 383,8;3 673,5;377,6;62,3;11,0;55,5
;szeptember;1 999,7;262,4;2 262,0;1 411,3;3 673,3;400,3;61,6;11,6;54,4
;október;2 026,9;240,6;2 267,4;1 405,6;3 673,1;359,7;61,7;10,6;55,2
;november;2 035,7;237,8;2 273,5;1 399,3;3 672,8;363,2;61,9;10,5;55,4
;december;1 969,4;266,1;2 235,6;1 437,1;3 672,6;415,2;60,9;11,9;53,6
2011.;január;1 968,8;278,9;2 247,6;1 424,7;3 672,4;425,9;61,2;12,4;53,6
;február;1 978,7;275,1;2 253,8;1 418,3;3 672,1;423,5;61,4;12,2;53,9
;március;1 962,8;270,9;2 233,7;1 438,2;3 671,9;430,7;60,8;12,1;53,5
;április;2 018,3;253,2;2 271,5;1 400,1;3 671,6;402,6;61,9;11,1;55,0
;május;2 024,0;243,6;2 267,6;1 403,8;3 671,4;378,1;61,8;10,7;55,1
;június;2 029,2;238,6;2 267,8;1 403,4;3 671,2;392,7;61,8;10,5;55,3
;július;2 059,3;255,3;2 314,6;1 356,3;3 670,9;406,1;63,1;11,0;56,1
;augusztus;2 034,6;237,8;2 272,4;1 398,3;3 670,7;381,8;61,9;10,5;55,4
;szeptember;2 066,0;236,7;2 302,7;1 367,8;3 670,5;381,2;62,7;10,3;56,3
;október;2 052,1;259,8;2 311,9;1 358,3;3 670,2;400,6;63,0;11,2;55,9
;november;2 041,6;230,3;2 271,9;1 401,3;3 673,2;378,7;61,9;10,1;55,6
;december;2 036,5;237,5;2 274,1;1 402,2;3 676,3;392,7;61,9;10,4;55,4
2012.;január;1 983,6;298,7;2 282,3;1 397,0;3 679,4;458,7;62,0;13,1;53,9
;február;1 975,5;286,6;2 262,1;1 416,6;3 678,7;438,5;61,5;12,7;53,7
;március;2 039,7;256,2;2 296,0;1 382,0;3 677,9;396,0;62,4;11,2;55,5
;április;2 027,2;269,1;2 296,3;1 380,8;3 677,1;421,6;62,4;11,7;55,1
;május;2 026,4;283,3;2 309,7;1 366,8;3 676,5;418,0;62,8;12,3;55,1
;június;2 075,6;246,3;2 321,9;1 354,2;3 676,1;398,8;63,2;10,6;56,5
;július;2 054,8;255,9;2 310,7;1 365,0;3 675,7;406,2;62,9;11,1;55,9
;augusztus;2 074,8;251,9;2 326,7;1 348,7;3 675,4;407,3;63,3;10,8;56,5
;szeptember;2 105,0;243,7;2 348,7;1 326,3;3 675,1;379,8;63,9;10,4;57,3
;október;2 077,8;252,8;2 330,6;1 344,3;3 674,9;387,6;63,4;10,8;56,5
;november;2 078,4;255,4;2 333,9;1 340,7;3 674,6;406,2;63,5;10,9;56,6
;december;2 074,5;244,8;2 319,4;1 355,0;3 674,4;422,6;63,1;10,6;56,5
2013.;január;1 985,2;294,5;2 279,7;1 394,1;3 673,8;477,8;62,1;12,9;54,0
;február;1 987,5;295,0;2 282,6;1 390,0;3 672,5;492,6;62,2;12,9;54,1
;március;2 068,6;257,6;2 326,3;1 345,1;3 671,3;431,6;63,4;11,1;56,3
;április;2 097,5;219,2;2 316,8;1 353,2;3 670,0;387,3;63,1;9,5;57,2
;május;2 082,8;261,0;2 343,8;1 325,0;3 668,8;414,4;63,9;11,1;56,8
;június;2 140,8;226,9;2 367,7;1 300,3;3 667,9;378,4;64,6;9,6;58,4
;július;2 154,4;228,0;2 382,4;1 284,5;3 666,9;371,1;65,0;9,6;58,8
;augusztus;2 122,9;238,8;2 361,7;1 304,4;3 666,0;388,8;64,4;10,1;57,9
;szeptember;2 156,4;219,1;2 375,5;1 289,7;3 665,1;355,7;64,8;9,2;58,8
;október;2 149,1;228,2;2 377,2;1 287,0;3 664,3;365,9;64,9;9,6;58,6
;november;2 156,6;198,3;2 354,9;1 308,3;3 663,2;337,8;64,3;8,4;58,9
;december;2 153,4;204,3;2 357,8;1 304,5;3 662,2;344,2;64,4;8,7;58,8
2014.;január;2 167,3;203,8;2 371,1;1 290,0;3 661,1;367,4;64,8;8,6;59,2
;február;2 193,4;178,3;2 371,7;1 287,8;3 659,5;342,3;64,8;7,5;59,9
;március;2 194,8;193,8;2 388,6;1 269,6;3 658,2;348,5;65,3;8,1;60,0
;április;2 221,3;190,6;2 411,9;1 244,8;3 656,7;320,5;66,0;7,9;60,7
;május;2 188,6;181,8;2 370,4;1 284,9;3 655,3;327,2;64,8;7,7;59,9
;június;2 213,3;202,3;2 415,6;1 238,4;3 654,0;336,5;66,1;8,4;60,6
;július;2 237,1;185,7;2 422,9;1 230,3;3 653,2;302,2;66,3;7,7;61,2
;augusztus;2 253,9;149,3;2 403,2;1 248,9;3 652,1;282,8;65,8;6,2;61,7
;szeptember;2 266,6;182,5;2 449,1;1 201,7;3 650,9;307,8;67,1;7,5;62,1
;október;2 249,6;159,0;2 408,7;1 241,0;3 649,7;263,5;66,0;6,6;61,6
;november;2 236,2;164,0;2 400,2;1 248,2;3 648,4;280,9;65,8;6,8;61,3
;december;2 228,3;189,9;2 418,2;1 228,9;3 647,1;324,6;66,3;7,9;61,1
2015.;január;2 208,4;177,1;2 385,4;1 260,1;3 645,5;307,1;65,4;7,4;60,6
;február;2 231,9;196,1;2 428,1;1 215,9;3 643,9;310,5;66,6;8,1;61,2
;március;2 222,3;185,7;2 408,0;1 234,4;3 642,4;311,6;66,1;7,7;61,0
;április;2 250,6;170,5;2 421,1;1 220,1;3 641,2;283,8;66,5;7,0;61,8
;május;2 278,0;163,3;2 441,3;1 198,2;3 639,5;273,4;67,1;6,7;62,6
;június;2 305,3;156,7;2 462,1;1 181,0;3 643,1;266,4;67,6;6,4;63,3
;július;2 307,2;155,1;2 462,3;1 180,0;3 642,3;268,1;67,6;6,3;63,3
;augusztus;2 322,4;153,0;2 475,4;1 165,9;3 641,3;252,9;68,0;6,2;63,8
;szeptember;2 328,3;147,3;2 475,6;1 164,8;3 640,4;250,1;68,0;5,9;64,0
;október;2 308,5;156,3;2 464,8;1 174,6;3 639,4;259,9;67,7;6,3;63,4
;november;2 331,2;151,5;2 482,7;1 155,8;3 638,5;240,7;68,2;6,1;64,1
;december;2 314,4;130,6;2 444,9;1 192,7;3 637,6;247,7;67,2;5,3;63,6
2016.;január;2 286,2;162,6;2 448,8;1 187,5;3 636,2;272,6;67,3;6,6;62,9
;február;2 323,7;150,7;2 474,4;1 158,9;3 633,3;258,9;68,1;6,1;64,0
;március;2 332,7;127,8;2 460,5;1 171,5;3 632,0;230,2;67,7;5,2;64,2
;április;2 359,9;139,8;2 499,7;1 130,8;3 630,5;215,8;68,9;5,6;65,0
;május;2 345,6;134,6;2 480,2;1 149,1;3 629,3;226,1;68,3;5,4;64,6
;június;2 371,7;119,9;2 491,6;1 142,6;3 634,3;205,8;68,6;4,8;65,3
;július;2 391,5;123,9;2 515,4;1 117,9;3 633,3;206,3;69,2;4,9;65,8
;augusztus;2 376,8;122,1;2 499,0;1 133,6;3 632,6;207,7;68,8;4,9;65,4
;szeptember;2 384,4;118,9;2 503,2;1 128,5;3 631,8;199,8;68,9;4,7;65,7
;október;2 417,8;102,5;2 520,2;1 110,9;3 631,1;176,5;69,4;4,1;66,6
;november;2 389,2;108,3;2 497,5;1 132,6;3 630,1;185,7;68,8;4,3;65,8
;december;2 372,4;119,0;2 491,4;1 137,7;3 629,0;196,3;68,7;4,8;65,4
2017.;január;2 395,5;105,1;2 500,6;1 126,8;3 627,4;190,6;68,9;4,2;66,0
;február;2 363,3;109,5;2 472,8;1 147,7;3 620,5;195,9;68,3;4,4;65,3
;március;2 375,2;112,0;2 487,2;1 133,5;3 620,7;200,9;68,7;4,5;65,6
;április;2 410,2;98,2;2 508,4;1 108,4;3 616,8;172,7;69,4;3,9;66,6
;május;2 392,3;101,2;2 493,5;1 120,0;3 613,5;182,3;69,0;4,1;66,2
;június;2 450,4;100,8;2 551,1;1 061,0;3 612,1;184,1;70,6;4,0;67,8
;július;2 451,9;93,9;2 545,8;1 064,6;3 610,4;169,4;70,5;3,7;67,9
;augusztus;2 397,1;87,7;2 484,8;1 124,2;3 609,0;158,5;68,8;3,5;66,4
;szeptember;2 462,6;91,1;2 553,8;1 053,6;3 607,3;163,2;70,8;3,6;68,3
;október;2 434,8;82,4;2 517,2;1 088,6;3 605,9;147,5;69,8;3,3;67,5
;november;2 420,4;86,4;2 506,7;1 097,5;3 604,3;148,2;69,5;3,4;67,2
;december;2 455,7;80,2;2 535,9;1 066,7;3 602,6;152,1;70,4;3,2;68,2
2018.;január;2 416,6;84,5;2 501,1;1 099,4;3 600,6;168,5;69,5;3,4;67,1
;február;2 417,3;96,3;2 513,6;1 093,1;3 606,7;161,6;69,7;3,8;67,0
;március;2 447,6;84,3;2 531,9;1 073,3;3 605,2;139,0;70,2;3,3;67,9
;április;2 437,1;80,4;2 517,5;1 086,0;3 603,5;153,1;69,9;3,2;67,6
;május;2 421,0;97,4;2 518,3;1 089,3;3 607,6;161,4;69,8;3,9;67,1
;június;2 471,1;86,8;2 557,9;1 049,2;3 607,1;136,2;70,9;3,4;68,5
;július;2 453,1;75,7;2 528,8;1 077,6;3 606,4;140,3;70,1;3,0;68,0
;augusztus;2 445,6;95,8;2 541,4;1 064,2;3 605,6;160,3;70,5;3,8;67,8
;szeptember;2 475,4;85,7;2 561,2;1 043,7;3 604,9;150,2;71,0;3,3;68,7
