14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Gomba;0,7;0,4;0,6;0,9;0,8;0,4;0,6;0,8;1,2;0,4;0,9;0,9;0,6;0,5;0,9;0,4
Sárgarépa, petrezselyemgyökér;7,1;5,1;5,9;9,0;10,0;8,2;7,0;6,7;6,3;4,3;8,8;11,1;5,6;4,6;10,1;5,6
Vöröshagyma;7,3;4,8;6,1;9,5;10,1;8,6;7,4;6,5;6,2;4,5;10,0;10,7;5,7;7,5;9,9;6,4
Egyéb friss zöldség;2,8;1,2;2,2;3,8;4,4;2,1;2,7;3,0;4,7;1,6;3,4;5,1;2,1;2,4;3,5;2,0
Tartósított zöldség, zöldségkészítmények;6,5;5,6;5,7;7,8;8,1;6,2;6,3;6,6;8,0;5,6;8,6;8,8;5,4;5,6;7,4;5,8
Burgonya;29,2;26,5;25,2;34,6;39,1;39,0;28,9;24,3;20,7;20,6;34,7;40,3;23,9;29,3;39,4;26,8
Zöldség és burgonya összesen;77,2;60,7;64,5;96,4;107,6;88,7;76,6;70,7;71,6;52,6;97,0;116,8;60,1;71,6;103,8;65,8
Cukor;13,8;11,7;11,3;16,9;20,2;17,3;13,7;12,4;9,5;8,7;15,5;21,3;10,9;12,8;19,5;12,0
Ásványvíz, liter;59,8;39,8;52,6;76,3;72,0;40,7;59,3;69,7;81,4;53,9;88,8;81,9;49,1;56,0;64,8;43,1
Szénsavas üdítõitalok, liter;27,6;40,4;27,5;29,3;23,7;29,3;29,1;25,9;20,3;34,5;34,3;25,4;26,6;27,3;31,7;22,1
Gyümölcslevek, liter;13,0;10,9;13,3;12,8;12,1;7,8;11,3;16,2;25,2;15,4;16,1;12,9;12,8;12,4;11,6;10,4
Bor, boralapú italok, liter;5,7;3,6;4,2;8,9;8,0;5,8;5,4;5,5;7,4;3,7;11,1;9,0;3,3;2,0;9,3;4,7
2015;;;;;;;;;;;;;;;;
Kenyér;36,6;43,5;31,8;44,2;45,4;47,8;39,4;34,0;26,1;30,9;50,3;48,1;29,7;35,5;39,6;30,6
Péksütemény;12,9;12,7;12,1;13,3;15,5;10,5;12,8;13,9;14,1;16,2;17,6;16,0;11,1;10,2;12,5;9,0
Egyéb cereáliák;35,1;28,9;29,1;43,8;49,3;42,3;37,7;32,8;27,6;28,5;41,5;52,3;27,0;33,0;44,0;29,1
Cereáliák összesen;84,5;85,1;73,0;101,4;110,2;100,6;89,8;80,6;67,8;75,6;109,4;116,4;67,9;78,7;96,1;68,8
Marha- és borjúhús;0,7;0,6;0,5;1,0;1,1;0,5;0,7;0,7;0,8;0,3;0,9;1,2;0,5;0,8;0,8;0,4
