4.1.1.35. Krónikus betegség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;
Év;Krónikus beteg 16–24 éves;Nem beteg 16–24 éves;Krónikus beteg 25–34 éves;Nem beteg 25–34 éves;Krónikus beteg 35–44 éves;Nem beteg 35–44 éves;Krónikus beteg 45–54 éves;Nem beteg 45–54 éves;Krónikus beteg 55–64 éves;Nem beteg 55–64 éves;Krónikus beteg 65–74 éves;Nem beteg 65–74 éves;Krónikus beteg 75– éves;Nem beteg 75– éves;Krónikus beteg együtt;Nem beteg együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;
2010;8,1;91,9;10,5;89,5;19,5;80,5;38,0;62,0;55,9;44,1;69,9;30,1;83,9;16,1;38,7;61,3;100,0
2011;7,7;92,3;9,7;90,3;18,5;81,5;37,1;62,9;57,0;43,0;71,6;28,4;83,3;16,7;39,3;60,7;100,0
2012;6,7;93,3;9,6;90,4;17,5;82,5;38,3;61,7;55,9;44,1;73,3;26,7;84,4;15,6;39,6;60,4;100,0
2013;9,1;90,9;10,1;89,9;19,1;80,9;37,9;62,1;57,8;42,2;75,3;24,7;86,0;14,0;41,5;58,5;100,0
2014;7,9;92,1;9,7;90,3;17,8;82,2;36,6;63,4;59,1;40,9;75,7;24,3;85,4;14,6;41,3;58,7;100,0
2015;7,7;92,3;10,8;89,2;19,5;80,5;36,4;63,6;57,7;42,3;78,3;21,7;87,8;12,2;42,2;57,8;100,0
2016;8,1;91,9;12,1;87,9;17,5;82,5;35,6;64,4;57,8;42,2;76,4;23,6;87,9;12,1;41,9;58,1;100,0
2017;8,8;91,2;11,8;88,2;22,1;77,9;35,1;64,9;59,7;40,3;77,6;22,4;86,6;13,4;43,2;56,8;100,0
2018;10,8;89,2;9,7;90,3;21,3;78,7;34,8;65,2;58,7;41,3;73,9;26,1;84,3;15,7;42,7;57,3;100,0
2019;8,6;91,4;14,8;85,2;22,6;77,4;34,4;65,6;56,6;43,4;70,2;29,8;84,4;15,6;42,4;57,6;100,0
2020;10,1;89,9;14,6;85,4;21,8;78,2;35,7;64,3;55,3;44,7;71,2;28,8;85,3;14,7;43,0;57,0;100,0
2021;12,2;87,8;10,9;89,1;20,3;79,7;34,7;65,3;53,6;46,4;71,9;28,1;86,8;13,2;42,3;57,7;100,0
A népesség megoszlása, %;;;;;;;;;;;;;;;;;
2010;8,7;91,3;10,7;89,3;19,4;80,6;36,7;63,3;54,6;45,4;69,8;30,2;83,4;16,6;35,9;64,1;100,0
2011;7,9;92,1;8,9;91,1;17,3;82,7;36,5;63,5;55,0;45,0;68,8;31,2;82,1;17,9;35,8;64,2;100,0
2012;7,7;92,3;8,7;91,3;17,2;82,8;36,5;63,5;54,6;45,4;71,3;28,7;81,6;18,4;36,2;63,8;100,0
2013;9,1;90,9;9,5;90,5;18,3;81,7;35,7;64,3;55,2;44,8;72,9;27,1;84,1;15,9;37,6;62,4;100,0
2014;7,2;92,8;8,8;91,2;17,5;82,5;35,3;64,7;56,2;43,8;72,7;27,3;83,4;16,6;37,3;62,7;100,0
2015;8,8;91,2;10,9;89,1;19,7;80,3;36,0;64,0;56,8;43,2;76,2;23,8;86,4;13,6;39,2;60,8;100,0
2016;8,3;91,7;11,3;88,7;17,5;82,5;33,4;66,6;56,2;43,8;73,7;26,3;86,0;14,0;38,2;61,8;100,0
2017;9,0;91,0;10,5;89,5;20,3;79,7;34,3;65,7;56,9;43,1;75,8;24,2;84,7;15,3;39,3;60,7;100,0
2018;10,1;89,9;9,9;90,1;21,2;78,8;33,1;66,9;56,7;43,3;71,9;28,1;82,6;17,4;39,4;60,6;100,0
2019;8,8;91,2;12,1;87,9;21,2;78,8;33,6;66,4;57,3;42,7;69,2;30,8;82,7;17,3;39,6;60,4;100,0
2020;10,2;89,8;12,8;87,2;20,5;79,5;33,9;66,1;54,7;45,3;70,6;29,4;83,4;16,6;39,6;60,4;100,0
2021;8,1;91,9;10,4;89,6;18,9;81,1;32,2;67,8;51,9;48,1;71,6;28,4;84,7;15,3;38,4;61,6;100,0
