20.2.1.14. A 15–74 éves népesség száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
;II.;52,9;718,5;1 154,3;387,5;684,5;338,8;294,9;3 631,4
;III.;48,0;701,7;1 161,6;402,2;685,1;335,6;298,4;3 632,6
;IV.;47,3;698,2;1 161,1;396,3;672,4;346,7;308,2;3 630,1
2017.;I.;53,2;680,9;1 161,5;394,7;672,8;347,7;312,2;3 622,9
;II.;55,6;664,7;1 181,4;382,1;666,3;348,5;315,6;3 614,1
;III.;46,9;649,3;1 190,6;402,1;670,6;339,8;309,6;3 608,9
;IV.;49,5;645,3;1 201,6;399,1;655,0;349,5;304,3;3 604,3
2018.;I.;49,6;647,8;1 202,0;386,2;641,8;346,4;330,3;3 604,2
;II.;53,6;650,8;1 198,1;386,6;644,7;336,3;336,0;3 606,1
;III.;42,2;622,5;1 179,3;401,0;681,7;324,6;354,4;3 605,6
;IV.;44,1;642,7;1 171,6;386,8;677,2;314,7;366,4;3 603,3
2019.;I.;49,3;646,9;1 165,3;386,4;673,9;311,9;369,1;3 602,8
;II.;48,7;647,3;1 157,6;391,7;680,0;323,2;358,0;3 606,4
;III.;43,2;637,1;1 150,9;427,8;674,8;332,1;342,4;3 608,3
;IV.;42,5;636,5;1 175,4;420,3;670,7;315,9;347,0;3 608,1
2020.;I.;43,8;647,6;1 165,5;413,5;652,7;327,2;357,2;3 607,5
;II.;39,6;595,3;1 142,4;406,0;698,3;342,4;384,0;3 608,0
;III.;43,9;630,2;1 139,2;415,6;660,6;328,7;390,8;3 609,0
;IV.;43,7;623,5;1 129,3;415,6;642,9;323,0;431,1;3 609,1
2021.;I. ;43,9;603,4;1 143,6;402,6;639,4;325,3;438,8;3 596,9
