14.1.1.37. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Banán;9,5;7,4;5,8;4,4;4,1;5,9;13,1;8,6;7,7;5,7;8,9;13,1;13,4;13,0;13,0;13,2
Alma;8,5;9,4;7,9;8,0;7,8;8,3;23,5;15,1;15,4;11,3;16,5;23,5;21,3;24,9;22,0;24,9
Körte;1,2;2,4;0,8;0,9;0,3;1,1;3,5;1,7;2,4;1,6;2,3;3,5;3,0;3,9;3,2;3,9
Õszibarack;3,7;4,2;1,8;0,7;2,6;2,6;9,3;5,5;8,8;3,2;6,8;9,3;8,4;9,9;7,6;10,9
Sárgabarack;0,4;0,5;0,7;0,7;0,8;0,7;1,3;1,0;2,1;0,8;1,3;1,3;0,4;1,9;0,4;2,2
Cseresznye;0,1;0,3;0,1;0,2;1,0;0,4;1,9;0,4;1,0;0,1;0,9;1,9;2,5;1,5;2,6;1,2
Meggy;0,1;0,2;0,0;0,3;0,7;0,3;0,9;0,3;1,0;0,6;0,7;0,9;1,0;0,9;0,8;1,0
Szilva;0,6;0,6;0,4;0,2;2,5;1,0;2,2;1,4;4,7;0,9;2,3;2,2;0,8;3,2;1,2;3,2
Földieper, málna, ribizli;1,0;1,4;0,6;0,5;0,6;0,8;2,4;1,3;1,5;1,4;1,7;2,4;2,4;2,4;2,8;2,0
Szõlõ;4,5;3,1;1,5;0,8;1,0;1,9;4,7;3,2;5,4;2,2;3,9;4,7;3,5;5,5;4,7;4,7
Sárgadinnye;0,2;0,7;0,5;0,0;0,5;0,5;2,1;0,7;1,6;0,3;1,2;2,1;2,2;2,1;2,3;2,0
Görögdinnye;4,0;6,4;3,1;2,4;7,6;5,0;10,4;9,6;8,4;4,6;8,4;10,4;9,8;10,9;10,8;10,1
Egyéb gyümölcs;0,5;1,3;1,1;0,5;0,4;0,8;2,0;1,5;1,4;0,7;1,4;2,0;2,0;2,1;2,3;1,7
Dió, mák, mogyoró, mandula, magvak;2,6;1,4;0,9;0,9;0,8;1,1;2,4;1,7;2,3;1,1;1,9;2,4;2,0;2,7;2,5;2,3
Gyümölcskészítmények;0,7;0,8;1,0;0,4;0,4;0,7;1,2;1,2;1,3;0,9;1,1;1,2;0,8;1,5;1,2;1,3
Gyümölcs összesen;45,1;46,9;31,1;24,6;35,3;36,4;95,2;63,0;75,7;41,3;69,5;95,2;85,5;101,8;90,0;100,4
Leveles, száraz zöldségek;1,6;1,5;1,0;1,2;1,3;1,3;3,0;2,7;2,5;1,9;2,6;3,0;2,2;3,6;3,7;2,4
Káposztafélék;4,4;3,2;2,8;2,5;3,4;3,1;9,1;6,4;7,3;4,7;6,9;9,1;5,1;11,8;8,0;10,3
Uborka;2,9;3,2;2,0;1,6;2,0;2,3;5,4;4,0;4,9;3,1;4,4;5,4;3,7;6,6;4,4;6,4
Paradicsom;4,1;5,7;3,6;3,1;4,5;4,3;11,2;8,8;9,0;5,2;8,6;11,2;10,5;11,8;10,7;11,8
Zöldpaprika;4,0;3,6;2,6;1,6;3,6;3,1;9,9;6,1;6,9;4,3;6,9;9,9;10,3;9,6;8,9;10,8
Zöldbab;0,0;0,1;0,1;0,2;0,2;0,1;0,5;0,7;0,7;0,3;0,6;0,5;0,2;0,8;0,3;0,8
Zöldborsó;0,1;0,2;0,2;0,1;0,5;0,3;0,4;0,4;0,6;0,8;0,6;0,4;0,2;0,5;0,3;0,5
Szárazhüvelyesek;0,4;0,6;0,4;0,3;0,4;0,5;1,0;0,8;0,7;0,5;0,7;1,0;0,9;1,1;1,0;1,0
Gomba;0,8;0,7;0,5;0,5;0,5;0,6;1,3;1,3;1,2;0,8;1,2;1,3;0,8;1,6;1,4;1,2
Sárgarépa, petrezselyemgyökér;4,7;5,5;3,5;3,9;3,9;4,3;10,0;7,3;8,2;5,4;7,8;10,0;6,9;12,1;8,0;12,0
Vöröshagyma;5,3;6,6;3,3;3,5;3,1;4,3;11,5;8,6;10,2;6,9;9,4;11,5;10,2;12,3;10,7;12,2
Egyéb friss zöldség;2,2;4,3;2,1;1,7;1,8;2,6;5,9;5,0;5,4;3,2;4,9;5,9;4,0;7,1;5,1;6,7
Tartósított zöldség, zöldségkészítmények;10,9;9,7;6,9;7,8;8,6;8,5;19,2;15,4;14,1;12,1;15,3;19,2;19,6;19,0;20,8;17,7
Burgonya;22,3;19,8;12,5;18,0;18,4;17,4;34,0;27,9;29,0;21,4;28,2;34,0;29,5;37,0;31,4;36,6
Zöldség és burgonya összesen;63,8;64,7;41,7;46,1;52,5;52,7;122,3;95,5;100,8;70,5;98,0;122,3;104,0;134,8;114,5;130,2
Cukor;6,0;8,7;7,9;7,5;7,2;7,7;16,5;12,2;14,8;12,0;13,9;16,5;11,6;19,9;14,3;18,8
Ásványvíz, liter;62,6;92,0;75,3;39,2;65,3;71,2;161,8;128,9;111,2;92,7;124,8;161,8;169,6;156,5;178,0;145,5
Üdítõitalok, liter;42,7;38,0;29,0;28,3;29,5;32,4;51,4;45,2;31,8;36,5;41,6;51,4;66,3;41,4;67,1;35,6
Gyümölcs-, zöldséglevek és szörpök, liter;15,4;14,3;13,0;5,4;8,4;11,3;17,3;17,0;12,5;8,5;14,0;17,3;19,4;15,9;19,8;14,7
Bor, boralapú italok, liter;2,6;3,8;4,2;2,9;2,1;3,3;10,1;7,0;8,1;3,7;7,3;10,1;13,8;7,5;11,1;9,0
2020;;;;;;;;;;;;;;;;
Kenyér;37,0;29,0;22,1;31,5;29,5;28,3;56,3;37,2;38,9;31,7;41,5;56,3;62,0;52,2;56,5;56,0
Péksütemény;26,2;21,6;16,6;17,1;15,1;18,5;37,6;26,5;23,9;19,2;27,2;37,6;40,8;35,3;39,5;35,5
Egyéb cereáliák;40,7;32,4;28,6;24,4;27,8;29,8;62,1;47,3;46,9;38,8;49,3;62,1;52,2;69,2;59,3;65,2
Cereáliák összesen;103,9;83,0;67,3;73,0;72,3;76,5;156,0;110,9;109,6;89,7;117,9;156,0;154,9;156,7;155,4;156,6
Marha- és borjúhús;0,6;0,8;0,8;0,3;0,7;0,7;1,4;1,7;1,2;1,5;1,5;1,4;2,0;1,1;1,5;1,4
Sertéshús;13,9;17,4;11,2;13,2;13,6;13,8;29,1;22,8;25,4;20,0;24,5;29,1;27,5;30,2;28,0;30,1
Baromfihús;25,1;20,8;15,1;19,2;19,5;19,0;40,2;29,0;30,7;24,2;31,4;40,2;35,3;43,7;37,6;42,9
Szalámi, szárazkolbász, sonka;5,9;7,4;5,8;5,3;5,8;6,2;13,9;10,5;10,7;9,6;11,3;13,9;16,3;12,2;14,0;13,8
Egyéb hentesáru;8,9;7,2;6,9;5,9;6,8;7,0;15,9;9,8;10,3;7,8;11,1;15,9;17,2;15,0;16,2;15,5
Belsõség;1,9;1,4;1,8;0,7;1,1;1,4;3,8;2,6;4,2;2,4;3,3;3,8;3,0;4,3;2,3;5,3
Mirelit hústermékek, húskonzervek;4,7;2,2;2,5;2,1;2,6;2,6;4,5;3,9;2,7;2,3;3,4;4,5;5,4;3,9;5,2;3,9
Juh-, kecske-, nyúl- és egyéb hús;0,0;0,2;0,2;0,0;0,1;0,1;0,1;0,2;0,1;0,2;0,2;0,1;0,2;0,1;0,1;0,2
Húsfélék összesen;60,9;57,3;44,3;46,7;50,2;50,7;108,9;80,6;85,4;68,2;86,6;108,9;106,7;110,4;104,9;113,2
Hal;1,1;1,8;1,6;0,9;0,9;1,3;2,9;2,5;2,4;1,7;2,4;2,9;2,5;3,2;3,0;2,8
Halkonzerv;0,3;0,6;0,5;0,2;0,3;0,4;1,0;1,1;0,7;0,5;0,8;1,0;1,1;0,9;1,4;0,6
Hal, halkonzerv;1,4;2,4;2,2;1,0;1,2;1,8;3,9;3,6;3,1;2,1;3,2;3,9;3,6;4,1;4,4;3,4
Tej, liter;55,1;54,1;44,6;46,4;40,4;47,3;88,2;59,1;63,1;50,6;66,0;88,2;85,8;89,9;82,9;94,0
Joghurt, kefir, tejföl, liter;11,6;11,1;9,5;7,5;7,1;9,2;21,3;15,2;15,5;11,2;16,0;21,3;18,0;23,6;20,0;22,7
Sajt, túró;8,5;8,1;7,0;5,6;5,3;6,8;14,5;11,2;10,4;7,3;11,0;14,5;12,9;15,7;14,7;14,4
Tojás, db;149,2;155,7;90,2;130,1;102,8;121,2;289,9;198,8;211,5;137,2;212,5;289,9;279,8;297,1;285,3;294,9
Vaj, vajkrém;1,6;1,3;1,2;1,2;0,7;1,1;2,4;1,8;1,7;1,2;1,8;2,4;2,1;2,6;2,3;2,4
Margarin és növényi zsírok;4,1;3,4;2,6;3,0;2,8;3,0;6,6;4,8;5,7;3,5;5,2;6,6;5,2;7,5;6,2;7,0
Étolaj, olívaolaj;12,7;13,7;8,4;7,6;9,0;10,1;22,2;14,3;16,7;11,5;16,4;22,2;19,8;24,0;20,1;24,6
Állati zsíradék;0,7;1,7;1,0;1,6;1,8;1,4;3,7;2,1;2,9;1,5;2,6;3,7;3,7;3,8;3,0;4,5
Zsiradék összesen;19,1;20,1;13,1;13,3;14,4;15,7;35,0;23,1;27,0;17,7;26,0;35,0;30,8;37,9;31,7;38,5
Citrusfélék;8,6;7,4;5,0;4,0;4,3;5,6;13,0;10,6;12,0;6,6;10,7;13,0;9,8;15,3;11,6;14,6
Banán;6,3;7,8;5,6;5,3;4,6;6,0;13,1;9,9;9,9;6,8;10,1;13,1;13,1;13,2;13,1;13,2
Alma;8,5;7,3;6,5;7,7;5,0;6,8;17,4;11,1;14,8;7,4;12,9;17,4;14,2;19,7;14,1;21,0
Körte;1,1;0,9;1,0;0,6;0,8;0,9;3,2;1,2;2,5;1,4;2,1;3,2;2,2;4,0;2,8;3,8
Õszibarack;1,0;2,0;2,1;0,9;0,8;1,5;5,1;2,8;3,8;3,3;3,8;5,1;4,4;5,6;4,1;6,2
Sárgabarack;0,0;0,1;0,1;0,1;0,2;0,1;0,9;0,4;0,7;1,0;0,8;0,9;0,3;1,3;1,1;0,6
Cseresznye;0,0;0,3;0,0;0,0;0,1;0,1;0,4;0,1;1,5;0,9;0,7;0,4;0,1;0,6;0,2;0,7
Meggy;0,6;0,1;0,1;0,1;0,4;0,2;0,7;0,5;1,9;0,2;0,8;0,7;0,1;1,2;0,0;1,4
Szilva;0,2;0,5;0,5;0,2;0,7;0,5;2,5;0,8;2,1;0,8;1,6;2,5;1,2;3,4;2,0;3,0
Földieper, málna, ribizli;0,1;0,2;0,4;0,1;0,1;0,2;0,7;0,5;0,9;0,5;0,7;0,7;0,4;0,9;0,5;1,0
Szõlõ;2,1;1,4;1,9;1,2;1,0;1,5;4,2;3,7;3,8;1,8;3,4;4,2;3,1;5,0;3,6;4,9
Sárgadinnye;0,7;0,7;0,6;0,2;0,1;0,5;1,4;1,1;1,1;0,7;1,1;1,4;1,4;1,4;1,4;1,3
Görögdinnye;6,1;6,8;3,9;3,6;2,3;4,5;10,1;9,0;9,4;3,4;8,1;10,1;8,1;11,5;11,1;9,0
Egyéb gyümölcs;1,1;1,0;0,8;0,7;0,5;0,8;1,8;1,5;1,3;0,7;1,3;1,8;1,7;1,8;2,0;1,5
Dió, mák, mogyoró, mandula, magvak;1,4;1,1;1,2;0,6;0,7;1,0;2,2;1,9;1,4;1,3;1,7;2,2;1,4;2,8;1,9;2,6
Gyümölcskészítmények;1,1;1,3;1,7;0,7;0,6;1,2;2,5;1,8;2,0;1,8;2,0;2,5;2,1;2,7;2,2;2,8
Gyümölcs összesen;38,9;39,0;31,4;26,0;22,2;31,1;79,2;57,0;69,1;38,8;61,8;79,2;63,6;90,3;71,8;87,3
Leveles, száraz zöldségek;3,5;1,7;1,1;0,9;1,2;1,5;3,4;2,6;2,6;1,3;2,5;3,4;2,6;3,9;4,2;2,5
Káposztafélék;4,6;3,9;3,1;3,0;3,3;3,4;9,7;6,8;8,8;4,6;7,6;9,7;6,1;12,2;7,3;12,3
Uborka;3,2;1,9;1,5;1,7;2,9;2,1;4,9;2,8;3,9;3,1;3,7;4,9;4,1;5,5;4,9;5,0
Paradicsom;7,3;5,2;4,9;4,2;3,0;4,7;12,8;9,1;9,7;6,0;9,5;12,8;12,1;13,2;14,0;11,4
Zöldpaprika;4,6;3,7;2,7;2,4;2,4;3,0;11,4;6,3;7,9;5,4;7,9;11,4;10,0;12,4;10,7;12,2
Zöldbab;0,3;0,1;0,0;0,0;0,2;0,1;0,6;0,6;0,6;0,4;0,6;0,6;0,2;0,9;0,3;1,0
Zöldborsó;0,0;0,3;0,3;0,1;0,4;0,3;0,7;0,5;1,1;1,0;0,8;0,7;0,3;1,0;0,5;1,0
Szárazhüvelyesek;0,7;0,4;0,5;0,4;0,2;0,4;1,3;1,1;1,0;0,6;1,0;1,3;1,2;1,3;0,9;1,6
Gomba;1,2;1,0;0,5;0,5;0,5;0,7;1,8;1,3;1,3;1,1;1,4;1,8;1,8;1,8;2,0;1,5
Sárgarépa, petrezselyemgyökér;8,0;6,8;4,6;5,1;4,0;5,4;12,7;9,0;10,3;6,3;9,7;12,7;9,1;15,2;11,1;14,4
Vöröshagyma;8,5;7,9;5,4;5,1;4,4;6,0;16,1;11,0;11,4;9,8;12,2;16,1;15,0;16,9;15,7;16,6
Egyéb friss zöldség;4,4;3,5;2,6;2,5;1,8;2,8;7,6;5,6;5,8;4,1;5,8;7,6;4,7;9,6;7,0;8,2
Tartósított zöldség, zöldségkészítmények;13,3;12,9;9,9;8,3;8,3;10,3;22,8;17,0;15,1;11,9;17,0;22,8;22,0;23,4;24,3;21,3
Burgonya;25,3;23,1;17,3;21,7;17,3;20,2;44,2;30,5;31,9;29,6;34,3;44,2;41,5;46,1;42,2;46,3
Zöldség és burgonya összesen;85,0;72,4;54,5;55,9;50,1;61,0;150,0;104,3;111,2;85,5;114,0;150,0;130,7;163,5;145,1;155,2
Cukor;8,6;9,3;7,7;8,5;9,7;8,7;21,5;14,3;16,9;11,5;16,2;21,5;19,2;23,1;17,8;25,5
Ásványvíz, liter;83,5;100,3;88,9;39,6;59,2;76,8;143,7;122,3;105,9;94,4;117,7;143,7;165,0;128,7;160,2;126,0
Üdítõitalok, liter;38,5;41,7;40,0;26,5;28,1;35,5;59,0;49,9;32,7;40,2;46,0;59,0;78,0;45,6;79,0;37,3
Gyümölcs-, zöldséglevek és szörpök, liter;14,3;17,9;16,0;12,1;11,3;14,7;21,0;17,5;15,1;12,9;16,8;21,0;24,2;18,8;23,5;18,4
Bor, boralapú italok, liter;4,6;4,9;4,0;4,3;1,7;3,9;10,7;7,5;7,4;5,7;7,9;10,7;14,6;8,0;11,4;9,9
