14.1.1.37. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Sárgadinnye;0,6;0,6;0,7;0,5;0,3;0,5;1,2;0,9;0,8;0,9;1,0;1,2;0,7;1,7;0,9;1,6
Görögdinnye;4,5;6,2;6,0;2,8;3,2;4,7;9,7;7,3;7,2;7,4;7,9;9,7;8,9;10,2;8,9;10,6
Egyéb gyümölcs;0,9;0,8;0,8;0,3;0,5;0,7;1,4;1,2;0,9;0,7;1,1;1,4;1,2;1,6;1,4;1,4
Dió, mák, mogyoró, mandula, magvak;1,0;1,5;1,3;0,6;1,1;1,1;2,3;1,8;1,7;1,6;1,9;2,3;2,2;2,3;2,5;2,0
Gyümölcskészítmények;0,8;0,6;0,4;0,5;0,4;0,5;0,9;0,6;0,6;0,4;0,6;0,9;0,8;0,9;0,8;0,9
Gyümölcs összesen;39,8;37,4;36,1;19,6;24,1;31,2;77,1;56,9;64,7;39,6;59,7;77,1;67,8;83,8;70,0;85,2
Leveles, száraz zöldségek;2,0;1,5;1,3;1,1;0,9;1,3;3,8;3,3;3,4;2,6;3,3;3,8;3,7;3,9;2,8;5,0
Káposztafélék;3,3;3,6;3,0;2,1;3,3;3,1;8,5;6,6;8,9;4,5;7,1;8,5;4,5;11,4;7,1;10,1
Uborka;3,3;2,4;2,2;1,5;1,5;2,1;4,5;4,1;5,7;2,7;4,2;4,5;3,3;5,3;3,9;5,1
Paradicsom;5,8;5,1;5,4;2,7;2,7;4,3;9,9;8,5;9,9;5,4;8,4;9,9;8,5;10,8;8,7;11,2
Zöldpaprika;4,8;4,5;3,7;1,9;2,8;3,5;8,8;6,6;8,5;4,7;7,1;8,8;8,0;9,3;7,9;9,8
Zöldbab;0,2;0,2;0,3;0,1;0,5;0,3;1,1;0,7;1,1;0,4;0,8;1,1;0,6;1,4;0,5;1,7
Zöldborsó;0,5;0,4;0,1;0,0;0,6;0,3;1,4;0,4;1,3;1,6;1,2;1,4;0,7;1,9;1,2;1,6
Szárazhüvelyesek;0,6;0,5;0,4;0,6;0,7;0,6;1,5;1,3;1,7;0,7;1,3;1,5;1,1;1,7;1,3;1,7
Gomba;0,6;0,8;0,7;0,4;0,5;0,6;1,2;1,0;1,2;1,0;1,1;1,2;1,1;1,3;1,2;1,1
Sárgarépa, petrezselyemgyökér;6,2;5,7;4,5;3,6;4,8;4,9;11,6;7,9;10,7;7,2;9,3;11,6;8,8;13,6;10,3;13,0
Vöröshagyma;7,1;6,9;6,9;5,2;5,2;6,2;13,9;11,0;12,3;7,9;11,3;13,9;14,0;13,9;13,4;14,5
Egyéb friss zöldség;2,3;2,9;2,3;1,6;2,2;2,3;6,2;4,4;5,1;3,2;4,7;6,2;4,7;7,3;5,8;6,7
Tartósított zöldség, zöldségkészítmények;6,1;6,2;5,0;3,6;4,7;5,1;12,2;9,1;9,7;7,1;9,6;12,2;10,9;13,1;11,3;13,1
Burgonya;24,5;23,4;19,7;21,6;23,8;22,4;48,0;40,0;35,5;26,0;37,8;48,0;44,7;50,4;42,6;54,2
Zöldség és burgonya összesen;67,4;63,9;55,6;46,0;54,4;57,0;132,4;105,0;114,8;75,2;107,1;132,4;114,6;145,3;118,0;148,9
Cukor;12,7;12,1;8,1;10,0;11,5;10,6;20,4;16,6;20,7;14,4;17,9;20,4;16,0;23,6;16,7;24,7
Ásványvíz, liter;50,8;71,7;63,2;35,9;55,4;57,8;118,9;114,6;95,6;84,5;104,3;118,9;120,9;117,4;129,7;106,4
Üdítõitalok, liter;32,4;33,3;25,1;23,9;30,3;28,9;38,7;45,6;27,1;31,5;36,3;38,7;46,1;33,3;44,6;31,9
Gyümölcslevek, liter;12,3;11,9;13,4;7,7;9,1;11,0;19,3;12,9;11,3;10,6;13,8;19,3;20,7;18,3;23,6;14,4
Bor, boralapú italok, liter;3,4;3,0;3,1;1,4;2,2;2,6;9,9;7,5;8,5;3,7;7,4;9,9;14,1;6,9;12,8;6,7
2016;;;;;;;;;;;;;;;;
Kenyér;34,5;28,9;26,3;32,2;31,9;30,0;55,9;42,7;41,5;32,5;43,8;55,9;63,5;50,7;58,1;53,6
Péksütemény;17,8;12,6;12,9;9,1;12,5;12,6;22,4;15,0;15,1;12,8;16,6;22,4;22,8;22,1;23,5;21,3
Egyéb cereáliák;24,7;26,4;25,3;25,9;29,4;26,7;50,0;39,1;46,2;30,7;41,8;50,0;38,3;57,8;43,4;56,7
Cereáliák összesen;76,9;67,9;64,5;67,2;73,8;69,2;128,2;96,8;102,8;76,1;102,2;128,2;124,7;130,7;125,0;131,6
Marha- és borjúhús;0,2;0,7;0,4;0,6;0,2;0,4;0,8;0,7;1,2;0,5;0,8;0,8;1,2;0,5;0,8;0,7
Sertéshús;14,3;13,8;13,1;11,0;13,7;13,2;24,6;23,4;29,6;17,5;23,7;24,6;24,0;25,0;23,7;25,5
Baromfihús;19,0;16,7;13,5;14,0;14,3;15,0;29,3;22,3;24,3;16,8;23,4;29,3;23,1;33,6;27,4;31,3
Szalámi, szárazkolbász, sonka;7,3;6,6;5,1;4,4;5,9;5,8;12,0;10,4;11,8;7,1;10,4;12,0;15,5;9,5;13,0;10,9
Egyéb hentesáru;10,2;10,1;8,8;7,8;9,6;9,3;19,0;13,1;12,9;10,9;14,2;19,0;23,5;15,9;21,1;16,8
Belsõség;2,3;1,8;1,3;1,4;2,2;1,8;4,7;2,8;4,0;3,6;3,8;4,7;4,0;5,2;3,8;5,7
Mirelit hústermékek, húskonzervek;2,5;1,7;1,4;1,4;1,7;1,7;3,7;2,5;1,9;1,6;2,5;3,7;5,0;2,7;4,4;2,9
Juh-, kecske-, nyúl- és egyéb hús;0,1;0,1;0,1;0,7;0,2;0,2;0,1;0,1;0,2;0,4;0,2;0,1;0,1;0,1;0,1;0,1
Húsfélék összesen;55,9;51,6;43,8;41,4;47,8;47,2;94,1;75,2;85,7;58,4;78,9;94,1;96,4;92,5;94,3;93,9
Hal;0,8;1,0;1,0;0,8;0,8;0,9;1,2;1,3;1,6;1,1;1,3;1,2;0,8;1,5;1,1;1,4
Halkonzerv;0,3;0,5;0,4;0,2;0,3;0,3;0,8;0,6;0,6;0,4;0,6;0,8;1,1;0,6;0,9;0,7
Hal, halkonzerv;1,1;1,5;1,3;1,0;1,1;1,2;2,0;1,9;2,2;1,6;1,9;2,0;1,8;2,1;2,0;2,0
Tej, liter;45,9;45,3;47,2;39,6;37,9;43,1;79,2;59,2;63,8;48,0;63,3;79,2;74,7;82,4;75,1;83,5
Joghurt, kefir, tejföl, liter;13,0;11,2;11,1;8,3;8,8;10,2;21,9;16,4;17,6;10,8;16,9;21,9;19,6;23,5;21,4;22,5
Sajt, túró, tejkonzerv, tejpor;6,4;7,0;5,9;4,8;4,8;5,7;12,0;9,3;9,2;6,8;9,4;12,0;11,6;12,2;11,9;12,0
Tojás, db;112;106;88;80;105;97;246;174;185;124;185;246;240;251;234;259
