20.2.1.36. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;;
;IV.;443,6;245,9;84,6;52,1;58,3;62,7;64,9;78,4;153,9;441,2;559,4;440,6;2 685,7
2018.;I.;446,3;256,5;86,9;53,0;60,5;64,6;65,0;71,5;141,6;442,2;559,1;440,8;2 688,1
;II.;443,3;248,2;86,6;53,5;59,5;57,3;60,4;72,2;143,7;437,7;561,5;440,5;2 664,2
;III.;438,3;233,1;85,4;52,1;58,8;64,2;60,5;74,4;136,2;418,6;559,8;444,7;2 626,1
;IV.;437,6;235,7;91,8;56,7;56,8;71,5;64,6;73,9;138,8;402,3;561,6;446,1;2 637,4
2019.;I.;437,1;248,1;83,8;57,8;55,0;65,2;62,1;71,4;139,4;392,4;561,9;449,8;2 624,1
;II.;438,6;249,0;83,3;54,1;56,2;64,7;65,8;76,2;135,6;389,9;561,4;448,1;2 623,0
;III.;436,4;233,9;81,8;55,7;56,6;63,6;61,9;83,3;131,6;382,4;566,1;449,7;2 603,2
;IV.;437,5;236,5;83,2;60,5;62,2;70,2;61,1;77,5;135,9;365,5;569,9;452,0;2 611,9
2020.;I.;445,0;230,4;86,4;70,6;60,3;71,6;70,0;80,0;127,0;357,7;575,4;457,3;2 631,6
;II.;454,8;234,4;88,4;75,6;62,8;77,3;68,7;76,0;132,7;337,3;573,0;458,2;2 639,2
;III.;440,7;221,9;80,9;66,0;65,6;63,9;71,4;68,3;120,0;325,2;582,8;466,5;2 573,2
;IV.;450,2;233,0;80,7;68,6;60,5;67,8;71,6;68,7;121,0;309,4;583,9;472,2;2 587,6
2021.;I.;448,9;230,3;90,5;72,4;62,9;69,0;75,3;72,2;113,3;313,8;576,6;474,6;2 599,7
