21.2.1.29. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott adatok [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
;III.;181,1;872,2;782,6;259,5;2 657,4;1 008,7;109,2;95,0;67,9;357,4;857,2;164,7;3 960,9
;IV.;183,9;870,9;777,4;262,0;2 638,8;999,8;108,7;95,1;68,4;345,6;856,4;165,3;3 945,9
2012.;I.;185,7;891,4;819,1;266,7;2 621,7;1 016,2;103,4;103,4;67,7;291,2;868,8;152,3;3 974,1
;II.;189,3;903,9;809,2;267,5;2 629,1;1 011,1;106,9;101,9;69,5;303,8;879,2;160,4;3 986,5
;III.;188,9;899,9;800,5;267,8;2 624,2;1 000,2;106,5;100,3;69,3;314,2;879,7;163,1;3 978,9
;IV.;204,3;892,9;794,1;266,9;2 634,6;1 000,7;107,0;97,3;67,6;316,1;890,3;161,8;3 995,3
2013.;I.;178,8;868,4;786,7;257,8;2 679,2;1 003,8;108,0;96,7;68,9;335,7;891,5;168,6;3 986,7
;II.;175,3;869,6;781,3;258,7;2 717,8;1 008,4;114,0;93,4;65,8;347,1;926,1;168,7;4 018,3
;III.;169,6;869,9;782,0;258,3;2 746,3;1 015,8;116,7;91,7;65,3;360,2;931,4;171,6;4 043,3
;IV.;164,0;859,9;781,3;259,7;2 806,3;1 022,9;118,4;91,5;68,5;365,3;960,7;172,9;4 091,3
2014.;I.;168,9;880,7;794,3;265,6;2 848,0;1 024,2;118,3;92,0;66,6;423,2;950,0;181,5;4 165,2
;II.;174,9;887,1;799,6;267,2;2 872,5;1 032,9;122,7;93,0;66,6;426,5;954,3;182,7;4 201,0
;III.;176,5;885,5;795,7;268,8;2 919,8;1 034,3;124,1;92,4;66,8;432,4;985,2;182,8;4 246,3
;IV.;175,3;881,8;798,3;267,3;2 935,7;1 039,7;126,4;92,8;65,5;440,4;978,8;179,9;4 263,1
2015.;I.;171,8;876,0;787,8;263,7;2 953,0;1 044,0;126,4;92,0;66,2;447,2;990,8;196,1;4 264,4
;II.;173,1;866,9;784,7;262,9;2 986,8;1 046,4;128,5;90,2;66,1;457,5;1 009,1;190,4;4 291,0
;III.;177,3;877,1;796,1;263,2;3 020,3;1 059,3;127,9;88,6;66,2;464,3;1 017,4;191,3;4 333,4
;IV.;178,1;887,7;804,5;264,1;3 029,3;1 064,8;128,7;87,4;64,9;467,5;1 018,7;191,8;4 362,5
2016.;I.;185,4;908,7;820,5;273,5;3 066,2;1 085,4;134,3;86,7;66,0;469,9;1 040,8;190,2;4 428,4
;II.;186,8;907,1;826,5;277,7;3 093,5;1 094,9;136,2;86,4;67,1;471,8;1 047,4;191,4;4 464,9
;III.;190,7;913,2;833,6;284,2;3 097,8;1 098,2;134,0;88,1;68,7;475,3;1 038,5;193,1;4 486,6
;IV.;192,6;919,6;839,8;292,0;3 104,0;1 105,3;134,2;89,6;70,4;480,2;1 027,3;189,9;4 513,2
2017.;I.;192,9;941,1;852,8;295,0;3 104,9;1 100,0;136,8;87,8;69,6;484,2;1 034,9;194,8;4 526,9
;II.;193,9;945,9;862,6;304,2;3 103,8;1 102,4;141,9;89,2;70,2;491,0;1 013,5;195,5;4 547,2
;III.;192,9;956,9;871,8;309,9;3 104,7;1 101,8;139,9;89,8;71,1;497,7;1 007,5;198,0;4 568,3
;IV.;196,8;963,4;877,0;317,7;3 113,0;1 101,4;141,1;89,3;72,2;504,3;1 003,4;197,2;4 594,6
2018.;I.;194,6;968,3;882,0;330,9;3 143,7;1 109,5;144,2;87,5;76,4;510,8;1 011,0;198,1;4 627,6
;II.;190,1;969,9;885,4;336,1;3 155,8;1 109,9;147,1;86,4;77,1;515,2;1 012,1;206,1;4 650,1
;III.;188,4;979,7;891,5;344,6;3 157,1;1 115,2;149,0;85,5;77,3;518,8;1 004,4;213,1;4 675,1
;IV.;190,2;983,6;896,2;351,7;3 168,5;1 120,0;151,0;84,5;77,5;520,9;1 004,6;212,0;4 700,4
2019.;I.;186,7;992,7;903,1;349,6;3 190,4;1 127,7;154,4;91,7;76,9;520,3;992,9;210,9;4 711,3
;II.;190,0;980,9;894,7;360,3;3 192,8;1 131,9;155,5;90,0;78,3;526,6;987,9;217,5;4 719,3
;III.;184,6;980,8;892,9;362,1;3 180,2;1 127,4;157,6;87,6;78,5;527,0;987,7;223,9;4 710,9
;IV.;184,7;976,0;888,1;365,0;3 183,5;1 131,3;159,3;85,5;80,1;528,8;988,6;221,0;4 718,8
2020.;I.;191,6;961,8;880,2;374,9;3 236,9;1 144,8;160,7;87,8;83,0;540,0;973,6;224,8;4 771,2
;II.;189,3;921,8;841,2;367,7;3 078,7;1 047,8;159,9;87,6;79,3;536,8;967,5;215,1;4 555,5
;III.;190,1;941,3;857,9;375,2;3 143,0;1 071,6;165,5;87,3;79,6;539,5;978,6;227,5;4 647,3
;IV.;188,5;947,1;863,3;379,6;3 163,6;1 079,4;169,1;86,9;79,6;542,6;980,8;225,6;4 677,2
2021.;I.;181,4;943,5;861,0;380,2;3 143,3;1 068,4;174,8;86,0;74,6;543,4;982,8;213,9;4 659,4
;II.;180,6;954,0;869,4;394,0;3 169,3;1 077,0;179,5;86,2;81,3;550,2;985,8;224,3;4 700,7
;III.;179,0;949,5;866,7;399,9;3 194,9;1 084,7;185,4;86,6;81,8;556,5;980,2;217,1;4 721,6
;IV.;175,8;959,2;871,8;406,4;3 235,8;1 094,6;187,9;88,1;82,0;562,3;977,5;230,3;4 765,2
2022.;I.;172,9;964,4;877,8;418,0;3 236,9;1 109,3;186,7;89,6;79,2;566,0;973,9;226,9;4 798,5
;II.;168,4;968,9;879,4;418,6;3 242,2;1 115,1;185,8;88,9;82,5;569,9;969,9;239,4;4 800,3
;III.;167,2;960,0;875,8;422,7;3 250,2;1 116,7;191,5;89,2;82,8;574,2;963,8;230,7;4 800,4
;IV.;;;;;;;;;;;;;
2022.;I–III.;169,5;964,4;877,7;419,8;3 243,1;1 113,7;188,0;89,2;81,5;570,0;969,2;232,3;4 799,7
