21.2.1.26. A kormányzati szektor fõbb negyedéves adatai;;;;;;;;;;;;;;;;;;;
Év;Idõszak, negyedév;Kiadások, milliárd forint, folyó termelõ-felhasználás P.2;Kiadások, milliárd forint, munkavállalói jövedelem D.1;Kiadások, milliárd forint, kamatok D.41;Kiadások, milliárd forint, pénzbeni társadalmi juttatások D.62;Kiadások, milliárd forint, bruttó állóeszköz felhalmozás P.51G;Kiadások, milliárd forint, egyéb kiadások;Kiadások, milliárd forint, összes kiadás;Bevételek, milliárd forint, termelési és importadók D.2;Bevételek, milliárd forint, ebbõl áfa D.211;Bevételek, milliárd forint, folyó jövedelem-, vagyon- stb. adók D.5;Bevételek, milliárd forint, tényleges társadalombiztosítási hozzájárulások D.611+D.613;Bevételek, milliárd forint, tõkeadók D.91R;Bevételek, milliárd forint, egyéb bevételek;Bevételek, milliárd forint, összes bevétel;Egyéb adatok, milliárd forint, végsõ fogyasztási kiadás P.3;Egyéb adatok, milliárd forint, nettó hitelfelvétel B.9;Egyéb adatok, milliárd forint, szezonálisan kiigazított GDP;Nettó hitelfelvétel / GDP, % szezonálisan kiigazított GDP
;IV.;1 111,5;1 220,0;276,2;1 277,1;897,0;1 117,3;5 899,2;2 140,0;1 158,4;782,1;1 390,8;4,4;916,1;5 233,3;2 464,6;-665,9;11 248,1;-5,9
2019.;I.;812,3;1 167,3;253,7;1 226,0;383,9;788,3;4 631,5;1 913,6;985,4;732,3;1 360,7;5,3;765,1;4 777,0;2 101,3;145,5;11 630,7;1,3
;II.;977,5;1 255,2;262,0;1 237,7;746,9;817,5;5 296,8;2 138,0;1 119,9;789,6;1 429,4;5,2;961,5;5 323,8;2 349,7;27,0;11 791,7;0,2
;III.;1 015,0;1 209,8;267,3;1 262,6;831,4;847,3;5 433,5;2 177,1;1 170,0;753,8;1 321,4;5,0;797,6;5 054,8;2 301,0;-378,7;12 012,8;-3,2
;IV.;1 344,0;1 353,1;277,6;1 379,8;1 014,0;1 221,2;6 589,6;2 298,1;1 251,5;845,4;1 450,3;4,6;1 229,3;5 827,6;2 812,7;-762,0;12 229,9;-6,2
2020.;I.;843,3;1 256,7;279,9;1 310,4;396,0;961,5;5 047,9;1 966,4;1 012,2;759,0;1 356,1;3,4;858,5;4 943,4;2 277,7;-104,6;12 503,1;-0,8
;II.;993,9;1 373,0;275,0;1 349,9;795,4;1 200,7;5 987,9;2 007,4;1 055,5;774,6;1 342,8;4,0;897,4;5 026,2;2 614,7;-961,7;10 948,9;-8,8
;III.;969,2;1 272,6;282,7;1 310,5;772,2;1 143,5;5 750,6;2 279,3;1 245,8;805,2;1 261,1;3,9;913,6;5 263,2;2 403,6;-487,4;12 176,8;-4,0
;IV.;1 450,0;1 409,1;289,3;1 406,5;1 150,0;2 238,7;7 943,6;2 470,7;1 403,6;900,5;1 405,7;4,2;1 067,8;5 848,9;3 019,7;-2 094,7;12 782,7;-16,4
2021.;I.;960,5;1 380,4;304,1;1 498,7;409,1;1 346,5;5 899,4;2 173,4;1 165,3;647,8;1 362,2;3,8;845,6;5 032,7;2 618,2;-866,7;12 954,6;-6,7
;II.;1 071,8;1 513,2;293,7;1 376,8;797,8;1 052,9;6 106,1;2 335,5;1 289,4;837,1;1 443,6;3,8;832,6;5 452,6;2 821,2;-653,5;13 670,5;-4,8
;III.;1 106,2;1 367,4;315,4;1 395,3;904,7;1 172,8;6 261,9;2 497,0;1 414,4;755,9;1 420,0;4,1;914,2;5 591,2;2 705,2;-670,6;13 862,8;-4,8
;IV.;1 665,1;1 563,1;330,1;1 681,6;1 340,7;1 843,1;8 423,5;2 685,9;1 591,1;855,0;1 557,1;5,0;1 573,4;6 676,3;3 369,0;-1 747,2;14 637,7;-11,9
2022.;I.;1 113,9;1 850,0;359,9;1 862,9;454,7;1 438,1;7 079,6;2 547,9;1 464,2;1 068,4;1 571,7;3,2;1 366,4;6 557,6;3 331,1;-522,0;15 558,0;-3,4
;II.;1 214,0;1 578,8;427,7;1 515,3;836,2;1 565,1;7 137,2;2 833,8;1 654,1;1 271,2;1 572,3;5,2;1 083,5;6 765,9;3 139,6;-371,3;16 245,8;-2,3
;III.;;;;;;;;;;;;;;;;;;
;IV.;;;;;;;;;;;;;;;;;;
2021.;I–IV.;4 803,6;5 824,1;1 243,2;5 952,4;3 452,3;5 415,3;26 690,9;9 691,7;5 460,2;3 095,8;5 782,9;16,7;4 165,8;22 752,9;11 513,6;-3 938,0;55 125,6;-7,1
2022.;I–II.;2 327,9;3 428,9;787,7;3 378,2;1 290,9;3 003,1;14 216,7;5 381,7;3 118,3;2 339,6;3 144,0;8,4;2 449,9;13 323,5;6 470,7;-893,2;31 803,8;-2,8
