19.1.3.7. Szarvasmarha-állomány [ezer darab];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Tanzánia;16 713;17 037;17 367;17 704;17 472;17 719;18 500;18 500;18 800;19 100;19 246;21 300;22 800;24 532;25 800;26 714;27 102;26 566;27 299;27 817;28 335
Argentína;48 674;48 851;52 000;55 876;56 844;57 034;58 294;58 722;57 583;54 464;48 950;47 973;49 866;50 996;51 647;51 430;52 637;54 793;54 793;55 008;54 461
Brazília;169 876;176 389;185 349;195 552;204 513;207 157;205 886;199 752;202 307;205 308;209 541;212 815;211 279;211 764;212 366;215 221;218 191;215 004;213 809;215 009;218 150
Chile;4 068;3 980;3 927;3 932;3 989;3 985;3 900;3 739;3 800;3 850;3 830;3 759;3 750;3 008;2 896;2 736;2 821;2 891;3 004;3 108;3 197
Egyesült Államok;98 199;97 298;96 723;96 100;94 888;95 018;96 702;96 573;96 035;94 721;94 081;92 887;91 160;90 095;88 526;89 143;91 888;93 625;94 298;94 805;93 793
Kanada;13 201;13 608;13 752;13 466;14 555;14 925;14 655;14 135;13 755;13 030;12 670;12 155;12 230;12 240;12 050;11 640;11 610;11 535;11 565;11 500;11 265
Kolumbia;24 364;24 510;24 765;24 799;24 922;25 699;26 129;26 703;26 878;26 432;27 329;25 156;23 643;23 008;22 575;22 528;22 556;24 328;26 021;27 240;28 245
Mexikó;30 524;30 621;31 407;31 477;31 248;30 990;31 163;31 396;31 761;32 307;32 642;32 936;31 925;32 402;32 940;33 503;33 779;34 278;34 820;35 225;35 639
Venezuela;15 164;15 474;15 791;15 989;16 232;16 615;16 629;16 854;16 988;17 000;14 134;14 334;16 970;16 971;16 816;16 795;16 494;16 059;15 899;16 003;16 239
Ausztrália;27 588;27 721;27 870;26 664;27 465;27 782;28 393;28 037;27 321;27 907;26 733;28 506;28 418;29 291;29 103;27 413;24 971;26 176;26 396;24 723;23 503
Új-Zéland;9 015;9 281;9 653;9 728;9 600;9 511;9 609;9 654;9 715;9 961;9 864;10 021;10 180;10 182;10 368;10 033;10 152;10 146;10 107;10 151;10 083
