13.2.1.9. Az ipar összes értékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb fel-dolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;április;16 271;476 293;40 366;151 734;289 058;284 454;87 766;335 964;355 020;376 993;313 571;206 528;844 590;110 397;3 872 735;1 169 613;5 058 619
;május;20 095;525 035;44 097;169 659;275 107;292 462;99 484;387 521;395 816;416 368;381 343;251 631;1 010 814;130 254;4 379 590;1 026 587;5 426 271
;június;21 356;543 748;47 440;166 587;317 791;270 821;107 728;365 060;386 395;478 165;397 463;257 982;1 026 991;128 911;4 495 081;1 070 853;5 587 290
;július;22 842;530 197;37 407;154 575;302 193;251 410;90 952;341 294;342 972;389 853;386 927;205 625;997 499;112 680;4 143 584;1 579 577;5 746 003
;augusztus;27 784;582 171;37 077;167 680;290 130;217 109;93 244;358 631;333 239;475 682;404 097;234 291;944 383;122 646;4 260 379;2 585 409;6 873 572
;szeptember;22 390;582 933;42 881;176 260;226 612;270 592;122 909;396 208;379 079;556 637;494 712;260 206;1 208 829;143 582;4 861 439;2 609 243;7 493 072
;október;21 488;587 470;39 890;174 488;276 991;252 940;112 286;376 630;356 849;526 985;493 255;246 459;1 194 118;132 699;4 771 059;1 930 593;6 723 141
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
Évkezdettõl kumulált;;;;;;;;;;;;;;;;;;
2018.;január–december;148 497;3 213 007;442 170;1 041 124;1 545 952;1 727 583;849 625;2 733 537;2 638 350;3 644 632;1 384 351;1 762 107;8 435 990;924 823;30 343 251;4 948 938;35 440 686
2019.;január–december;184 113;3 516 273;422 181;1 137 981;1 503 468;1 631 323;907 470;2 925 726;2 697 446;3 980 321;1 682 914;1 896 637;9 605 446;1 076 289;32 983 476;5 067 896;38 235 485
2020.;január–december;135 893;3 781 692;368 533;1 148 513;1 084 768;1 634 527;944 902;2 853 647;2 491 083;4 161 176;2 037 681;1 887 727;9 192 951;1 078 336;32 665 536;5 017 277;37 818 706
2021.;január–december;166 665;4 416 282;403 227;1 411 518;1 805 496;2 461 332;977 843;3 521 144;3 363 932;4 486 332;2 939 537;2 099 304;9 310 912;1 245 755;38 442 613;8 591 548;47 200 827
2022.;január–október;196 088;5 139 324;410 373;1 582 691;2 707 035;2 687 473;984 609;3 502 971;3 515 794;4 485 079;3 790 852;2 256 832;9 810 912;1 204 544;42 078 490;15 858 046;58 132 623
