19.1.3.4. A kukorica termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ukrajna;3 848;3 641;4 180;6 875;8 867;7 167;6 426;7 421;11 447;10 486;11 953;22 838;20 961;30 950;28 497;23 328;28 075;24 669;35 801;35 880;30 290
Fülöp-szigetek;4 511;4 525;4 319;4 616;5 413;5 253;6 082;6 737;6 928;7 034;6 377;6 971;7 407;7 377;7 771;7 519;7 219;7 915;7 772;7 979;8 119
India;12 043;13 160;11 152;14 984;14 172;14 710;15 097;18 955;19 731;16 720;21 726;21 760;22 260;24 260;24 170;22 570;25 900;25 900;28 753;27 715;30 160
Indonézia;9 677;9 347;9 585;10 886;11 225;12 524;11 609;13 288;16 324;17 630;18 328;17 643;19 387;18 512;19 008;19 612;23 578;28 924;30 254;22 586;22 500
Kína;106 178;114 256;120 189;115 998;130 434;139 498;151 731;152 419;166 032;164 108;177 541;192 904;205 719;218 622;215 812;265 157;263 778;259 256;257 349;260 958;260 876
Pakisztán;1 643;1 664;1 737;1 897;2 797;3 110;3 088;3 605;3 593;3 262;3 707;4 338;4 220;4 944;4 937;5 271;6 134;5 902;6 826;7 883;8 465
Thaiföld;4 473;4 497;4 259;4 249;4 341;4 094;3 918;3 890;4 249;4 616;4 861;4 973;4 948;4 876;4 805;4 730;4 390;4 821;5 069;4 535;4 806
Vietnám;2 006;2 162;2 511;3 136;3 431;3 787;3 855;4 303;4 573;4 372;4 607;4 836;4 973;5 191;5 203;5 287;5 244;5 110;4 874;4 732;4 560
Dél-afrikai Köztársaság;11 431;7 772;10 076;9 705;9 710;11 716;6 935;7 125;12 700;12 050;12 815;10 360;12 121;11 811;14 250;9 955;7 779;16 820;12 510;11 276;15 300
Egyiptom;6 474;6 094;6 431;6 530;6 236;7 085;6 374;6 243;7 401;7 686;7 041;6 876;8 094;7 957;8 060;7 803;7 818;8 543;5 111;7 593;7 500
Etiópia;2 683;3 298;2 826;2 744;2 906;3 912;4 030;4 156;4 343;4 657;5 481;6 442;6 701;7 106;7 730;8 211;8 847;10 488;10 120;9 636;10 022
Nigéria;4 107;4 596;4 890;5 203;5 567;5 957;7 100;6 724;7 525;7 358;7 677;8 878;8 695;8 423;10 059;10 562;11 548;10 420;11 000;12 700;12 000
Tanzánia;1 965;2 653;4 408;2 614;4 651;3 132;3 423;3 659;5 441;3 326;4 733;4 341;5 104;5 356;6 737;5 903;6 149;6 681;6 273;5 652;6 711
Argentína;16 781;15 359;14 712;15 045;14 951;20 483;14 446;21 755;22 017;13 121;22 663;23 800;21 197;32 119;33 087;33 818;39 793;49 476;43 462;56 861;58 396
Brazília;32 321;41 962;35 941;48 327;41 788;35 113;42 662;52 112;58 933;50 720;55 364;55 660;71 073;80 273;79 882;85 283;64 188;97 911;82 367;101 126;103 964
Chile;652;778;924;1 190;1 321;1 508;1 382;1 123;1 365;1 346;1 358;1 438;1 493;1 519;1 186;1 539;1 174;1 063;1 111;973;593
Egyesült Államok;251 854;241 377;227 767;256 229;299 876;282 263;267 503;331 177;305 911;331 921;315 618;312 789;273 192;351 272;361 091;345 486;412 262;371 096;364 262;345 962;360 252
Kanada;6 954;8 389;8 999;9 587;8 837;9 332;8 990;11 649;10 592;9 561;12 043;11 359;13 060;14 191;11 606;13 680;13 889;14 096;13 885;13 404;13 563
Kolumbia;1 204;1 192;1 264;1 514;1 623;1 588;1 531;1 733;1 727;1 560;1 422;1 720;1 873;1 779;1 803;1 471;1 295;1 330;1 378;1 395;1 479
Mexikó;17 557;20 134;19 298;20 701;21 670;19 339;21 893;23 513;24 320;20 143;23 302;17 635;22 069;22 664;23 273;24 694;28 250;27 763;27 169;27 228;27 425
Peru;1 241;1 311;1 291;1 354;1 200;1 241;1 269;1 368;1 481;1 560;1 541;1 516;1 674;1 670;1 530;1 746;1 510;1 523;1 577;1 576;1 448
Venezuela;1 690;1 801;1 392;1 823;2 126;2 193;2 337;2 571;2 638;2 183;2 372;2 034;2 108;2 457;2 307;1 440;1 543;1 282;1 776;1 566;1 552
Ausztrália;406;345;454;310;395;420;362;240;387;376;328;357;451;507;390;495;400;436;387;327;268
Új-Zéland;181;177;149;212;234;210;216;186;206;238;189;210;211;202;237;226;210;176;192;196;190
