20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
;III.;40,3;18,8;8,8;5,8;5,6;5,0;4,5;5,8;5,3;9,9;             ...;             ...;7,1;20,8
;IV.;36,5;18,1;7,9;6,1;6,0;5,0;5,3;6,3;5,6;7,5;             ...;             ...;7,1;19,7
2015.;I.;38,6;18,8;7,8;6,8;5,5;5,7;6,5;7,8;7,1;8,2;             ...;             ...;7,7;20,6
;II.;29,4;17,9;7,8;6,0;4,4;4,6;5,6;5,7;4,9;8,7;             ...;             ...;6,7;19,1
;III.;27,4;16,2;8,4;5,1;4,4;3,9;4,5;5,2;4,5;7,0;             ...;             ...;6,1;17,5
;IV.;20,5;15,4;7,5;4,8;4,6;3,8;4,9;5,5;4,1;6,7;             ...;             ...;5,9;16,1
2016.;I.;24,2;14,2;7,2;5,1;5,4;4,0;4,0;6,3;4,1;7,0;             ...;             ...;6,0;15,3
;II.;28,5;11,2;7,3;5,1;4,3;3,8;3,7;4,3;3,3;6,1;             ...;             ...;5,3;13,0
;III.;27,1;10,4;5,0;4,5;4,3;3,9;3,7;4,9;3,5;4,5;             ...;             ...;4,9;12,3
;IV.;27,2;9,5;4,9;3,6;4,0;3,1;3,8;3,9;3,5;4,4;             ...;             ...;4,4;11,3
2017.;I.;25,7;9,3;5,7;4,4;3,1;3,1;3,3;4,2;4,0;4,0;             ...;             ...;4,4;11,0
;II.;21,4;9,7;4,0;4,1;3,6;2,8;3,1;3,8;2,8;3,6;             ...;             ...;4,0;10,8
;III.;21,5;6,9;3,0;4,1;3,5;2,9;3,2;3,3;2,3;3,3;             ...;             ...;3,6;8,5
;IV.;23,4;6,7;3,1;3,7;3,6;2,5;2,2;3,0;1,6;3,3;             ...;             ...;3,3;8,6
2018.;I.;25,2;7,7;4,3;4,1;2,8;2,8;2,2;3,6;1,9;2,9;             ...;             ...;3,5;9,4
;II.;24,3;6,3;3,5;3,8;4,1;2,6;2,4;3,5;2,2;2,5;             ...;             ...;3,5;8,5
;III.;22,1;8,5;3,9;3,2;3,8;2,2;2,3;2,6;2,4;2,0;             ...;             ...;3,4;10,1
;IV.;22,4;9,6;3,5;3,7;3,4;3,0;2,6;2,2;2,6;2,2;             ...;             ...;3,5;11,2
2019.;I.;21,5;10,4;4,6;2,7;2,8;2,7;3,0;2,5;2,7;1,6;             ...;             ...;3,5;11,8
;II.;18,8;10,7;4,4;2,4;2,8;2,7;2,6;1,6;3,4;2,6;             ...;             ...;3,4;11,8
;III.;20,5;10,0;5,0;2,4;2,1;2,5;2,3;2,3;2,2;1,9;             ...;             ...;3,3;11,5
;IV.;25,6;10,9;4,4;2,3;2,0;1,8;2,8;2,4;1,7;2,1;             ...;             ...;3,2;12,7
2020.;I.;28,5;10,6;5,0;2,9;3,0;2,7;2,8;2,4;2,3;2,0;             ...;             ...;3,6;12,5
;II.;19,7;10,8;6,7;3,2;4,1;3,9;3,7;3,4;3,8;2,5;             ...;             ...;4,4;11,7
;III.;25,9;11,0;5,4;3,3;4,2;2,9;3,9;2,3;4,0;3,0;             ...;             ...;4,3;12,8
;IV.;22,5;8,9;6,2;3,0;3,2;3,1;2,9;3,2;4,1;3,3;             ...;             ...;4,0;10,3
2021. ;I.;30,7;8,5;6,1;4,1;4,4;3,0;2,6;2,9;3,2;2,7;             ...;             ...;4,1;11,0
;II.;30,5;8,8;6,2;3,6;2,8;2,8;2,9;3,7;4,0;3,1;             ...;             ...;4,1;11,3
;III.;31,1;11,1;4,6;2,6;3,0;3,0;2,0;3,1;4,1;2,4;             ...;             ...;3,8;14,0
;IV.;24,0;9,7;4,5;2,8;3,0;2,7;2,5;2,5;3,8;2,0;             …;             …;3,5;11,4
2022. ;I.;20,8;9,4;4,9;3,2;2,7;2,9;2,9;3,8;3,8;3,6;             …;             …;3,8;10,7
;II.;21,2;8,7;3,7;3,0;3,5;2,4;2,7;2,7;2,2;3,8;             …;             …;3,4;10,2
;III.;22,2;9,8;4,8;3,1;3,2;2,4;2,6;3,4;3,9;2,8;             …;             …;3,7;11,5
;IV.;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;
2009.;I.;49,1;20,9;9,1;8,5;7,0;8,0;7,8;7,5;7,0;4,4;             ...;             ...;8,7;22,8
;II.;52,9;20,3;8,8;7,9;7,5;8,2;7,8;7,4;6,3;5,4;             ...;             ...;8,6;22,2
;III.;48,8;22,1;9,9;7,9;7,9;8,5;9,0;8,1;6,9;4,3;             ...;             ...;9,3;23,8
;IV.;51,3;22,3;10,9;7,8;8,9;8,1;8,6;8,4;6,9;1,4;             ...;             ...;9,5;24,2
2010.;I.;43,6;21,4;12,5;9,1;9,9;9,1;9,7;7,9;7,2;2,9;             ...;             ...;10,1;22,7
;II.;38,3;21,7;11,1;8,1;9,2;9,0;9,4;8,5;8,0;4,1;             ...;             ...;9,8;22,8
;III.;36,7;24,2;11,4;9,1;9,1;8,6;9,0;8,2;7,9;4,8;             ...;             ...;10,0;25,0
;IV.;39,0;22,4;10,6;8,4;8,4;9,0;10,2;8,9;7,6;5,1;             ...;             ...;9,9;23,6
2011.;I.;32,6;22,0;11,2;9,1;9,9;9,6;11,4;9,4;7,9;4,9;             ...;             ...;10,4;22,6
;II.;41,1;20,8;10,7;8,5;9,7;9,8;10,1;9,5;9,4;5,0;             ...;             ...;10,2;21,9
;III.;49,2;22,1;11,2;8,0;8,9;9,3;10,9;9,4;8,3;6,5;             ...;             ...;10,1;23,8
