23.1.2.11. Fõbb felsõoktatási adatok az intézmény székhely megyéje és régiója szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Nyugat-Dunántúl;régió;12 213;13 271;14 332;15 257;15 847;16 322;16 093;15 783;15 555;15 411;15 259;14 725;13 812;12 712;12 064;11 291;9 464;9 223;9 403;9 266;9 313
Baranya;megye;14 492;15 169;15 988;17 268;17 954;19 041;19 536;19 868;19 935;19 539;18 734;17 296;16 307;15 638;15 247;15 273;15 725;15 646;16 057;16 524;17 209
Somogy ;megye;1 728;1 836;1 949;2 077;2 294;2 414;2 291;2 273;2 142;1 986;1 965;1 902;1 878;1 751;1 673;1 767;1 570;1 538;1 478;–;–
Tolna ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Dél-Dunántúl;régió;16 220;17 005;17 937;19 345;20 248;21 455;21 827;22 141;22 077;21 525;20 699;19 198;18 185;17 389;16 920;17 040;17 295;17 184;17 535;16 524;17 209
Dunántúl;nagyrégió;43 317;46 505;49 013;51 658;53 807;55 388;55 420;53 774;52 675;50 854;48 857;45 267;41 285;38 130;35 822;34 682;32 327;31 772;32 236;30 679;31 884
Borsod-Abaúj-Zemplén;megye;7 957;8 043;8 088;8 210;8 508;8 772;8 655;8 625;8 719;8 490;8 394;8 122;7 414;6 927;6 556;6 290;6 033;5 768;5 694;5 578;5 410
Heves ;megye;3 165;3 473;5 648;6 048;6 304;6 761;6 759;6 670;6 640;6 047;6 261;5 719;4 290;3 993;3 702;3 657;3 610;3 461;3 682;3 134;2 983
Nógrád ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Észak-Magyarország;régió;11 122;11 516;13 736;14 258;14 812;15 533;15 414;15 295;15 359;14 537;14 655;13 841;11 704;10 920;10 258;9 947;9 643;9 229;9 376;8 712;8 393
Hajdú-Bihar ;megye;15 881;16 573;17 563;18 582;19 311;20 711;21 761;23 381;23 857;24 254;25 237;24 860;24 161;23 451;22 551;21 732;21 473;21 446;22 445;22 773;23 406
Jász-Nagykun-Szolnok;megye;1 776;1 824;1 966;2 290;2 308;2 723;2 603;2 322;2 101;1 667;1 448;1 149;846;662;555;–;–;–;–;–;–
Szabolcs-Szatmár-Bereg;megye;3 929;4 386;4 880;5 392;5 800;6 109;6 225;5 652;4 710;3 922;3 583;2 998;2 370;2 109;1 830;1 783;1 683;1 658;1 709;1 554;1 485
Észak-Alföld;régió;21 586;22 783;24 409;26 264;27 419;29 543;30 589;31 355;30 668;29 843;30 268;29 007;27 377;26 222;24 936;23 515;23 156;23 104;24 154;24 327;24 891
Bács-Kiskun ;megye;4 130;4 684;4 623;4 742;4 523;4 348;4 093;3 875;3 807;3 680;3 748;3 531;2 993;2 764;2 554;2 854;2 310;2 171;2 042;1 829;1 905
Békés ;megye;2 810;2 911;2 919;3 054;2 889;2 350;1 982;1 653;–;–;–;–;–;–;–;–;489;533;517;592;–
Csongrád-Csanád-Csanád;megye;15 724;16 426;17 346;17 731;18 411;19 537;20 890;21 266;20 967;21 019;21 224;20 308;19 294;18 945;18 583;18 124;17 651;17 480;17 760;18 572;18 424
Dél-Alföld;régió;22 664;24 021;24 888;25 527;25 823;26 235;26 965;26 794;24 774;24 699;24 972;23 839;22 287;21 709;21 137;20 978;20 450;20 184;20 319;20 993;20 329
Alföld és Észak;nagyrégió;55 372;58 320;63 033;66 049;68 054;71 311;72 968;73 444;70 801;69 079;69 895;66 687;61 368;58 851;56 331;54 440;53 249;52 517;53 849;54 032;53 613
Összesen;ország;192 974;203 379;216 296;225 512;231 482;238 674;242 893;242 928;242 701;240 727;241 614;233 678;223 604;217 248;210 103;205 560;202 278;200 130;203 625;204 711;207 262
