20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Borsod-Abaúj-Zemplén;megye;263,4;22,4;285,8;110,4;396,2;34,3;72,1;7,8;66,5
Heves;megye;127,9;3,9;131,8;48,8;180,6;9,4;73,0;2,9;70,8
Nógrád;megye;79,0;8,0;87,0;30,4;117,4;12,5;74,1;9,2;67,3
Észak-Magyarország;régió;470,3;34,3;504,5;189,7;694,2;56,3;72,7;6,8;67,7
Hajdú-Bihar;megye;235,8;13,1;248,9;87,4;336,3;21,7;74,0;5,3;70,1
Jász-Nagykun-Szolnok;megye;159,9;9,0;168,9;56,6;225,4;14,4;74,9;5,3;70,9
Szabolcs-Szatmár-Bereg;megye;237,6;25,0;262,6;89,4;352,0;35,4;74,6;9,5;67,5
Észak-Alföld;régió;633,3;47,2;680,4;233,4;913,8;71,5;74,5;6,9;69,3
Bács-Kiskun;megye;230,6;8,7;239,4;75,6;314,9;15,2;76,0;3,7;73,2
Békés;megye;141,1;9,9;150,9;49,6;200,6;13,4;75,3;6,5;70,3
Csongrád-Csanád;megye;184,2;4,8;189,0;58,3;247,3;7,2;76,4;2,5;74,5
Dél-Alföld;régió;555,8;23,4;579,3;183,5;762,8;35,7;75,9;4,0;72,9
Alföld és Észak;nagyrégió;1 659,4;104,9;1 764,2;606,5;2 370,8;163,5;74,4;5,9;70,0
Összesen;ország;4 568,6;179,0;4 747,6;1 429,2;6 176,8;291,3;76,9;3,8;74,0
2022. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;861,2;18,7;879,9;203,4;1 083,3;31,4;81,2;2,1;79,5
Pest;megye, régió;659,9;10,7;670,7;193,0;863,7;16,7;77,7;1,6;76,4
Közép-Magyarország;nagyrégió;1 521,1;29,4;1 550,6;396,4;1 947,0;48,1;79,6;1,9;78,1
Fejér;megye;208,5;4,3;212,8;58,0;270,8;7,8;78,6;2,0;77,0
Komárom-Esztergom;megye;151,8;2,5;154,3;39,5;193,8;4,8;79,6;1,6;78,3
Veszprém;megye;161,8;1,5;163,2;50,3;213,5;3,0;76,4;0,9;75,7
Közép-Dunántúl;régió;522,0;8,3;530,3;147,8;678,1;15,6;78,2;1,6;77,0
Gyõr-Moson-Sopron;megye;245,4;2,9;248,4;64,8;313,2;5,7;79,3;1,2;78,4
Vas;megye;125,4;1,8;127,2;37,1;164,4;3,7;77,4;1,4;76,3
Zala;megye;121,8;4,0;125,8;40,2;166,0;7,4;75,8;3,2;73,4
Nyugat-Dunántúl;régió;492,6;8,8;501,4;142,2;643,6;16,8;77,9;1,7;76,5
Baranya;megye;154,6;7,0;161,5;61,4;223,0;10,8;72,4;4,3;69,3
Somogy;megye;123,9;7,7;131,6;52,8;184,4;13,9;71,4;5,8;67,2
Tolna;megye;96,2;2,8;99,0;32,6;131,7;5,5;75,2;2,8;73,1
Dél-Dunántúl;régió;374,7;17,5;392,2;146,8;539,0;30,2;72,8;4,5;69,5
Dunántúl;nagyrégió;1 389,3;34,5;1 423,9;436,9;1 860,7;62,6;76,5;2,4;74,7
Borsod-Abaúj-Zemplén;megye;270,8;17,8;288,6;106,5;395,1;30,2;73,0;6,2;68,5
Heves;megye;126,4;3,7;130,1;50,4;180,5;10,0;72,1;2,9;70,0
Nógrád;megye;79,1;7,9;87,0;30,0;117,0;10,2;74,3;9,1;67,6
Észak-Magyarország;régió;476,2;29,4;505,6;186,9;692,6;50,4;73,0;5,8;68,8
