20.2.1.19. A foglalkoztatottak száma a foglalkoztatás jellege szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;Alkalmazott;Nem alkalmazott összesen;Nem alkalmazott, ebbõl: társas vállalkozás tagja;Nem alkalmazott, ebbõl: egyéni vállalkozó, önálló;Nem alkalmazott, ebbõl: segítõ családtag;Összesen ;Nem besorolt ;Foglalkoztatottak összesen
Együtt ;;;;;;;;;
;III.;1 714,9;305,7;88,2;211,3;4,6;2 020,6;0,0;2 020,6
;IV.;1 707,3;303,4;88,0;209,7;4,5;2 010,7;0,0;2 010,7
2011.;I.;1 661,9;308,2;89,9;212,4;4,3;1 970,1;0,0;1 970,1
;II.;1 709,6;314,3;91,9;216,2;5,0;2 023,8;0,0;2 023,8
;III.;1 741,4;311,9;91,5;213,4;5,7;2 053,3;0,0;2 053,3
;IV.;1 744,3;299,1;88,3;204,5;4,5;2 043,4;0,0;2 043,4
2012.;I.;1 707,3;292,3;92,9;193,3;4,6;1 999,6;0,0;1 999,6
;II.;1 750,4;292,7;99,5;186,3;5,2;2 043,0;0,0;2 043,0
;III.;1 780,9;297,3;99,5;190,1;6,2;2 078,2;0,0;2 078,2
;IV.;1 782,4;294,3;101,8;185,5;5,0;2 076,8;0,1;2 076,9
2013.;I.;1 723,7;289,9;106,4;177,0;4,4;2 013,6;0,2;2 013,8
;II.;1 820,0;287,0;108,4;171,3;5,2;2 107,0;0,0;2 107,0
;III.;1 852,8;291,7;113,0;170,7;4,9;2 144,6;0,0;2 144,6
;IV.;1 854,5;298,5;115,7;174,8;4,8;2 153,0;0,0;2 153,0
2014.;I.;1 863,7;298,6;112,9;176,5;5,9;2 162,3;22,9;2 185,2
;II.;1 897,5;305,0;110,6;185,7;5,7;2 202,5;5,3;2 207,8
;III.;1 940,7;310,1;112,9;188,8;5,8;2 250,8;1,8;2 252,6
;IV.;1 940,6;295,4;106,6;181,4;5,0;2 236,0;2,1;2 238,1
2015.;I.;1 924,3;289,3;102,3;180,3;5,4;2 213,6;7,3;2 220,9
;II.;1 974,0;301,2;103,8;189,4;6,7;2 275,2;2,8;2 278,0
;III.;2 010,0;307,5;101,1;198,6;6,5;2 317,4;1,9;2 319,3
;IV.;2 002,7;312,9;100,7;204,8;6,0;2 315,6;2,4;2 318,0
2016.;I.;2 003,0;309,2;94,3;206,5;6,9;2 312,1;2,1;2 314,2
;II.;2 050,0;307,9;91,3;210,3;5,8;2 357,9;1,2;2 359,1
;III.;2 077,4;305,5;98,0;202,0;4,9;2 383,0;1,3;2 384,2
;IV.;2 095,4;296,2;98,8;192,3;4,2;2 391,5;1,6;2 393,1
2017.;I.;2 091,0;287,0;98,6;184,5;3,7;2 378,0;0,0;2 378,0
;II.;2 130,4;287,2;101,8;181,8;3,4;2 417,6;0,0;2 417,6
;III.;2 140,3;296,9;110,2;183,0;3,5;2 437,2;0,0;2 437,2
;IV.;2 142,1;294,9;103,7;187,7;3,2;2 437,0;0,0;2 437,0
2018.;I.;2 125,1;302,1;105,0;193,4;3,4;2 427,2;0,0;2 427,2
;II.;2 139,8;303,3;104,2;194,3;4,7;2 443,1;0,0;2 443,1
;III.;2 157,8;300,2;100,7;195,8;3,6;2 458,1;0,0;2 458,1
;IV.;2 158,5;298,1;99,2;194,8;4,0;2 456,6;0,0;2 456,6
2019.;I.;2 163,8;309,0;112,2;192,9;3,7;2 472,8;0,0;2 472,8
;II.;2 157,7;314,7;106,4;204,3;3,8;2 472,4;0,0;2 472,4
;III.;2 170,4;317,0;107,0;206,2;3,6;2 487,4;0,0;2 487,4
;IV.;2 151,4;336,3;118,3;213,7;4,1;2 487,7;0,0;2 487,7
2020.;I.;2 119,9;337,7;110,6;224,3;2,7;2 457,6;0,0;2 457,6
;II.;2 087,2;345,8;117,9;223,8;3,9;2 432,9;0,0;2 432,9
;III.;2 127,7;350,0;123,1;222,6;4,0;2 477,6;0,0;2 477,6
;IV.;2 122,7;357,4;121,1;232,1;3,7;2 480,1;0,0;2 480,1
2021.;I.;2 099,9;356,3;108,9;242,7;3,7;2 456,1;0,0;2 456,1
;II.;2 107,5;356,3;110,0;241,5;4,1;2 463,8;0,0;2 463,8
;III.;2 104,5;374,6;102,6;266,5;5,4;2 479,1;0,0;2 479,1
;IV.;2 118,4;369,8;104,2;259,8;5,5;2 488,2;0,0;2 488,2
2022.;I.;2 115,4;366,6;97,5;265,5;3,5;2 481,9;0,0;2 481,9
;II.;2 126,0;365,6;102,4;258,8;4,0;2 491,6;0,0;2 491,6
;III.;2 128,6;374,6;101,1;267,4;5,5;2 503,2;0,0;2 503,2
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;1 692,7;163,0;40,4;113,7;8,3;1 855,7;6,8;1 862,6
;II.;1 700,5;162,4;43,5;109,6;8,8;1 862,9;7,1;1 870,0
;III.;1 699,9;163,5;47,1;107,0;8,6;1 863,3;7,1;1 870,5
;IV.;1 696,7;168,0;50,4;108,6;8,1;1 864,7;6,1;1 870,8
2010.;I.;1 695,7;165,3;51,5;104,8;8,2;1 861,1;6,9;1 867,9
;II.;1 713,1;161,0;49,0;102,5;8,3;1 874,1;6,2;1 880,2
;III.;1 718,6;163,1;51,6;101,9;8,4;1 881,7;5,4;1 887,2
;IV.;1 716,1;162,8;49,8;103,9;8,3;1 878,9;5,1;1 884,1
2011.;I.;1 697,3;158,3;47,6;100,3;9,8;1 855,6;6,3;1 861,8
;II.;1 716,1;156,0;45,1;99,5;10,9;1 872,1;4,9;1 877,0
;III.;1 728,6;156,0;43,4;100,5;11,6;1 884,7;4,3;1 888,9
;IV.;1 733,0;154,6;42,8;99,7;11,7;1 887,7;5,8;1 893,5
2012.;I.;1 709,1;155,3;45,0;100,7;9,3;1 864,4;6,4;1 870,7
;II.;1 738,3;164,3;48,5;105,6;9,7;1 902,6;4,7;1 907,2
;III.;1 771,7;166,0;51,4;103,4;10,2;1 937,7;3,7;1 941,4
;IV.;1 750,3;164,1;52,0;99,9;11,2;1 914,4;3,4;1 917,8
2013.;I.;1 725,3;162,2;52,7;97,6;10,9;1 887,5;5,3;1 892,8
;II.;1 759,7;156,6;51,1;96,2;8,7;1 916,2;5,0;1 921,3
;III.;1 781,1;151,0;49,2;92,9;8,4;1 932,2;5,0;1 937,1
;IV.;1 793,5;151,6;49,2;92,8;9,0;1 945,1;2,3;1 947,5
2014.;I.;1 801,3;154,1;50,3;93,4;9,9;1 955,4;24,6;1 980,0
;II.;1 823,8;157,1;51,3;97,0;8,3;1 980,8;7,8;1 988,6
;III.;1 859,4;153,7;47,9;97,6;7,0;2 013,1;4,5;2 017,6
;IV.;1 867,5;148,6;47,7;93,2;6,8;2 016,1;4,7;2 020,7
2015.;I.;1 849,8;152,8;49,6;96,3;5,9;2 002,6;12,4;2 014,9
;II.;1 881,6;159,9;48,4;104,8;6,4;2 041,5;4,4;2 046,0
;III.;1 902,7;163,6;50,1;107,9;5,4;2 066,3;4,7;2 071,1
;IV.;1 906,6;161,7;50,8;104,7;6,1;2 068,3;3,9;2 072,2
2016.;I.;1 908,6;162,4;52,2;103,6;6,5;2 071,1;5,2;2 076,3
;II.;1 943,9;167,9;51,2;109,3;7,4;2 111,8;5,5;2 117,3
;III.;1 960,7;170,6;53,8;107,6;9,2;2 131,3;5,6;2 136,8
;IV.;1 967,8;174,6;57,4;106,8;10,3;2 142,4;5,4;2 147,8
2017.;I.;1 943,7;172,7;62,3;101,3;9,0;2 116,4;3,6;2 120,0
;II.;1 954,6;166,9;53,6;104,3;8,9;2 121,5;1,9;2 123,4
;III.;1 961,7;174,4;53,5;110,4;10,2;2 136,0;1,9;2 138,0
;IV.;1 969,5;171,0;49,6;109,9;11,4;2 140,6;1,8;2 142,4
2018.;I.;1 974,2;166,3;44,3;114,0;7,9;2 140,4;3,0;2 143,4
;II.;1 995,1;166,1;47,4;112,0;6,7;2 161,1;2,7;2 163,8
;III.;1 989,5;175,9;49,7;120,9;5,2;2 165,3;4,0;2 169,4
;IV.;1 990,9;169,5;48,3;115,3;5,9;2 160,4;3,6;2 164,0
2019.;I.;1 981,4;171,6;51,4;116,5;3,6;2 152,9;5,3;2 158,2
;II.;1 993,8;170,6;52,1;113,1;5,4;2 164,4;6,3;2 170,7
;III.;1 986,7;175,0;57,3;112,2;5,3;2 161,7;5,1;2 166,8
;IV.;1 975,2;183,0;58,9;117,3;6,9;2 158,3;4,0;2 162,3
2020.;I.;1 956,4;188,4;60,6;121,4;6,4;2 144,8;4,4;2 149,2
;II.;1 925,5;193,0;57,8;128,7;6,4;2 118,5;5,0;2 123,4
;III.;1 953,3;193,0;62,9;121,8;8,4;2 146,3;3,3;2 149,6
;IV.;1 934,0;205,4;65,3;133,0;7,1;2 139,3;3,2;2 142,5
2021.;I.;1 908,1;203,4;51,1;143,6;7,9;2 111,5;0,0;2 111,5
;II.;1 939,6;215,8;49,8;157,2;8,1;2 155,5;0,0;2 155,5
;III.;1 972,2;212,2;43,8;158,9;8,6;2 184,3;0,0;2 184,3
;IV.;1 980,8;218,9;47,5;161,8;9,2;2 199,7;0,0;2 199,7
2022.;I.;1 975,1;217,3;45,2;161,3;10,1;2 192,4;0,0;2 192,4
;II.;1 982,5;219,2;49,3;159,3;10,1;2 201,6;0,0;2 201,6
;III.;1 989,5;219,5;52,5;155,1;11,2;2 209,0;0,0;2 209,0
;IV.;;;;;;;;
