19.1.3.5. A burgonya termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Egyesült Királyság;6 636;6 649;6 966;5 918;6 317;5 979;5 864;5 635;5 999;6 396;6 056;6 310;4 553;5 685;5 911;5 644;5 395;6 218;5 060;5 307;5 520
Észak-Macedónia;164;173;183;175;199;187;188;181;191;207;202;194;170;191;200;190;199;179;182;191;193
Norvégia;357;401;390;367;396;317;378;330;398;333;333;296;305;318;358;305;351;316;326;332;361
Oroszország;29 465;29 499;26 923;29 358;27 876;28 137;28 260;27 195;28 846;31 134;21 141;32 681;29 533;30 199;31 501;33 646;22 463;21 708;22 395;22 075;19 607
Svájc;601;518;526;458;527;485;392;490;473;522;421;515;447;360;504;389;373;461;448;414;490
Szerbia;..;..;..;..;..;..;930;743;844;898;887;892;578;767;592;639;714;589;488;702;665
Törökország;5 370;5 000;5 200;5 300;4 800;4 090;4 397;4 246;4 225;4 425;4 548;4 648;4 822;3 955;4 166;4 760;4 750;4 800;4 550;4 980;5 200
Ukrajna;19 838;17 344;16 620;18 453;20 755;19 462;19 467;19 102;19 545;19 666;18 705;24 248;23 250;22 259;23 693;20 839;21 750;22 208;22 504;20 269;20 838
India;25 000;22 243;24 456;23 161;27 926;28 788;29 175;28 600;34 658;34 391;36 577;42 339;41 483;45 344;46 395;48 009;43 417;48 605;51 310;50 190;51 300
Indonézia;977;831;894;1 010;1 072;1 010;1 012;1 004;1 044;1 176;1 061;955;1 094;1 124;1 348;1 219;1 213;1 165;1 285;1 315;1 283
Irán;3 658;3 486;3 756;4 211;4 454;4 830;4 219;4 026;4 733;4 109;4 275;4 708;5 069;4 598;4 989;5 141;4 995;4 117;3 575;3 674;4 475
Izrael;389;396;417;440;600;594;548;619;558;609;549;621;566;591;628;562;598;522;511;524;499
Japán;2 898;2 959;3 074;2 939;2 884;2 749;2 635;2 873;2 743;2 459;2 290;2 387;2 500;2 408;2 456;2 354;2 199;2 395;2 260;2 399;2 274
Kína;66 318;64 598;70 226;68 139;72 243;70 911;64 536;63 820;68 633;69 886;76 592;81 636;84 404;85 931;84 212;82 893;84 987;88 536;90 321;75 658;78 237
Koreai Köztársaság;705;604;666;498;643;894;631;574;605;591;617;622;608;727;591;538;556;467;548;630;553
Dél-afrikai Köztársaság;1 697;1 747;1 556;1 650;1 800;1 768;1 857;1 917;2 040;1 867;2 090;2 197;2 229;2 174;2 247;2 487;2 151;2 457;2 468;2 506;2 547
Egyiptom;1 770;1 903;1 985;2 039;2 547;3 167;2 313;2 760;3 567;3 659;3 643;4 338;4 758;4 265;4 611;4 955;4 113;4 841;4 960;5 201;5 216
Marokkó;1 090;1 155;1 334;1 401;1 482;1 479;1 569;1 437;1 537;1 234;1 605;1 721;1 657;1 929;1 951;1 924;1 744;1 925;1 869;1 957;1 707
Argentína;2 221;2 497;2 262;2 095;2 021;1 789;1 944;1 950;1 900;1 950;2 011;2 058;2 149;2 212;2 265;2 330;2 431;2 449;2 403;2 428;2 427
Brazília;2 607;2 849;3 126;3 089;3 047;3 130;3 152;3 551;3 677;3 444;3 548;3 917;3 732;3 554;3 690;3 868;3 851;3 655;3 729;3 712;3 768
Chile;988;1 210;1 303;1 094;1 144;1 116;1 391;834;966;925;1 081;1 676;1 093;1 159;1 061;961;1 166;1 426;1 183;1 163;1 288
Egyesült Államok;23 294;19 853;20 782;20 784;20 675;19 223;19 990;20 179;18 827;19 622;18 350;19 506;21 091;19 715;20 057;20 013;20 426;20 453;20 422;19 251;18 790
Kanada;4 577;4 229;4 715;5 294;5 247;4 443;5 102;4 999;4 707;4 585;5 441;5 173;5 642;5 733;5 643;5 875;5 346;5 419;5 205;5 364;5 295
Kolumbia;1 404;1 765;1 761;2 144;2 036;1 833;2 208;2 823;2 373;2 273;1 868;1 710;1 847;2 129;2 158;2 582;3 034;3 707;3 019;3 124;2 625
Mexikó;1 627;1 628;1 484;1 662;1 507;1 635;1 523;1 751;1 670;1 501;1 537;1 433;1 802;1 630;1 679;1 727;1 797;1 715;1 803;1 784;1 944
Peru;3 275;2 691;3 298;3 144;3 008;3 290;3 248;3 388;3 597;3 765;3 814;4 072;4 475;4 571;4 705;4 705;4 514;4 776;5 134;5 389;5 467
Ausztrália;1 200;1 302;1 333;1 247;1 310;1 288;1 250;1 212;1 409;1 179;1 278;1 128;1 288;1 273;1 171;1 155;1 130;1 105;1 189;1 225;1 077
Új-Zéland;500;500;500;500;500;500;501;480;505;545;525;527;562;507;446;456;472;474;499;521;553
