20.2.1.12. A munkavállalási korú népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;Munkavállalási korú népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;IV.;4 580,0;177,6;4 757,6;1 425,4;6 183,0;293,3;76,9;3,7;74,1
2022.;I.;4 591,5;179,0;4 770,5;1 530,2;6 300,7;292,2;75,7;3,8;72,9
;II.;4 609,4;154,1;4 763,5;1 526,2;6 289,7;255,8;75,7;3,2;73,3
;III.;4 624,1;176,1;4 800,2;1 479,4;6 279,6;274,7;76,4;3,7;73,6
;IV.;;;;;;;;;
Ebbõl:;;;;;;;;;;
férfi;;;;;;;;;;
2009.;I.;1 979,3;225,1;2 204,4;954,7;3 159,1;351,6;69,8;10,2;62,7
;II.;2 001,0;223,9;2 224,9;928,6;3 153,5;337,4;70,6;10,1;63,5
;III.;1 991,3;238,8;2 230,1;922,6;3 152,7;362,2;70,7;10,7;63,2
;IV.;1 982,9;239,1;2 222,0;929,1;3 151,0;369,4;70,5;10,8;62,9
2010.;I.;1 920,4;282,9;2 203,3;947,0;3 150,2;419,3;69,9;12,8;61,0
;II.;1 957,2;266,8;2 224,1;925,7;3 149,8;391,4;70,6;12,0;62,1
;III.;1 984,5;248,7;2 233,2;911,4;3 144,6;370,9;71,0;11,1;63,1
;IV.;1 975,0;247,7;2 222,7;914,6;3 137,3;375,2;70,8;11,1;63,0
2011.;I.;1 930,2;274,6;2 204,8;922,9;3 127,7;422,2;70,5;12,5;61,7
;II.;1 983,6;245,0;2 228,5;899,5;3 128,0;386,8;71,2;11,0;63,4
;III.;2 011,9;243,0;2 254,9;869,6;3 124,6;385,5;72,2;10,8;64,4
;IV.;2 002,4;241,9;2 244,3;879,8;3 124,2;385,9;71,8;10,8;64,1
2012.;I.;1 960,1;279,2;2 239,3;888,6;3 127,9;423,9;71,6;12,5;62,7
;II.;2 000,3;264,8;2 265,2;855,0;3 120,2;406,3;72,6;11,7;64,1
;III.;2 039,7;249,5;2 289,2;828,1;3 117,3;392,7;73,4;10,9;65,4
;IV.;2 039,4;249,8;2 289,2;822,1;3 111,3;399,1;73,6;10,9;65,5
2013.;I.;1 976,9;281,5;2 258,4;849,4;3 107,8;461,4;72,7;12,5;63,6
;II.;2 069,5;235,5;2 305,0;795,2;3 100,1;385,8;74,4;10,2;66,8
;III.;2 106,4;227,5;2 333,8;759,0;3 092,9;364,4;75,5;9,7;68,1
;IV.;2 111,7;209,6;2 321,3;764,8;3 086,1;341,3;75,2;9,0;68,4
2014.;I.;2 149,8;191,7;2 341,5;737,2;3 078,7;344,7;76,1;8,2;69,8
;II.;2 169,5;190,5;2 360,1;709,8;3 069,9;319,8;76,9;8,1;70,7
;III.;2 210,6;171,0;2 381,6;683,9;3 065,5;290,1;77,7;7,2;72,1
;IV.;2 195,3;169,1;2 364,4;692,9;3 057,3;280,9;77,3;7,2;71,8
2015.;I.;2 194,8;185,4;2 380,2;732,2;3 112,4;302,9;76,5;7,8;70,5
;II.;2 248,8;162,6;2 411,4;695,5;3 106,8;269,9;77,6;6,7;72,4
;III.;2 284,4;150,4;2 434,8;672,0;3 106,8;251,9;78,4;6,2;73,5
;IV.;2 279,3;145,6;2 424,9;677,2;3 102,1;246,2;78,2;6,0;73,5
2016.;I.;2 273,0;146,2;2 419,2;674,4;3 093,7;249,8;78,2;6,0;73,5
;II.;2 313,2;130,7;2 443,9;643,8;3 087,8;211,6;79,1;5,3;74,9
;III.;2 329,0;121,1;2 450,2;629,1;3 079,2;201,2;79,6;4,9;75,6
;IV.;2 342,7;109,2;2 451,9;628,4;3 080,3;181,9;79,6;4,5;76,1
2017.;I.;2 346,0;108,7;2 454,7;683,9;3 138,5;193,4;78,2;4,4;74,7
;II.;2 381,7;100,0;2 481,7;642,3;3 124,0;175,0;79,4;4,0;76,2
;III.;2 402,0;90,6;2 492,5;623,2;3 115,7;160,1;80,0;3,6;77,1
;IV.;2 401,6;82,5;2 484,0;621,1;3 105,1;145,5;80,0;3,3;77,3
2018.;I.;2 389,4;88,0;2 477,5;621,5;3 099,0;151,4;79,9;3,6;77,1
;II.;2 401,1;88,1;2 489,2;604,8;3 094,1;146,0;80,5;3,5;77,6
;III.;2 411,4;85,6;2 497,0;592,2;3 089,2;147,1;80,8;3,4;78,1
