21.1.1.39. A háztartások fogyasztási kiadása rendeltetés szerinti (COICOP) bontásban folyó áron [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;
COICOP-csoport;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
09.4 Szabadidõs és kulturális tevékenységekkel kapcsolatos szolgáltatások;83 857;102 317;131 336;147 180;181 412;223 221;272 393;308 927;346 943;365 991;419 060;435 569;455 974;486 362;482 988;493 191;497 279;506 149;492 041;513 265;541 521;571 391;611 133;665 842;757 117;689 692;796 646
09.5 Újság, könyv, papír és írószer;61 321;73 072;87 733;99 401;110 589;120 383;138 115;148 702;160 019;170 700;184 520;198 201;200 322;183 601;182 777;177 877;178 840;176 173;174 063;170 899;162 757;174 765;177 481;176 486;172 476;157 696;171 227
09.6 Szervezett társasutazás;13 860;21 935;22 708;30 633;36 164;51 470;48 363;61 066;57 988;66 945;74 341;77 519;80 951;72 576;74 534;80 424;79 858;82 414;75 834;83 797;88 065;87 258;111 832;133 769;145 380;45 273;88 709
10. Oktatás;69 253;87 195;93 878;103 649;109 241;122 283;145 665;163 813;207 894;208 354;203 411;222 638;221 649;205 283;206 613;216 040;215 548;231 010;252 632;284 516;299 172;330 026;341 773;382 961;436 161;416 715;455 813
10.1 Iskolaelõkészítõ és alapfokú oktatás;6 609;8 184;9 595;10 682;10 870;11 943;13 082;14 241;14 601;14 548;16 819;20 183;20 922;10 296;10 802;7 298;9 802;7 377;8 538;6 799;9 712;10 432;10 412;14 228;24 259;22 207;25 032
10.2 Középfokú oktatás;16 616;20 327;22 520;24 995;26 953;29 008;33 955;38 932;41 606;40 709;41 213;51 772;49 498;40 969;46 512;47 197;47 393;47 683;49 410;46 381;52 144;71 601;76 124;87 797;108 425;98 268;115 944
10.3 Középfokot meghaladó, de nem felsõfokú oktatás;8 322;10 933;10 515;11 198;12 183;14 613;17 402;24 636;36 069;35 396;31 265;32 637;26 882;29 461;29 369;32 949;30 828;31 917;28 773;33 407;39 277;31 840;33 363;35 142;40 022;25 448;24 039
10.4 Felsõfokú oktatás;14 454;18 171;19 769;21 329;22 750;25 710;30 277;33 296;36 109;43 081;41 396;47 752;46 247;52 102;53 245;59 807;61 103;64 588;69 973;82 132;80 754;81 943;83 967;96 181;101 097;102 387;107 276
10.5 Nem besorolható szintû oktatás;23 252;29 580;31 479;35 445;36 485;41 009;50 949;52 708;79 509;74 620;72 718;70 294;78 100;72 455;66 685;68 789;66 422;79 445;95 938;115 797;117 285;134 210;137 907;149 613;162 358;168 405;183 522
11. Vendéglátás és szálláshely-szolgáltatás;196 763;247 220;301 978;345 307;406 303;443 944;509 478;574 563;620 275;696 830;767 261;804 086;895 647;951 622;959 439;989 193;1 012 107;1 078 544;1 131 600;1 256 098;1 403 838;1 567 751;1 690 978;1 909 549;2 142 480;1 474 176;1 859 665
11.1 Vendéglátás;149 185;186 885;228 034;257 313;308 997;327 737;379 257;452 009;492 161;552 039;606 622;620 151;699 565;760 366;781 098;815 043;829 361;879 354;920 752;1 016 910;1 134 395;1 270 413;1 357 946;1 552 910;1 750 501;1 283 561;1 594 119
11.2 Szálláshely-szolgáltatás;47 578;60 335;73 944;87 994;97 306;116 207;130 221;122 554;128 114;144 791;160 639;183 935;196 082;191 256;178 341;174 150;182 746;199 190;210 848;239 188;269 443;297 338;333 032;356 639;391 979;190 615;265 546
12. Egyéb termékek és szolgáltatások;299 285;320 323;371 846;464 513;519 613;635 679;734 627;815 967;908 355;964 826;1 082 131;1 130 038;1 237 415;1 344 646;1 369 899;1 417 274;1 451 824;1 487 557;1 530 424;1 484 323;1 515 831;1 596 831;1 708 424;1 813 676;2 014 848;2 064 539;2 253 398
12.1 Testápolás;53 580;67 508;84 790;105 260;122 593;146 765;167 934;191 560;222 992;229 783;237 688;247 093;271 354;281 678;268 463;265 623;271 680;268 488;279 582;294 750;319 019;367 843;393 178;437 425;454 648;442 761;462 929
12.2 Prostitúció;70 691;74 444;78 408;82 751;87 723;92 887;108 147;111 004;106 696;119 688;124 332;133 260;152 093;165 236;165 572;173 177;170 899;170 783;173 016;173 526;170 108;173 833;173 265;172 171;195 226;107 910;131 298
12.3 Máshova nem sorolt személyes ingóság;15 763;19 856;24 944;30 733;34 687;41 765;45 119;49 000;51 826;47 828;57 661;72 515;81 179;83 553;70 946;73 502;72 072;77 513;83 229;80 784;77 127;82 658;87 772;84 883;103 113;110 235;119 197
12.4 Szociális ellátás;15 796;24 164;28 691;23 559;29 509;43 592;50 623;63 084;72 768;83 468;94 984;101 062;107 467;83 870;86 240;85 719;86 295;95 329;97 038;99 242;105 917;108 190;110 203;117 137;126 929;121 289;125 987
12.5 Biztosítás;27 704;35 808;47 580;65 579;83 663;94 231;111 312;108 127;107 690;151 717;173 362;175 729;166 201;178 777;222 955;213 294;222 610;224 837;238 719;207 321;190 435;219 461;253 022;259 035;289 994;295 582;326 997
12.6 Máshova nem sorolt pénzügyi szolgáltatások;102 358;81 789;87 620;135 371;135 951;184 855;215 855;249 321;295 300;282 682;338 533;351 222;396 785;498 220;508 524;556 683;579 383;600 353;608 806;584 755;600 622;588 699;625 971;664 719;755 962;893 323;977 241
12.7 Máshova nem sorolt egyéb szolgáltatások;13 393;16 754;19 813;21 260;25 487;31 584;35 637;43 871;51 083;49 660;55 571;49 157;62 336;53 312;47 199;49 276;48 885;50 254;50 034;43 945;52 603;56 147;65 013;78 306;88 976;93 439;109 749
