20.2.1.5. A 15–64 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;"Ebbõl: Potenciális munkaerõ-
tartalék, ezer fõ";Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;augusztus–október;2 029,8;244,6;2 274,5;1 018,0;3 292,5;386,5;69,1;10,8;61,7
;szeptember–november;2 031,6;242,2;2 273,9;1 019,2;3 293,1;385,2;69,1;10,7;61,7
;október–december;2 021,9;242,5;2 264,4;1 030,3;3 294,7;389,4;68,7;10,7;61,4
;november–2012. január;2 000,8;255,5;2 256,3;1 041,0;3 297,3;408,6;68,4;11,3;60,7
;december–2012. február;1 979,2;274,3;2 253,5;1 045,2;3 298,6;428,3;68,3;12,2;60,0
2012.;január–március;1 978,9;280,1;2 258,9;1 039,6;3 298,5;428,4;68,5;12,4;60,0
;február–április;1 993,6;270,2;2 263,8;1 033,2;3 297,0;415,8;68,7;11,9;60,5
;március–május;2 009,6;269,1;2 278,7;1 016,8;3 295,5;409,4;69,1;11,8;61,0
;április–június;2 021,9;265,9;2 287,7;1 006,3;3 294,0;410,7;69,4;11,6;61,4
;május–július;2 032,0;261,4;2 293,4;999,3;3 292,7;405,7;69,7;11,4;61,7
;június–augusztus;2 048,8;250,8;2 299,6;991,7;3 291,3;402,0;69,9;10,9;62,2
;július–szeptember;2 058,9;250,3;2 309,2;980,8;3 290,0;396,3;70,2;10,8;62,6
;augusztus–október;2 066,0;249,3;2 315,3;973,4;3 288,8;389,8;70,4;10,8;62,8
;szeptember–november;2 067,5;250,7;2 318,2;969,3;3 287,5;389,2;70,5;10,8;62,9
;október–december;2 057,6;251,0;2 308,6;977,7;3 286,3;403,2;70,3;10,9;62,6
;november–2013. január;2 027,2;264,9;2 292,0;992,9;3 284,9;433,2;69,8;11,6;61,7
;december–2013. február;1 997,5;277,9;2 275,4;1 007,9;3 283,3;462,2;69,3;12,2;60,8
2013.;január–március;1 996,3;282,1;2 278,3;1 003,0;3 281,4;465,0;69,4;12,4;60,8
;február–április;2 032,6;257,0;2 289,7;989,5;3 279,2;433,3;69,8;11,2;62,0
;március–május;2 064,2;245,9;2 310,1;967,0;3 277,1;406,3;70,5;10,6;63,0
;április–június;2 087,9;235,6;2 323,5;951,5;3 275,0;388,6;70,9;10,1;63,8
;május–július;2 106,1;238,2;2 344,3;928,7;3 273,0;383,5;71,6;10,2;64,3
;június–augusztus;2 118,9;230,8;2 349,7;921,3;3 271,0;375,7;71,8;9,8;64,8
;július–szeptember;2 125,3;228,3;2 353,7;915,4;3 269,0;368,0;72,0;9,7;65,0
;augusztus–október;2 122,2;228,7;2 350,9;916,2;3 267,1;365,9;72,0;9,7;65,0
;szeptember–november;2 133,7;215,0;2 348,7;916,4;3 265,1;348,9;71,9;9,2;65,3
;október–december;2 132,0;210,1;2 342,1;921,1;3 263,1;345,0;71,8;9,0;65,3
;november–2014. január;2 139,1;202,0;2 341,1;920,0;3 261,1;346,7;71,8;8,6;65,6
;december–2014. február;2 152,6;195,5;2 348,1;910,9;3 258,9;348,8;72,1;8,3;66,1
2014.;január–március;2 167,3;192,0;2 359,2;897,4;3 256,7;350,4;72,4;8,1;66,5
;február–április;2 185,1;187,5;2 372,6;881,7;3 254,3;335,5;72,9;7,9;67,1
;március–május;2 183,6;188,2;2 371,8;880,2;3 252,1;329,6;72,9;7,9;67,1
;április–június;2 189,3;190,8;2 380,1;869,6;3 249,8;325,4;73,2;8,0;67,4
;május–július;2 194,8;189,2;2 384,0;863,6;3 247,6;319,7;73,4;7,9;67,6
;június–augusztus;2 217,7;178,5;2 396,2;849,3;3 245,5;305,0;73,8;7,4;68,3
;július–szeptember;2 234,8;172,1;2 406,9;836,5;3 243,4;295,7;74,2;7,2;68,9
;augusztus–október;2 239,5;163,2;2 402,7;838,6;3 241,2;282,3;74,1;6,8;69,1
