21.2.1.28. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;
Év;Idõszak (negyedév);Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: ezen belül: kereskedelem, gépjármûjavítás;Ebbõl: ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"Ebbõl: ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";Ebbõl: ezen belül: oktatás;Ebbõl: ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
2008.;I.;160,4;984,6;878,0;315,0;2 524,6;1 014,2;..;..;..;96,1;92,7;67,7;291,9;782,1;..;..;..;179,9;3 984,6
;II.;182,0;979,1;880,8;319,1;2 562,2;1 014,8;..;..;..;99,5;96,9;68,3;294,3;808,5;..;..;..;179,9;4 042,4
;III.;206,7;987,9;891,6;320,5;2 615,6;1 030,9;..;..;..;108,3;104,2;63,3;311,9;819,3;..;..;..;177,6;4 130,6
;IV.;174,8;950,2;872,6;312,1;2 613,9;1 025,3;..;..;..;112,8;110,8;71,6;315,5;815,6;..;..;..;162,3;4 051,0
2009.;I.;151,0;899,0;808,4;288,9;2 588,1;997,9;..;..;..;114,4;98,0;62,8;319,1;838,3;..;..;..;157,6;3 927,0
;II.;164,1;886,8;800,5;287,8;2 649,9;1 023,2;..;..;..;105,6;99,2;66,1;337,4;864,3;..;..;..;154,3;3 988,7
;III.;183,1;894,5;804,9;286,8;2 646,0;1 017,5;..;..;..;102,3;97,7;67,5;342,9;866,8;..;..;..;151,4;4 010,5
;IV.;158,7;886,3;799,5;285,0;2 645,4;1 000,1;..;..;..;101,1;98,5;69,1;352,3;869,7;..;..;..;154,5;3 975,4
2010.;I.;145,5;842,7;759,9;258,3;2 558,8;962,6;..;..;..;102,4;91,9;64,0;335,8;855,7;..;..;..;146,3;3 805,2
;II.;162,6;877,5;785,6;256,9;2 640,9;985,2;..;..;..;102,6;94,6;67,4;347,3;888,1;..;..;..;155,8;3 937,9
;III.;184,3;895,8;797,4;267,2;2 688,3;1 003,4;..;..;..;102,6;96,2;69,0;350,7;903,1;..;..;..;163,4;4 035,6
;IV.;163,2;891,6;799,0;284,0;2 678,9;1 003,8;..;..;..;102,7;95,9;69,3;344,7;897,8;..;..;..;164,7;4 017,7
2011.;I.;135,1;842,0;774,7;263,4;2 576,9;984,4;..;..;..;103,9;94,3;67,4;340,3;832,4;..;..;..;154,2;3 817,3
