20.2.1.39. Aktivitási arány korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen ;"Ebbõl: 
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
2011.;I.;3,6;49,2;86,0;92,1;91,9;87,7;85,5;76,7;62,9;17,8;6,9;2,6;61,1;27,1
;II.;3,5;48,3;86,6;94,0;93,4;89,2;86,1;77,8;63,2;18,5;7,1;2,3;61,8;26,6
;III.;4,9;49,8;86,9;93,9;94,1;88,5;87,5;80,4;64,8;18,7;7,6;3,0;62,6;28,0
;IV.;4,5;46,9;87,1;93,6;93,9;89,3;85,8;80,2;65,2;18,8;7,5;3,2;62,2;26,4
2012.;I.;3,6;45,9;87,6;93,7;93,2;89,5;86,3;80,5;64,3;18,0;7,6;2,8;62,0;25,6
;II.;4,3;47,1;86,8;94,5;93,7;90,3;87,6;81,1;67,4;19,0;7,9;2,7;62,8;26,6
;III.;5,7;50,5;88,3;94,8;93,6;90,7;86,4;82,0;68,8;18,3;7,0;2,5;63,4;29,2
;IV.;5,0;53,0;87,2;94,1;93,4;90,7;87,6;81,3;69,0;18,2;6,8;2,6;63,4;30,3
2013.;I.;4,8;50,6;86,9;92,7;91,9;90,3;86,7;78,5;69,6;19,2;5,8;2,9;62,5;29,0
;II.;5,2;51,0;87,5;93,8;93,9;90,9;88,3;82,1;72,1;21,6;6,9;2,3;63,9;29,5
;III.;6,9;55,6;87,9;93,2;94,3;92,1;88,4;82,8;71,8;24,2;6,4;2,9;64,7;32,9
;IV.;6,5;55,1;86,3;93,2;93,8;92,8;87,7;82,0;72,1;25,3;6,7;3,5;64,5;32,5
2014.;I.;6,4;55,3;88,8;94,2;94,2;93,6;88,2;81,2;72,9;26,6;5,9;2,5;65,0;32,7
;II.;6,3;54,8;90,3;94,1;94,8;93,4;89,6;82,6;74,9;28,5;5,7;3,4;65,6;32,5
;III.;7,0;56,3;90,9;95,3;95,8;93,5;89,4;83,5;75,7;31,8;5,9;2,5;66,4;33,7
;IV.;6,1;56,0;90,4;94,8;94,9;93,6;89,3;82,9;76,7;31,2;5,2;3,0;66,0;33,2
2015.;I.;6,5;54,9;90,4;93,4;94,3;93,4;90,5;83,8;76,0;34,4;5,2;2,4;66,1;32,9
;II.;7,9;56,1;90,3;93,3;95,0;94,8;90,4;86,0;78,6;36,8;5,5;2,6;67,1;34,1
;III.;8,8;57,7;90,8;94,2;95,5;94,8;90,8;86,4;79,5;39,4;6,5;3,5;67,9;35,5
;IV.;9,6;56,3;90,1;93,9;95,5;94,8;90,3;86,5;77,8;42,1;6,5;4,0;67,7;35,1
2016.;I.;8,3;57,4;89,6;94,3;94,7;93,8;90,5;86,0;78,1;45,1;5,9;4,1;67,7;35,1
;II.;8,3;59,5;91,1;94,9;95,0;95,0;90,8;87,5;78,7;46,6;6,6;3,9;68,6;36,1
;III.;8,9;60,4;90,4;95,7;95,5;94,9;90,5;87,4;79,8;47,6;7,4;5,3;69,0;36,9
;IV.;8,2;60,3;88,4;95,3;95,4;95,2;90,7;87,9;79,4;49,7;7,8;4,8;69,0;36,5
2017.;I.;7,9;58,2;88,5;95,8;94,8;95,0;91,2;88,7;77,7;50,4;7,2;3,8;68,6;35,1
;II.;7,6;61,2;91,0;95,6;95,7;95,6;92,0;90,2;79,7;50,5;7,8;4,6;69,7;36,6
;III.;8,8;61,7;91,6;95,2;95,9;95,2;92,3;90,7;80,4;52,3;8,5;3,8;70,1;37,3
;IV.;8,8;61,2;90,4;96,1;95,9;94,9;92,6;89,6;80,8;52,5;8,5;3,7;69,9;36,9
2018.;I.;7,4;60,6;90,4;95,9;95,4;94,7;93,1;90,4;81,3;52,0;8,4;3,8;69,8;35,9
