21.2.1.27. A kormányzati szektor negyedéves nem pénzügyi számlái [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció Kód Idõszak, év / Soregyezõség;Tranzakció Kód Idõszak, negyedév / Soregyezõség;Piaci kibocsátás és saját végsõ felhasználási célú kibocsátás, nem piaci kibocsátásért fizetett összegek P.1O 2;Folyó termelõ-felhasználás P.2 3;Állóeszköz-felhasználás P.51C 5;Munkavállalói jövedelem, tartozás D.1 6;Egyéb termelési adók, tartozás D.29 7;Egyéb termelési támogatások, követelés D.39R 8;Termelési és importadók, követelés D.2 9=10+12;Termékadók, követelés D.21 10;Hozzáadottérték-adó típusú adók, követelés D.211 11;Egyéb termelési adók, követelés D.29 12;Tulajdonosi jövedelem, követelés D.4 13=14+15;Kamat, követelés D.41 14;Egyéb tulajdonosi jövedelem, követelés D.4N 15;Támogatások, tartozás D.3P 16=17+18;Termék-támogatások, tartozás D.31P 17;Egyéb termelési támogatások, tartozás D.39P 18;Tulajdonosi jövedelem, tartozás D.4 19=20+21;Kamat, tartozás D.41 20;Egyéb tulajdonosi jövedelem, tartozás D.4N 21;Folyó jövedelem-, vagyon-, stb. adók, követelés D.5 22;Nettó társadalombiztosítási hozzájárulások, követelés D.61 25;Ebbõl a munkaadók tényleges társadalombiztosítási hozzájárulásai D.611 26;Ebbõl a háztartások tényleges társadalombiztosítási hozzájárulásai D.613 27;Egyéb folyó jövedelemátutalások, követelés D.7 28;Folyó jövedelem-, vagyon-, stb. adók, tartozás D.5 29;Pénzbeni társadalmi juttatások, tartozás D.62 30;Természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.632 31;Természetbeni társadalmi juttatásokon kívüli társadalmi juttatások és természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.6M 32=30+31;Egyéb folyó jövedelemátutalások, tartozás D.7 33;Végsõ fogyasztási kiadás P.3 34=35+36;Egyéni fogyasztási kiadás P.31 35;Közösségi fogyasztási kiadás P.32 36;Nyugdíj-jogosultságok változása miatti korrekció D.8 37;Bruttó megtakarítás B.8G 38;Tõketranszferek, követelés D.9 39=40+41;Tõkeadók, követelés D.91 40;Egyéb tõketranszferek és beruházási támogatások, követelés D.9N 41;Tõketranszferek, tartozás D.9 42;Beruházási támogatások, tartozás D.92 43;Bruttó felhalmozás P.5 44=45+46;Bruttó állóeszköz-felhalmozás P.51G 45;Készletváltozás és értéktárgyak beszerzésének és eladásának egyenlege P.5M 46;Nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege NP 47;Bruttó felhalmozás és nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege P5L 48=44+47;Nettó hitelnyújtás (+)/nettó hitelfelvétel (-) B.9 49=51–50;"Összes kormányzati kiadás OTE 50=3+6+7+16
+19+29+32+33
+37+42+48";"Összes kormányzati bevétel OTR 51=2+8+9+13
+22+25+28+39";Kibocsátás P.1 1;Bruttó hozzáadott érték B.1G 4=1–3;Jövedelemadók D.51 23;Egyéb folyó adók D.59 24;Államháztartási tõketranszferek a megfelelõ szektorok részére, amelyek megállapított, de valószínûleg be nem hajtható adóknak és társadalombiztosítási hozzájárulásoknak felelnek meg D.995 52
2004.;I.;133 351;296 494;175 748;593 222;–;–;865 031;821 686;518 249;43 345;41 017;17 414;23 603;79 029;38 709;40 320;207 327;207 327;–;384 130;612 733;467 533;140 273;38 607;31;679 246;163 355;842 601;96 233;1 092 081;594 662;497 419;–;-40 067;12 613;2 808;9 804;74 235;63 732;148 282;148 071;211;-12 623;135 660;-237 349;2 324 830;2 087 481;1 062 076;765 583;373 898;10 233;–
;II.;151 340;336 147;178 646;673 792;–;–;818 452;781 812;437 578;36 640;61 396;23 639;37 757;84 942;31 927;53 015;225 354;225 354;–;486 570;635 785;485 123;145 550;35 225;31;743 547;147 018;890 564;145 118;1 180 886;630 996;549 891;–;-167 180;11 782;4 799;6 982;66 553;55 947;178 081;177 828;253;-16 145;161 936;-383 887;2 584 437;2 200 550;1 185 209;849 062;473 609;12 961;–
;III.;151 221;312 342;181 544;667 675;–;–;782 223;744 892;398 755;37 331;45 549;19 901;25 649;94 405;66 125;28 280;238 714;238 714;–;450 270;618 604;472 013;141 617;42 048;31;707 212;148 501;855 713;113 622;1 155 454;619 008;536 446;–;-192 587;21 919;5 375;16 545;50 492;43 275;229 905;229 578;327;-18 888;211 017;-432 177;2 544 011;2 111 834;1 158 174;845 832;438 275;11 994;–
;IV.;191 722;395 674;184 443;679 979;–;–;896 091;871 824;477 064;24 266;94 713;23 584;71 129;68 450;62 975;5 476;242 417;242 417;–;529 648;692 138;528 122;158 451;45 574;31;754 303;155 381;909 683;126 334;1 220 407;653 362;567 046;–;27 317;44 152;5 603;38 550;143 064;123 026;245 018;244 669;349;21 254;266 272;-337 867;2 831 906;2 494 038;1 256 749;861 074;515 539;14 109;–
2005.;I.;140 078;321 399;183 775;675 966;–;–;729 093;685 722;396 009;43 371;42 601;20 002;22 598;176 111;144 494;31 617;232 588;232 588;–;469 863;688 699;529 776;153 717;34 229;35;805 804;187 800;993 604;119 324;1 228 287;672 324;555 963;–;-414 464;9 616;4 362;5 254;66 015;54 879;169 236;168 815;421;-3 938;165 297;-636 161;2 750 338;2 114 177;1 180 565;859 166;456 051;13 811;–
;II.;175 727;367 316;186 130;673 617;–;–;881 909;838 333;454 743;43 576;61 169;17 827;43 342;49 623;25 482;24 141;218 449;218 449;–;459 083;689 167;530 137;153 822;10 804;35;787 481;178 977;966 458;141 780;1 229 477;668 357;561 120;–;-139 418;29 356;5 595;23 761;64 483;52 054;208 110;207 592;518;-4 927;203 182;-377 727;2 684 942;2 307 215;1 226 227;858 910;445 588;13 495;–
;III.;157 526;340 169;188 485;631 672;–;–;900 501;866 540;501 932;33 961;36 126;16 399;19 726;36 726;10 676;26 050;230 106;230 106;–;465 119;651 140;500 885;145 334;49 861;35;782 251;171 700;953 951;120 443;1 173 724;635 415;538 309;–;-52 828;37 756;4 848;32 908;79 764;67 125;238 797;238 203;594;-5 370;233 427;-328 262;2 626 292;2 298 030;1 159 550;819 382;451 447;13 672;–
;IV.;185 854;397 048;190 839;793 580;–;–;945 200;908 936;503 863;36 264;53 154;17 152;36 002;32 033;4 015;28 018;235 433;235 433;–;579 291;752 058;578 515;167 859;88 864;35;827 967;172 273;1 000 239;184 610;1 367 109;733 887;633 221;–;-38 557;62 069;6 089;55 980;125 020;105 643;324 423;323 616;807;-10 454;313 969;-415 477;3 081 966;2 666 490;1 380 690;983 642;562 263;17 028;–
2006.;I.;170 946;391 462;237 197;693 827;–;–;729 033;681 234;367 702;47 799;53 987;9 266;44 721;101 552;70 435;31 117;215 357;215 357;–;484 703;705 059;528 993;170 881;45 311;78;916 551;242 440;1 158 992;192 515;1 394 026;756 124;637 903;–;-564 743;26 157;3 581;22 576;105 294;73 773;261 025;257 611;3 414;-5 663;255 363;-899 242;3 114 438;2 215 196;1 322 532;931 071;472 223;12 479;–
;II.;208 032;413 149;177 710;711 209;–;–;982 355;933 600;469 407;48 755;67 525;12 195;55 330;81 660;57 902;23 758;230 740;230 740;–;501 292;705 998;529 697;171 108;21 540;78;837 048;215 329;1 052 377;69 205;1 309 651;718 546;591 105;–;-71 675;52 318;6 880;45 438;123 322;76 959;289 491;286 080;3 411;-7 624;281 867;-424 546;2 963 607;2 539 060;1 302 354;889 205;488 386;12 906;–
