20.2.1.4. A 15–74 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2020.;január–március;4 606,8;173,0;4 779,8;2 631,6;7 411,4;336,7;64,5;3,6;62,2
;február–április;4 584,0;174,1;4 758,1;2 653,1;7 411,2;367,4;64,2;3,7;61,9
;március–május;4 550,0;190,2;4 740,2;2 670,2;7 410,5;403,9;64,0;4,0;61,4
;április–június;4 556,4;214,2;4 770,5;2 639,2;7 409,7;435,7;64,4;4,5;61,5
;május–július;4 585,4;224,3;4 809,7;2 599,4;7 409,1;428,9;64,9;4,7;61,9
;június–augusztus;4 619,6;214,4;4 834,1;2 574,6;7 408,6;402,7;65,2;4,4;62,4
;július–szeptember;4 627,2;207,8;4 835,0;2 573,2;7 408,2;380,3;65,3;4,3;62,5
;augusztus–október;4 624,3;201,0;4 825,3;2 582,5;7 407,8;367,3;65,1;4,2;62,4
;szeptember–november;4 616,9;202,3;4 819,2;2 587,8;7 407,0;369,7;65,1;4,2;62,3
;október–december;4 622,6;195,4;4 817,9;2 587,6;7 405,5;366,5;65,1;4,1;62,4
;november–2021. január;4 601,0;208,9;4 809,8;2 593,4;7 403,2;402,7;65,0;4,3;62,1
;december–2021. február;4 573,6;216,8;4 790,3;2 602,3;7 392,7;434,9;64,8;4,5;61,9
2021.;január–március;4 567,6;214,8;4 782,4;2 599,7;7 382,0;435,4;64,8;4,5;61,9
;február–április;4 575,2;205,9;4 781,1;2 589,4;7 370,4;412,1;64,9;4,3;62,1
;március–május;4 593,9;198,0;4 792,0;2 573,6;7 365,6;386,3;65,1;4,1;62,4
;április–június;4 619,2;198,0;4 817,2;2 543,3;7 360,5;365,8;65,4;4,1;62,8
;május–július;4 646,9;197,4;4 844,3;2 512,3;7 356,5;346,5;65,8;4,1;63,2
;június–augusztus;4 659,2;199,9;4 859,1;2 494,5;7 353,6;339,0;66,1;4,1;63,4
;július–szeptember;4 663,4;189,7;4 853,1;2 498,1;7 351,2;322,2;66,0;3,9;63,4
;augusztus–október;4 677,4;184,2;4 861,6;2 487,2;7 348,8;310,8;66,2;3,8;63,6
;szeptember–november;4 687,1;177,0;4 864,2;2 482,0;7 346,2;298,1;66,2;3,6;63,8
;október–december;4 687,9;180,3;4 868,2;2 474,5;7 342,7;301,6;66,3;3,7;63,8
;november–2022. január;4 676,1;183,0;4 859,1;2 479,0;7 338,1;311,6;66,2;3,8;63,7
;december–2022. február;4 675,0;183,4;4 858,5;2 479,0;7 337,4;308,8;66,2;3,8;63,7
2022.;január–március;4 674,3;181,1;4 855,4;2 481,9;7 337,3;298,5;66,2;3,7;63,7
;február–április;4 684,3;170,3;4 854,6;2 483,4;7 337,9;276,5;66,2;3,5;63,8
;március–május;4 693,3;164,7;4 858,0;2 476,6;7 334,6;265,8;66,2;3,4;64,0
;április–június;4 693,2;156,9;4 850,2;2 481,3;7 331,5;261,8;66,2;3,2;64,0
;május–július;4 698,7;159,9;4 858,5;2 470,2;7 328,7;263,9;66,3;3,3;64,1
;június–augusztus;4 711,4;165,5;4 876,9;2 449,2;7 326,1;269,8;66,6;3,4;64,3
;július–szeptember;4 712,2;178,3;4 890,4;2 433,0;7 323,4;279,7;66,8;3,6;64,3
;augusztus–október;4 714,3;174,3;4 888,6;2 432,2;7 320,8;279,7;66,8;3,6;64,4
;szeptember–november;;;;;;;;;
;október–december;;;;;;;;;
;november–2023. január;;;;;;;;;
;december–2023. február;;;;;;;;;
Férfi;;;;;;;;;;
2009.;január–március;2 014,5;225,4;2 239,8;1 438,0;3 677,8;354,8;60,9;10,1;54,8
;február–április;2 020,1;229,1;2 249,2;1 428,3;3 677,5;353,8;61,2;10,2;54,9
;március–május;2 030,2;229,1;2 259,2;1 418,1;3 677,3;349,6;61,4;10,1;55,2
;április–június;2 040,4;224,0;2 264,3;1 412,7;3 677,1;340,8;61,6;9,9;55,5
;május–július;2 039,9;226,2;2 266,1;1 410,7;3 676,8;348,5;61,6;10,0;55,5
;június–augusztus;2 035,5;230,2;2 265,7;1 410,9;3 676,6;352,3;61,6;10,2;55,4
;július–szeptember;2 029,0;238,9;2 267,8;1 408,5;3 676,3;366,2;61,7;10,5;55,2
;augusztus–október;2 032,7;239,6;2 272,3;1 403,8;3 676,1;367,0;61,8;10,5;55,3
;szeptember–november;2 029,0;242,4;2 271,4;1 404,4;3 675,9;374,0;61,8;10,7;55,2
;október–december;2 020,2;239,1;2 259,4;1 416,3;3 675,6;374,2;61,5;10,6;55,0
;november–2010. január;1 992,6;249,1;2 241,7;1 433,7;3 675,4;389,6;61,0;11,1;54,2
;december–2010. február;1 967,9;267,1;2 235,0;1 440,2;3 675,2;409,9;60,8;11,9;53,5
2010.;január–március;1 953,8;282,9;2 236,7;1 438,3;3 674,9;422,3;60,9;12,6;53,2
;február–április;1 966,9;282,6;2 249,5;1 425,2;3 674,7;417,2;61,2;12,6;53,5
;március–május;1 981,8;271,9;2 253,6;1 420,9;3 674,5;402,5;61,3;12,1;53,9
;április–június;1 990,6;266,9;2 257,6;1 416,7;3 674,2;395,3;61,4;11,8;54,2
;május–július;2 000,9;259,3;2 260,2;1 413,8;3 674,0;383,9;61,5;11,5;54,5
;június–augusztus;2 014,3;255,2;2 269,5;1 404,3;3 673,8;378,5;61,8;11,2;54,8
;július–szeptember;2 020,6;248,9;2 269,5;1 404,0;3 673,5;374,8;61,8;11,0;55,0
;augusztus–október;2 021,4;251,7;2 273,1;1 400,2;3 673,3;379,2;61,9;11,1;55,0
;szeptember–november;2 020,8;246,9;2 267,7;1 405,4;3 673,1;374,4;61,7;10,9;55,0
;október–december;2 010,7;248,2;2 258,8;1 414,0;3 672,8;379,4;61,5;11,0;54,7
;november–2011. január;1 991,3;260,9;2 252,2;1 420,4;3 672,6;401,5;61,3;11,6;54,2
;december–2011. február;1 972,3;273,4;2 245,7;1 426,7;3 672,4;421,5;61,2;12,2;53,7
2011.;január–március;1 970,1;274,9;2 245,0;1 427,1;3 672,1;426,7;61,1;12,2;53,7
;február–április;1 986,6;266,4;2 253,0;1 418,9;3 671,9;418,9;61,4;11,8;54,1
;március–május;2 001,7;255,9;2 257,6;1 414,1;3 671,7;403,8;61,5;11,3;54,5
;április–június;2 023,8;245,1;2 269,0;1 402,5;3 671,4;391,1;61,8;10,8;55,1
;május–július;2 037,5;245,8;2 283,3;1 387,9;3 671,2;392,3;62,2;10,8;55,5
;június–augusztus;2 041,0;243,9;2 284,9;1 386,0;3 670,9;393,5;62,2;10,7;55,6
;július–szeptember;2 053,3;243,3;2 296,6;1 374,1;3 670,7;389,7;62,6;10,6;55,9
;augusztus–október;2 050,9;244,8;2 295,7;1 374,8;3 670,5;387,9;62,5;10,7;55,9
;szeptember–november;2 053,2;242,3;2 295,5;1 375,8;3 671,3;386,8;62,5;10,6;55,9
;október–december;2 043,4;242,6;2 286,0;1 387,3;3 673,2;390,7;62,2;10,6;55,6
;november–2012. január;2 020,6;255,5;2 276,1;1 400,2;3 676,3;410,0;61,9;11,2;55,0
;december–2012. február;1 998,6;274,3;2 272,8;1 405,3;3 678,1;430,0;61,8;12,1;54,3
2012.;január–március;1 999,6;280,5;2 280,1;1 398,5;3 678,7;431,1;62,0;12,3;54,4
;február–április;2 014,1;270,6;2 284,8;1 393,1;3 677,9;418,7;62,1;11,8;54,8
;március–május;2 031,1;269,6;2 300,7;1 376,5;3 677,2;411,8;62,6;11,7;55,2
;április–június;2 043,0;266,3;2 309,3;1 367,3;3 676,6;412,8;62,8;11,5;55,6
;május–július;2 052,3;261,8;2 314,1;1 362,0;3 676,1;407,6;62,9;11,3;55,8
;június–augusztus;2 068,4;251,4;2 319,8;1 356,0;3 675,7;404,1;63,1;10,8;56,3
;július–szeptember;2 078,2;250,5;2 328,7;1 346,7;3 675,4;397,8;63,4;10,8;56,5
;augusztus–október;2 085,9;249,5;2 335,4;1 339,8;3 675,1;391,6;63,5;10,7;56,8
;szeptember–november;2 087,1;250,7;2 337,7;1 337,1;3 674,9;391,2;63,6;10,7;56,8
;október–december;2 076,9;251,0;2 327,9;1 346,7;3 674,6;405,5;63,4;10,8;56,5
