20.2.2.6. A munkanélküliek száma, megye és régió szerint, negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Hajdú-Bihar;megye;23,5;21,4;24,3;24,6;27,0;27,7;28,6;28,0;31,9;28,6;28,9;28,3;31,5;28,9;28,6;28,0;32,9;30,4;37,7;36,1;32,1;32,2;29,6;28,8;28,6;29,7;27,4;22,6;23,8;20,4;19,0;21,6;20,2;15,3;16,3;12,3;12,4;12,2;15,8;15,3;11,7;12,7;11,0;9,6;10,4;11,8;16,5;14,1;13,0;16,1;14,0;13,0;13,1;12,3;10,8;
Jász-Nagykun-Szolnok;megye;18,2;19,4;18,6;16,1;20,1;15,7;15,0;16,5;20,0;17,9;16,7;16,8;18,7;16,9;18,2;20,4;23,1;16,4;18,3;15,4;14,6;12,2;13,2;11,9;12,2;11,5;11,0;13,5;13,0;12,5;10,6;9,3;12,7;11,9;11,7;9,3;7,3;7,6;8,6;7,2;9,5;8,4;14,0;8,4;13,8;11,9;13,4;12,3;11,8;10,2;11,1;9,1;9,0;8,3;9,0;
Szabolcs-Szatmár-Bereg;megye;45,4;38,8;37,4;37,7;42,9;39,7;37,6;39,4;46,2;39,9;39,1;35,2;44,8;36,8;35,6;33,5;44,3;37,9;34,2;31,6;33,2;37,5;32,4;30,7;36,1;32,6;30,0;32,0;34,3;32,4;29,7;24,1;24,2;23,4;21,1;22,0;24,8;23,8;23,1;23,2;23,6;22,5;19,8;20,5;23,1;22,3;24,4;23,3;25,3;25,4;23,3;24,9;25,3;19,9;20,1;
Észak-Alföld;régió;87,1;79,6;80,4;78,4;90,0;83,1;81,3;83,9;98,1;86,4;84,7;80,3;95,0;82,6;82,4;81,9;100,2;84,8;90,3;83,2;79,9;81,9;75,2;71,3;76,8;73,8;68,4;68,2;71,0;65,4;59,2;55,0;57,2;50,5;49,1;43,6;44,6;43,5;47,5;45,7;44,8;43,6;44,9;38,4;47,2;46,0;54,3;49,7;50,2;51,7;48,4;47,0;47,4;40,5;40,0;
Bács-Kiskun ;megye;22,5;22,0;24,5;23,8;23,8;23,1;20,8;21,0;24,9;22,5;20,8;21,7;22,9;19,4;18,9;19,9;23,4;21,7;23,2;21,8;23,1;23,1;20,7;20,8;20,3;19,3;15,9;17,5;18,3;13,8;13,9;13,3;12,0;10,8;9,2;6,8;7,5;6,5;6,3;5,9;5,0;6,4;8,2;8,8;11,0;14,2;10,7;10,5;11,5;9,9;11,7;11,3;9,1;9,2;8,5;
Békés;megye;19,6;18,5;20,6;20,5;21,7;17,5;17,1;16,6;19,9;17,9;15,8;17,6;19,3;17,5;17,9;16,1;22,0;15,2;13,3;14,9;16,2;16,6;13,9;15,3;17,2;13,5;10,9;11,3;11,5;9,8;10,6;5,7;6,8;9,3;7,3;7,6;7,5;5,1;8,2;8,3;10,0;6,9;10,9;8,0;7,2;11,0;9,3;9,4;13,0;11,2;9,0;7,4;9,9;8,6;9,0;
Csongrád-Csanád;megye;13,0;12,9;13,4;13,1;14,2;15,1;15,8;16,2;17,1;15,1;15,5;15,4;18,0;16,0;19,0;17,1;21,4;22,9;22,3;18,6;16,9;11,8;12,4;9,6;13,4;14,8;14,0;11,9;9,6;8,3;7,4;8,0;7,9;7,2;4,6;6,2;5,1;5,8;5,3;5,4;4,8;3,3;3,8;4,7;4,8;6,1;6,6;6,5;9,6;5,8;4,7;2,2;4,8;2,8;4,3;
Dél-Alföld;régió;55,1;53,4;58,4;57,4;59,6;55,7;53,7;53,8;62,0;55,6;52,1;54,7;60,2;52,8;55,9;53,1;66,8;59,8;58,8;55,2;56,2;51,5;47,1;45,8;50,9;47,6;40,8;40,6;39,3;31,9;31,9;27,0;26,7;27,2;21,1;20,7;20,2;17,4;19,8;19,7;19,8;16,6;23,0;21,5;23,0;31,3;26,6;26,4;34,1;26,9;25,3;20,9;23,8;20,7;21,8;
Alföld és Észak;nagyrégió;215,8;202,2;209,9;207,8;228,8;214,7;209,8;212,4;240,5;218,0;212,6;211,1;237,4;209,6;213,1;206,0;234,7;206,0;203,7;189,4;181,0;186,9;178,7;163,1;181,1;164,2;149,0;144,0;144,4;126,7;121,5;114,0;117,8;104,6;98,8;92,4;89,5;85,0;91,2;88,5;87,4;84,4;90,3;79,3;91,9;100,1;109,6;102,5;112,7;108,4;108,8;101,1;105,6;91,0;93,4;
Ország összesen;ország;403,6;400,3;431,2;434,7;493,8;470,6;457,9;454,1;492,2;458,3;456,3;455,0;506,0;471,9;453,7;459,5;494,7;439,8;428,9;397,4;363,0;358,8;331,4;318,3;347,3;310,3;292,4;280,6;272,6;234,1;226,2;205,0;206,6;196,2;188,2;175,2;177,8;165,0;178,2;166,3;165,0;155,2;162,4;153,1;173,0;214,2;207,8;195,4;214,8;198,0;189,7;180,3;181,1;156,9;178,3;
