21.2.1.25. Külföld szektor negyedéves számlái [folyó áron, millió forint];;;;;;;;;;;;;;;;;
Év;Negyedév;Termékek és szolgáltatások exportja (-) P.6;Termékek és szolgáltatások importja (+) P.7;Termékek és szolgáltatások külkereskedelmi egyenlege B.11;Munkavállalói jövedelmek egyenlege D.1;Termelési és importadók és -támogatások egyenlege D.2–D.3;Tulajdonosi jövedelem egyenlege D.4;Folyó jövedelem-, vagyon- stb. adók egyenlege D.5;Nettó társadalombiztosítási hozzájárulások egyenlege D.61;Pénzbeni társadalmi juttatások egyenlege D.62;Egyéb folyó jövedelemátutalások egyenlege D.7;Nyugdíjjogosultságok változása miatti korrekció egyenlege D.8;Folyó külsõ egyenleg B.12;Tõketranszferek egyenlege D.9;A nettó vagyon változása megtakarítás és tõketranszferek miatt B.10.1;Nem termelt eszközök beszerzésének és eladásának egyenlege (-) NP;Nettó hitelnyújtás (+) / nettó hitelfelvétel (-) B.9
;III.;9 012 799;8 724 988;-287 811;-195 621;-66 999;709 803;47 789;56 249;-8 900;-63 606;–;190 904;-135 378;55 526;3 077;52 449
;IV.;9 489 821;9 118 614;-371 207;-205 083;-127 177;795 441;49 860;59 086;-8 901;-121 891;–;70 128;-183 528;-113 400;305 926;-419 326
2019.;I.;9 311 391;8 952 288;-359 103;-200 363;-92 172;531 622;55 645;60 980;-10 523;78 557;–;64 643;-157 526;-92 883;5 845;-98 728
;II.;9 731 949;9 259 742;-472 207;-218 649;-85 345;697 987;63 483;66 047;-10 523;-97 274;–;-56 481;-202 256;-258 737;19 768;-278 505
;III.;9 947 734;9 705 120;-242 614;-224 488;-65 119;589 206;55 599;67 320;-10 523;-31 844;–;137 537;-61 047;76 490;16 917;59 573
;IV.;9 877 567;9 851 105;-26 462;-221 487;-130 228;676 690;56 066;67 204;-10 522;-124 142;–;287 119;-430 809;-143 690;3 593;-147 283
2020.;I.;9 787 964;9 459 517;-328 447;-199 775;-95 263;546 234;46 333;63 104;-12 274;23 710;–;43 622;-159 588;-115 966;10 445;-126 411
;II.;7 749 112;7 896 918;147 806;-178 818;-111 334;498 376;41 389;56 281;-12 274;-13 523;–;427 903;-191 756;236 147;-2 657;238 804
;III.;9 873 328;9 406 316;-467 012;-173 452;-80 943;488 059;40 959;55 200;-12 274;-69 948;–;-219 411;-224 642;-444 053;24 504;-468 557
;IV.;10 703 324;10 417 213;-286 111;-155 554;-130 593;740 852;58 541;51 683;-12 275;-75 331;–;191 212;-272 918;-81 706;-28 189;-53 517
2021.;I.;10 857 782;10 231 352;-626 430;-125 568;-92 045;364 820;35 743;43 251;-15 219;96 669;–;-318 779;-217 804;-536 583;12 515;-549 098
;II.;11 034 467;10 775 670;-258 797;-145 019;-104 492;658 636;39 418;48 799;-15 219;77 809;–;301 135;-149 241;151 894;69 032;82 862
;III.;10 891 506;11 227 076;335 570;-140 623;-69 644;702 312;36 775;47 691;-15 220;24 268;–;921 129;-224 503;696 626;26 572;670 054
;IV.;12 169 554;12 552 519;382 965;-150 172;-118 927;954 004;49 888;51 172;-15 221;145 336;–;1 299 045;-810 798;488 247;-91 833;580 080
2022.;I.;12 897 328;13 439 753;542 425;-157 926;-118 371;429 700;39 348;53 483;-17 834;129 973;–;900 798;-652 084;248 714;17 622;231 092
;II.;14 469 042;14 840 190;371 148;-175 721;-76 108;701 867;46 398;58 601;-17 834;116 695;–;1 025 046;-346 117;678 929;42 868;636 061
;III.;;;;;;;;;;;;;;;;
;IV.;;;;;;;;;;;;;;;;
2022.;I–II.;27 366 370;28 279 943;913 573;-333 647;-194 479;1 131 567;85 746;112 084;-35 668;246 668;–;1 925 844;-998 201;927 643;60 490;867 153
