21.1.1.43. Külföld szektor számlái [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Megnevezés;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Termékek és szolgáltatások külföld számlája;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;külföldrõl kapott munkavállalói hazautalás;23 542;22 882;21 086;22 285;23 733;33 753;24 369;27 701;15 118;10 596;14 637;15 322;13 088;10 280;31 630;32 229;22 051;57 037;90 612;90 034;89 863;104 435;107 972;135 214;168 503;143 633;153 288
D.8;Nyugdíjjogosultságok változása miatti korrekció;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
B.12;Folyó külsõ egyenleg;215 860;283 034;407 820;757 567;980 619;1 160 052;993 853;1 242 362;1 717 163;2 286 775;2 124 857;2 024 344;2 128 746;1 999 537;348 572;120 622;-46 176;-262 372;-872 095;-161 866;-640 554;-1 512 682;-618 839;10 409;432 818;443 326;2 202 530
A nettó vagyon változása megtakarítás és tõketranszferek miatt;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D 9;Tõketranszferek (kapott);632;14 554;13 057;22 427;75 317;15 184;26 133;13 682;51 949;18 360;14 346;93 103;20 938;6 269;24 458;64 411;19 359;58 041;68 367;43 327;84 965;212 018;129 563;98 955;159 600;151 095;60 106
D.91;Tõkeadók;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D.92;Beruházási támogatások;4;4;11;167;322;2 032;4 956;4 795;9 262;5 472;2 080;4 292;4 697;2 755;4 977;6 421;17 423;32 941;17 747;21 391;88 364;202 723;105 966;82 092;81 210;139 646;48 510
D 99;Egyéb tõketranszferek;628;14 550;13 046;22 260;74 995;13 152;21 177;8 887;42 687;12 888;12 266;88 811;16 241;3 514;19 481;57 990;1 936;25 100;50 620;21 936;-3 399;9 295;23 597;16 863;78 390;11 449;11 596
D 9;Tõketranszferek (fizetett);7 546;36 519;42 401;62 262;71 487;84 443;117 641;63 127;50 067;59 526;165 097;247 442;224 393;240 341;479 475;622 750;700 816;787 957;1 215 174;1 263 199;1 715 933;306 447;475 850;750 006;1 011 238;999 999;1 462 452
D.91;Tõkeadók;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D.92;Beruházási támogatások;508;1 380;5 220;6 677;10 521;17 374;27 779;22 136;23 613;35 882;108 696;217 675;217 182;238 597;450 857;605 373;700 530;786 275;1 180 327;1 297 373;1 714 457;296 707;464 354;733 699;1 010 185;999 668;1 461 754
D.99;Egyéb tõketranszferek;7 038;35 139;37 181;55 585;60 966;67 069;89 862;40 991;26 454;23 644;56 401;29 767;7 211;1 744;28 618;17 377;286;1 682;34 847;-34 174;1 476;9 740;11 496;16 307;1 053;331;698
B.10.1;A nettó vagyon változása megtakarítás és tõketranszferek miatt (B.12+D.9);208 946;261 069;378 476;717 732;984 449;1 090 793;902 345;1 192 917;1 719 045;2 245 609;1 974 106;1 870 005;1 925 291;1 765 465;-106 445;-437 717;-727 633;-992 288;-2 018 902;-1 381 738;-2 271 522;-1 607 111;-965 126;-640 642;-418 820;-405 578;800 184
Nem pénzügyi eszközök beszerzése;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NP;Nem termelt eszközök beszerzésének és eladásának egyenlege;0;-130;-4 230;-4 060;-1 424;1 284;4 805;4 836;-17 547;-23 396;3 071;4 148;-20 695;71 087;4 050;-58 808;-7 793;7 687;5 449;-7 288;-33 278;-96 770;-19 079;333 943;46 123;4 103;16 286
B.9;Nettó hitelnyújtás (+) / nettó hitelfelvétel (-) (B.10.1-NP);208 946;261 199;382 706;721 792;985 873;1 089 509;897 540;1 188 081;1 736 592;2 269 005;1 971 035;1 865 857;1 945 986;1 694 378;-110 495;-378 909;-719 840;-999 975;-2 024 351;-1 374 450;-2 238 244;-1 510 341;-946 047;-974 585;-464 943;-409 681;783 898
