20.2.1.15. A foglalkoztatottak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
 15–24 éves";"Ebbõl:
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;;
2017.;I.;14,5;154,3;260,7;279,4;343,4;377,9;310,4;242,2;212,5;157,7;18,2;6,9;2 378,0;168,7;2 338,4
;II.;14,8;160,1;272,6;278,9;339,9;383,2;314,1;249,1;218,5;158,0;19,9;8,4;2 417,6;175,0;2 374,5
;III.;17,1;164,9;277,1;276,8;336,2;383,2;315,2;254,7;219,9;163,6;21,6;7,0;2 437,2;182,0;2 391,6
;IV.;16,6;162,4;273,3;280,0;330,9;386,0;320,2;254,8;220,5;163,9;21,6;6,8;2 437,0;179,0;2 391,9
2018.;I.;13,5;158,3;270,7;278,8;328,3;386,7;322,8;258,5;219,2;162,1;21,3;7,1;2 427,2;171,8;2 385,3
;II.;17,3;159,3;273,9;282,7;322,2;393,1;323,4;259,7;219,4;158,6;25,0;8,4;2 443,1;176,7;2 392,4
;III.;18,2;161,3;272,2;284,9;316,9;393,2;323,5;263,5;220,4;168,1;26,2;9,6;2 458,1;179,6;2 404,0
;IV.;18,9;155,8;273,2;280,7;315,4;389,1;318,0;269,1;219,5;175,7;30,6;10,5;2 456,6;174,8;2 396,5
2019.;I.;18,5;148,9;272,4;283,9;313,6;393,3;325,9;277,9;217,6;182,1;29,0;9,5;2 472,8;167,4;2 415,8
;II.;21,1;149,4;269,6;289,5;310,0;393,5;325,4;281,9;214,0;174,5;31,7;11,7;2 472,4;170,4;2 407,9
;III.;22,7;152,6;267,9;291,8;310,0;390,8;331,3;282,4;218,6;171,9;35,3;12,0;2 487,4;175,3;2 417,4
;IV.;17,7;149,1;271,6;290,6;305,8;394,3;332,4;286,7;215,2;176,8;35,0;12,6;2 487,7;166,8;2 422,4
2020.;I.;14,4;146,7;267,8;290,3;297,4;386,0;335,7;286,1;215,9;174,4;31,6;11,2;2 457,6;161,2;2 400,3
;II.;13,7;136,1;261,7;283,8;291,4;377,4;340,5;288,5;212,7;179,6;34,9;12,9;2 432,9;149,7;2 371,5
;III.;17,1;146,9;269,0;290,5;288,0;379,5;344,2;297,9;216,0;182,2;34,8;11,6;2 477,6;164,0;2 414,2
;IV.;14,5;146,3;265,9;291,9;292,0;376,0;352,4;298,0;214,1;181,4;34,5;12,9;2 480,1;160,8;2 418,1
2021.;I.;13,9;142,9;259,7;285,1;288,1;367,7;356,4;299,4;221,3;172,4;36,6;12,5;2 456,1;156,8;2 393,1
;II.;14,5;142,1;255,7;287,0;291,5;365,2;359,6;303,6;222,5;168,2;41,3;12,7;2 463,8;156,6;2 395,2
;III.;17,8;138,1;261,3;286,1;289,6;359,7;367,9;303,4;221,7;176,6;43,0;13,8;2 479,1;155,9;2 404,5
;IV.;15,7;138,1;262,4;289,6;287,2;356,4;372,3;306,7;221,6;179,5;43,3;15,4;2 488,2;153,8;2 413,8
2022.;I.;15,9;135,4;260,2;290,2;288,2;352,1;374,4;306,7;221,9;179,2;44,7;13,2;2 481,9;151,3;2 408,1
;II.;15,3;131,9;262,1;292,2;287,3;349,4;378,4;309,0;229,7;177,1;46,6;12,4;2 491,6;147,2;2 417,2
;III.;18,7;139,2;259,2;294,4;287,6;346,1;382,9;306,0;226,6;178,5;49,8;14,2;2 503,2;157,9;2 420,5
;IV.;;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;;
2009.;I.;4,5;95,3;246,7;285,6;284,5;264,4;254,2;231,0;150,7;33,8;9,5;2,3;1 862,6;99,9;1 846,3
;II.;3,6;98,1;241,0;287,1;288,2;265,7;251,6;232,8;157,5;31,6;10,5;2,4;1 870,0;101,7;1 853,6
;III.;4,5;102,1;237,7;285,6;293,7;264,0;247,5;234,1;159,6;30,4;8,9;2,3;1 870,5;106,7;1 854,7
;IV.;4,4;100,5;230,3;281,7;291,6;265,6;246,7;234,0;169,1;34,9;8,9;2,9;1 870,8;105,0;1 854,6
2010.;I.;4,4;99,4;224,0;280,2;291,5;268,5;245,5;234,8;174,3;32,3;9,9;3,1;1 867,9;103,8;1 850,5
;II.;5,4;95,8;221,4;284,5;294,4;269,6;247,1;234,2;182,1;32,2;10,7;2,8;1 880,2;101,2;1 861,3
;III.;5,9;96,2;218,6;281,2;292,5;272,2;240,3;240,7;192,6;32,6;11,7;2,6;1 887,2;102,1;1 867,0
;IV.;6,2;99,2;218,2;285,3;291,3;266,7;234,7;235,4;198,7;35,2;10,7;2,6;1 884,1;105,4;1 864,6
2011.;I.;5,1;94,0;213,1;283,6;287,3;265,9;228,0;232,3;203,9;35,5;10,3;2,8;1 861,8;99,1;1 843,6
;II.;4,0;93,8;210,1;286,2;292,0;270,7;232,3;230,4;203,8;39,3;11,4;2,9;1 877,0;97,8;1 858,6
;III.;4,3;98,9;202,8;286,1;297,0;272,6;227,4;235,8;206,6;41,6;11,9;3,8;1 888,9;103,2;1 869,0
;IV.;3,5;95,0;207,2;283,2;303,7;274,7;229,4;235,7;206,2;39,8;10,5;4,7;1 893,5;98,5;1 874,8
2012.;I.;3,1;93,7;205,7;274,4;301,8;277,5;228,1;232,1;200,6;39,9;11,2;2,8;1 870,7;96,7;1 853,6
;II.;4,1;94,9;205,2;276,2;307,1;283,0;235,3;239,1;206,3;41,7;11,0;3,3;1 907,2;99,0;1 888,8
;III.;4,6;101,4;212,3;279,8;314,3;281,6;239,8;244,2;207,3;41,8;11,6;2,7;1 941,4;106,0;1 922,4
;IV.;4,2;100,1;208,1;274,3;315,6;280,2;240,7;238,2;202,8;38,9;11,7;2,8;1 917,8;104,4;1 899,0
2013.;I.;3,4;92,8;208,4;267,9;317,0;278,1;241,7;231,1;198,9;40,5;10,2;2,7;1 892,8;96,2;1 876,4
;II.;5,2;94,2;211,1;267,9;324,8;277,9;248,6;233,2;205,5;38,8;12,0;2,0;1 921,3;99,5;1 902,1
;III.;6,2;97,8;207,9;265,7;331,1;284,6;248,7;233,7;207,7;40,2;12,8;0,8;1 937,1;104,0;1 917,4
