20.1.1.75. Továbbvezetett havi munkaerõköltség fõbb elemeinek alakulása nemzetgazdasági áganként, forintban [Ft/fõ/hó];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
H;Szállítás, raktározás;206 071;74 813;6 904;287 788;209 835;71 623;6 628;288 086;217 366;74 493;5 978;297 838;231 669;73 132;6 707;311 507;239 040;74 900;9 775;323 714;246 900;77 255;10 179;334 333;258 810;76 817;10 754;346 381;270 171;78 494;10 746;359 411;300 121;69 494;12 309;381 924;332 320;70 194;13 469;415 984
I;Szálláshely-szolgáltatás, vendéglátás;124 187;41 459;4 993;170 639;123 007;36 544;4 822;164 373;124 761;38 505;4 698;167 964;141 157;36 517;5 989;183 663;147 623;35 563;7 269;190 455;153 904;41 342;8 595;203 842;159 877;41 565;8 777;210 220;168 028;44 295;12 405;224 728;190 154;40 359;13 634;244 147;212 870;40 485;15 162;268 517
J;Információ, kommunkiáció;385 975;145 310;21 098;552 384;370 421;120 969;18 827;510 218;391 168;132 593;17 389;541 150;418 255;132 392;15 338;565 985;438 992;133 301;20 387;592 679;461 353;141 494;20 906;623 753;477 061;144 272;22 003;643 336;503 723;149 790;22 358;675 871;524 022;125 795;23 401;673 218;576 679;125 377;25 917;727 973
K;Pénzügyi, biztosítási tevékenység;437 654;153 843;25 649;617 147;444 076;143 565;27 485;615 125;474 182;155 347;21 700;651 229;475 528;150 293;23 138;648 959;488 277;148 764;28 745;665 786;499 962;158 025;30 811;688 798;516 346;166 069;29 901;712 316;534 775;170 065;30 843;735 682;574 508;141 540;33 336;749 385;624 058;139 834;36 312;800 204
L;Ingatlanügyletek;183 931;62 239;11 232;257 402;185 557;55 165;11 313;252 035;194 725;63 887;11 388;270 000;190 170;52 351;-4 492;238 029;208 770;57 740;-2 096;264 414;214 748;61 162;-2 247;273 663;231 588;67 882;-2 172;297 298;240 787;71 689;23 774;336 250;282 632;64 341;30 473;377 447;317 714;65 945;32 364;416 023
M;Szakmai, tudományos, mûszaki tevékenység;298 619;99 195;14 765;412 578;293 217;86 935;14 706;394 858;299 267;96 057;14 086;409 410;330 070;97 046;15 713;442 829;327 600;95 738;19 211;442 550;352 798;103 015;20 073;475 886;377 454;112 067;23 620;513 142;403 887;115 709;22 100;541 696;438 608;99 339;24 276;562 223;470 704;95 774;25 980;592 458
N  ;Adminisztratív és szolgáltatást támogató tevékenység;146 480;50 216;6 545;203 241;141 779;44 235;7 194;193 207;141 873;46 502;7 322;195 697;207 327;74 385;8 254;289 967;174 162;52 550;10 265;236 977;183 951;62 328;11 663;257 941;205 028;69 849;16 568;291 445;220 460;63 000;18 076;301 535;246 174;54 137;20 571;320 882;277 259;55 380;23 084;355 722
G–N;Kereskedelem és gépjármûjavítástól az adminisztratív és szolgáltatást támogató tevékenységig;218 740;76 037;9 611;304 388;217 393;68 070;9 366;294 829;229 642;74 304;9 028;312 974;257 267;75 866;9 023;342 156;254 560;75 781;12 704;343 045;263 376;80 293;13 623;357 291;276 022;83 590;14 754;374 366;290 215;84 402;22 509;397 125;320 344;73 193;25 373;418 909;353 262;73 104;27 739;454 105
B–N;Bányászat és feldolgozóipartól az adminisztratív és szolgáltatást támogató tevékenységig;210 854;74 123;8 525;293 502;213 145;67 393;8 067;288 604;226 221;72 068;7 432;305 720;250 379;73 121;8 079;331 578;252 605;74 220;15 096;341 922;261 728;78 453;16 332;356 512;273 222;82 383;17 281;372 886;287 981;84 158;17 336;389 476;317 396;73 357;19 451;410 204;350 072;73 452;21 364;444 889
O;"Közigazgatás, védelem; kötelezõ társadalombiztosítás";257 143;90 416;15 103;362 662;264 588;79 087;13 663;357 338;277 445;87 547;15 310;380 301;268 365;80 315;12 191;360 871;279 969;114 169;15 471;409 609;284 099;87 071;18 683;389 852;288 268;82 436;12 627;383 331;335 376;100 774;18 475;454 625;387 153;83 644;21 382;492 179;424 833;83 100;23 418;531 351
P;Oktatás;205 050;69 001;11 279;285 330;205 554;59 631;10 136;275 321;201 549;63 470;10 343;275 361;203 260;66 500;9 637;279 397;222 245;39 332;10 201;271 778;253 276;74 299;10 927;338 502;261 751;76 797;13 861;352 408;281 653;84 687;2 644;368 984;307 253;64 845;2 701;374 800;330 476;62 769;3 100;396 345
Q;Humán-egészségügyi, szociális ellátás;166 423;57 436;5 660;229 519;146 655;43 102;3 999;193 756;150 984;46 383;4 414;201 781;152 469;46 593;4 232;203 294;154 454;35 836;5 266;195 557;149 176;48 046;5 107;202 329;153 289;41 644;7 182;202 115;160 263;48 453;2 219;210 935;192 821;38 776;2 701;234 298;228 099;42 515;3 327;273 940
R;Mûvészet, szórakoztatás, szabad idõ;187 498;63 377;11 775;262 650;189 658;56 479;11 809;257 945;203 219;67 053;13 767;284 039;216 156;64 179;14 914;295 249;223 004;52 613;19 051;294 669;233 720;68 953;20 126;322 798;217 999;62 317;11 168;291 485;248 129;74 528;20 453;343 110;296 603;67 277;23 967;387 846;340 614;70 441;27 851;438 906
S;Egyéb szolgáltatás;159 678;55 224;7 739;222 642;146 658;43 043;6 861;196 562;157 768;48 216;6 683;212 667;164 305;44 028;7 410;215 743;177 922;47 651;12 321;237 894;183 583;55 492;13 794;252 869;192 339;54 708;15 804;262 851;214 337;60 534;10 160;285 031;240 569;52 515;11 715;304 799;268 707;52 822;12 618;334 146
O–S;Közigazgatás, oktatás, egészségügy, mûvészet, egyéb szolgáltatás;210 318;72 510;10 995;293 823;204 057;60 202;9 393;273 652;210 394;66 051;10 272;286 717;207 935;64 118;8 926;280 978;217 218;63 007;10 601;290 827;222 756;68 069;11 631;302 455;227 094;64 547;10 970;302 611;249 531;75 025;8 047;332 602;288 746;60 841;9 307;358 894;323 662;62 026;10 538;396 227
A–S;Nemzetgazdaság összesen ;208 687;72 893;9 100;290 680;208 421;64 488;8 387;281 296;219 655;69 674;8 158;297 486;234 698;69 518;8 164;312 380;239 144;69 950;13 988;323 083;246 677;74 303;15 190;336 170;255 881;75 723;15 599;347 202;272 939;80 346;14 155;367 440;306 094;68 758;16 144;390 996;339 761;69 390;17 947;427 098
;Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;versenyszféra összesen;208 606;73 249;8 570;290 425;211 120;66 717;8 349;286 186;225 167;71 178;8 387;304 733;247 582;72 001;8 073;327 656;250 796;73 872;16 244;340 912;260 273;77 894;17 649;355 816;271 231;81 598;18 540;371 369;286 254;83 438;17 952;387 645;315 636;72 913;20 154;408 703;348 596;73 101;22 182;443 879
;költségvetés összesen;214 112;73 972;11 171;299 254;207 142;61 083;9 690;277 915;213 964;62 336;10 018;286 318;208 651;65 387;8 939;282 977;216 339;62 418;10 014;288 771;221 330;68 150;18 010;307 489;226 163;64 135;9 074;299 372;250 022;75 846;7 367;333 235;291 004;61 040;8 589;360 634;326 758;62 324;9 625;398 707
