13.1.3.5. Bruttó villamosenergia-termelés [milliárd kWh];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Hollandia;89,6;93,7;96,0;96,8;101,2;99,9;98,8;105,2;107,6;113,7;119,3;114,0;103,2;101,6;103,4;110,2;115,2;117,2;114,3;121,4;123,6;121,5
Horvátország;11,3;12,8;12,8;13,3;14,0;13,2;13,0;12,7;12,9;13,5;14,9;11,4;10,8;14,1;13,6;11,4;12,8;12,0;13,6;12,8;13,4;15,3
Írország;24,0;25,0;25,2;25,2;25,6;26,0;27,5;28,7;30,2;28,3;28,4;27,2;27,4;25,9;26,1;28,4;30,5;30,9;31,1;31,0;32,3;31,9
Lengyelország;145,2;145,6;144,1;151,6;154,2;156,9;161,7;159,3;155,3;151,7;157,7;163,5;162,1;164,6;159,1;164,9;166,6;170,5;170,0;164,0;158,0;179,4
Lettország;4,1;4,3;4,0;4,0;4,7;4,9;4,9;4,8;5,3;5,6;6,6;6,1;6,2;6,2;5,1;5,5;6,4;7,5;6,7;6,4;5,7;5,8
Litvánia;11,4;14,7;17,7;19,5;19,3;14,8;12,5;14,0;13,9;15,4;5,7;4,8;5,0;4,8;4,4;4,9;4,3;4,2;3,5;4,0;5,5;5,1
Luxemburg;1,2;1,6;3,7;3,6;4,1;4,1;4,3;4,0;3,6;3,9;4,6;3,7;3,8;2,9;3,0;2,8;2,2;2,2;2,2;1,9;2,2;2,3
Magyarország;35,2;36,4;36,2;34,1;33,7;35,8;35,9;40,0;40,0;35,9;37,4;36,0;34,6;30,3;29,4;30,4;31,9;32,9;32,1;34,3;34,9;36,1
Málta;1,9;1,9;2,1;2,2;2,2;2,2;2,3;2,3;2,3;2,2;2,1;2,2;2,3;2,3;2,2;1,3;0,9;1,7;2,0;2,1;2,1;2,2
Németország;576,5;586,4;586,7;609,3;618,1;623,1;640,1;641,4;641,2;596,5;633,1;613,1;628,3;638,7;627,8;648,3;650,4;653,7;640,5;606,9;572,7;596,2
Olaszország;276,6;279,0;285,3;293,9;303,3;303,7;314,1;313,9;319,1;292,6;302,1;302,6;299,3;289,8;279,8;283,0;289,8;295,8;289,7;293,9;280,5;286,9
Portugália;43,8;46,5;46,1;46,9;45,1;46,6;49,0;47,3;46,0;50,2;54,1;52,5;46,6;51,7;52,8;52,4;60,3;59,4;59,6;53,2;53,1;50,7
Románia;51,9;53,9;54,7;55,1;56,5;59,4;62,7;61,7;65,0;58,0;61,0;62,2;59,0;58,9;65,7;66,3;65,1;64,3;64,9;59,6;55,9;59,3
Spanyolország;224,5;236,0;245,0;260,7;280,0;294,1;299,5;305,1;313,8;294,6;301,5;293,8;297,6;285,6;278,7;280,9;274,8;275,7;274,5;273,3;263,4;274,1
Svédország;145,3;161,6;146,7;135,4;151,7;158,4;143,4;148,9;150,0;136,7;148,5;150,4;166,6;153,2;153,7;162,1;156,0;164,3;163,4;168,4;163,8;168,6
Szlovákia;31,2;32,0;32,4;31,2;30,6;31,5;31,4;28,1;29,0;26,2;27,9;28,7;28,7;28,8;27,4;26,9;27,1;27,7;27,0;28,4;28,8;29,7
Szlovénia;13,6;14,5;14,6;13,8;15,3;15,1;15,1;15,0;16,4;16,4;16,4;16,1;15,7;16,1;17,4;15,1;16,5;16,3;16,3;16,1;17,2;15,9
EU27_2020;2 658,7;2 734,4;2 757,0;2 837,3;2 908,0;2 926,6;2 973,8;2 987,8;2 998,7;2 846,5;2 984,1;2 942,0;2 939,1;2 921,0;2 861,3;2 906,6;2 928,1;2 960,9;2 943,0;2 907,2;2 786,0;2 909,7
Egyesült Királyság;377,1;384,8;387,2;398,2;393,9;398,4;397,3;396,8;388,9;376,8;382,1;368,0;363,9;358,3;338,1;338,9;339,2;338,2;332,7;323,8;312,0;309,9
Észak-Macedónia;6,8;6,4;6,1;6,7;6,7;6,9;7,0;6,5;6,3;6,8;7,3;6,8;6,3;6,1;5,4;5,6;5,6;5,6;5,6;5,9;5,3;5,5
Norvégia;143,0;121,9;130,7;107,3;110,6;138,0;121,6;137,2;142,1;131,8;123,6;127,5;147,7;134,1;142,0;144,5;149,0;149,5;146,9;135,3;154,3;158,0
Oroszország;877,8;891,3;891,3;916,3;931,9;954,1;992,1;1 018,7;1 040,0;993,1;1 038,0;1 054,9;1 069,3;1 059,1;1 064,2;1 067,5;1 091,0;1 091,2;1 109,2;1 118,1;1 085,4;1 157,1
Svájc;67,3;72,2;66,9;67,2;65,4;59,5;63,9;67,7;68,7;68,3;68,0;64,8;70,0;70,4;72,0;66,3;61,9;61,8;67,6;71,9;70,2;64,9
Szerbia;32,5;33,3;33,8;34,6;37,7;36,5;36,5;36,6;37,4;38,3;38,1;38,6;36,8;39,9;34,1;38,3;39,3;37,0;37,4;37,6;38,0;38,2
Törökország;124,9;122,7;129,4;140,6;150,7;162,0;176,3;191,6;198,4;194,8;211,2;229,4;239,5;240,2;252,0;261,8;274,4;297,3;304,8;303,9;306,7;331,5
Ukrajna;171,4;173,0;173,7;180,4;182,2;186,1;193,4;196,3;192,6;173,6;188,8;194,9;198,9;194,4;182,8;163,7;164,6;156,0;159,8;154,1;148,4;150,0
India;571,4;586,1;609,7;638,1;698,3;704,5;744,4;796,3;828,4;879,7;937,5;1 034,0;1 091,8;1 146,1;1 262,2;1 322,1;1 401,7;1 471,3;1 579,2;1 622,1;1 563,3;1 714,8
Indonézia;93,3;101,7;108,2;113,0;120,2;127,6;133,1;142,4;149,4;156,8;169,8;183,4;200,3;216,2;228,6;234,0;247,9;254,7;283,8;295,4;291,8;309,4
Irán;119,3;127,6;138,2;151,6;162,8;177,1;193,4;203,1;210,5;221,8;235,7;235,6;248,8;258,9;275,6;280,2;286,1;305,2;312,4;318,9;337,2;357,8
Japán;1 099,7;1 083,1;1 103,1;1 092,6;1 121,2;1 153,1;1 164,3;1 180,1;1 183,7;1 114,0;1 156,0;1 104,2;1 106,9;1 087,8;1 062,7;1 030,1;1 035,1;1 042,1;1 053,2;1 025,8;997,0;1 019,7
Kína;1 355,6;1 480,8;1 654,0;1 910,6;2 203,3;2 500,3;2 865,7;3 281,6;3 495,8;3 714,7;4 207,2;4 713,0;4 987,6;5 431,6;5 794,5;5 814,6;6 133,2;6 604,4;7 166,1;7 503,4;7 779,1;8 534,3
Koreai Köztársaság;290,4;309,9;332,0;347,8;368,0;389,5;403,0;425,4;442,6;452,4;495,0;518,2;531,2;537,2;540,4;547,8;561,0;576,4;592,9;586,8;575,3;600,4
Szaúd-Arábia;138,7;146,1;154,9;166,6;173,4;191,1;196,3;204,4;204,2;217,3;240,1;250,1;272,1;284,5;312,3;338,8;337,4;354,4;334,9;335,4;338,0;356,6
Dél-afrikai Köztársaság;210,7;210,1;220,6;234,2;244,6;244,9;253,8;263,5;258,3;249,6;259,6;262,5;257,9;256,1;254,8;250,4;253,1;255,4;256,3;252,6;239,5;244,3
Egyiptom;73,3;80,7;86,2;92,2;98,3;104,9;111,7;119,9;128,8;134,3;144,4;149,6;162,8;165,1;171,2;181,8;188,2;193,2;199,4;200,6;198,6;209,7
Brazília;348,9;328,5;345,7;364,3;387,5;403,0;419,4;445,1;462,9;466,2;515,8;531,8;552,5;570,8;590,5;581,2;578,9;589,3;601,4;626,3;621,3;654,4
Egyesült Államok;4 052,3;3 984,5;4 111,8;4 138,0;4 231,7;4 322,8;4 331,0;4 431,8;4 390,1;4 206,5;4 394,3;4 363,4;4 310,6;4 330,3;4 363,3;4 348,7;4 347,9;4 302,5;4 461,6;4 411,2;4 284,8;4 406,4
Kanada;603,8;587,8;599,8;588,3;598,5;620,5;608,4;634,2;635,1;613,9;607,0;638,3;636,5;655,7;647,6;659,3;663,7;664,5;655,8;650,8;649,1;641,0
Mexikó;203,6;210,2;215,7;224,9;235,4;248,0;256,2;263,2;269,3;267,8;275,6;292,1;296,4;297,1;303,3;310,3;319,4;325,1;335,1;344,6;325,7;336,0
Venezuela;85,2;90,1;89,4;90,1;96,9;104,4;110,6;113,7;119,3;124,8;116,7;122,9;127,9;132,6;130,9;125,3;114,7;110,3;95,4;80,1;74,5;76,7
Ausztrália;216,8;224,3;223,5;226,0;229,2;230,7;238,0;243,2;245,4;249,9;251,0;256,3;250,7;249,6;247,6;254,0;258,2;259,0;262,6;265,9;265,2;267,5
