20.1.2.1. A 15–74 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Gyõr-Moson-Sopron;megye;193,1;14,0;207,1;137,7;344,8;20,1;60,1;6,8;56,0
Vas;megye;106,9;11,9;118,8;83,2;202,0;16,3;58,8;10,0;52,9
Zala;megye;114,8;15,1;129,9;94,4;224,4;22,7;57,9;11,6;51,2
Nyugat-Dunántúl;régió;414,9;41,0;455,9;315,3;771,2;59,0;59,1;9,0;53,8
Baranya;megye;143,8;21,7;165,5;132,5;298,0;34,9;55,5;13,1;48,3
Somogy;megye;112,9;17,9;130,7;116,4;247,1;29,9;52,9;13,7;45,7
Tolna ;megye;89,9;7,9;97,8;84,5;182,2;15,9;53,7;8,1;49,3
Dél-Dunántúl;régió;346,5;47,5;394,0;333,3;727,3;80,7;54,2;12,1;47,6
Dunántúl;nagyrégió;1 208,0;136,2;1 344,2;1 001,1;2 345,3;208,7;57,3;10,1;51,5
Borsod-Abaúj-Zemplén;megye;226,3;46,3;272,6;256,0;528,7;78,9;51,6;17,0;42,8
Heves;megye;110,0;14,9;124,9;113,6;238,5;25,3;52,4;12,0;46,1
Nógrád ;megye;68,1;14,9;83,0;75,8;158,8;23,7;52,3;18,0;42,9
Észak-Magyarország;régió;404,4;76,2;480,5;445,5;926,0;127,9;51,9;15,9;43,7
Hajdú-Bihar;megye;186,6;27,8;214,5;200,9;415,4;44,7;51,6;13,0;44,9
Jász-Nagykun-Szolnok;megye;145,1;16,8;161,9;139,4;301,3;31,2;53,7;10,4;48,2
Szabolcs-Szatmár-Bereg;megye;185,9;39,9;225,8;203,7;429,5;62,2;52,6;17,7;43,3
Észak-Alföld;régió;517,6;84,6;602,2;544,0;1 146,3;138,1;52,5;14,0;45,2
Bács-Kiskun ;megye;199,0;22,2;221,2;183,6;404,8;39,3;54,6;10,0;49,2
Békés;megye;133,6;18,2;151,8;130,7;282,6;30,6;53,7;12,0;47,3
Csongrád-Csanád;megye;163,9;15,3;179,3;139,6;318,8;21,4;56,2;8,5;51,4
Dél-Alföld;régió;496,5;55,7;552,3;453,9;1 006,2;91,3;54,9;10,1;49,3
Alföld és Észak;nagyrégió;1 418,5;216,5;1 635,0;1 443,4;3 078,4;357,3;53,1;13,2;46,1
Ország összesen;ország;3 873,8;469,1;4 342,9;3 319,8;7 662,7;738,2;56,7;10,8;50,6
2011;;;;;;;;;;
Budapest;fõváros, régió;752,9;76,4;829,2;489,2;1 318,5;109,7;62,9;9,2;57,1
Pest;megye, régió;508,0;41,6;549,6;379,8;929,4;69,5;59,1;7,6;54,7
Közép-Magyarország;nagyrégió;1 260,9;118,0;1 378,9;869,0;2 247,9;179,2;61,3;8,6;56,1
Fejér;megye;178,4;18,2;196,6;133,5;330,0;28,0;59,6;9,3;54,0
Komárom-Esztergom;megye;134,9;11,0;145,9;92,7;238,6;18,0;61,2;7,5;56,5
Veszprém;megye;146,2;17,2;163,4;112,9;276,3;23,1;59,1;10,5;52,9
Közép-Dunántúl;régió;459,5;46,4;505,9;339,1;845,0;69,1;59,9;9,2;54,4
Gyõr-Moson-Sopron;megye;191,9;12,2;204,1;141,8;345,9;17,4;59,0;6,0;55,5
Vas;megye;112,1;8,1;120,2;81,3;201,4;11,9;59,7;6,7;55,6
Zala;megye;119,7;11,9;131,6;91,7;223,4;18,6;58,9;9,1;53,6
Nyugat-Dunántúl;régió;423,7;32,2;455,9;314,8;770,7;48,0;59,2;7,1;55,0
Baranya;megye;137,9;22,3;160,2;135,6;295,8;35,5;54,2;13,9;46,6
Somogy;megye;111,8;17,2;128,9;117,0;245,9;30,8;52,4;13,3;45,4
Tolna ;megye;88,3;8,9;97,1;83,9;181,0;16,8;53,7;9,1;48,8
Dél-Dunántúl;régió;338,0;48,3;386,3;336,5;722,8;83,1;53,4;12,5;46,8
Dunántúl;nagyrégió;1 221,1;126,9;1 348,0;990,4;2 338,4;200,2;57,6;9,4;52,2
Borsod-Abaúj-Zemplén;megye;227,2;46,7;273,9;250,7;524,7;80,6;52,2;17,1;43,3
Heves;megye;111,6;16,7;128,3;108,4;236,6;27,8;54,2;13,0;47,2
Nógrád ;megye;63,8;13,7;77,4;80,1;157,6;25,2;49,1;17,7;40,5
Észak-Magyarország;régió;402,6;77,1;479,6;439,2;918,9;133,7;52,2;16,1;43,8
Hajdú-Bihar;megye;193,9;29,4;223,3;192,3;415,6;49,0;53,7;13,2;46,7
Jász-Nagykun-Szolnok;megye;145,7;17,9;163,6;135,6;299,2;34,8;54,7;10,9;48,7
Szabolcs-Szatmár-Bereg;megye;184,6;40,1;224,7;203,9;428,6;70,8;52,4;17,9;43,1
Észak-Alföld;régió;524,2;87,4;611,6;531,8;1 143,3;154,6;53,5;14,3;45,8
Bács-Kiskun ;megye;200,1;22,5;222,6;180,8;403,4;41,0;55,2;10,1;49,6
Békés;megye;131,3;17,8;149,1;130,7;279,9;31,3;53,3;12,0;46,9
Csongrád-Csanád;megye;162,8;15,8;178,6;139,0;317,6;23,3;56,2;8,8;51,3
Dél-Alföld;régió;494,2;56,1;550,3;450,6;1 000,9;95,7;55,0;10,2;49,4
Alföld és Észak;nagyrégió;1 421,0;220,5;1 641,5;1 421,5;3 063,0;384,0;53,6;13,4;46,4
Ország összesen;ország;3 903,0;465,4;4 368,4;3 280,9;7 649,3;763,4;57,1;10,7;51,0
2012;;;;;;;;;;
Budapest;fõváros, régió;775,9;78,8;854,7;471,3;1 326,0;118,5;64,5;9,2;58,5
Pest;megye, régió;513,1;50,4;563,5;372,3;935,8;77,7;60,2;8,9;54,8
Közép-Magyarország;nagyrégió;1 289,0;129,2;1 418,2;843,6;2 261,8;196,2;62,7;9,1;57,0
Fejér;megye;177,7;20,0;197,7;131,6;329,4;30,1;60,0;10,1;54,0
Komárom-Esztergom;megye;132,6;10,3;142,9;94,2;237,1;18,0;60,3;7,2;55,9
Veszprém;megye;146,1;18,1;164,2;110,5;274,7;23,8;59,8;11,0;53,2
Közép-Dunántúl;régió;456,5;48,4;504,9;336,3;841,2;71,9;60,0;9,6;54,3
Gyõr-Moson-Sopron;megye;196,4;10,9;207,3;139,5;346,8;18,4;59,8;5,3;56,6
Vas;megye;115,1;7,4;122,6;78,3;200,8;11,5;61,0;6,1;57,3
Zala;megye;117,4;15,4;132,8;89,1;222,0;21,8;59,8;11,6;52,9
Nyugat-Dunántúl;régió;429,0;33,8;462,8;306,9;769,6;51,7;60,1;7,3;55,7
Baranya;megye;135,2;21,8;157,0;135,7;292,6;38,9;53,6;13,9;46,2
Somogy;megye;115,4;14,0;129,4;115,4;244,7;29,7;52,9;10,8;47,1
Tolna ;megye;87,5;9,1;96,5;83,0;179,5;18,8;53,8;9,4;48,7
Dél-Dunántúl;régió;338,0;44,9;382,9;334,0;716,9;87,4;53,4;11,7;47,2
Dunántúl;nagyrégió;1 223,5;127,0;1 350,6;977,2;2 327,8;211,0;58,0;9,4;52,6
Borsod-Abaúj-Zemplén;megye;226,5;43,9;270,5;249,6;520,0;80,8;52,0;16,2;43,6
Heves;megye;110,9;18,0;128,9;105,5;234,4;30,5;55,0;14,0;47,3
Nógrád ;megye;67,1;13,6;80,7;75,2;156,0;25,6;51,8;16,8;43,0
Észak-Magyarország;régió;404,5;75,6;480,1;430,3;910,4;136,9;52,7;15,7;44,4
Hajdú-Bihar;megye;194,8;29,3;224,1;190,7;414,8;50,2;54,0;13,1;47,0
Jász-Nagykun-Szolnok;megye;146,9;18,5;165,4;131,3;296,7;34,9;55,7;11,2;49,5
Szabolcs-Szatmár-Bereg;megye;197,7;37,7;235,4;193,0;428,4;66,9;54,9;16,0;46,1
Észak-Alföld;régió;539,4;85,5;624,8;515,0;1 139,9;152,0;54,8;13,7;47,3
Bács-Kiskun ;megye;207,1;20,3;227,3;174,8;402,2;39,2;56,5;8,9;51,5
Békés;megye;134,3;17,7;152,0;125,2;277,2;28,1;54,8;11,6;48,5
Csongrád-Csanád;megye;160,9;17,5;178,4;138,2;316,6;26,8;56,4;9,8;50,8
Dél-Alföld;régió;502,3;55,5;557,8;438,2;995,9;94,2;56,0;9,9;50,4
Alföld és Észak;nagyrégió;1 446,2;216,5;1 662,7;1 383,5;3 046,2;383,1;54,6;13,0;47,5
Ország összesen;ország;3 958,7;472,8;4 431,5;3 204,3;7 635,8;790,3;58,0;10,7;51,8
2013;;;;;;;;;;
Budapest;fõváros, régió;784,9;68,7;853,6;475,7;1 329,3;111,4;64,2;8,0;59,0
Pest;megye, régió;526,4;50,6;577,1;360,3;937,4;79,5;61,6;8,8;56,2
Közép-Magyarország;nagyrégió;1 311,4;119,3;1 430,7;836,0;2 266,7;190,9;63,1;8,3;57,9
Fejér;megye;182,3;18,6;200,9;127,2;328,1;29,8;61,2;9,3;55,6
Komárom-Esztergom;megye;131,1;10,5;141,7;94,0;235,6;18,9;60,1;7,4;55,7
Veszprém;megye;148,6;13,6;162,3;109,7;271,9;21,1;59,7;8,4;54,7
Közép-Dunántúl;régió;462,1;42,7;504,9;330,8;835,6;69,7;60,4;8,5;55,3
Gyõr-Moson-Sopron;megye;203,2;11,1;214,3;134,1;348,4;18,4;61,5;5,2;58,3
Vas;megye;113,3;8,8;122,1;78,1;200,2;14,2;61,0;7,2;56,6
Zala;megye;117,4;14,9;132,3;88,0;220,3;23,1;60,0;11,2;53,3
Nyugat-Dunántúl;régió;433,9;34,8;468,7;300,2;768,9;55,8;61,0;7,4;56,4
Baranya;megye;143,0;15,8;158,9;130,6;289,4;31,5;54,9;10,0;49,4
Somogy;megye;114,2;13,9;128,1;116,1;244,2;32,5;52,5;10,8;46,8
Tolna ;megye;92,1;5,2;97,3;80,8;178,0;16,2;54,6;5,4;51,7
Dél-Dunántúl;régió;349,3;34,9;384,2;327,4;711,6;80,2;54,0;9,1;49,1
Dunántúl;nagyrégió;1 245,3;112,4;1 357,8;958,4;2 316,2;205,7;58,6;8,3;53,8
Borsod-Abaúj-Zemplén;megye;237,3;31,8;269,1;245,8;515,0;70,0;52,3;11,8;46,1
Heves;megye;112,2;15,1;127,4;104,8;232,2;27,5;54,9;11,9;48,3
Nógrád ;megye;67,7;11,7;79,5;74,7;154,2;21,9;51,5;14,8;43,9
Észak-Magyarország;régió;417,3;58,7;476,0;425,4;901,4;119,5;52,8;12,3;46,3
Hajdú-Bihar;megye;200,0;34,3;234,3;179,2;413,5;56,1;56,7;14,6;48,4
Jász-Nagykun-Szolnok;megye;147,6;18,3;165,9;128,1;294,0;31,4;56,4;11,0;50,2
Szabolcs-Szatmár-Bereg;megye;203,5;37,0;240,5;188,1;428,6;64,4;56,1;15,4;47,5
Észak-Alföld;régió;551,2;89,6;640,8;495,4;1 136,2;151,8;56,4;14,0;48,5
Bács-Kiskun ;megye;208,1;22,5;230,6;169,4;400,0;40,0;57,6;9,8;52,0
Békés;megye;135,8;16,3;152,1;122,3;274,4;27,7;55,4;10,7;49,5
Csongrád-Csanád;megye;160,3;21,3;181,6;133,3;314,8;29,6;57,7;11,7;50,9
Dél-Alföld;régió;504,1;60,2;564,2;425,0;989,2;97,3;57,0;10,7;51,0
Alföld és Észak;nagyrégió;1 472,6;208,4;1 681,0;1 345,8;3 026,8;368,6;55,5;12,4;48,7
Ország összesen;ország;4 029,3;440,2;4 469,5;3 140,2;7 609,7;765,2;58,7;9,8;52,9
2014;;;;;;;;;;
Budapest;fõváros, régió;809,1;49,6;858,6;473,5;1 332,1;80,9;64,5;5,8;60,7
Pest;megye, régió;547,9;36,7;584,6;353,9;938,5;62,3;62,3;6,3;58,4
Közép-Magyarország;nagyrégió;1 357,0;86,2;1 443,2;827,4;2 270,6;143,1;63,6;6,0;59,8
Fejér;megye;190,9;13,0;203,8;122,5;326,3;25,4;62,5;6,4;58,5
Komárom-Esztergom;megye;136,0;5,9;141,9;91,7;233,6;11,5;60,7;4,2;58,2
Veszprém;megye;157,3;8,6;165,9;103,6;269,4;12,5;61,6;5,2;58,4
Közép-Dunántúl;régió;484,2;27,5;511,6;317,7;829,4;49,4;61,7;5,4;58,4
Gyõr-Moson-Sopron;megye;214,6;6,4;221,0;128,4;349,4;11,6;63,3;2,9;61,4
Vas;megye;121,3;4,4;125,7;73,7;199,4;9,6;63,1;3,5;60,9
Zala;megye;122,3;10,4;132,7;85,6;218,3;16,9;60,8;7,8;56,0
Nyugat-Dunántúl;régió;458,3;21,2;479,5;287,6;767,1;38,2;62,5;4,4;59,7
Baranya;megye;147,4;13,4;160,8;125,6;286,4;29,8;56,1;8,3;51,5
Somogy;megye;121,0;11,7;132,7;109,3;242,0;27,7;54,8;8,8;50,0
Tolna ;megye;97,4;5,5;102,8;73,3;176,1;14,0;58,4;5,3;55,3
Dél-Dunántúl;régió;365,8;30,6;396,3;308,2;704,5;71,4;56,3;7,7;51,9
Dunántúl;nagyrégió;1 308,2;79,3;1 387,4;913,5;2 301,0;159,1;60,3;5,7;56,9
Borsod-Abaúj-Zemplén;megye;248,9;30,8;279,7;229,5;509,3;65,5;54,9;11,0;48,9
Heves;megye;118,1;12,6;130,7;99,1;229,7;21,9;56,9;9,6;51,4
Nógrád ;megye;76,7;6,8;83,6;68,6;152,1;15,1;54,9;8,2;50,4
Észak-Magyarország;régió;443,7;50,2;494,0;397,2;891,2;102,4;55,4;10,2;49,8
Hajdú-Bihar;megye;212,5;30,7;243,2;168,3;411,5;51,3;59,1;12,6;51,6
Jász-Nagykun-Szolnok;megye;161,2;13,0;174,2;116,9;291,1;24,9;59,9;7,4;55,4
Szabolcs-Szatmár-Bereg;megye;215,8;33,4;249,3;178,3;427,5;59,1;58,3;13,4;50,5
Észak-Alföld;régió;589,6;77,1;666,7;463,4;1 130,1;135,3;59,0;11,6;52,2
Bács-Kiskun ;megye;213,6;21,9;235,5;161,4;396,8;35,5;59,3;9,3;53,8
Békés;megye;136,7;15,5;152,2;118,8;271,0;25,8;56,2;10,2;50,4
Csongrád-Csanád;megye;173,8;12,7;186,5;126,1;312,6;20,0;59,7;6,8;55,6
Dél-Alföld;régió;524,1;50,1;574,2;406,2;980,4;81,2;58,6;8,7;53,5
Alföld és Észak;nagyrégió;1 557,4;177,4;1 734,9;1 266,8;3 001,7;319,0;57,8;10,2;51,9
Ország összesen;ország;4 222,6;342,9;4 565,5;3 007,8;7 573,2;621,2;60,3;7,5;55,8
2015;;;;;;;;;;
Budapest;fõváros, régió;833,3;42,9;876,2;459,0;1 335,2;74,9;65,6;4,9;62,4
Pest;megye, régió;561,4;32,7;594,0;347,2;941,2;51,3;63,1;5,5;59,6
Közép-Magyarország;nagyrégió;1 394,7;75,5;1 470,2;806,2;2 276,4;126,2;64,6;5,1;61,3
Fejér;megye;200,5;7,5;208,0;115,9;323,9;15,6;64,2;3,6;61,9
Komárom-Esztergom;megye;139,3;7,6;146,9;84,7;231,6;11,3;63,4;5,2;60,1
Veszprém;megye;160,9;7,5;168,4;98,3;266,7;11,1;63,1;4,5;60,3
Közép-Dunántúl;régió;500,7;22,7;523,4;299,0;822,3;38,0;63,6;4,3;60,9
Gyõr-Moson-Sopron;megye;217,2;6,2;223,5;127,1;350,6;12,0;63,7;2,8;62,0
Vas;megye;123,2;4,8;128,0;70,7;198,7;9,1;64,4;3,7;62,0
Zala;megye;122,0;6,8;128,8;86,9;215,7;13,3;59,7;5,3;56,6
Nyugat-Dunántúl;régió;462,5;17,8;480,3;284,7;765,0;34,4;62,8;3,7;60,5
Baranya;megye;153,2;14,1;167,3;115,8;283,1;25,3;59,1;8,4;54,1
Somogy;megye;120,1;11,1;131,2;106,9;238,1;24,9;55,1;8,5;50,4
Tolna ;megye;96,1;6,9;103,1;70,7;173,8;13,2;59,3;6,7;55,3
Dél-Dunántúl;régió;369,4;32,1;401,6;293,4;695,0;63,5;57,8;8,0;53,2
Dunántúl;nagyrégió;1 332,6;72,6;1 405,2;877,1;2 282,3;135,8;61,6;5,2;58,4
Borsod-Abaúj-Zemplén;megye;262,5;25,6;288,1;214,8;502,9;49,9;57,3;8,9;52,2
Heves;megye;122,4;10,4;132,8;94,8;227,6;19,9;58,3;7,8;53,8
Nógrád ;megye;78,5;6,9;85,4;64,7;150,1;12,9;56,9;8,1;52,3
Észak-Magyarország;régió;463,4;42,8;506,3;374,3;880,6;82,7;57,5;8,5;52,6
Hajdú-Bihar;megye;220,7;27,1;247,7;161,3;409,0;43,4;60,6;10,9;54,0
Jász-Nagykun-Szolnok;megye;159,9;12,1;172,0;115,5;287,4;22,3;59,8;7,0;55,6
Szabolcs-Szatmár-Bereg;megye;223,6;32,7;256,3;173,5;429,8;52,7;59,6;12,7;52,0
Észak-Alföld;régió;604,2;71,8;675,9;450,3;1 126,2;118,3;60,0;10,6;53,6
Bács-Kiskun ;megye;222,2;18,3;240,4;153,5;393,9;28,7;61,0;7,6;56,4
Békés;megye;141,5;13,2;154,7;112,8;267,5;22,6;57,8;8,5;52,9
Csongrád-Csanád;megye;176,5;13,5;190,0;121,0;311,1;19,4;61,1;7,1;56,7
Dél-Alföld;régió;540,2;45,0;585,1;387,4;972,5;70,7;60,2;7,7;55,5
Alföld és Észak;nagyrégió;1 607,8;159,6;1 767,3;1 212,0;2 979,3;271,8;59,3;9,0;54,0
Ország összesen;ország;4 335,1;307,7;4 642,8;2 895,2;7 537,9;533,8;61,6;6,6;57,5
2016;;;;;;;;;;
Budapest;fõváros, régió;870,3;38,0;908,3;421,1;1 329,4;62,3;68,3;4,2;65,5
Pest;megye, régió;584,6;17,8;602,5;345,3;947,7;33,8;63,6;3,0;61,7
Közép-Magyarország;nagyrégió;1 455,0;55,8;1 510,8;766,3;2 277,1;96,0;66,3;3,7;63,9
Fejér;megye;200,8;5,4;206,2;118,0;324,3;12,2;63,6;2,6;61,9
Komárom-Esztergom;megye;140,3;5,3;145,6;84,8;230,4;9,4;63,2;3,6;60,9
Veszprém;megye;163,4;4,5;167,9;95,8;263,7;7,7;63,7;2,7;61,9
Közép-Dunántúl;régió;504,5;15,2;519,7;298,6;818,3;29,3;63,5;2,9;61,7
Gyõr-Moson-Sopron;megye;223,7;4,5;228,2;123,7;351,9;9,5;64,8;2,0;63,6
Vas;megye;123,7;3,2;126,9;71,4;198,3;6,7;64,0;2,5;62,4
Zala;megye;126,2;4,9;131,1;82,5;213,5;8,5;61,4;3,7;59,1
Nyugat-Dunántúl;régió;473,7;12,6;486,2;277,6;763,8;24,7;63,7;2,6;62,0
Baranya;megye;158,6;12,7;171,3;109,2;280,5;20,3;61,1;7,4;56,5
Somogy;megye;127,6;7,2;134,7;101,4;236,2;16,5;57,1;5,3;54,0
Tolna ;megye;93,4;4,4;97,8;73,9;171,7;9,1;57,0;4,5;54,4
Dél-Dunántúl;régió;379,6;24,2;403,9;284,5;688,4;45,9;58,7;6,0;55,1
Dunántúl;nagyrégió;1 357,8;52,0;1 409,8;860,7;2 270,5;100,0;62,1;3,7;59,8
Borsod-Abaúj-Zemplén;megye;271,4;18,9;290,3;206,9;497,1;40,6;58,4;6,5;54,6
Heves;megye;128,2;5,6;133,8;92,1;225,9;12,5;59,2;4,2;56,8
Nógrád ;megye;78,1;7,0;85,1;63,5;148,6;11,8;57,2;8,2;52,6
Észak-Magyarország;régió;477,7;31,5;509,2;362,5;871,7;64,9;58,4;6,2;54,8
Hajdú-Bihar;megye;229,6;21,2;250,8;156,1;406,9;35,3;61,6;8,4;56,4
Jász-Nagykun-Szolnok;megye;162,8;11,3;174,2;110,2;284,4;19,9;61,2;6,5;57,3
Szabolcs-Szatmár-Bereg;megye;234,3;30,1;264,4;167,2;431,6;46,3;61,3;11,4;54,3
Észak-Alföld;régió;626,7;62,6;689,3;433,5;1 122,8;101,5;61,4;9,1;55,8
Bács-Kiskun ;megye;230,5;14,8;245,3;146,6;391,9;25,3;62,6;6,0;58,8
Békés;megye;148,4;9,4;157,8;106,3;264,1;17,2;59,7;6,0;56,2
Csongrád-Csanád;megye;186,2;8,3;194,5;115,0;309,4;14,1;62,8;4,3;60,2
Dél-Alföld;régió;565,1;32,5;597,6;367,8;965,4;56,6;61,9;5,4;58,5
Alföld és Észak;nagyrégió;1 669,5;126,6;1 796,1;1 163,8;2 959,9;223,0;60,7;7,1;56,4
Ország összesen;ország;4 482,2;234,5;4 716,7;2 790,9;7 507,5;419,0;62,8;5,0;59,7
2017;;;;;;;;;;
Budapest;fõváros, régió;873,5;24,8;898,3;421,7;1 320,0;47,2;68,1;2,8;66,2
Pest ;megye, régió;597,9;15,4;613,3;341,5;954,8;29,5;64,2;2,5;62,6
Közép-Magyarország;nagyrégió;1 471,4;40,2;1 511,6;763,2;2 274,8;76,8;66,4;2,7;64,7
Fejér;megye;202,7;6,0;208,7;112,8;321,6;11,2;64,9;2,9;63,0
Komárom-Esztergom;megye;145,9;2,9;148,8;80,3;229,1;6,9;64,9;1,9;63,7
Veszprém;megye;167,6;2,5;170,1;91,4;261,5;4,0;65,0;1,4;64,1
Közép-Dunántúl;régió;516,3;11,3;527,6;284,6;812,2;22,1;65,0;2,1;63,6
Gyõr-Moson-Sopron;megye;230,4;3,7;234,1;118,3;352,4;7,5;66,4;1,6;65,4
Vas;megye;124,9;2,3;127,2;70,0;197,2;5,4;64,5;1,8;63,3
Zala;megye;129,5;5,7;135,2;76,1;211,3;9,0;64,0;4,2;61,3
Nyugat-Dunántúl;régió;484,8;11,7;496,5;264,5;760,9;22,0;65,2;2,4;63,7
Baranya;megye;159,2;12,5;171,7;106,3;278,1;20,4;61,8;7,3;57,3
Somogy;megye;123,4;9,6;133,0;100,6;233,6;19,6;56,9;7,2;52,8
Tolna ;megye;94,9;2,9;97,8;71,9;169,7;8,2;57,6;3,0;55,9
Dél-Dunántúl;régió;377,5;25,0;402,5;278,8;681,4;48,2;59,1;6,2;55,4
Dunántúl;nagyrégió;1 378,6;48,0;1 426,6;827,9;2 254,5;92,2;63,3;3,4;61,1
Borsod-Abaúj-Zemplén;megye;274,4;16,4;290,8;199,9;490,7;38,0;59,3;5,6;55,9
Heves;megye;127,2;5,6;132,8;90,8;223,7;11,7;59,4;4,2;56,9
Nógrád ;megye;82,4;7,4;89,8;57,1;147,0;12,6;61,1;8,2;56,1
Észak-Magyarország;régió;484,1;29,4;513,4;347,9;861,3;62,3;59,6;5,7;56,2
Hajdú-Bihar;megye;234,2;16,0;250,2;153,7;403,9;27,7;62,0;6,4;58,0
Jász-Nagykun-Szolnok;megye;161,7;11,4;173,1;108,7;281,8;20,0;61,4;6,6;57,4
Szabolcs-Szatmár-Bereg;megye;248,2;22,7;270,9;159,7;430,6;36,6;62,9;8,4;57,6
Észak-Alföld;régió;644,1;50,1;694,2;422,1;1 116,3;84,3;62,2;7,2;57,7
Bács-Kiskun ;megye;234,5;9,7;244,2;143,6;387,8;17,5;63,0;4,0;60,5
Békés;megye;150,1;7,7;157,8;102,2;260,0;13,1;60,7;4,9;57,7
Csongrád-Csanád;megye;185,7;6,5;192,1;113,6;305,7;11,1;62,8;3,4;60,7
Dél-Alföld;régió;570,2;23,9;594,1;359,4;953,5;41,7;62,3;4,0;59,8
Alföld és Észak;nagyrégió;1 698,3;103,4;1 801,8;1 129,3;2 931,1;188,4;61,5;5,7;57,9
Ország összesen;ország;4 548,4;191,6;4 739,9;2 720,4;7 460,4;357,4;63,5;4,0;61,0
2018;;;;;;;;;;
