20.2.2.4. A foglalkoztatottak száma nemzetgazdasági szektorok szerint, régiónként, negyedévente – TEÁOR'08 [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Mezõgazdaság;;;;;;;;;;
;III.;671,6;387,6;266,5;258,4;231,8;267,7;362,5;323,0;2 768,9
;IV.;676,4;379,0;266,4;259,5;225,2;275,3;364,1;318,0;2 763,9
2015.;I.;681,0;379,5;268,5;256,4;219,4;274,5;353,0;318,5;2 750,8
;II.;676,5;390,3;275,8;265,8;229,6;289,7;373,3;317,9;2 818,9
;III.;694,0;394,8;280,1;274,4;231,0;287,9;380,2;327,7;2 870,2
;IV.;700,4;398,0;270,7;274,3;225,9;282,8;378,0;323,4;2 853,5
2016.;I.;711,7;403,5;263,4;269,1;232,2;281,5;376,4;323,6;2 861,5
;II.;726,5;405,0;266,3;274,1;230,5;285,7;399,5;333,5;2 921,2
;III.;734,3;413,6;264,5;272,7;235,0;280,0;400,9;328,0;2 929,1
;IV.;743,4;416,3;265,1;265,9;237,0;279,0;401,0;336,7;2 944,3
2017.;I.;722,5;413,4;262,7;263,1;232,1;273,2;400,8;333,2;2 901,2
;II.;720,2;410,3;265,5;268,8;227,9;275,8;407,8;341,4;2 917,6
;III.;734,0;406,6;268,4;262,5;225,4;270,0;403,6;338,3;2 908,9
;IV.;712,5;411,3;268,9;262,4;223,9;273,9;403,5;338,0;2 894,3
2018.;I.;697,2;413,3;267,9;271,2;225,1;273,1;399,4;342,7;2 889,8
;II.;715,9;410,0;263,9;262,6;227,2;283,8;405,7;342,3;2 911,5
;III.;711,6;420,0;264,6;260,7;235,6;291,1;396,9;343,1;2 923,7
;IV.;712,3;425,0;254,2;254,2;235,5;287,3;388,9;343,5;2 901,0
2019.;I.;732,4;435,0;263,9;260,1;237,6;284,2;398,9;336,9;2 949,0
;II.;733,9;438,3;266,7;266,5;227,9;281,3;401,3;331,7;2 947,5
;III.;742,8;445,5;271,7;269,9;225,9;281,2;396,7;341,1;2 974,9
;IV.;740,7;432,4;271,1;273,2;221,9;283,7;390,2;340,0;2 953,1
2020.;I.;737,0;429,1;270,6;288,2;214,6;275,0;376,5;330,6;2 921,7
;II.;728,3;429,4;272,5;280,5;222,1;274,5;374,5;321,5;2 903,1
;III.;743,9;439,7;276,6;284,9;233,0;270,5;383,2;323,9;2 955,6
;IV.;732,9;448,0;282,0;292,2;233,7;272,0;376,8;324,0;2 961,7
2021.;I.;714,4;442,1;276,5;285,0;233,3;267,9;374,6;333,1;2 926,8
;II.;729,1;456,3;278,7;290,0;234,1;272,5;378,2;327,6;2 966,5
;III.;733,0;463,8;283,1;291,5;236,0;277,4;384,2;330,3;2 999,5
;IV.;752,9;469,9;286,8;288,7;232,2;275,5;387,0;339,5;3 032,4
2022.;I.;745,3;467,1;293,8;281,0;232,6;274,9;394,5;340,7;3 029,9
;II.;741,7;471,3;291,5;276,8;225,4;279,8;391,9;349,2;3 027,6
;III.;752,2;466,6;290,3;281,5;222,5;285,4;394,2;345,2;3 037,8
;IV.;;;;;;;;;
Összesen;;;;;;;;;;
2009.;I.;768,2;504,8;451,3;421,4;336,7;407,6;497,1;483,0;3 870,2
;II.;766,4;507,7;453,6;419,5;342,7;412,6;513,0;487,6;3 903,2
;III.;762,0;500,8;444,0;420,1;348,0;408,1;514,0;495,2;3 892,2
;IV.;763,8;501,0;444,1;417,2;346,8;408,6;511,6;491,6;3 884,9
2010.;I.;747,5;499,6;437,4;412,7;338,0;399,1;496,9;483,6;3 814,6
;II.;746,3;499,7;440,0;412,6;350,3;403,8;516,7;495,3;3 864,7
;III.;741,9;500,8;451,6;413,5;353,0;405,9;529,6;506,1;3 902,4
;IV.;742,3;501,7;452,7;417,8;343,4;406,5;526,5;498,8;3 889,6
2011.;I.;744,9;503,0;453,6;415,9;332,3;391,8;498,0;486,1;3 825,7
;II.;750,1;507,6;458,0;420,8;342,8;401,0;523,9;491,7;3 896,0
;III.;755,9;507,7;463,3;426,4;338,9;407,7;537,8;500,4;3 938,0
