20.1.1.74. Továbbvezetett havi munkaerõköltség fõbb elemeinek megoszlása nemzetgazdasági áganként [munkaerõköltség = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
H;Szállítás, raktározás;71,6;26,0;2,4;100,0;72,8;24,9;2,3;100,0;73,3;24,7;2,0;100,0;74,4;23,5;2,2;100,0;73,8;23,1;3,0;100,0;73,8;23,1;3,0;100,0;74,7;22,2;3,1;100,0;75,2;21,8;3,0;100,0;78,6;18,2;3,2;100,0;79,9;16,9;3,2;100,0
I;Szálláshely-szolgáltatás, vendéglátás;72,8;24,3;2,9;100,0;74,8;22,2;2,9;100,0;74,3;23,0;2,7;100,0;76,9;19,9;3,3;100,0;77,5;18,7;3,8;100,0;75,5;20,3;4,2;100,0;76,1;19,8;4,2;100,0;74,8;19,7;5,5;100,0;77,9;16,5;5,6;100,0;79,3;15,1;5,6;100,0
J;Információ, kommunkiáció;69,9;26,3;3,8;100,0;72,6;23,7;3,7;100,0;73,8;22,8;3,4;100,0;73,9;23,4;2,7;100,0;74,1;22,5;3,4;100,0;74,0;22,7;3,4;100,0;74,2;22,4;3,4;100,0;74,5;22,2;3,3;100,0;77,8;18,7;3,5;100,0;79,2;17,2;3,6;100,0
K;Pénzügyi, biztosítási tevékenység;70,9;24,9;4,2;100,0;72,2;23,3;4,5;100,0;72,3;22,4;5,3;100,0;73,3;23,2;3,6;100,0;73,3;22,3;4,3;100,0;72,6;22,9;4,5;100,0;72,5;23,3;4,2;100,0;72,7;23,1;4,2;100,0;76,7;18,9;4,4;100,0;78,0;17,5;4,5;100,0
L;Ingatlanügyletek;71,5;24,2;4,4;100,0;73,6;21,9;4,5;100,0;72,1;23,7;4,3;100,0;79,9;22,0;-1,9;100,0;79,0;21,8;-0,8;100,0;78,5;22,3;-0,8;100,0;77,9;22,8;-0,7;100,0;71,6;21,3;7,1;100,0;74,9;17,0;8,1;100,0;76,4;15,9;7,8;100,0
M;Szakmai, tudományos, mûszaki tevékenység;72,4;24,0;3,6;100,0;74,3;22,0;3,7;100,0;73,3;23,0;3,7;100,0;74,5;21,9;3,5;100,0;74,0;21,6;4,3;100,0;74,1;21,6;4,2;100,0;73,6;21,8;4,6;100,0;74,6;21,4;4,1;100,0;78,0;17,7;4,3;100,0;79,4;16,2;4,4;100,0
N  ;Adminisztratív és szolgáltatást támogató tevékenység;72,1;24,7;3,2;100,0;73,4;22,9;3,7;100,0;72,8;23,0;4,2;100,0;71,5;25,7;2,8;100,0;73,5;22,2;4,3;100,0;71,3;24,2;4,5;100,0;70,3;24,0;5,7;100,0;73,1;20,9;6,0;100,0;76,7;16,9;6,4;100,0;77,9;15,6;6,5;100,0
G–N;Kereskedelem és gépjármûjavítástól az adminisztratív és szolgáltatást támogató tevékenységig;71,9;25,0;3,2;100,0;73,7;23,1;3,2;100,0;73,6;23,2;3,2;100,0;75,2;22,2;2,6;100,0;74,2;22,1;3,7;100,0;73,7;22,5;3,8;100,0;73,7;22,3;3,9;100,0;73,1;21,3;5,7;100,0;76,5;17,5;6,1;100,0;77,8;16,1;6,1;100,0
B–N;Bányászat és feldolgozóipartól az adminisztratív és szolgáltatást támogató tevékenységig;71,8;25,3;2,9;100,0;73,9;23,4;2,8;100,0;74,0;23,3;2,7;100,0;75,5;22,1;2,4;100,0;73,9;21,7;4,4;100,0;73,4;22,0;4,6;100,0;73,3;22,1;4,6;100,0;73,9;21,6;4,5;100,0;77,4;17,9;4,7;100,0;78,7;16,5;4,8;100,0
O;"Közigazgatás, védelem; kötelezõ társadalombiztosítás";70,9;24,9;4,2;100,0;74,0;22,1;3,8;100,0;74,0;21,9;4,1;100,0;74,4;22,3;3,4;100,0;68,4;27,9;3,8;100,0;72,9;22,3;4,8;100,0;75,2;21,5;3,3;100,0;73,8;22,2;4,1;100,0;78,7;17,0;4,3;100,0;80,0;15,6;4,4;100,0
P;Oktatás;71,9;24,2;4,0;100,0;74,7;21,7;3,7;100,0;74,7;21,6;3,7;100,0;72,7;23,8;3,4;100,0;81,8;14,5;3,8;100,0;74,8;21,9;3,2;100,0;74,3;21,8;3,9;100,0;76,3;23,0;0,7;100,0;82,0;17,3;0,7;100,0;83,4;15,8;0,8;100,0
Q;Humán-egészségügyi, szociális ellátás;72,5;25,0;2,5;100,0;75,7;22,2;2,1;100,0;76,0;22,2;1,8;100,0;75,0;22,9;2,1;100,0;79,0;18,3;2,7;100,0;73,7;23,7;2,5;100,0;75,8;20,6;3,6;100,0;76,0;23,0;1,1;100,0;82,3;16,5;1,2;100,0;83,3;15,5;1,2;100,0
R;Mûvészet, szórakoztatás, szabad idõ;71,4;24,1;4,5;100,0;73,5;21,9;4,6;100,0;73,2;22,4;4,4;100,0;73,2;21,7;5,1;100,0;75,7;17,9;6,5;100,0;72,4;21,4;6,2;100,0;74,8;21,4;3,8;100,0;72,3;21,7;6,0;100,0;76,5;17,3;6,2;100,0;77,6;16,0;6,3;100,0
S;Egyéb szolgáltatás;71,7;24,8;3,5;100,0;74,6;21,9;3,5;100,0;74,7;22,5;2,9;100,0;76,2;20,4;3,4;100,0;74,8;20,0;5,2;100,0;72,6;21,9;5,5;100,0;73,2;20,8;6,0;100,0;75,2;21,2;3,6;100,0;78,9;17,2;3,8;100,0;80,4;15,8;3,8;100,0
O–S;Közigazgatás, oktatás, egészségügy, mûvészet, egyéb szolgáltatás;71,6;24,7;3,7;100,0;74,6;22,0;3,4;100,0;74,6;21,9;3,5;100,0;74,0;22,8;3,2;100,0;74,7;21,7;3,6;100,0;73,6;22,5;3,8;100,0;75,0;21,3;3,6;100,0;75,0;22,6;2,4;100,0;80,5;17,0;2,6;100,0;81,7;15,7;2,7;100,0
A–S;Nemzetgazdaság összesen ;71,8;25,1;3,1;100,0;74,1;22,9;3,0;100,0;74,2;22,9;2,9;100,0;75,1;22,3;2,6;100,0;74,0;21,7;4,3;100,0;73,4;22,1;4,5;100,0;73,7;21,8;4,5;100,0;74,3;21,9;3,9;100,0;78,3;17,6;4,1;100,0;79,6;16,2;4,2;100,0
;Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;versenyszféra összesen;71,8;25,2;3,0;100,0;73,8;23,3;2,9;100,0;73,9;23,4;2,8;100,0;75,6;22,0;2,5;100,0;73,6;21,7;4,8;100,0;73,1;21,9;5,0;100,0;73,0;22,0;5,0;100,0;73,8;21,5;4,6;100,0;77,2;17,8;4,9;100,0;78,5;16,5;5,0;100,0
;költségvetés összesen;71,5;24,7;3,7;100,0;74,5;22,0;3,5;100,0;74,7;21,8;3,5;100,0;73,7;23,1;3,2;100,0;74,9;21,6;3,5;100,0;72,0;22,2;5,9;100,0;75,5;21,4;3,0;100,0;75,0;22,8;2,2;100,0;80,7;16,9;2,4;100,0;82,0;15,6;2,4;100,0
