20.2.1.25. A munkanélküliek száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
;III.;6,6;17,0;16,6;15,6;20,4;18,0;13,9;16,1;10,2;6,1;...;...;140,7;23,7
;IV.;3,8;17,6;16,9;16,5;16,9;20,6;14,8;12,0;10,8;4,2;...;...;134,4;21,5
2016.;I.;3,0;15,3;15,2;13,4;16,4;16,9;14,3;12,8;12,0;6,0;...;...;125,6;18,3
;II.;2,0;17,1;14,9;10,3;11,5;13,4;10,5;9,5;8,5;4,4;...;...;102,6;19,2
;III.;4,1;16,3;13,0;10,7;14,3;11,7;10,8;9,6;8,1;5,2;...;...;104,6;20,4
;IV.;3,7;14,6;12,7;7,7;12,8;11,0;8,7;10,5;7,3;5,5;...;...;95,0;18,3
2017.;I.;3,0;10,4;16,4;7,2;13,4;13,1;9,6;9,7;8,2;6,4;...;...;97,8;13,4
;II.;2,8;13,3;13,5;8,2;11,7;10,8;8,9;12,0;7,3;7,7;...;...;96,2;16,1
;III.;4,7;17,3;10,1;9,1;12,6;12,6;7,3;9,0;8,0;6,2;...;...;97,3;22,0
;IV.;3,3;14,5;11,6;9,5;13,1;13,5;8,3;8,3;6,2;3,8;...;...;92,2;17,8
2018.;I.;3,0;12,2;10,3;10,5;11,2;15,7;8,3;10,1;5,3;2,7;...;...;89,4;15,2
;II.;3,3;11,4;10,3;7,6;9,3;12,8;8,3;6,4;4,2;3,0;...;...;76,9;14,7
;III.;2,5;13,8;14,7;9,5;9,6;12,9;9,6;7,9;6,6;4,9;...;...;92,4;16,3
;IV.;3,0;8,9;7,9;6,4;10,2;11,8;9,0;8,2;5,1;5,4;...;...;76,1;11,9
2019.;I.;5,3;8,3;9,6;6,2;10,0;11,1;7,9;7,8;4,9;3,3;...;...;75,1;13,7
;II.;3,0;8,7;9,8;5,3;8,0;12,3;8,2;5,2;4,5;2,2;...;...;67,3;11,7
;III.;2,7;12,4;11,5;5,7;7,4;15,3;6,7;8,6;4,3;2,5;…;…;77,3;15,1
;IV.;3,5;12,1;10,0;6,8;8,6;10,3;7,9;7,2;3,3;1,5;…;…;71,6;15,6
2020.;I.;2,7;10,7;11,1;6,5;11,9;11,3;11,5;7,3;3,6;3,0;…;…;81,0;13,4
;II.;4,2;20,2;15,5;10,6;8,0;13,5;12,6;9,4;5,4;2,6;…;…;102,2;24,5
;III.;2,8;16,3;13,7;10,7;11,4;14,6;9,0;9,5;6,5;2,8;…;…;97,6;19,1
;IV.;2,5;13,5;13,7;9,0;12,9;12,9;9,1;6,3;7,5;4,0;…;…;92,7;16,0
2021.;I.;2,9;19,5;13,0;15,8;11,4;13,0;13,6;6,9;5,9;4,4;…;…;108,5;22,3
;II.;3,8;17,2;11,1;10,5;13,0;8,9;10,1;9,8;4,0;2,9;…;…;93,6;21,1
;III.;4,2;16,9;10,7;12,3;10,6;9,5;9,6;9,5;4,6;2,4;…;…;91,2;21,1
;IV.;3,2;16,1;8,6;12,0;8,8;10,3;9,3;10,3;7,0;2,7;…;…;89,9;19,3
2022.;I.;3,0;10,1;9,4;10,8;9,5;8,7;9,1;10,8;6,2;2,9;…;…;81,9;13,1
;II.;3,2;9,1;6,0;8,0;8,4;8,6;6,2;8,4;6,1;4,1;…;…;69,6;12,3
;III.;3,2;10,5;12,6;6,7;10,3;9,1;8,8;8,8;3,0;6,5;…;…;81,0;13,7
;IV.;;;;;;;;;;;;;;
