21.2.1.15. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
2008.;I.;4 386 739;830 698;128 767;5 344 657;742 938;6 074 221;1 921 171;x;x;2 523 912;8 493 210;5 328 111;987 954;6 326 620;5 418 093;889 877;6 269 512;x;x;x;8 404 960
;II.;4 361 835;828 403;137 853;5 330 238;746 546;6 062 508;1 897 154;x;x;2 643 936;8 625 029;5 170 588;993 840;6 167 918;5 351 711;876 042;6 243 676;x;x;x;8 455 458
;III.;4 301 964;834 600;137 614;5 283 997;753 426;6 036 073;1 904 155;x;x;2 407 678;8 428 324;4 976 237;1 034 128;6 004 801;5 056 546;956 288;6 056 595;x;x;x;8 439 044
;IV.;4 188 909;817 991;135 268;5 123 986;740 950;5 837 719;1 896 791;x;x;2 219 740;8 023 560;4 615 691;1 046 828;5 666 575;4 573 663;946 798;5 520 070;x;x;x;8 143 746
2009.;I.;4 087 738;833 149;135 110;5 049 626;744 615;5 773 536;1 762 539;x;x;1 921 938;7 716 322;4 155 038;1 049 039;5 195 809;4 068 576;943 856;4 963 032;x;x;x;7 808 329
;II.;4 035 107;830 398;135 360;5 014 695;753 521;5 763 190;1 760 619;x;x;1 769 958;7 551 919;4 190 414;1 053 265;5 245 094;4 031 009;898 778;4 928 894;x;x;x;7 810 306
;III.;3 959 038;817 171;134 969;4 891 202;758 660;5 640 921;1 698 012;x;x;1 911 633;7 548 726;4 406 259;1 051 244;5 458 877;4 295 094;939 062;5 276 784;x;x;x;7 810 002
;IV.;3 965 771;824 384;135 121;4 937 041;776 215;5 729 611;1 703 097;x;x;1 888 698;7 618 337;4 600 307;1 074 928;5 674 629;4 463 543;1 033 906;5 503 567;x;x;x;7 808 352
2010.;I.;3 971 227;802 438;135 018;4 912 440;772 486;5 685 418;1 592 145;x;x;1 842 103;7 547 739;4 578 805;1 135 150;5 710 904;4 486 488;920 413;5 369 991;x;x;x;7 809 659
;II.;3 938 169;810 977;135 087;4 879 053;770 168;5 644 890;1 587 898;x;x;1 939 906;7 553 321;4 823 587;1 114 815;5 945 194;4 639 731;916 158;5 558 240;x;x;x;7 873 524
;III.;3 969 858;815 488;133 304;4 936 677;770 023;5 712 542;1 569 456;x;x;1 926 304;7 655 217;4 986 495;1 091 870;6 072 889;4 902 163;910 617;5 848 980;x;x;x;7 936 481
;IV.;3 967 484;813 441;132 358;4 895 450;764 452;5 650 280;1 519 315;x;x;1 935 585;7 590 964;5 128 098;1 114 733;6 244 112;4 996 301;909 824;5 909 495;x;x;x;7 935 757
2011.;I.;3 978 582;827 771;133 864;4 937 295;770 088;5 701 963;1 592 642;x;x;1 909 079;7 623 778;5 277 585;1 131 674;6 413 355;5 046 610;957 918;5 977 040;x;x;x;8 006 272
;II.;4 014 026;819 310;134 064;4 959 638;768 897;5 718 550;1 534 989;x;x;1 878 198;7 585 083;5 108 542;1 183 580;6 295 643;4 901 500;928 113;5 832 043;x;x;x;8 002 617
;III.;4 018 459;817 467;136 209;4 994 003;767 743;5 767 512;1 522 671;x;x;1 752 102;7 549 426;5 162 098;1 195 526;6 350 993;4 935 171;946 210;5 911 134;x;x;x;8 019 833
