21.2.1.21. Hozzájárulás a bruttó hazai termék (GDP) változásához (felhasználási oldal), elõzõ év azonos idõszakához viszonyított negyedéves indexekbõl számítva[százalékpont] ;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;IV.;-0,3;0,3;0,0;0,0;-0,2;-0,2;-1,3;0,1;0,0;-1,2;-1,4;-3,8;-0,4;-4,2;-2,8;-0,3;-3,2;-0,9;-0,1;-1,0;-2,4
2013.;I. ;-0,5;0,1;0,0;-0,5;0,9;0,4;-0,8;-1,5;0,0;-2,2;-1,8;-1,5;0,8;-0,7;-2,2;0,5;-1,7;0,7;0,3;0,9;-0,9
;II.;0,2;0,2;0,1;0,4;0,7;1,1;1,7;0,3;0,0;2,0;3,1;1,1;1,2;2,3;2,6;1,5;4,1;-1,5;-0,3;-1,8;1,3
;III.;-0,4;0,0;0,0;-0,4;0,5;0,1;2,5;-1,3;0,0;1,3;1,4;3,4;1,5;4,9;2,8;0,6;3,4;0,6;0,8;1,4;2,8
;IV.;0,3;-0,1;0,1;0,3;0,2;0,5;3,7;-1,0;0,0;2,7;3,2;5,4;1,6;7,1;4,4;2,3;6,7;1,1;-0,7;0,4;3,6
2014.;I. ;0,6;0,2;0,0;0,8;0,7;1,5;3,0;-0,8;0,1;2,2;3,8;7,8;2,0;9,8;7,6;1,6;9,2;0,2;0,4;0,6;4,4
;II.;1,6;0,1;0,0;1,7;0,8;2,4;3,8;0,0;0,0;3,8;6,2;5,7;2,5;8,2;8,4;1,3;9,7;-2,7;1,2;-1,5;4,7
;III.;0,8;0,3;0,0;1,1;0,6;1,7;3,0;1,0;0,0;3,9;5,6;4,8;2,6;7,4;7,5;1,6;9,1;-2,8;1,1;-1,7;4,0
;IV.;1,9;-0,2;0,0;1,7;1,6;3,3;0,6;0,3;0,0;0,9;4,2;4,3;2,0;6,3;6,2;0,4;6,6;-1,9;1,5;-0,3;3,9
2015.;I. ;2,0;0,2;0,1;2,3;0,0;2,3;-0,5;0,2;-0,1;-0,3;2,0;5,1;1,6;6,7;3,4;0,8;4,2;1,7;0,9;2,6;4,6
;II.;1,7;0,2;0,1;1,9;-0,4;1,5;1,8;-2,2;0,0;-0,4;1,1;4,8;1,2;6,0;3,0;0,7;3,7;1,8;0,5;2,3;3,4
;III.;1,5;0,3;0,1;1,9;0,4;2,3;0,3;-0,5;0,0;-0,2;2,2;3,6;2,0;5,6;3,5;1,2;4,7;0,1;0,8;0,9;3,1
;IV.;2,0;0,4;0,1;2,5;0,5;2,9;2,4;-3,0;0,0;-0,6;2,3;6,0;1,4;7,4;3,6;2,2;5,8;2,3;-0,8;1,5;3,8
2016.;I. ;2,5;0,1;0,0;2,6;0,3;2,9;-0,8;0,4;0,0;-0,3;2,6;0,6;2,2;2,8;3,3;1,0;4,3;-2,7;1,2;-1,5;1,2
;II.;2,2;0,3;0,0;2,6;0,6;3,2;-3,4;1,0;0,0;-2,4;0,8;4,0;2,6;6,7;3,1;1,2;4,3;0,9;1,4;2,4;3,1
;III.;2,0;0,0;0,1;2,0;-0,2;1,8;-1,1;0,6;0,0;-0,4;1,4;1,4;2,1;3,5;1,8;0,6;2,4;-0,4;1,5;1,1;2,5
;IV.;2,4;0,0;0,0;2,5;-0,5;2,0;-3,9;3,8;0,0;-0,1;1,8;-1,3;1,8;0,5;1,1;-0,7;0,4;-2,3;2,5;0,1;1,9
2017.;I. ;2,0;-0,1;0,2;2,1;-0,6;1,5;3,1;1,0;0,1;4,2;5,7;6,5;1,6;8,2;8,4;0,8;9,2;-1,8;0,8;-1,0;4,7
;II.;2,3;-0,1;0,1;2,4;0,3;2,7;5,0;-4,1;0,1;1,0;3,7;3,4;1,2;4,6;4,3;0,4;4,6;-0,9;0,8;-0,1;3,6
;III.;2,1;0,4;0,4;2,9;0,4;3,3;4,3;-1,5;0,0;2,9;6,2;2,9;1,4;4,3;5,4;0,8;6,3;-2,5;0,6;-2,0;4,2
;IV.;2,6;0,4;0,2;3,2;1,2;4,4;2,9;-2,0;0,0;0,9;5,3;4,2;1,5;5,7;5,6;0,8;6,4;-1,4;0,7;-0,7;4,6
2018.;I. ;2,5;0,1;0,3;2,9;1,0;3,9;1,8;-0,8;0,0;1,1;5,0;2,7;1,6;4,3;4,0;0,3;4,2;-1,3;1,3;0,0;5,0
;II.;2,5;-0,1;0,3;2,6;0,7;3,3;3,6;0,1;-0,1;3,5;6,9;3,7;1,8;5,5;6,2;0,8;7,0;-2,6;1,1;-1,5;5,4
;III.;2,2;-0,1;0,2;2,3;0,3;2,6;4,8;0,9;0,0;5,8;8,4;0,3;1,6;1,9;3,8;1,0;4,8;-3,4;0,5;-2,9;5,5
;IV.;2,1;-0,2;0,2;2,2;-0,2;2,0;4,0;0,0;0,0;4,0;5,9;4,0;1,4;5,4;5,6;0,3;5,9;-1,6;1,2;-0,5;5,5
2019.;I. ;2,4;0,2;0,1;2,7;0,3;2,9;3,8;-0,4;0,0;3,5;6,4;4,7;1,3;6,0;5,4;1,7;7,1;-0,7;-0,4;-1,1;5,3
;II.;2,4;0,3;0,0;2,7;0,3;3,0;3,7;-0,2;0,0;3,5;6,4;1,7;1,1;2,8;3,1;1,4;4,5;-1,4;-0,3;-1,7;4,7
;III.;2,4;-0,1;0,0;2,3;0,9;3,2;4,2;-1,2;0,0;3,0;6,2;5,9;1,7;7,6;6,7;2,2;8,8;-0,7;-0,4;-1,2;5,0
