;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
2002.;I.;1 715 916;1 362 790;699 266;2 415 182;1 330 279;1 052 920;1 204 028;2 534 307;385 637;309 870;-504 762;-119 125;1 792 060;1 428 708;698 884;2 490 944;1 382 194;1 100 055;1 259 940;2 642 134;409 866;328 653;-561 056;-151 190;103,3;99,9;115,4;106,5;102,1;99,3;113,1;107,1
;II.;1 858 574;1 463 869;766 464;2 625 038;1 399 650;1 110 666;1 206 732;2 606 382;458 924;353 203;-440 268;18 656;1 934 084;1 533 697;762 750;2 696 834;1 457 810;1 160 417;1 271 377;2 729 187;476 274;373 280;-508 627;-32 353;112,4;106,7;98,6;108,1;107,3;103,9;107,1;107,2
;III.;1 785 760;1 387 926;762 983;2 548 743;1 404 254;1 108 076;1 152 436;2 556 690;381 506;279 850;-389 453;-7 947;1 925 604;1 452 558;757 584;2 683 188;1 461 620;1 157 717;1 225 057;2 686 677;463 984;294 841;-467 473;-3 489;112,6;106,6;90,7;105,4;109,9;109,9;109,6;109,7
;IV.;1 772 980;1 399 978;773 575;2 546 555;1 483 444;1 155 644;1 311 420;2 794 864;289 536;244 334;-537 845;-248 309;1 898 786;1 467 037;795 986;2 694 772;1 567 549;1 207 422;1 447 642;3 015 191;331 237;259 615;-651 656;-320 419;110,8;104,5;88,8;103,2;108,8;107,6;112,6;110,6
2003.;I.;1 715 859;1 427 241;659 008;2 374 867;1 402 114;1 123 843;1 163 726;2 565 840;313 745;303 398;-504 718;-190 973;1 732 737;1 422 115;685 096;2 417 833;1 411 076;1 102 351;1 193 937;2 605 013;321 661;319 764;-508 841;-187 180;102,3;104,3;98,4;101,2;106,7;104,7;101,2;104,1
;II.;1 848 195;1 482 871;735 419;2 583 614;1 550 384;1 238 485;1 230 170;2 780 554;297 811;244 386;-494 751;-196 940;1 831 895;1 476 397;765 957;2 597 852;1 529 427;1 214 895;1 263 822;2 793 249;302 468;261 502;-497 865;-195 397;100,3;100,8;100,9;100,4;109,6;109,4;106,1;108,0
;III.;1 972 605;1 568 116;832 575;2 805 180;1 621 119;1 247 273;1 361 426;2 982 545;351 486;320 843;-528 851;-177 365;1 916 699;1 561 209;849 281;2 765 980;1 564 047;1 223 401;1 352 469;2 916 516;352 652;337 808;-503 188;-150 536;105,4;112,6;112,6;107,5;111,8;110,4;117,9;114,6
;IV.;2 151 816;1 714 878;863 203;3 015 019;1 704 705;1 318 209;1 498 881;3 203 586;447 111;396 669;-635 678;-188 567;2 099 710;1 708 103;887 571;2 987 281;1 647 464;1 292 926;1 519 997;3 167 461;452 246;415 177;-632 426;-180 180;117,1;122,0;112,0;115,6;109,8;111,9;112,1;110,9
2004.;I.;2 255 910;1 666 991;644 953;2 900 863;1 794 503;1 268 142;1 234 211;3 028 714;461 407;398 849;-589 258;-127 851;2 207 803;1 689 272;674 499;2 882 302;1 764 841;1 277 302;1 242 018;3 006 859;442 962;411 970;-567 519;-124 557;125,6;118,3;101,6;119,1;122,6;113,7;105,5;114,9
;II.;2 432 918;1 797 434;729 996;3 162 914;2 340 860;1 674 610;1 148 234;3 489 094;92 058;122 824;-418 238;-326 180;2 409 053;1 821 410;771 463;3 180 516;2 322 596;1 686 658;1 172 589;3 495 185;86 457;134 752;-401 126;-314 669;129,7;122,9;103,9;122,3;148,8;136,2;94,1;124,6
