1.1.3.3. Az ipari termelõi árak alakulása [az elõzõ évhez képest százalék];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Olaszország;..;1,7;0,0;1,0;2,2;3,6;4,5;3,1;5,1;-4,7;3,0;4,8;3,5;-1,1;-1,4;-2,6;-1,9;2,3;3,3;0,2;-3,4;10,8
Portugália;16,7;3,0;0,5;0,8;2,6;8,7;4,0;1,8;5,4;-5,3;4,4;6,5;3,3;-0,4;-1,5;-6,5;-1,8;3,6;2,4;-0,4;-3,5;11,2
Románia;..;35,9;22,4;18,5;19,3;16,5;6,8;6,3;12,6;2,5;4,3;7,1;5,5;2,1;-0,1;-2,2;-1,8;3,5;5,0;3,9;0,0;14,9
Spanyolország;..;1,6;0,3;0,8;3,1;4,6;5,0;3,2;5,8;-3,3;3,9;6,5;3,3;0,0;-1,5;-1,5;-2,7;4,1;2,5;-0,4;-3,6;14,9
Svédország;3,9;2,1;-0,1;0,0;0,6;4,0;5,0;3,6;4,4;1,3;0,9;0,3;-0,9;-2,8;1,4;0,0;-1,0;4,8;6,6;3,2;-3,4;10,3
Szlovákia;..;..;..;..;1,8;3,5;3,3;-1,2;2,3;-6,9;0,5;4,6;1,7;-1,0;-3,4;-2,9;-4,0;2,5;2,5;1,9;-0,5;6,8
Szlovénia;..;7,1;3,6;1,2;2,7;1,9;2,2;4,2;3,8;-1,4;2,1;4,5;0,9;0,0;-0,6;-0,2;-1,4;2,1;2,1;0,7;-0,2;5,5
EU27_2020;..;3,2;-0,6;1,2;2,3;3,6;4,1;2,2;4,8;-3,8;2,9;5,1;2,4;-0,5;-1,1;-1,7;-1,8;2,7;2,6;0,7;-2,2;9,8
Egyesült Királyság;0,9;0,1;-0,4;0,1;2,6;7,9;6,4;1,6;14,8;-0,6;4,8;9,1;2,4;3,2;-7,4;-6,6;2,0;6,1;3,7;0,8;..;..
Észak-Macedónia;..;..;..;..;..;..;..;..;..;..;..;11,9;1,3;-1,4;-2,0;-3,8;-3,1;4,7;1,0;2,0;0,6;11,2
Norvégia;..;-2,9;-3,2;3,6;11,8;16,5;12,8;0,0;22,8;-0,8;18,5;16,2;2,7;0,7;-1,4;-8,1;-8,0;9,2;14,8;-3,6;-10,2;37,7
Oroszország;46,9;18,2;10,4;16,4;23,4;20,6;12,4;14,1;21,4;-7,2;12,2;17,4;6,4;3,6;6,2;13,7;4,3;7,8;12,1;2,0;-3,8;24,5
Svájc;..;..;..;..;..;1,0;2,0;2,3;3,1;-1,5;-0,2;-1,1;-0,5;0,2;-0,9;-3,6;-1,5;-0,4;1,3;-0,3;-1,5;1,2
Szerbia;..;..;..;..;..;..;..;..;..;6,9;13,3;12,8;6,8;2,2;1,5;1,2;0,4;2,4;1,2;0,6;-1,2;8,7
Törökország;56,1;66,7;48,3;20,8;13,1;7,6;9,3;5,6;11,8;-0,6;6,0;13,3;5,5;4,5;11,4;6,0;5,6;17,5;26,6;16,3;12,5;45,0
India;6,2;5,2;2,5;5,3;6,6;4,2;5,8;5,0;8,8;2,4;9,6;9,5;7,3;5,4;3,4;-3,9;-0,1;3,4;4,3;1,9;0,5;10,8
Izrael;3,6;-0,1;3,9;4,3;5,4;6,2;5,7;3,5;9,6;-6,3;4,0;7,7;4,4;0,4;-1,4;-6,1;-3,5;1,6;3,3;-1,3;-4,9;7,6
Japán;-0,4;-2,6;-2,4;-1,4;0,3;0,8;1,9;1,3;4,1;-4,8;-0,3;1,1;-1,7;0,5;2,8;-2,2;-3,1;1,9;2,0;0,2;-0,9;4,2
Kína;2,8;-1,3;-2,3;2,4;6,1;4,9;3,0;3,1;6,9;-5,4;5,5;6,0;-1,7;-1,9;-1,9;-5,2;-1,3;6,3;3,5;..;..;..
Koreai Köztársaság;2,3;-2,2;-1,6;1,7;7,6;3,1;0,1;0,8;12,1;-1,8;4,3;9,0;-0,4;-3,0;-2,1;-6,7;-3,5;4,8;2,2;-1,0;-2,6;10,4
Dél-afrikai Köztársaság;7,6;7,1;13,3;4,6;2,0;3,7;6,4;9,8;15,2;0,7;1,9;5,7;6,5;6,0;7,4;3,6;7,1;4,9;5,4;4,6;2,5;7,1
Egyesült Államok;4,1;0,8;-0,7;2,5;4,3;5,5;4,0;3,8;7,9;-4,9;5,0;7,8;2,1;0,4;0,8;-5,1;-1,9;3,5;4,5;0,0;-2,1;12,2
Kanada;4,3;0,9;0,1;-1,2;3,2;1,7;2,2;1,6;4,3;-3,5;1,5;6,9;1,1;0,4;2,5;-0,8;-0,2;3,1;3,9;-0,1;-0,4;13,9
Mexikó;8,9;4,1;3,2;6,6;8,6;4,5;6,0;5,0;8,6;5,4;4,7;6,5;5,5;0,2;2,4;4,1;7,2;8,1;6,1;2,9;4,8;6,4
Ausztrália;7,2;3,1;0,2;0,5;3,9;6,0;7,9;2,3;8,3;-5,4;1,9;3,4;-0,5;1,1;3,1;0,3;-0,6;3,2;5,2;3,4;0,9;5,7
Új-Zéland;7,8;6,5;0,4;0,4;1,5;6,9;8,7;1,6;16,4;-6,1;4,6;6,4;-0,4;2,2;0,4;-4,5;-2,3;8,4;5,5;1,2;-1,8;7,2
