22.2.2.8. Csecsemõhalálozások megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Komárom-Esztergom;megye;50,0;75,0;100,0;114,3;100,0;166,7;116,7;112,5;100,0;80,0;157,1;166,7;150,0;100,0;81,8;
Veszprém;megye;200,0;200,0;150,0;180,0;200,0;175,0;166,7;155,6;50,0;114,3;90,0;71,4;50,0;37,5;44,4;
Közép-Dunántúl;régió;116,7;90,9;94,4;123,8;157,1;190,0;164,7;150,0;81,8;121,1;121,4;107,7;77,8;52,2;55,9;
Gyõr-Moson-Sopron;megye;100,0;85,7;72,7;57,1;–;100,0;125,0;187,5;–;66,7;110,0;86,7;300,0;100,0;72,7;
Vas;megye;100,0;200,0;160,0;100,0;50,0;66,7;75,0;100,0;200,0;150,0;116,7;88,9;200,0;83,3;85,7;
Zala;megye;100,0;100,0;116,7;77,8;100,0;140,0;114,3;128,6;300,0;100,0;87,5;100,0;16,7;14,3;14,3;
Nyugat-Dunántúl;régió;100,0;113,3;104,5;75,0;37,5;100,0;104,3;137,5;300,0;100,0;104,2;90,9;88,9;58,8;60,0;
Baranya;megye;125,0;133,3;150,0;128,6;40,0;25,0;33,3;55,6;150,0;300,0;233,3;140,0;33,3;66,7;71,4;
Somogy;megye;133,3;62,5;75,0;75,0;100,0;220,0;166,7;158,3;25,0;18,2;46,7;42,1;500,0;300,0;114,3;
Tolna ;megye;100,0;100,0;71,4;66,7;200,0;150,0;60,0;66,7;50,0;100,0;166,7;150,0;100,0;200,0;140,0;
Dél-Dunántúl;régió;125,0;93,8;92,0;84,4;80,0;106,7;91,3;103,7;62,5;68,8;90,5;75,0;140,0;145,5;105,3;
Dunántúl;nagyrégió;113,6;100,0;96,9;90,6;88,0;123,8;115,9;129,9;104,5;98,1;106,8;93,0;95,7;74,5;69,2;
Borsod-Abaúj-Zemplén;megye;60,0;46,2;57,1;81,4;144,4;175,0;160,0;114,3;84,6;81,0;81,3;102,5;81,8;94,1;100,0;
Heves;megye;200,0;128,6;133,3;123,1;83,3;100,0;83,3;75,0;20,0;44,4;50,0;50,0;400,0;100,0;120,0;
Nógrád ;megye;150,0;116,7;77,8;100,0;50,0;71,4;100,0;70,0;–;40,0;100,0;114,3;–;200,0;57,1;
Észak-Magyarország;régió;95,5;71,8;73,6;92,4;100,0;125,0;125,6;96,7;57,1;65,7;77,6;93,2;125,0;104,3;94,7;
Hajdú-Bihar;megye;300,0;400,0;320,0;233,3;50,0;58,3;62,5;61,9;100,0;114,3;110,0;138,5;133,3;62,5;109,1;
Jász-Nagykun-Szolnok;megye;400,0;120,0;185,7;275,0;150,0;166,7;76,9;59,1;50,0;60,0;70,0;92,3;133,3;100,0;142,9;
Szabolcs-Szatmár-Bereg;megye;83,3;120,0;126,1;120,7;140,0;100,0;62,1;82,9;100,0;83,3;150,0;137,9;71,4;80,0;92,6;
Észak-Alföld;régió;166,7;156,5;165,7;169,6;106,7;97,2;65,5;70,5;81,3;82,9;118,4;127,3;100,0;79,3;104,4;
Bács-Kiskun ;megye;100,0;75,0;81,8;75,0;120,0;200,0;166,7;208,3;33,3;58,3;86,7;68,0;300,0;128,6;115,4;
Békés;megye;166,7;220,0;177,8;188,9;20,0;27,3;43,8;58,8;200,0;166,7;128,6;120,0;150,0;80,0;66,7;
Csongrád-Csanád;megye;–;200,0;66,7;122,2;–;175,0;133,3;81,8;20,0;57,1;62,5;88,9;100,0;100,0;180,0;
Dél-Alföld;régió;100,0;140,0;106,9;117,6;120,0;104,8;96,8;110,0;41,7;72,7;90,0;84,1;200,0;106,3;111,1;
Alföld és Észak;nagyrégió;112,2;110,4;109,4;122,6;106,5;108,2;91,4;88,3;61,2;73,9;94,0;102,5;126,7;94,1;102,7;
Ország összesen;ország;121,3;114,5;107,8;110,2;93,4;106,0;94,8;95,2;76,5;81,3;95,3;96,9;118,5;93,0;97,3;
