20.1.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Vas;megye;106,4;11,9;118,3;59,5;177,8;16,3;66,5;10,0;59,8
Zala;megye;114,2;15,1;129,3;67,4;196,7;22,6;65,7;11,7;58,1
Nyugat-Dunántúl;régió;413,3;41,0;454,2;225,3;679,6;58,8;66,8;9,0;60,8
Baranya;megye;142,4;21,7;164,1;97,3;261,4;34,8;62,8;13,2;54,5
Somogy;megye;112,0;17,9;129,9;86,2;216,1;29,8;60,1;13,8;51,8
Tolna ;megye;89,2;7,9;97,1;63,1;160,2;15,8;60,6;8,1;55,7
Dél-Dunántúl;régió;343,5;47,5;391,0;246,7;637,7;80,4;61,3;12,1;53,9
Dunántúl;nagyrégió;1 200,8;136,2;1 337,0;726,8;2 063,9;208,3;64,8;10,2;58,2
Borsod-Abaúj-Zemplén;megye;224,9;46,3;271,1;194,4;465,6;78,5;58,2;17,1;48,3
Heves;megye;109,1;14,9;124,0;83,4;207,4;25,3;59,8;12,0;52,6
Nógrád ;megye;67,9;14,9;82,8;55,1;137,9;23,6;60,0;18,0;49,2
Észak-Magyarország;régió;401,8;76,2;478,0;332,9;810,9;127,4;58,9;15,9;49,6
Hajdú-Bihar;megye;185,4;27,8;213,2;156,3;369,5;44,6;57,7;13,0;50,2
Jász-Nagykun-Szolnok;megye;144,2;16,8;161,1;102,7;263,7;30,9;61,1;10,5;54,7
Szabolcs-Szatmár-Bereg;megye;185,3;39,9;225,2;162,0;387,1;62,0;58,2;17,7;47,9
Észak-Alföld;régió;514,8;84,6;599,4;420,9;1 020,3;137,5;58,7;14,1;50,5
Bács-Kiskun ;megye;198,0;22,1;220,2;134,3;354,5;39,2;62,1;10,1;55,9
Békés;megye;132,1;18,2;150,3;95,9;246,2;30,5;61,1;12,1;53,7
Csongrád-Csanád;megye;162,1;15,3;177,5;101,4;278,8;21,3;63,6;8,6;58,2
Dél-Alföld;régió;492,3;55,7;547,9;331,5;879,4;91,0;62,3;10,2;56,0
Alföld és Észak;nagyrégió;1 408,9;216,4;1 625,3;1 085,4;2 710,6;356,0;60,0;13,3;52,0
Ország összesen;ország;3 842,7;468,9;4 311,6;2 424,4;6 736,0;735,1;64,0;10,9;57,0
2011;;;;;;;;;;
Budapest;fõváros, régió;738,3;76,3;814,5;327,6;1 142,1;108,5;71,3;9,4;64,6
Pest;megye, régió;505,1;41,6;546,7;277,8;824,5;69,0;66,3;7,6;61,3
Közép-Magyarország;nagyrégió;1 243,4;117,9;1 361,2;605,3;1 966,6;177,5;69,2;8,7;63,2
Fejér;megye;177,1;18,2;195,3;97,0;292,3;28,0;66,8;9,3;60,6
Komárom-Esztergom;megye;134,7;11,0;145,8;64,3;210,1;18,0;69,4;7,6;64,1
Veszprém;megye;144,8;17,2;162,0;80,3;242,3;23,1;66,8;10,6;59,8
Közép-Dunántúl;régió;456,6;46,4;503,0;241,6;744,6;69,1;67,6;9,2;61,3
Gyõr-Moson-Sopron;megye;190,9;12,2;203,1;102,7;305,7;17,2;66,4;6,0;62,4
Vas;megye;110,8;8,1;118,9;58,2;177,1;11,8;67,1;6,8;62,6
Zala;megye;119,1;11,9;131,0;64,6;195,6;18,6;67,0;9,1;60,9
Nyugat-Dunántúl;régió;420,8;32,2;453,0;225,4;678,4;47,6;66,8;7,1;62,0
Baranya;megye;136,3;22,3;158,6;100,7;259,2;35,5;61,2;14,1;52,6
Somogy;megye;111,1;17,2;128,3;86,5;214,8;30,7;59,7;13,4;51,7
Tolna ;megye;87,8;8,8;96,6;62,4;159,0;16,8;60,8;9,1;55,2
Dél-Dunántúl;régió;335,2;48,3;383,5;249,6;633,0;82,9;60,6;12,6;53,0
Dunántúl;nagyrégió;1 212,6;126,8;1 339,5;716,6;2 056,0;199,7;65,1;9,5;59,0
Borsod-Abaúj-Zemplén;megye;225,7;46,7;272,4;189,5;462,0;80,5;59,0;17,2;48,9
Heves;megye;110,9;16,7;127,6;78,2;205,7;27,8;62,0;13,1;53,9
Nógrád ;megye;63,6;13,7;77,3;59,5;136,7;25,1;56,5;17,7;46,5
Észak-Magyarország;régió;400,2;77,1;477,2;327,2;804,4;133,5;59,3;16,2;49,7
Hajdú-Bihar;megye;192,4;29,4;221,9;147,6;369,5;48,9;60,1;13,3;52,1
Jász-Nagykun-Szolnok;megye;145,0;17,9;162,8;98,9;261,7;34,6;62,2;11,0;55,4
Szabolcs-Szatmár-Bereg;megye;183,7;40,1;223,8;162,8;386,6;70,7;57,9;17,9;47,5
Észak-Alföld;régió;521,1;87,4;608,5;409,3;1 017,7;154,1;59,8;14,4;51,2
Bács-Kiskun ;megye;199,0;22,4;221,4;131,5;352,9;40,9;62,7;10,1;56,4
Békés;megye;130,2;17,8;148,0;95,7;243,7;31,1;60,7;12,0;53,4
Csongrád-Csanád;megye;161,8;15,8;177,6;99,6;277,1;23,0;64,1;8,9;58,4
Dél-Alföld;régió;490,9;56,0;547,0;326,7;873,7;95,0;62,6;10,2;56,2
Alföld és Észak;nagyrégió;1 412,2;220,5;1 632,7;1 063,2;2 695,9;382,6;60,6;13,5;52,4
Ország összesen;ország;3 868,2;465,2;4 333,4;2 385,1;6 718,5;759,7;64,5;10,7;57,6
2012;;;;;;;;;;
Budapest;fõváros, régió;762,9;77,9;840,8;306,2;1 147,0;116,4;73,3;9,3;66,5
Pest;megye, régió;509,6;50,4;560,0;268,1;828,2;77,1;67,6;9,0;61,5
Közép-Magyarország;nagyrégió;1 272,5;128,3;1 400,8;574,3;1 975,1;193,5;70,9;9,2;64,4
Fejér;megye;176,8;20,0;196,8;94,4;291,2;30,1;67,6;10,2;60,7
Komárom-Esztergom;megye;131,7;10,3;142,0;66,4;208,4;17,9;68,1;7,3;63,2
Veszprém;megye;144,8;18,1;162,9;77,3;240,2;23,8;67,8;11,1;60,3
Közép-Dunántúl;régió;453,2;48,4;501,6;238,1;739,8;71,8;67,8;9,6;61,3
Gyõr-Moson-Sopron;megye;195,3;10,9;206,2;99,7;305,9;18,3;67,4;5,3;63,8
Vas;megye;114,0;7,4;121,5;54,6;176,1;11,4;69,0;6,1;64,8
Zala;megye;116,3;15,4;131,7;61,9;193,6;21,6;68,0;11,7;60,1
Nyugat-Dunántúl;régió;425,7;33,8;459,4;216,2;675,6;51,3;68,0;7,3;63,0
Baranya;megye;133,9;21,7;155,6;100,3;256,0;38,7;60,8;14,0;52,3
Somogy;megye;114,8;14,0;128,8;84,1;212,9;29,7;60,5;10,9;53,9
Tolna ;megye;87,0;9,1;96,1;61,2;157,3;18,8;61,1;9,4;55,3
Dél-Dunántúl;régió;335,7;44,8;380,5;245,7;626,2;87,2;60,8;11,8;53,6
Dunántúl;nagyrégió;1 214,6;127,0;1 341,6;700,0;2 041,6;210,3;65,7;9,5;59,5
Borsod-Abaúj-Zemplén;megye;224,8;43,9;268,7;189,0;457,8;80,4;58,7;16,3;49,1
Heves;megye;109,7;18,0;127,7;75,8;203,5;30,3;62,8;14,1;53,9
Nógrád ;megye;67,0;13,6;80,6;54,6;135,2;25,5;59,6;16,8;49,6
Észak-Magyarország;régió;401,6;75,5;477,1;319,4;796,5;136,2;59,9;15,8;50,4
Hajdú-Bihar;megye;193,6;29,3;222,8;145,5;368,3;50,1;60,5;13,1;52,6
Jász-Nagykun-Szolnok;megye;146,1;18,5;164,6;94,5;259,1;34,7;63,5;11,3;56,4
Szabolcs-Szatmár-Bereg;megye;196,9;37,7;234,5;151,6;386,1;66,6;60,7;16,1;51,0
Észak-Alföld;régió;536,5;85,5;622,0;391,6;1 013,6;151,4;61,4;13,7;52,9
Bács-Kiskun ;megye;205,7;20,3;226,0;125,2;351,2;39,1;64,3;9,0;58,6
Békés;megye;133,1;17,7;150,8;89,9;240,7;28,0;62,7;11,7;55,3
Csongrád-Csanád;megye;160,2;17,5;177,8;97,7;275,4;26,6;64,5;9,9;58,2
Dél-Alföld;régió;499,1;55,5;554,6;312,8;867,4;93,8;63,9;10,0;57,5
Alföld és Észak;nagyrégió;1 437,1;216,5;1 653,6;1 023,8;2 677,5;381,3;61,8;13,1;53,7
Ország összesen;ország;3 924,3;471,7;4 396,0;2 298,1;6 694,1;785,1;65,7;10,7;58,6
2013;;;;;;;;;;
Budapest;fõváros, régió;772,0;68,4;840,4;304,9;1 145,3;108,1;73,4;8,1;67,4
Pest;megye, régió;523,8;50,5;574,3;251,5;825,8;78,3;69,5;8,8;63,4
Közép-Magyarország;nagyrégió;1 295,8;118,9;1 414,7;556,4;1 971,1;186,3;71,8;8,4;65,7
Fejér;megye;182,0;18,6;200,6;88,3;288,9;29,7;69,4;9,3;63,0
Komárom-Esztergom;megye;130,6;10,5;141,1;65,1;206,3;18,8;68,4;7,4;63,3
Veszprém;megye;148,1;13,6;161,7;75,3;237,0;21,1;68,2;8,4;62,5
Közép-Dunántúl;régió;460,7;42,7;503,4;228,7;732,2;69,5;68,8;8,5;62,9
Gyõr-Moson-Sopron;megye;202,2;11,1;213,3;93,1;306,4;18,4;69,6;5,2;66,0
Vas;megye;112,9;8,8;121,7;53,2;174,8;14,0;69,6;7,2;64,6
Zala;megye;116,5;14,9;131,4;59,8;191,2;22,7;68,7;11,3;60,9
Nyugat-Dunántúl;régió;431,6;34,8;466,3;206,1;672,4;55,0;69,4;7,5;64,2
Baranya;megye;142,3;15,6;157,9;94,4;252,3;31,2;62,6;9,9;56,4
Somogy;megye;113,6;13,9;127,4;84,0;211,5;32,5;60,3;10,9;53,7
Tolna ;megye;91,2;5,2;96,4;58,9;155,3;15,8;62,1;5,4;58,7
Dél-Dunántúl;régió;347,0;34,7;381,7;237,3;619,0;79,5;61,7;9,1;56,1
Dunántúl;nagyrégió;1 239,3;112,2;1 351,5;672,1;2 023,6;204,0;66,8;8,3;61,2
Borsod-Abaúj-Zemplén;megye;236,0;31,8;267,8;184,8;452,6;70,0;59,2;11,9;52,1
Heves;megye;111,5;15,1;126,6;74,2;200,9;27,1;63,0;11,9;55,5
Nógrád ;megye;67,5;11,7;79,2;54,1;133,3;21,8;59,4;14,8;50,6
Észak-Magyarország;régió;415,0;58,6;473,7;313,2;786,8;118,9;60,2;12,4;52,7
Hajdú-Bihar;megye;198,2;34,3;232,5;133,5;366,0;55,8;63,5;14,8;54,2
Jász-Nagykun-Szolnok;megye;146,6;18,3;164,9;91,2;256,1;31,1;64,4;11,1;57,3
Szabolcs-Szatmár-Bereg;megye;202,4;37,0;239,4;145,6;385,0;64,2;62,2;15,5;52,6
Észak-Alföld;régió;547,2;89,6;636,8;370,3;1 007,1;151,2;63,2;14,1;54,3
Bács-Kiskun ;megye;206,9;22,5;229,3;118,8;348,1;39,9;65,9;9,8;59,4
Békés;megye;133,2;16,3;149,6;87,7;237,3;27,5;63,0;10,9;56,1
Csongrád-Csanád;megye;159,1;21,3;180,4;92,3;272,8;29,5;66,1;11,8;58,3
Dél-Alföld;régió;499,2;60,1;559,3;298,9;858,2;97,0;65,2;10,7;58,2
Alföld és Észak;nagyrégió;1 461,4;208,4;1 669,8;982,4;2 652,1;367,1;63,0;12,5;55,1
Ország összesen;ország;3 996,5;439,4;4 435,9;2 210,9;6 646,8;757,4;66,7;9,9;60,1
2014;;;;;;;;;;
Budapest;fõváros, régió;799,7;49,1;848,8;295,5;1 144,3;78,6;74,2;5,8;69,9
Pest;megye, régió;545,5;36,6;582,1;240,7;822,8;61,5;70,7;6,3;66,3
Közép-Magyarország;nagyrégió;1 345,2;85,7;1 431,0;536,2;1 967,1;140,0;72,7;6,0;68,4
Fejér;megye;189,6;12,9;202,5;83,4;285,9;25,3;70,8;6,4;66,3
Komárom-Esztergom;megye;135,8;5,9;141,7;62,1;203,8;11,4;69,5;4,2;66,6
Veszprém;megye;156,5;8,6;165,1;68,8;233,9;12,5;70,6;5,2;66,9
Közép-Dunántúl;régió;481,9;27,4;509,3;214,2;723,5;49,2;70,4;5,4;66,6
Gyõr-Moson-Sopron;megye;213,3;6,4;219,7;86,5;306,2;11,6;71,8;2,9;69,7
Vas;megye;120,5;4,4;124,9;48,5;173,4;9,5;72,0;3,5;69,5
Zala;megye;121,5;10,3;131,8;56,5;188,3;16,5;70,0;7,8;64,5
Nyugat-Dunántúl;régió;455,3;21,1;476,5;191,5;667,9;37,7;71,3;4,4;68,2
Baranya;megye;146,6;13,4;160,0;88,5;248,5;29,6;64,4;8,3;59,0
Somogy;megye;120,5;11,7;132,3;76,1;208,4;27,7;63,5;8,9;57,9
Tolna ;megye;96,5;5,5;102,0;50,8;152,7;14,0;66,8;5,4;63,2
Dél-Dunántúl;régió;363,7;30,5;394,2;215,4;609,6;71,3;64,7;7,7;59,7
Dunántúl;nagyrégió;1 300,9;79,1;1 380,0;621,0;2 001,0;158,1;69,0;5,7;65,0
Borsod-Abaúj-Zemplén;megye;247,7;30,8;278,5;167,9;446,4;64,8;62,4;11,1;55,5
Heves;megye;117,3;12,6;129,9;67,9;197,8;21,7;65,7;9,7;59,3
Nógrád ;megye;76,5;6,8;83,3;47,7;131,1;15,1;63,6;8,2;58,4
Észak-Magyarország;régió;441,5;50,2;491,7;283,5;775,3;101,6;63,4;10,2;57,0
Hajdú-Bihar;megye;210,6;30,7;241,3;121,4;362,7;50,6;66,5;12,7;58,1
Jász-Nagykun-Szolnok;megye;159,5;13,0;172,4;80,2;252,6;24,7;68,2;7,5;63,1
Szabolcs-Szatmár-Bereg;megye;214,6;33,4;248,0;134,3;382,3;59,1;64,9;13,5;56,1
Észak-Alföld;régió;584,6;77,1;661,7;335,9;997,6;134,4;66,3;11,6;58,6
Bács-Kiskun ;megye;212,5;21,9;234,4;109,6;344,0;35,4;68,1;9,3;61,8
Békés;megye;134,7;15,5;150,2;83,0;233,2;25,7;64,4;10,3;57,7
Csongrád-Csanád;megye;172,3;12,7;185,0;84,6;269,6;19,9;68,6;6,9;63,9
Dél-Alföld;régió;519,5;50,1;569,6;277,2;846,8;81,0;67,3;8,8;61,3
Alföld és Észak;nagyrégió;1 545,6;177,4;1 723,0;896,6;2 619,6;317,0;65,8;10,3;59,0
Ország összesen;ország;4 191,7;342,2;4 533,9;2 053,8;6 587,7;615,2;68,8;7,5;63,6
2015;;;;;;;;;;
Budapest;fõváros, régió;822,4;42,3;864,6;280,5;1 145,1;71,7;75,5;4,9;71,8
Pest;megye, régió;559,5;32,7;592,2;229,3;821,5;50,9;72,1;5,5;68,1
Közép-Magyarország;nagyrégió;1 381,9;74,9;1 456,8;509,8;1 966,6;122,6;74,1;5,1;70,3
Fejér;megye;199,3;7,5;206,8;75,5;282,3;15,6;73,3;3,6;70,6
Komárom-Esztergom;megye;138,9;7,6;146,5;55,0;201,5;11,3;72,7;5,2;68,9
Veszprém;megye;159,6;7,5;167,1;63,4;230,4;11,0;72,5;4,5;69,2
Közép-Dunántúl;régió;497,8;22,7;520,4;193,8;714,2;37,9;72,9;4,4;69,7
Gyõr-Moson-Sopron;megye;216,0;6,2;222,2;84,0;306,2;11,9;72,6;2,8;70,6
Vas;megye;122,6;4,8;127,4;44,6;172,0;9,0;74,1;3,7;71,3
Zala;megye;121,3;6,8;128,1;56,9;185,1;13,2;69,2;5,3;65,6
Nyugat-Dunántúl;régió;460,0;17,7;477,8;185,5;663,3;34,1;72,0;3,7;69,4
Baranya;megye;152,2;14,1;166,3;78,2;244,4;24,9;68,0;8,5;62,3
Somogy;megye;119,6;11,0;130,6;73,0;203,6;24,8;64,1;8,4;58,7
Tolna ;megye;94,8;6,9;101,8;48,1;149,9;13,1;67,9;6,8;63,3
Dél-Dunántúl;régió;366,6;32,0;398,6;199,3;597,9;62,8;66,7;8,0;61,3
Dunántúl;nagyrégió;1 324,4;72,4;1 396,8;578,6;1 975,4;134,9;70,7;5,2;67,0
Borsod-Abaúj-Zemplén;megye;261,7;25,6;287,3;151,7;439,0;49,3;65,4;8,9;59,6
Heves;megye;121,1;10,4;131,5;63,4;194,9;19,8;67,5;7,9;62,1
Nógrád ;megye;78,3;6,9;85,1;43,6;128,7;12,9;66,2;8,1;60,8
Észak-Magyarország;régió;461,1;42,8;504,0;258,7;762,7;82,0;66,1;8,5;60,5
Hajdú-Bihar;megye;217,2;27,0;244,2;114,6;358,8;42,6;68,1;11,1;60,5
Jász-Nagykun-Szolnok;megye;158,5;12,0;170,5;77,9;248,5;22,0;68,6;7,0;63,8
Szabolcs-Szatmár-Bereg;megye;222,6;32,7;255,3;127,3;382,5;52,6;66,7;12,8;58,2
Észak-Alföld;régió;598,3;71,7;670,0;319,8;989,9;117,2;67,7;10,7;60,4
Bács-Kiskun ;megye;220,1;18,2;238,3;101,5;339,8;28,4;70,1;7,7;64,8
Békés;megye;140,1;13,2;153,3;75,6;228,9;22,5;67,0;8,6;61,2
Csongrád-Csanád;megye;174,4;13,5;188,0;79,2;267,1;19,3;70,4;7,2;65,3
Dél-Alföld;régió;534,6;45,0;579,6;256,3;835,9;70,2;69,3;7,8;64,0
Alföld és Észak;nagyrégió;1 594,1;159,5;1 753,5;834,8;2 588,4;269,4;67,7;9,1;61,6
Ország összesen;ország;4 300,4;306,8;4 607,2;1 923,3;6 530,4;526,9;70,5;6,7;65,9
2016;;;;;;;;;;
Budapest;fõváros, régió;857,3;37,8;895,1;242,9;1 138,0;60,9;78,7;4,2;75,3
Pest;megye, régió;580,7;17,8;598,5;225,7;824,2;33,2;72,6;3,0;70,5
Közép-Magyarország;nagyrégió;1 437,9;55,7;1 493,6;468,6;1 962,2;94,1;76,1;3,7;73,3
Fejér;megye;199,2;5,4;204,6;76,8;281,4;12,2;72,7;2,6;70,8
Komárom-Esztergom;megye;139,8;5,2;145,0;54,7;199,7;9,2;72,6;3,6;70,0
Veszprém;megye;161,5;4,5;166,1;60,6;226,6;7,7;73,3;2,7;71,3
Közép-Dunántúl;régió;500,5;15,1;515,6;192,1;707,7;29,0;72,9;2,9;70,7
Gyõr-Moson-Sopron;megye;222,6;4,5;227,1;79,2;306,3;9,4;74,1;2,0;72,7
Vas;megye;122,8;3,2;126,0;44,8;170,8;6,7;73,8;2,5;71,9
Zala;megye;125,6;4,9;130,5;51,6;182,1;8,4;71,7;3,7;69,0
Nyugat-Dunántúl;régió;471,0;12,6;483,5;175,6;659,2;24,4;73,4;2,6;71,4
Baranya;megye;156,8;12,7;169,4;71,7;241,1;20,2;70,3;7,5;65,0
Somogy;megye;125,8;7,2;132,9;67,7;200,6;16,5;66,3;5,4;62,7
Tolna ;megye;92,4;4,4;96,8;50,3;147,1;9,0;65,8;4,6;62,8
Dél-Dunántúl;régió;374,9;24,2;399,2;189,7;588,9;45,7;67,8;6,1;63,7
Dunántúl;nagyrégió;1 346,4;51,9;1 398,3;557,4;1 955,8;99,2;71,5;3,7;68,8
Borsod-Abaúj-Zemplén;megye;270,5;18,8;289,3;142,9;432,2;40,3;66,9;6,5;62,6
Heves;megye;127,1;5,6;132,8;59,9;192,6;12,5;68,9;4,2;66,0
Nógrád ;megye;77,8;7,0;84,8;42,0;126,8;11,8;66,9;8,2;61,4
Észak-Magyarország;régió;475,5;31,3;506,8;244,9;751,7;64,6;67,4;6,2;63,3
Hajdú-Bihar;megye;227,3;21,2;248,5;106,8;355,3;35,1;69,9;8,5;64,0
Jász-Nagykun-Szolnok;megye;161,6;11,0;172,6;72,2;244,8;19,1;70,5;6,4;66,0
Szabolcs-Szatmár-Bereg;megye;233,1;30,1;263,2;118,9;382,1;46,1;68,9;11,4;61,0
Észak-Alföld;régió;622,1;62,3;684,4;297,9;982,3;100,3;69,7;9,1;63,3
Bács-Kiskun ;megye;227,6;14,8;242,4;94,2;336,6;25,0;72,0;6,1;67,6
Békés;megye;146,5;9,4;155,9;68,8;224,7;16,9;69,4;6,0;65,2
Csongrád-Csanád;megye;183,9;8,3;192,2;72,4;264,6;14,0;72,6;4,3;69,5
Dél-Alföld;régió;558,1;32,5;590,5;235,4;826,0;56,0;71,5;5,5;67,6
Alföld és Észak;nagyrégió;1 655,6;126,1;1 781,7;778,2;2 559,9;220,8;69,6;7,1;64,7
Ország összesen;ország;4 439,9;233,7;4 673,7;1 804,2;6 477,9;414,2;72,1;5,0;68,5
2017;;;;;;;;;;
Budapest;fõváros, régió;863,5;24,8;888,3;240,5;1 128,8;44,9;78,7;2,8;76,5
Pest ;megye, régió;592,8;15,4;608,2;220,2;828,4;29,5;73,4;2,5;71,6
Közép-Magyarország;nagyrégió;1 456,3;40,2;1 496,5;460,6;1 957,2;74,4;76,5;2,7;74,4
Fejér;megye;199,9;6,0;205,9;71,8;277,8;11,1;74,1;2,9;72,0
Komárom-Esztergom;megye;145,2;2,8;148,1;50,0;198,1;6,8;74,8;1,9;73,3
Veszprém;megye;165,5;2,5;168,0;55,7;223,7;3,9;75,1;1,5;74,0
Közép-Dunántúl;régió;510,7;11,3;522,0;177,6;699,6;21,8;74,6;2,2;73,0
Gyõr-Moson-Sopron;megye;227,4;3,7;231,1;74,6;305,7;7,5;75,6;1,6;74,4
Vas;megye;122,9;2,3;125,2;43,7;168,9;5,4;74,1;1,8;72,8
Zala;megye;128,8;5,7;134,5;44,4;179,0;8,8;75,2;4,3;72,0
Nyugat-Dunántúl;régió;479,2;11,7;490,9;162,7;653,6;21,7;75,1;2,4;73,3
Baranya;megye;157,5;12,5;170,0;68,2;238,3;20,1;71,4;7,4;66,1
Somogy;megye;122,2;9,6;131,8;65,6;197,4;19,6;66,7;7,3;61,9
Tolna ;megye;94,0;2,9;96,9;47,8;144,7;8,1;66,9;3,0;65,0
Dél-Dunántúl;régió;373,7;25,0;398,7;181,7;580,4;47,8;68,7;6,3;64,4
Dunántúl;nagyrégió;1 363,6;48,0;1 411,6;522,0;1 933,6;91,3;73,0;3,4;70,5
Borsod-Abaúj-Zemplén;megye;272,0;16,4;288,3;136,9;425,2;37,7;67,8;5,7;64,0
Heves;megye;125,5;5,6;131,1;58,8;190,0;11,7;69,0;4,3;66,1
Nógrád ;megye;81,4;7,4;88,8;36,2;124,9;12,6;71,1;8,3;65,1
Észak-Magyarország;régió;478,9;29,4;508,2;231,8;740,1;62,0;68,7;5,8;64,7
Hajdú-Bihar;megye;232,4;16,0;248,4;102,8;351,2;26,8;70,7;6,4;66,2
Jász-Nagykun-Szolnok;megye;159,6;11,3;171,0;70,7;241,7;19,8;70,7;6,6;66,1
Szabolcs-Szatmár-Bereg;megye;246,8;22,7;269,5;109,6;379,1;36,2;71,1;8,4;65,1
Észak-Alföld;régió;638,9;50,0;688,9;283,1;972,0;82,7;70,9;7,3;65,7
Bács-Kiskun ;megye;233,3;9,7;242,9;88,8;331,7;17,3;73,2;4,0;70,3
Békés;megye;148,0;7,7;155,7;64,6;220,3;12,8;70,7;5,0;67,2
Csongrád-Csanád;megye;181,4;6,5;187,9;72,4;260,3;11,1;72,2;3,4;69,7
Dél-Alföld;régió;562,7;23,9;586,6;225,8;812,4;41,2;72,2;4,1;69,3
Alföld és Észak;nagyrégió;1 680,4;103,2;1 783,7;740,8;2 524,4;185,9;70,7;5,8;66,6
Ország összesen;ország;4 500,4;191,4;4 691,7;1 723,4;6 415,2;351,6;73,1;4,1;70,2
2018;;;;;;;;;;
